"ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Total Baths","Zoning","List Price","Lot Sz (Acres)","Region","# of Kitchens","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Adjustment Date","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","City","Class","Collapse Date","Confirm Sold Date","Days On MLS","Depth","Development Permit?","Expiry Date","Fireplaces","Floor Area -Grand Total","Floor Area Fin - Basement","Foundation","Gross Taxes","How Sold","Income As At Date","Income Per Annum","Include in DDF (Y/N)","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","Parking Places - Total","Potential for Rezoning?","Prev Price","Previous Exp Date","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Sale/Rent","Sanitary Sewer","SP/OLP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Tot Units in Strata Plan","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com"
"R2269907","Residential Detached","S","15 1700 W 16 HIGHWAY","Houston - Town","93","2","1972","0.00","Manufactured","Houston (Zone 53)","800-121-927","V0J 1Z0",,,,"$8,500","1.00","$7.55","8/15/2018","1","MHP","$8,500","0.00","BC Northern","1",,,,"8/24/2018","46",,"250-847-3144",,,,"0","2",,,"BRACKEN",,"Houston","Residential Detached",,"8/15/2018","86",,,"9/11/2018","0","1,126","0","Other","$263.40","NOT USED",,,"Yes",,,,"8/17/2018",,"5/11/2018",,,,"1",,,,"$9,900","8/11/2018",,"BC","2-bedroom mobile home located in Silverthorne Mobile Home Park. Large addition with boot room and family room. Sundeck out back.","Foundation is post and pad. RBC sale--subject to court approval.","For Sale",,"0.50","8/17/2018",,,,,"Leasehold not prepaid-NonStrata",,,,,
"R2258575","Land Only","T","Lots 12-13 W 16 HIGHWAY","Smithers - Town","122",,,"7,696.00",,"Smithers And Area (Zone 54)","011-590-238","V0J 2N0","54.20","No Access","House/Single Family",,,,,,"R6","$9,000","0.18","BC Northern",,,,,,,,"250-877-3677",,,,,,"No","Not Available",,,"Smithers","Land",,,,"142","No","8/17/2018",,,,,"$190.90",,,,"Yes","No","TOWN OF SMITHERS",,"8/17/2018",,"4/17/2018","Smithers","Nearby",,,,,,"$0",,"No","BC","Treed lot across from Smithers Golf and Country Club, along Highway 16, with nice view of Hudson Bay Mountain. Buyer will need to determine access to property as well as water and sewer.","Additional PID 011-590-211","For Sale","None",,"8/17/2018",,,"None",,"Freehold NonStrata",,,,"None",
"R2282132","Land Only","S","430 BOWSPRITE CRESCENT","Mayne Island","58",,,"0.00",,"Islands-Van. & Gulf","003-089-100","V0N 2J2",,"No Access",,"$19,000","0.76",,"8/15/2018",,"SR","$24,900","0.45","Greater Vancouver",,,,,"9/4/2018",,,"250-539-0444",,,,,,"No","Not Available",".",,"Mayne Island","Land",,"8/15/2018","56",,"No","12/18/2018",,,,,"$585.37","NOT USED",,,"Yes","Yes",,,"8/17/2018",,"6/18/2018",,"Not Available",,,,,"No","$0",,,"BC","This unique lot is listed under assessment and offers a good opportunity for limited development. An island getaway plot to pitch a tent or bring in a small trailer or storage shed. The lot is quiet steep in some areas. But, it has small level spots for development. Come over to Mayne Island and take a look--and bring your open mind and ideas. A real opportunity here!",,"For Sale","None","0.76","8/17/2018",,,"None",,"Freehold NonStrata",,,,"Community",
"R2206313","Land Only","X","LOT 4 HINSCHE ROAD","Williams Lake - Rural East","338",,,"0.00",,"Williams Lake (Zone 27)","013-351-966","V0K 2G0","0.00","Road Access","House/Single Family",,,,,,"RR3","$27,000","0.86","BC Northern",,,,,,,,"250-305-7186",,,,,,"No","Not Available",,,"Williams Lake","Land",,,,"0","No","8/15/2018",,,,,"$299.79",,,,"Yes","No",,,"8/16/2018",,"9/12/2017",,"Not Available",,,,,"Yes","$0",,"No","BC","Are you looking for a piece of land just the right distance from town? This lot resides in the lovely hamlet of 140 Mile- about a 20 minute drive from Williams Lake. Just under 1 acre, it is one half of a pair that can be sold separately or together. This lot has septic and the neighbouring lot (R2206308) has a drilled well. Together they form the perfect 1.79 acre spot for your hew home!","Sold as is where is. Seller has disclosed that there is a septic on the property. Condition unknown. Seller has stated it was working well the last time someone was living on the property (3 years ago)","For Sale","Septic",,"8/16/2018",,,"None",,"Freehold NonStrata",,,,"None",
"R2206308","Land Only","X","LOT 5 HINSCHE ROAD","Williams Lake - Rural East","337",,,"0.00",,"Williams Lake (Zone 27)","013-351-991","V2G 2G3","0.00","Road Access","House/Single Family",,,,,,"RR3","$30,000","0.93","BC Northern",,,,,,,,"250-305-7186",,,,,,"No","Not Available",,,"Williams Lake","Land",,,,"0","No","8/15/2018",,,,,"$249.93",,,,"Yes","No",,,"8/16/2018",,"9/13/2017",,"Not Available",,,,,"Yes","$0",,"No","BC","Are you looking for a piece of land just the right distance from town? This lot resides in the lovely hamlet of 140 Mile- about a 20 minute drive from Williams Lake. Just under 1 acre, it is one half of a pair that can be sold separately or together. This lot has a drilled well and the neighbouring lot (R2206313) has septic. Together they form the perfect 1.79 acre spot for your hew home!","Sold as is where is. ","For Sale","None",,"8/16/2018",,,"None",,"Freehold NonStrata",,,,"Well - Drilled",
"R2102751","Land Only","X","877 5TH AVENUE","McBride - Town","731",,,"6,250.00",,"Robson Valley (Zone 81)","012-624-748","V0J 2E0","0.00","Road Access","House/Single Family",,,,,,"R2","$32,500","0.14","BC Northern",,,,,,,,"250-569-7397",,,,,,"No","Not Available",,,"McBride","Land",,,,"0","No","8/18/2018",,,,,"$409.07",,,,"Yes","Yes",,,"8/19/2018",,"8/18/2016",,"Not Available",,,,,,"$0",,"No","BC","Great place to build your home, whether you are looking for retirement or a large family home, this lot is sure to please. Very conveniently located within walking distance to amenities. Offers nice views, services at lot line and a great little storage shed to get you started.",,"For Sale","At Lot Line",,"8/19/2018",,,"None",,"Freehold NonStrata",,,,"City/Municipal",
"R2198255","Land Only","X","LOT 1 PALEY ROAD","Bouchie Lake","366",,,"0.00",,"Quesnel (Zone 28)","009-469-613","V2J 7G1","0.00","Road Access",,,,,,,"RR2","$36,000","5.24","BC Northern",,,,,,,,"250-983-9522",,,,,,"No","Not Available",,,"Quesnel","Land",,,,"0.00","No","8/17/2018",,,,,"$205.65",,,,"Yes","No",,,"8/18/2018",,"8/17/2017",,"At Lot Line",,,,,,"$29,000",,"No","BC","Here is a great opportunity for a great price. This 5.24 acre parcel on Paley Road already has a drilled well onsite. Well log shoes 6 US gallons/minute. Building site was cleared several years ago. Wide open spaces and only 10 minutes from town.","5725","For Sale","None",,"8/18/2018",,,"None",,"Freehold NonStrata",,,,"Well - Drilled",
"R2207399","Land Only","X","5040 MERKLEY FRONTAGE ROAD","Houston - Town","334",,,"0.00",,"Houston (Zone 53)","024-720-704","V0J 1Z2","0.00","Road Access","House/Single Family",,,,,,"A-2","$45,000","10.74","BC Northern",,,,,,,,"250-847-3144",,,,,,"No","Not Available",,,"Houston","Land",,,,"0","No","8/17/2018",,,,,"$440.32",,,,"Yes","Yes",,,"8/18/2018",,"9/18/2017",,"Not Available",,,,,"Not Known","$0",,"Yes - Agricultural Land Reserve","BC","Treed 10.79-acre lot just minutes east of Houston within the District of Houston municipal boundary. This is a great lot to develop-p and build a home on. Zoned A-2 (mobile homes allowed). Electricity is nearby. Close to the golf course.",,"For Sale","Unknown",,"8/18/2018",,,"None",,"Freehold NonStrata",,,,"None",
"R2241005","Land Only","X","LOT 94 KITWANGA DRIVE","108 Ranch","182",,,"0.00",,"100 Mile House (Zone 10)","002-289-849","V0K 2Z0","0.00","Road Access","House/Single Family",,,,,,"R1-1","$49,900","0.59","BC Northern",,,,,,,,"250-706-1186",,,,,,"No","Not Available",,,"108 Mile Ranch","Land",,,,"0","No","8/17/2018",,,,,"$495.75",,,,"Yes","Yes",,,"8/18/2018",,"2/17/2018",,"Available",,,,,"No","$0",,"Yes - Agricultural Land Reserve","BC","Nice and flat 0.59/acre building lot in 108 Mile Ranch, with services (hydro/gas/cable and water) close by. Close to walking trails, 108 Mile Lake beach, and the many other recreational opportunities the area has to offer.","Lot F433 Kitwanga","For Sale","None",,"8/18/2018",,,"None",,"Freehold NonStrata",,,,"City/Municipal",
"N247731","Land Only","X","LOT 1 ROSS STREET","Hudsons Hope","1100",,,"0.00",,"Fort St. John (Zone 60)","012-496-022","V0C 1V0","0.00","Road Access","Mixed",,,,,,"RU1","$52,000","1.00","BC Northern",,,,,,,,"250-785-1076",,,,,,"No","Not Available",,,"Hudsons Hope","Land",,,,,"No","8/16/2018",,,,,"$349.00",,,,"Yes","Yes","DISTRICT OF HUDSONS HOPE",,"8/17/2018",,"8/11/2015","Hudsons Hope","At Lot Line",,,,,"No","$60,000",,"No","BC","Finally, a large 1 acre vacant lot to build your dream home on is available in Jamieson subdivision, where you are 2 minutes from town but living a private, rural lifestyle. Jamieson subdivision is serviced by town water available at road, and buyer will need to do septic system. This treed lot needs some clearing, however, because there are so many trees, you can pick a building spot and leave many of them up for great privacy. With recent developments in and around the area, I don't expect this one to last long.",,"For Sale","Septic",,"8/17/2018",,,"Nearby",,"Freehold NonStrata",,,,"City/Municipal","No"
