"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261407735/0/120/90/bb4f37da512f8d89d0d6ef07ee5650bf/13/6f8aa55bbb35e46f61115af3b424cc48/261407735.JPG","N241292","Land Only","S","4874 TIMOTHY LAKE ROAD","Lac la Hache","$13,000",,,,,,,,"Road Access",,,"250-644-1100",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,"LAC LA HACHE",,"No",,"Available","3/4/2015",,"MICHELLE/GISELA",,,"$1,464.00",,,"Yes",,"12/4/2014","Available",,,,"010-937-714","House/Single Family","V0K 1T0","No","BC","1.83 acre lot in Lac La Hache with a distant view of the lake. Municipal water and sewer ready to be connected and power is already on the property. Build your new home or set up a mobile home as the big ticket utilities are already install ed. Call today for an information package and plot pl L#7069","Schedule A to accompany offer. an.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","12/9/2014","$13,000",,"0.68","12/15/2014",,,"RR3"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260686938/0/120/90/499c253e3a1da84b7af2d5841422ee2a/13/4cd75fc5fc7579dd18d595a8df4d635c/260686938.JPG","N232514","Land Only","S","LOT 6 MEIER ROAD","Cluculz Lake","$14,000",,,,,,,,"Road Access",,,"250-567-8756",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","12/5/2014",,"TED SNELL",,,"$287.00",,,"Yes",,"12/9/2013","Not Available",,,,"025-196-936",,"V0J 3A0","No","BC","This 19 acre property located close to Cluculz Lake and Highway 16 Yellowhead. Approximately 25 minutes to Vanderhoof and 45 minutes to Prince George. Enjoy the recreational life the Cluculz Lake area offers.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","12/3/2014","$14,000",,"0.70","12/8/2014",,,"H1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260619363/0/120/90/5212f5cb8d7ea22b8b4742e679508df0/13/3d358de7c8c7f09633fad3bcc2387d91/260619363.JPG","N231870","Land Only","S","6280 MOOSE POINT DRIVE","Lone Butte/Green Lk/Watch Lk","$20,000",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lone Butte","Land",,"WATCH LAKE",,"No",,"At Lot Line","10/31/2015",,"KAREN",,,"$137.00",,,"Yes",,"10/29/2013","At Lot Line",,,,"007-575-033","House/Single Family","V0K 2K1","Yes - Agricultural Land Reserve","BC","Recreational property at Watch Lake. Perfect place for a get-away. Located across from a public access to this great fishing lake. Site set up for an RV unit. Electrical is in, 2 RV plugs plus 4 regular . Sand/gravel driveway There is an entrance platform for an RV, a nice fire pit with covered seating and a shed with storage on one side and privy on the other. Worth having a look at.","Fire dues","BC Northern","For Sale","None",,"None",,"No",,,"None","12/3/2014","$20,000","$0.98","0.80","12/5/2014",,,"R1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260875470/0/120/90/5c4be3cb925148349e21d33c5e96d911/13/a9ff5ac9d8e8e5d09a835df77a7c4312/260875470.JPG","N234470","Multifamily","S","3010 N MACKENZIE AVENUE","Williams Lake - City","$25,000","1980","DUPLX","4",,,,,,"34",,"250-305-4120",,"Williams Lake (Zone 27)",,,"0","11",,,"N","Williams Lake","Multifamily",,,,,"Multi-Family Revenue (Max. 4 Units)",,"12/30/2014","No","KAREN GERTZEN","Concrete Perimeter","4","$2,820.00",,,,,"3/27/2014",,,"2",,"013-548-905",,"V2G 1P4",,"BC","If you are a handyman and not afraid of a challenge, this one is for you! Duplex with unauthorized suites located on MacKenzie Ave, across from Comer Pub. Property to be sold as is - where is. Needs lots of work. Must contact City regardi ng having services re-connected. Property has been secured by Procheck Home Services (bring a flashlight).","No evidence of previous grow-op or any police record of it ever being a gr ow-op. Apparently drug dealings from property. In addition - 1% of sale price to Gowling Lafleur Henderson LLP which will come from listing side.","BC Northern","For Sale",,,,,,,,,"12/11/2014","$25,000","$5.36","0.50","3/10/2015","4","11","R3"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260919876/0/120/90/fa48d9770f7c13488119ba588aeecae3/15/a23d612efb08bf9a256150032cd1b913/260919876.JPG","F1409524","Residential Detached","S","161 7790 KING GEORGE BOULEVARD","East Newton","$25,500","1974","MANUF","1","0,0",,,,,"40",,"604-590-2444",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","211706",,"Detached",,"12/31/2014",,"Lenning or Cowden","Other","1","$110.00",,,,,"4/17/2014",,,"1",,"900-570-853",,"V3W 5Y4",,"BC","Walk in and feel at home - lots of updating - (kitchen cupboards & appliances - suede texture painting on walls-new laminate flrg) - You will benefit from all of the renovations done by these owners. 3rd bdrm can be your office, family rm o r hobby rm. This home is loc. just steps from Clubhouse, Outdoor Pool, etc. Crispen Bays offers a great lifestyle whether you are retiring, starting out or just want an easy secure style of living. Small pet allowed - Location is prime w/shopping, transport, schools all w/in walking dist. Come, try it -you'll like it!! Call - e mail - text - now!","Extremely well done inside - clean - great location. 15 x 11 Covered Deck.","Fraser Valley","For Sale",,,,,,,,,"12/2/2014","$25,500","$27.72","0.92","12/24/2014","1","3","MHP"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261371878/0/120/90/572f4eefa19ef241a94eadac1ac4b3d8/13/213a622d0985d78574d3aa1633646f5d/261371878.JPG","N240990","Residential Detached","S","163 10420 96TH AVENUE","Fort St. John - City SW","$30,000","1978","MANUF","1",,,,,,"36",,"250-262-9966",,"Fort St. John (Zone 60)",,,"0","3",,,,"Fort St. John","Residential Detached",,,"225946",,"Detached",,"5/12/2015",,"WYNNETTE OR BRANDON LOWES","Other","1","$792.00",,,,,"11/12/2014",,,"1",,"800-090-450",,"V1J 1L5",,"BC","Cozy 3 bedroom mobile centrally located close to shopping and schools. With a little TLC this home would be perfect for the first time home buyer or investor with its spacious living room, 3 bedrooms, newer addition with a full bedroom and entrance way.","Mobile sits on blocking. BC Electrical #225946, Permit #EL-147259-2014. Call for your viewing.","BC Northern","For Sale",,,,,,,,,"12/8/2014","$30,000","$28.90","0.75","1/26/2015","1","3","R3"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261054489/0/120/90/72dd3dd4b53775b651f2aef677c0beb0/16/23c631942b33448a9b3b97d92fd3e8b9/261054489.JPG","V1070291","Land Only","S","9506 LOT A PORTAGE ROAD","D'Arcy","$30,000",,,,,,,,"Allowed Access",,,"604-902-4589",,"Pemberton",,,,,"No","Not Available",,"D'Arcy","Land",,,,"No",,"At Lot Line","10/31/2015",,"LISA HILTON",,,"$380.00",,,"Yes",,"6/10/2014","Not Available",,,,"026-770-598",,"V0N 1L0","No","BC","Affordable acreage nestled in a valley with stellar mountain views. This 5 acre property is 2.5 hours from Vancouver and minutes away from 4 lakes. Excellent back country hiking, fishing, boating, summer and winter activities. Drilled well is on the property. Contact today for your Information package.","Physical introduction to the property must be done by the Buyer's designated","Greater Vancouver","For Sale","None",,"None",,"No",,,"Well - Drilled","12/8/2014","$30,000",,"0.52","12/22/2014",,,"RS-1"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057040/0/120/90/18e3a3e20df067b24a9f681debfea645/16/e647ed42c409753aa60675c561cabcf4/261057040.JPG","V1070460","Land Only","S","9506 LOT B PORTAGE ROAD","D'Arcy","$30,000",,,,,,,,"Road Access",,,"604-902-4589",,"Pemberton",,,,,"No","Not Available",,"D'Arcy","Land",,,,"No",,"At Lot Line","10/31/2015",,"LISA HILTON",,,"$381.00",,,"No",,"6/10/2014","Not Available",,,,"026-770-601",,"V0N 1L0","No","BC","Affordable acreage nestled in a valley with stellar mountain views. This 5 acre property is 2.5 hours from Vancouver and minutes away from 4 lakes. Excellent back country hiking, fishing, boating, summer and winter activities. Drilled well is on the property. Contact today for your Information package.","Physical introduction to the property must be done by the Buyer's designated agent the cooperating brokerage's commission will be $500.00.","Greater Vancouver","For Sale","None",,"None",,"No",,,"Well - Drilled","12/12/2014","$30,000",,"0.52","12/22/2014",,,"RS-1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261161663/0/120/90/2c0e16a3a9bc5e92d9862de15e51399f/13/0b42718ad8778ac08506a215b6c184b9/261161663.JPG","N238602","Residential Detached","S","C-10 1885 QUEENSWAY DRIVE","Thornhill","$32,000","1981","MANUF","1",,,,,,"33",,"250-615-1350",,"Terrace (Zone 88)",,,"0","3",,,,"Terrace","Residential Detached",,"SKEENA VALLEY MOBILE HOME PARK","420748",,"Detached",,"1/31/2015",,"DARREN BEAULIEU","Other","1","$338.00",,,,,"7/29/2014",,,"1",,"800-087-948",,"V8G 3Z1",,"BC","Affordable 3 bedroom home. This home features a huge open concept kitchen with center island and loads of cupboard space. The living is very spacious and features a wood burning fireplace for those chilly nights. The spa like bath features a soaker tub, stand up shower and newer flooring and trim. All in all a great package for the price! Make an offer today! Available Immediately! Move in before winter! Call or Click today for more information or to book a viewing!","Foundation: wooden block and concrete.","BC Northern","For Sale",,,,,,,,,"12/11/2014","$32,000","$24.10","0.58","1/8/2015","1","3","MHP"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260992640/0/120/90/463d20f2033b448b9766871c1604d306/13/e3059cb5f26909e7ad436eff4ba5ad10/260992640.JPG","N236111","Residential Attached","S","106 398 RODDIS DRIVE","Quesnel - Town","$32,500","1981","APTU","1",,,,,,"33",,"250-983-9022",,"Quesnel (Zone 28)",,,"0","1",,,,"Quesnel","Residential Attached",,,,,"Attached",,"12/31/2014",,"THERESE","Concrete Perimeter","1","$457.00",,,,,"5/19/2014",,,"1",,"004-603-311",,"V2J 1A6",,"BC","One bedroom suite in Wilkens Apartments complex. Conveniently located close to schools, shopping, parks and transit. Large rooms, spacious halls and doors, clean and tidy. Great investment opportunity.","Showing during the week only as manager does not work on the weekends.","BC Northern","For Sale",,"4",,"$168.96",,,,,"12/2/2014","$32,500","$54.17","0.96","12/17/2014","1","1","RM2"
