"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262317214/0/120/90/83ef6a4d8d94d17f08ef5d61de240afe/13/d4394d4cbe6de53fae3d79e084c02a1c/262317214.JPG","R2295587","Land Only","S","5021 EASZEE DRIVE","108 Ranch","$20,000",,,,,,,,"Road Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","11/30/2018",,"DIANE COBER",,,"$514.79",,,"Yes",,"8/2/2018","At Lot Line",,,,"007-671-521","House/Single Family","V0K 2Z0","No","BC","Nicely treed building lot on the 108 Mile Ranch.  Close to all the amenities including the 108 Lake, 18 hole golf course, and the walking trails in Walker Valley and around the lake.  Driveway is already in and has a registered easement to Lot 6 and Lot 7.  Backs into the 108 greenbelt.",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","9/19/2018","$20,000",,"0.95","9/20/2018",,,"R1-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262317225/0/120/90/676e0ac8f4438c6832e61ed634e934e9/13/3b8397daeefeff8736cf4cbf32935bd2/262317225.JPG","R2295598","Land Only","S","LOT 7 EASZEE DRIVE","108 Ranch","$20,000",,,,,,,,"Road Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","11/30/2018",,"DIANE COBER",,,"$514.00",,,"Yes",,"8/2/2018","Available",,,,"007-671-512","House/Single Family","V0K 2Z0","No","BC","Nicely treed building lot on the 108 Mile Ranch.  Close to all the amenities including the 108 Lake, 18 hole golf course, and the walking trails in Walker Valley and around the lake.  Driveway is already in and has a registered easement to Lot 6 and Lot 8.  Backs onto the 108 greenbelt.",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","9/19/2018","$20,000",,"0.95","9/20/2018",,,"R1-1"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262100216/0/120/90/715f7ef919faab057c6361ed4ba613c2/13/ebde051c972ebb34dc540eba51331efe/262100216.JPG","R2078589","Land Only","S","LOT 9 DOME CREEK ROAD","Dome Creek","$21,000",,,,,,,,"Road Access",,,"250-569-7397",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Dome Creek","Land",,,,"No",,"At Lot Line","12/28/2018",,"IRENE",,,"$148.41",,,"Yes",,"6/7/2016","Not Available",,,,"013-127-748",,"V0J 1H0","Yes - Agricultural Land Reserve","BC","If you are looking for an affordable country lot, this may be it! 1.6 acre lot in the community of Dome Creek. Great spot for country home or retreat. Access off Dome Creek Road is maintained year-round. Power is at lot line.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/15/2018","$21,000",,"0.95","9/21/2018",,,"R3"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262323723/0/120/90/7e10331bcefb45f8b66cbcd133d0c841/13/6d8b42543e8ddfbaaecf21f3f8b05173/262323723.JPG","R2302096","Residential Detached","S","11 5378 PARK DRIVE","103 Mile House","$27,000","1974","MANUF","1",,,,,,"44",,"250-395-3422",,"100 Mile House (Zone 10)",,,"0","2",,,,"103 Mile House","Residential Detached",,"103 MILE TRAILER PARK","227358",,"Detached",,"12/31/2018",,"DIANE","Other","1","$159.00",,,,,"9/1/2018",,,"1",,"800-124-311",,"V0K 2E1",,"BC","2-bedroom mobile in the 103 Mile Trailer Park at 103 Mile. Updates include all new windows, updated bathroom, and a newer hot water tank. Includes appliances.","Foundation is concrete pad and cribbing. Please verify measurements.","BC Northern","For Sale",,,,,,,,,"9/16/2018","$27,000","$27.44","0.90","10/1/2018","1","2","R1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294939/0/120/90/5dd5c266770178454e85c02e5db73ea8/13/0ee8f4ff97702ff0a43abeccf094c589/262294939.JPG","R2273312","Residential Detached","S","12 2091 E 16 HIGHWAY","Vanderhoof - Town","$29,000","1977","MANUF","1",,,,,,"41",,"250-570-7147",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,,"Vanderhoof","Residential Detached",,,"271970",,"Detached",,"9/19/2018",,"BRITT","Other","1","$226.10",,,,,"5/24/2018",,,"1",,"800-122-174",,"V0J 3A1",,"BC","Cute and affordable mobile home in Spruce Grove Trailer Park. Located close to town so easy walking to shopping and dining. New paint, flooring and updated windows. Perfect for new buyers or a small family. There are 2 bedrooms and 1 bathroom with an open eat-in kitchen for lots of open space. There is an 8x16 addition that is a boot room and has lots of extra storage space. There is a small fenced lawn space in the backyard and a shed for storage.","Foundation is wood cribbing.","BC Northern","For Sale",,,,,,,,,"9/16/2018","$29,000","$43.15","0.97","9/28/2018","1","2","R5"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262171892/0/120/90/03bb57cf75200e6d05d55930bfe2a6f7/13/c5f236945d8bf8edd70b78a983042876/262171892.JPG","R2150265","Land Only","S","7601 MICA PLACE","Deka/Sulphurous/Hathaway Lakes","$47,500",,,,,,,,"Road Access",,,"250-395-0259",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"At Lot Line","11/30/2018",,"LOUISE",,,"$390.21",,,"Yes",,"3/27/2017","Not Available",,,,"008-323-453","House/Single Family","V0K 1X3","No","BC","0.95 acre lot located only a 2-minute walk to Sulphurous Lake. This property is nicely treed, backs onto Crown land, and provides direct access to a massive recreational trail system for year-round outdoor fun. Southeastern exposure provides all day sun, hydro and phone at the roadside. Great place to create a recreational getaway or build your permanent residence in the Cariboo amongst dozens of beautiful lakes. Priced below assessed value.    L#7178","Selling Realtor must attend initial showing and any other subsequent showings, otherwise the Selling Commission is $100.00","BC Northern","For Sale","None",,"None",,"No",,,"None","9/20/2018","$47,500",,"0.88","10/10/2018",,,"R 1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262326035/0/120/90/71b1617fe2f5e6cb07cb470b166c059d/14/0af38aad571c46480172bc7255b841fa/262326035.JPG","R2304408","Residential Detached","S","61 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$49,000","1990","MANUF","1",,,,,,"28",,"604-798-1166",,"Hope",,,"0","2",,,,"Hope","Residential Detached",,,"457054",,"Detached",,"2/28/2019",,"SCOTT","None","1","$500.00",,,,,"9/10/2018",,,"1",,"700-003-276",,"V0X 1L1",,"BC","This 2 bed 1 bathroom home is move in ready and priced to sell. Lovely vaulted ceilings in the Living room give the home a great open feeling. Large corner loot with impressive views of Mt Cheam for the gardener. Come take a look!","Measurements approx. - verify if important.","Chilliwack","For Sale",,,,,,,,,"9/16/2018","$49,000","$53.03","0.89","10/2/2018","1","2","RMH"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262328555/0/120/90/c14d6e66e4ff8b4623cd935139811bcf/13/607aa026ac6f802536159fe8971b4bc9/262328555.JPG","R2306928","Residential Attached","S","301 398 RODDIS DRIVE","Quesnel - Town","$51,000","1981","APTU","1",,,,,,"37",,"250-992-8818",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Attached",,"WILKINSON APARTMENTS",,,"Attached",,"12/24/2018",,"RAY","Concrete Perimeter","1","$474.64",,,,,"9/12/2018",,,"1",,"004-603-818",,"V2J 1A6",,"BC","Caretaker & property management in place for this 2 bedroom upper unit apartment in a quiet building overlooking Cariboo field. Laundry facilities, elevator, and lots of parking. Close to transit and high school. Currently in rental pool, but can opt out.",,"BC Northern","For Sale",,"4",,"$225.00",,,,,"9/18/2018","$51,000","$62.27","0.93","10/11/2018","1","2","RM2"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262315731/0/120/90/ae62c0bc5b18f2b4dab461bf83d3eddd/15/93e4c047f934d80052999b777d2bdc9b/262315731.JPG","R2294104","Residential Detached","S","3 8220 KING GEORGE BOULEVARD","East Newton","$55,000","1976","MANUF","1",,,,,,"42",,"604-581-3838",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"Crestway Bays","292024",,"Detached",,"3/25/2019",,"LES WELLMAN","Concrete Block","1","$72.00",,,,,"8/1/2018",,,"1",,"905-002-523",,"V3W 6E1",,"BC","Crestway Bays 3 bedroom in family park, 2 dogs OK Pad rent $874 per month includes water, sewer, garbage P/U and taxes on the land Newer roof, furnace and H.W.T. all in the last 5 years","Buyer to verify all measurement","Fraser Valley","For Sale",,,,,,,,,"9/15/2018","$55,000","$67.07","0.85","10/10/2018","1","3","MHP"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262310860/0/120/90/55b2414aed639b287e5239e8af5e0e25/13/3b90f204e59aa93604b3750db09dc8bb/262310860.JPG","R2289233","Residential Detached","S","109 1000 INVERNESS ROAD","Aberdeen PG","$61,000","1990","MANUF","1",,,,,,"28",,"250-552-5116",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,,"457301/272256",,"Detached",,"10/15/2018",,"or Text Kristine","Other","1","$694.09",,,,,"7/13/2018",,,"1",,"005-580-960",,"V2K 4V1",,"BC","Cute and well maintained two bedroom mobile in a well run park. Kitchen recently updated with new countertops and tile backsplash. Patio outside with bonus room and a garden shed.","Hot Water Tank 2010; Kitchen floor/counter/backsplash/dishwasher 1 year old. Skirting 1 year old. Original Furnace. Avg. Utilities: BC Hydro: $80/mth; Fortis: $39-56/mth","BC Northern","For Sale",,,,,,,,,"9/12/2018","$61,000","$66.02","0.87","10/2/2018","1","2","RM9"
