"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262322299/0/120/90/ea68af1d45b07ce376cee42244d2f9cc/13/56ca2723af87454d931f809a8473e9e9/262322299.JPG","R2300672","Land Only","S","59 MORRISON STREET","Granisle","$7,500",,,,,,,,"Road Access",,,"520-464-4200",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Granisle","Land",,,,"No",,"At Lot Line","8/26/2019",,"Charles Pitcher",,,"$497.71",,,"No",,"8/27/2018","Not Available",,,,"018-370-276","House/Single Family","V0J 1W0","No","BC","Double lot for sale in the lake side town of Granisle. 16,339 sq ft. A house sat on the lot until it burned and was torn down last January. All services are available. Zoning allows a house or double wide. Storage sheds on property. Mostly fenced. Forest behind the property. Property has two driveways. This is two lots that were merged into one tax title. Taxes for 2018 was $497. Being listed for well below $1 a sq ft at $11,900 for quick sale (below tax assessed value of $16,800). Great fishing on Babine Lake. High speed internet is available and cell phone service is good. Would make a great holding property or build your home near the lake. There is a rumor the mine is going to open near Granisle, BC.","***Mere Posting*** Despite the fact that the commission field states, $2, THE SELLER IS WILLING TO NEGOTIATE A FEE AGREEMENT DIRECTLY WITH A CO-OPERATING BROKERAGE. Contact Seller, Charles, directly at 520-464-4200.","BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","9/6/2018","$7,500","$0.46","0.63","9/10/2018",,,"R-1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262315927/0/120/90/4f7eed73935dae62720d5d0802c69f8f/13/194af0d44df52e40c99a42476d7580df/262315927.JPG","R2294300","Residential Detached","S","6 862 BC SPRUCE ROAD","Fort St. James - Town","$20,000","1973","MANUF","1",,,,,,"45",,"250-996-8618",,"Fort St. James (Zone 57)",,,"0","2",,,,"Fort St. James","Residential Detached",,,"309268",,"Detached",,"1/31/2019",,"EVELYN","Other","1","$137.36",,,,,"7/31/2018",,,"1",,"800-123-664",,"V0J 1P0",,"BC","Two bedroom with family room and mud rom and natural gas fireplace in the addition.  Located in Fort Mobile Home Park.","Foundation if wood cribbing.  pad rent is $225.00 per month.","BC Northern","For Sale",,,,,,,,,"9/10/2018","$20,000","$18.30","0.80","9/20/2018","1","2","R-4"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262319677/0/120/90/50b1c55245791f30c7bbf9ac79fd17bb/13/d246d6d8b912decdde1470095e758134/262319677.JPG","R2298050","Land Only","S","1175 OMEGA ROAD","Quesnel - Rural North","$22,900",,,,,,,,"Road Access",,,"250-991-2255",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","8/1/2019",,"Curtis",,,"$149.31",,,"Yes",,"8/15/2018","At Lot Line",,,,"011-304-987","House/Single Family","V2J 6V5","No","BC","Excellent private and heavily treed lot nestled in a quiet subdivision ready to be built upon. There is a small area already cleared which would be a great building spot and would provide a lot of privacy due to an abundance of evergreens surrounding. All amenities are just a short 10 minute drive away. If you want the rural setting at a fraction of the typical price this is one you don't want to miss!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/3/2018","$22,900","$0.57","1.00","9/6/2018",,,"RR3"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305712/0/120/90/ccbefcc6813158960fdbd3cf346bc33f/13/001d88e3a137cde8cb9ca2b4e00ab163/262305712.JPG","R2284085","Residential Detached","S","70 5701 AIRPORT ROAD","Fort Nelson -Town","$28,000","1997","MANUF","1",,,,,,"21",,"250-321-0777",,"Fort Nelson (Zone 64)",,,"0","3",,,,"Fort Nelson","Residential Detached",,"SOUTHRIDGE MOBILE HOME PARK","431174",,"Detached",,"6/19/2019",,"CATHLEEN","Other","1","$572.41",,,,,"6/19/2018",,,"1",,"800-122-893",,"V2C 1R0",,"BC","Move in ready!  Nothing to do but move in to this great 3 bedroom, 1 bathroom mobile home on a good-sized lot in Southridge Mobile Home Park.  When you walk up, you'll notice a large deck and a firepit, both great for entertaining!  Inside, the large kitchen has lots of counter and storage space and comes with fridge, stove and dishwasher.  The living room has large bright windows.  The master has a large closet and the two additional bedrooms are a great size.  Benefits of buying in a park include: affordable pricing, lower property tax, and many items included in the pad rent!","Foundation is wood cribbing blocks sitting on 2' x 2' cement pads.  Shed excluded from the sale.","BC Northern","For Sale",,,,,,,,,"9/7/2018","$28,000","$23.03","0.78","9/12/2018","1","3","RMH"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262325064/0/120/90/f19854d6ee5b33d6655d832c0c4ef99e/13/b55b504d7d8b54cc5b8388bc27e97697/262325064.JPG","R2303437","Residential Detached","S","12 3001 N MACKENZIE AVENUE","Williams Lake - City","$29,000","1997","MANUF","1",,,,,,"21",,"250-305-5038",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"GREEN ACRES MHP","430619",,"Detached",,"12/6/2018",,"ADRIAN KREIS","Other","1","$629.77",,,,,"9/5/2018",,,"1",,"800-124-370",,"V2G 1P5",,"BC","Single wide trailer in Green Acres Mobile Home Park with 2 large bedrooms.","Sold as is, where is - CMHC  Foundation - wood cribbing.","BC Northern","For Sale",,,,,,,,,"9/10/2018","$29,000","$31.05","0.88","9/24/2018","1","2","MHP"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307711/0/120/90/b3437512f2ed1bdd7fbc9a691e491087/13/47c9064b2c76bacb6748a1402d729337/262307711.JPG","R2286084","Residential Detached","S","46 7414 FOREST LAWN STREET","Fort St. John - Rural E 100th","$32,500","1982","MANUF","1",,,,,,"36",,"250-787-2100",,"Fort St. John (Zone 60)",,,"0","2",,,,"Fort St. John","Residential Detached",,,"225950",,"Detached",,"9/28/2018",,"CHAD","Preserved Wood","1","$244.45",,,,,"6/28/2018",,,"1",,"800-122-991",,"V1J 4M7",,"BC","First-time home buyers who are tired of paying rent! Check out this affordable mobile home, located just minutes from town in quiet Forest Lawn Park. 2 bedrooms, 1 bathroom, with open living spaces and necessary separate mudroom. Backing onto trees and featuring a lovely yard space for your summer enjoyment!","To be sold as is, where is.","BC Northern","For Sale",,,,,,,,,"9/5/2018","$32,500","$35.17","0.93","9/17/2018","1","2","MHP"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308459/0/120/90/eeeb5a6f6323c7c375309f3b3b871436/13/ac4451a113a986b97f0e68d6281c1e8a/262308459.JPG","R2286832","Residential Detached","S","24 6151 GAUTHIER ROAD","Gauthier","$37,000","1975","MANUF","1",,,,,,"43",,"250-552-3949",,"PG City South (Zone 74)",,,"0","2",,,,"Prince George","Residential Detached",,,"309256",,"Detached",,"9/30/2018",,"COLIN","Other","1","$296.02",,,,,"7/6/2018",,,"1",,"800-123-059",,"V2N 5M6",,"BC","Bright, clean, well maintained home.  This home features a large, open kitchen, living room area with a bay window in the kitchen with new flooring throughout.  It has 2 great-sized bedrooms with a 4 piece bath.  Outside has a fully fenced yard and tons of parking for everyone.  All measurements are approximate. Buyer to verify if important.","Text Colin to view.  Foundation is wood cribbing","BC Northern","For Sale",,,,,,,,,"9/11/2018","$37,000","$33.82","1.00","9/19/2018","1","2","RS5"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262319035/0/120/90/e81642d00e5fc6e98a95ed8dcd0df013/13/c909b39514947bbcf4dc888a7def5c69/262319035.JPG","R2297408","Land Only","S","LOT 2 BIRCHWOOD ROAD","100 Mile House - Rural","$40,000",,,,,,,,"Road Access",,,"250-395-0272",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"Available","12/31/2018",,"FRANK",,,"$242.20",,,"No",,"8/12/2018","Available",,,,"003-309-487","House/Single Family","V0K 2E0","No","BC","Nicely treed 2 acre property close to 100 Mile House in an area of nice homes.  10 minutes to Tim Horton's, A&W, and Save on Foods.  This property lends itself to building a home in an absolutely private location, or just use as a seasonal recreational retreat.  Numerous lakes close by.  This property has to be walked to be appreciated.  9227",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/5/2018","$40,000",,"0.89","9/10/2018",,,"RR3"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262104526/0/120/90/ca619c87207911b4bd5328c5ef13894f/13/37b4238b31e43e0395d68c416cd49527/262104526.JPG","R2082899","Land Only","S","LOT 2 DAY ROAD","Horsefly","$47,000",,,,,,,,"Road Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Horsefly","Land",,,,"No",,"At Lot Line","10/31/2018",,"VICTOR OR MICHELLE",,,"$290.81",,,"Yes",,"6/9/2016","Not Available",,,,"005-237-904","Duplex","V0L 1L0","No","BC","4.967 acre sunny lot on a quiet, neighbourly cul-de-sac - a prime residential subdivision only 2 km from Horsefly town centre. Driveway in and power at lot line. Treed, pretty and private. Horsefly River nearby with lots of hunting/fishing opportunities around. Ideal for residential or recreational use. Build your new home/cabin, or hold for land value!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/2/2018","$47,000",,"0.96","9/4/2018",,,"RR-2"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262066407/0/120/90/6fe4ba82af5c303a2a7efe87f0ac119e/13/b7bcc2c704bd24df9ac166380ecdf7d9/262066407.JPG","R2044780","Land Only","S","3468 HARGREAVES AVENUE","Vanderhoof - Town","$47,500",,,,,,,,"Road Access",,,"250-567-8756",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Vanderhoof","Land",,,,"No",,"Available","6/30/2019",,"TED",,,"$577.20",,,"Yes",,"3/10/2016","Available",,,,"026-796-635",,"V0J 3A2","No","BC","Lot located on the north side of Vanderhoof, near the golf course and hospital. Design and build your new dream home.","GST applicable.","BC Northern","For Sale","Available",,"None",,"No",,,"Other-Licensed","9/4/2018","$47,500","$6.13","0.91","9/27/2018",,,"R 1"
