"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262284696/0/120/90/3c20d2d61f7dabf1ce2fb620ef1bda84/13/f2b0ed64850706217c73ffbdd093860a/262284696.JPG","R2263069","Land Only","S","6784 LAGERQUIST ROAD","McLeese Lake","$15,000",,,,,,,,"Road Access",,,"250-398-0101",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"McLeese Lake","Land",,,,"No",,"Available","8/1/2018",,"JOY",,,"$273.34",,,"No",,"4/26/2018","Not Available",,,,"011-120-185","House/Single Family","V0L 1P0","No","BC","Fenced yard, road access into lot. Power pole on lot for previous mobile that was removed. Lot had a septic and shallow well but no information on file. Level area for a mobile home.","Court Ordered Sale - Schedule A must be attached to offer.  The commission offered to the operating brokerage shall be reduced by 35% if the initial physical introduction of the property was with the listing agent","BC Northern","For Sale","None",,"None",,"No",,,"None","8/24/2018","$15,000",,"1.00","9/4/2018",,,"RR1"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262306900/0/120/90/b0421e559972880f99331cafaa99bc5f/13/45b0af6c2effbb9055401793a6bfb634/262306900.JPG","R2285273","Residential Detached","S","22 4501 NAHANNI DRIVE","Fort Nelson -Town","$15,100","1979","MANUF","1",,,,,,"39",,"250-321-0777",,"Fort Nelson (Zone 64)",,,"0","3",,,,"Fort Nelson","Residential Detached",,,"33784",,"Detached",,"1/15/2019",,"CATHLEEN","Other","0","$143.99",,,,,"6/29/2018",,,"1",,"800-122-948",,"V0C 1R0",,"BC","Home ownership at a bargain!  Get yourself into this nicely updated 3 bedroom 1 bath mobile located in a quiet mobile home park.  Newer windows, flooring, paint, furnace, a handy porch gives lots of space and a kitchen full of cabinets and cupboard space are great features!  Comes with all major appliances.  Turn-key purchase and the owner is willing to be creative with payment! Trades welcome! Quick possession also available!","Foundation is wood cribbing.  BC Silver Seal #33784","BC Northern","For Sale",,,,,,,,,"8/20/2018","$15,100","$15.04","0.79","8/21/2018","0","3","M-1"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032730/0/120/90/9b3d270a93bad7c83a549b8c321a3217/13/f0154aeccf01dfae9f1668044709024a/262032730.JPG","R2011103","Residential Detached","S","44 5701 AIRPORT DRIVE","Fort Nelson -Town","$25,000","2003","MANUF","1",,,,,,"15",,"250-500-1434",,"Fort Nelson (Zone 64)",,,"0","4",,,,"Fort Nelson","Residential Detached",,,"31710",,"Detached",,"10/12/2018",,"SHERRY","Other","2","$917.00",,,,,"10/16/2015",,,"1",,"800-100-044",,"V0C 1R0",,"BC","Simply amazing. This home features an open living room and kitchen with fabulous vaulted ceilings, plenty of storage, and a fully fenced yard. But what will really impress you is the 4 bedrooms and 2 full bathrooms at this terrific price. Located in family-friendly Southridge Park, on a school bus route and an easy walk to downtown, it's totally convenient. Quick possession is available, so  check this one out before it's gone!","Home is sitting on pilings.","BC Northern","For Sale",,,,,,,,,"8/29/2018","$25,000","$20.56","0.50","9/6/2018","2","4","RMH"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262318203/0/120/90/4998f13c703e15013959dba7cfabf2ea/13/3f06fd596e6c2df737eef50c29ed08da/262318203.JPG","R2296576","Residential Detached","S","5627 49 STREET","Fort Nelson -Town","$30,000","9999","HOUSE","1",,,,,,"999",,"250-500-1434",,"Fort Nelson (Zone 64)",,,"0","2",,,,"Fort Nelson","Residential Detached",,,,,"Detached",,"10/12/2018",,"SHERRY","Concrete Perimeter","1","$1,539.93",,,,,"8/9/2018",,,"1",,"004-030-923",,"V0C 1R0",,"BC","One level living!  here is a secluded bungalow surrounded by mature trees and singing birds, yet just a short walk from all amenities.  Add your personal style as you update this older home and enjoy tiny mortgage payments while you're at it.  Or... fix it up and find a renter.  See for yourself...","Schedule A must accompany all offers","BC Northern","For Sale",,,,,,,,,"8/20/2018","$30,000","$31.65","0.91","8/24/2018","2","2","RS1"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262321294/0/120/90/b9ec69e5ca44b5c5cd000d6fcd16f45e/13/51b88d2c2ed6ec2549b4217e52a7a129/262321294.JPG","R2299667","Residential Detached","S","24 803 HODGSON ROAD","Esler/Dog Creek","$38,000","1976","MANUF","1",,,,,,"42",,"250-302-1785",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"PANORAMA TRAILER PARK","E#32286",,"Detached",,"11/30/2018",,"PAULINE COLGATE SMITH","Preserved Wood","1","$281.02",,,,,"8/22/2018",,,"1",,"800-124-099",,"V2G 3R2",,"BC","This two bedroom home with a large finished addition is perfect for first time homeowner or someone wanting to downsize. Kitchen has skylight, large laundry room, and good size bedrooms. There are new flooring and new windows throughout. Keep small dogs or children safe in a nice fenced yard with large garden shed built in 2012, Roof was redone in 2013. This home is located on the upper level of park with view of the Williams Lake, and trailer backs onto green space allows for privacy. Clean and cozy with quick possession available.","Please do not let cat out.","BC Northern","For Sale",,,,,,,,,"8/28/2018","$38,000","$38.78","0.90","9/6/2018","1","2","MHP"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262314094/0/120/90/3979a558121b91911454307d1373ab00/13/104a7dda08ab1820c252acce39e27538/262314094.JPG","R2292467","Residential Detached","S","19 770 N 11 AVENUE","Williams Lake - City","$40,000","1982","MANUF","1",,,,,,"36",,"250-302-1785",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"FRAN-LEE MOBILE HOME PARK","425401",,"Detached",,"10/24/2018",,"PAULINE COLGATE SMITH","Preserved Wood","1","$392.31",,,,,"7/24/2018",,,"1",,"800-123-496",,"V2G 2M4",,"BC","Clean, cozy and ready to move in.  This two bedroom mobile is in a great location with a spacious floor plan.  A wall was taken out between two of the bedrooms to make a large room.  MBR has new carpet and located at the end of the hall with bathroom and laundry close by.  New windows except the front bay windows, new wood window trim and paint throughout.  Quick possession available.","Pad rent is #340.00 Utilites:  Fortis - $30 summer, $89 - winter.  Hydro $150 every two months original furnace and HWT age of roof unknown.  Fridge under a year old and stove is 3 years old.","BC Northern","For Sale",,,,,,,,,"8/28/2018","$40,000","$43.29","0.91","9/18/2018","1","2","MHP"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260838/0/120/90/92dcb2d964ac597c23d77a7081cc5449/13/dfb523c020f2699cf3400d929f5ce2aa/262260838.JPG","R2239211","Land Only","S","LOT 31 KALLUM DRIVE","108 Ranch","$41,000",,,,,,,,"Road Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"Available","12/31/2018",,"DIANE COBER",,,"$493.05",,,"Yes",,"2/8/2018","Available",,,,"007-958-170","House/Single Family","V0K 2Z0","No","BC","108 building lot located in an area of nice homes. The property backs onto the greenbelt and has access to Walker Valley. The lot is 2 minutes from the 108 Lake and there are miles and miles of trails for hiking and snowmobiling. The 18 hold golf course is also located nearby. The 108 has its own water supply and services are available. This is a great area for families and those wishing to retire.",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","8/28/2018","$41,000",,"0.91","9/7/2018",,,"R1-1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262314690/0/120/90/f517a93a00176fb007790b15e9786ce1/13/23341a76caf72c7f6030b119abb8309f/262314690.JPG","R2293063","Land Only","S","6856 STOKES ROAD","100 Mile House - Rural","$45,000",,,,,,,,"Road Access",,,"250-644-1100",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"None Available","10/24/2018",,"MICHELLE",,,"$353.63",,,"No",,"7/24/2018","Not Available",,,,"007-671-202","House/Single Family","V0K 2E2","Yes - Forest Land Reserve","BC","3.14 Acres close to 100 Mile House cleared level property is ready to build your home and enjoy the privacy and seclusion from neighbors. This property is gated and secured and currently used recreationally. Only 10 minutes to 100 Mile House , this property allows for easy access to amenitites and all the services you need.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/29/2018","$45,000","$0.33","0.90","9/21/2018",,,"RR3"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262318592/0/120/90/27035565556dde2bde9e11ce9be4fa6d/13/318c314a205e06cd8930361a41fe3450/262318592.JPG","R2296965","Land Only","S","LOT 17-18 SECOND STREET","Atlin","$50,000",,,,,,,,"Road Access",,,"250-775-1019",,"Terrace (Zone 88)",,,,,"No","Not Available",,"Atlin","Land",,,,"No",,"Nearby","8/15/2019",,"MYRNA BLAKE",,,"$377.22",,,"No",,"8/11/2018","Not Available",,,,"014-892-693",,"V0W 1A0","No","BC","Two adjoining lots facing west with view of Atlin Mountain and the lake.  Just a short walk to the marina or lakeshore.  Ready for your own development.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/27/2018","$50,000","$83.33","1.00","8/28/2018",,,"N/A"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262315949/0/120/90/5ce16735b3d842fa00bc5ce3cf98e905/13/bcd2ad68ec1c0d65b0cc45256cd80736/262315949.JPG","R2294322","Land Only","S","3018 SPRUCE RIDGE ROAD","Red Bluff/Dragon Lake","$50,000",,,,,,,,"Road Access",,,"250-992-2207",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","4/30/2019",,"RICK HUGHES",,,"$353.02",,,"Yes",,"7/31/2018","At Lot Line",,,,"009-954-392","House/Single Family","V2J 4R4","No","BC","Lovely Building Lot awaits your House Plans.  1 acre, (200' x 220') Treed, Private, and just outside the City boundary.  Walkable to Dragon Lake.  Just down the road from shopping, pubs, Tim Hortons and the new Starbucks.  Good area, large property for a Custom Home and schools are in the area. ","Cariboo Regional District for building permit and info on community sewer.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"None","8/20/2018","$50,000",,"0.83","9/4/2018",,,"R2"
