"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295113/0/120/90/721d63c368f4a75ee6fc8dca113212f7/13/97260ea4d9f6338d25b2757c4a3b6e8a/262295113.JPG","R2273486","Residential Detached","S","5 4401 NAHANNI DRIVE","Fort Nelson -Town","$15,500","1977","MANUF","1",,,,,,"41",,"250-321-0777",,"Fort Nelson (Zone 64)",,,"0","2",,,,"Fort Nelson","Residential Detached",,,"339897",,"Detached",,"11/18/2018",,"CATHLEEN","Other","1","$116.45",,,,,"5/18/2018",,,"1",,"800-122-177",,"V0C 1R0",,"BC","Renovated top to bottom! Walk into this affordable mobile home and you'll think it's brand new! Everything from wiring, plumbing, walls, windows, flooring, ceiling, cabinets, siding, roof, doors, trim, bathroom - everything has been updated! With low pad rent and a quiet location, this home might just be the place for you! 2 bedrooms and a large bathroom plus a great entry way with large closet. This home is a must see. Have a piece of property and you're looking to move a home? Look no further!","Foundation is wood blocks.","BC Northern","For Sale",,,,,,,,,"10/1/2018","$15,500","$14.51","0.60","10/10/2018","1","2","M-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262332899/0/120/90/1a641b2443cb2bd4e3245b1fd855c1c4/13/f99cf85ec52315461cd163d694d32290/262332899.JPG","R2311272","Land Only","S","LOT 1 FOOTE ROAD","Fraser Lake","$17,000",,,,,,,,"Road Access",,,"250-617-5778",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"Nearby","9/10/2019",,"SHAUNA",,,"$103.68",,,"No",,"9/10/2018","Not Available",,,,"005-552-834","House/Single Family","V0J 1S0","Yes - Agricultural Land Reserve","BC","Very private 8.1 acres, just minutes away from Fraser Lake. Definitely perfect for a hobby farm, or just to enjoy the peace and solitude. There is one area for a building site that has a beautiful view of Fraser Lake. Priced to sell, at well below assessed value. Don't miss out!","Road has not been maintained past the first driveway on Foote Road. The road to this parcel is there, but would need work to be wide enough for a vehicle.","BC Northern","For Sale","None",,"None",,"No",,,"None","10/1/2018","$17,000",,"0.90","10/10/2018",,,"AG1"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188526/0/120/90/c4326fe8fccb89d7cc96eb0524cf206c/13/c522699fffff564dc7a43e263a33522e/262188526.JPG","R2166899","Land Only","S","9908 ADAMS STREET","Hudsons Hope","$24,000",,,,,,,,"Road Access",,,"250-783-1076",,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Hudsons Hope","Land",,"ADAMS STREET",,"No",,"At Lot Line","10/30/2018",,"NICOLE",,,"$529.01",,,"Yes",,"5/15/2017","At Lot Line",,,,"012-175-498","Duplex","V0C 1V0","No","BC","This 0.35-acre lot is priced to sell. Build a home or place a prefab home on this level lot. Adams Street is a nice, quiet, almost out of town location. Town water and town sewer available at road. This lot backs onto Pearkes Center Field. Lots of trees on the lot currently, so you can build around and leave yourself some privacy! Better priced then most serviced lots in HH.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","9/26/2018","$24,000",,"0.80","10/1/2018",,,"R1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262332968/0/120/90/6a5bd7d44a77949e7d0ef327c9ce944b/13/e020f956550ea580937be2237be607c0/262332968.JPG","R2311341","Residential Detached","S","69 6100 O'GRADY ROAD","Upper College","$31,000","1974","MANUF","1",,,,,,"44",,"250-613-9599",,"PG City South (Zone 74)",,,"0","2",,,,"Prince George","Residential Detached",,,"53223",,"Detached",,"12/31/2018",,"SUSAN","Other","1","$219.00",,,,,"9/30/2018",,,"1",,"800-116-056",,"V2N 4R1",,"BC","Well-maintained mobile in a great Park. Close to everything!!!! Good setup for retired person or student. Easy walk to shopping, and short drive to UNBC. Large, covered sundeck, gas fireplace in living room. Most windows have been updated to vinyl. Possession can be quick!","Must have Park approval. Foundation is wood blocking. Owner has not used dishwasher or gas fireplace and does not know working condition of either.","BC Northern","For Sale",,,,,,,,,"10/5/2018","$31,000","$43.06","0.98","10/16/2018","1","2","MHP"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263629/0/120/90/6bcdd3d47f8299f74c833ca25ca5f59c/16/b895a9ca1ae501652c17560da3018eba/262263629.JPG","R2242002","Land Only","S","H27 HUCKLEBERRY TRAIL","Hope Sunshine Valley","$35,000",,,,,,,,"Road Access",,,"604-750-0185",,"Hope",,,,,"No","Not Available",,"Hope","Land",,"HUCKLEBERRY VILLAGE",,"No",,"Available","2/22/2019",,"WALTER RAWLINSON",,,"$195.00",,,"Yes",,"2/22/2018","Not Available",,,,"700-010-822","Recreational","V0X 1L5","No","BC","Beautiful RV lot with finished snowshed with living space in the Recreational Community of Sunshine Valley near Manning Park. This 2195 sq.ft. lot features electric and untreated water.  No sewer but a short distance to washrooms and showers. Sani-dump on site. Covered picnic are included. ATV and motorbike, and pet friendly. This is your opportunity to own your own RV site! Balance of 999 year Pre-Paid registered Lease. The lease has been fully pre-paid for 999 years and there are no monthly or yearly lease payments or pad rental. (Zoned for Recreational Use Only so you are therefore unable to live here full time.) Only 2 hours from Vancouver. No Borders, No Ferries. Get back to nature, a weekend at a time!","In gated community of Huckleberry Village. Call L/B for key to gate. Mechanical Lockbox on Trailer. Vacant and easy to show. NOTE: transfer of title for the NON-Real Estate component must be made separately through ICBC. Included in lot is RV and addition.","Chilliwack","For Sale","None",,"None",,"No",,,"Other-Licensed","9/26/2018","$35,000","$15.95","0.88","10/9/2018",,,"CHP-1"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","R2311528","Residential Detached","S","27 6571 KING GEORGE BOULEVARD","West Newton","$47,000","1966","MANUF","1",,,,,,"52",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"NEWTON MOBILE HOME PARK","12260FL",,"Detached",,"4/4/2019",,"TOUCHBASE RAY","Other","1","$49.42",,,,,"10/4/2018",,,"1",,"905-003-300",,"V3W 4Z4",,"BC","NEWTON MOBILE HOME PARK: Single wide in 55+ age restricted park, on quiet, private corner lot at end of street. Two bedroom & storage room (could be 3rd bedroom), one full bathroom, double carport. Walk to bus stop, 15 minutes to Sky Train, few minutes to Costco, Superstore, Newton Wave Pool, hockey rink, restaurants, etc. Pad rent 660.76 per month, includes sewer, water, garbage pick up, land portion of the property taxes. Inexpensive single, detached living.","TOUCHBASE to book appts. I need to know you are a bona-fide Realtor, first names don't do it for me. No one day codes. Professionals carry the proper tools","Fraser Valley","For Sale",,,,,,,,,"10/4/2018","$47,000","$59.87","0.86","10/10/2018","1","2","MHP"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262330953/0/120/90/5eecb765387ea8cba1ceb83d8e1b6b2a/13/000ad87722b42130429de5ca0090ec08/262330953.JPG","R2309326","Land Only","S","526 TAMARACK ROAD","Esler/Dog Creek","$49,000",,,,,,,,"Road Access",,,"778-267-4663",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"At Lot Line","4/30/2019",,"MICHAEL",,,"$441.72",,,"No",,"9/20/2018","At Lot Line",,,,"007-304-927","Duplex","V2G 4J2","No","BC","Large 2.2-acre lot right on the outskirts of Williams Lake. Located at the end of a cul-de-sac. Close to golfing, fishing, hunting, and hiking. Fresh air, and the potential to build your dream home!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/1/2018","$49,000",,"1.00","10/17/2018",,,"RR 3"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262320218/0/120/90/5ca5c18e87cc47045765c05684e0f6f0/13/885a1e76de2c6abb6dabdfe5df66da2e/262320218.JPG","R2298591","Land Only","S","Lot 15 BIG LAKE ROAD","Williams Lake - Rural East","$60,000",,,,,,,,"Road Access",,,"250-305-7034",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,"Big Lake",,"No",,"At Lot Line","11/17/2018",,"George Best",,,"$210.93",,,"Yes",,"8/17/2018","Not Available",,,,"008-524-360",,"V0L 1G0","Yes - Forest Land Reserve","BC","Looking for 10 private well treed acres around Big Lake? This may just be the acreage you've been looking for just off the Likely Road. Great place to park your recreational vehicle so you can enjoy everything the surrounding area has to offer i.e. fishing, horseback riding or hunting with tons of recreational trails, OR choose from a variety of great building spots should you decide to build a home. It's your choice at this great price. Great opportunity in this great community!","Call or text George Best prior to walking the property. Realtor must be present during showing.","BC Northern","For Sale","None",,"None",,"No",,,"None","9/25/2018","$60,000",,"0.94","9/28/2018",,,"RR1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262304710/0/120/90/06e40372e7a86ed97e55b449bf509f02/15/7335e19e501f53f796371c64c9532c81/262304710.JPG","R2283083","Residential Detached","S","109 8220 KING GEORGE BOULEVARD","East Newton","$60,000","1974","MANUF","1",,,,,,"44",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crestway Bays","291459",,"Detached",,"1/31/2019",,"LES WELLMAN","Concrete Block","1","$45.00",,,,,"6/23/2018",,,"1",,"905-002-115",,"V3W 6E1",,"BC","Crestway Bays Family Park, two pets OK 2 bedroom plus Lots of storage, Newer furnace, 1 year old Instant hot water ever lasting no tank, double glazed windows, roof sealed 2 years ago Laminate flooring Pad rent $899 per month.  Close to shopping, banking and schools. Bus stop out front only min to skytrain.","Crestway Bays Family Park. 2 Small pets OK","Fraser Valley","For Sale",,,,,,,,,"9/24/2018","$60,000","$78.13","0.92","10/16/2018","1","2","MHP"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262321018/0/120/90/fc35e19680ad379d12eaee3001f456dc/15/679c871e68db286dddb5e8fee7c65c44/262321018.JPG","R2299391","Residential Detached","S","29 31313 LIVINGSTONE AVENUE","Abbotsford West","$60,000","1978","MANUF","1",,,,,,"40",,"604-308-5594",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"Paradise Park","CSA 410318",,"Detached",,"2/20/2019",,"Carole or Touchbase","Other","2","$295.49",,,,,"8/20/2018",,,"1",,"905-002-787",,"V2T 4T1",,"BC","Paradise Park! Probably one of the prettiest and well maintained parks in Abbotsford. Good sized master bedroom with ensuite. Bonus room for crafts or den off master bedroom. Large enclosed sundeck. 2 outside sheds (one is wired and heated- great for the handyman). Lots of outside parking. Owner must 55 + -- small pet allowed","All offers subject to Park Approval. Age restricted to 55+. Small pet allowed (lap size). Buyer must complete upgrades required to the exterior prior to moving in as per Park Rules.    **SEE ATTACHED DOCUMENTS FOR REQUIRED UPGRADES.","Fraser Valley","For Sale",,,,,,,,,"10/5/2018","$60,000","$54.55","0.75","10/23/2018","2","2","M H P"
