"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262111131/0/120/90/ed64eed33cb90b4eac7333694affd946/13/a0a91c13d7909da08eeb9024c84a8a3a/262111131.JPG","R2089504","Land Only","S","NASS VALLEY","Terrace - Northwest/Rosswood","$13,100",,,,,,,,"No Access",,,"250-638-2827",,"Terrace (Zone 88)",,,,,"No","Not Available",,"Terrace","Land",,,,"No",,"None Available","10/14/2016",,"RUSTY LJUNGH",,,"$124.37",,,"Yes",,"7/6/2016","Not Available",,,,"015-676-111","House/Single Family","V0J 3J0","No","BC","20 acres close to the Nass River. To the west of Aiyansh and New Aiyansh. There is no legal access to this property. The executor has never viewed the property. The land has been owned by the family for many years.","No legal access to the property.","BC Northern","For Sale","None",,"None",,"No",,,"None","9/17/2016","$13,100",,"1.31","9/22/2016",,,"N/A"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130611/0/120/90/29d39ba01d1ac8b947e0cc1846223e25/16/a44f6dd7aa79498c81919495f3a22ede/262130611.JPG","R2108984","Residential Detached","S","18 6571 KING GEORGE BOULEVARD","West Newton","$15,800","1968","MANUF","1",,,,,,"48",,"604-813-5130","2014","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Newton Mobile Home Park","EL-162272-2014",,"Detached",,"2/28/2017",,"Barry or Touchbase","Concrete Block","1","$53.33",,,,,"9/12/2016",,,"1",,"900-580-842",,"V3W 4Z4",,"BC","Well kept and very cozy. Enjoy independent living in a Central Surrey location at an incredibly low price. Very well run park. Walk to everything you might need. Backs onto a green space for added privacy. Very nice community right in the heart of everything. Lots of recent renovations means that you can move in and enjoy. Low maintenance lifestyle means that you can Travel in peace knowing that your home is watched over and secure. Easily one of the Lower Mainlands best kept secrets. Call for a private viewing today.","Easy to show. 55+, No Dogs, cats ok. MHR #21486, CSA #EL-162272-2014","Fraser Valley","For Sale",,,,,,,,,"9/15/2016","$15,800","$21.27","0.99","9/29/2016","1","2","MHP"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126431/0/120/90/4b9e4bcc6b1f341be1aadf0f75f0dc39/13/31b9f1d69ed9096d0bc1d07a3d1bef0f/262126431.JPG","R2104804","Land Only","S","LOT 38 SELLARS ROAD","Canim/Mahood Lake","$20,000",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Mandatory",,"100 Mile House","Land",,"HAWKINS LAKE",,"Yes",,"Available","8/17/2017",,"BARB MONICAL",,,"$146.30",,,"Yes",,"8/24/2016","Not Available",,,,"001-769-707","House/Single Family","V0K 1L0","Yes - Agricultural Land Reserve","BC","Located one lot back from Hawkins Lake. A speed restricted lake so enjoy the fishing and the peace and quiet.  You are only 10 minutes from Canim Lake which is about 20 miles long and here you can enjoy all the water sports. Just a little over a 1/2 hour drive to 100 Mile on mostly paved road. If you're not ready to build, this is a great investment for your future or your kids future. You cannot go wrong at this low price. It is subject to court approval.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/19/2016","$20,000",,"1.11","10/27/2016",,,"R1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969385/0/120/90/eb37a4ec4418d12bf0a173dd8aaf9c66/13/94ac5304e9a7555e265eea27bf37562e/261969385.JPG","N247913","Residential Detached","S","J-15 653 W COLUMBIA AVENUE","Kitimat","$25,000","1973","MANUF","1",,,,,,"43",,"250-632-7000",,"Kitimat (Zone 89)",,,"0","2",,,,"Kitimat","Residential Detached",,"VISTA VILLAGE TRAILER PARK","5138411",,"Detached",,"11/29/2016",,"MELODY/SHANNON","Other","1","$957.00",,,,,"8/14/2015",,,"1",,"800-097-896",,"V8C 1V4",,"BC","1973 Safeway Manor 12'x68' mobile home in the Vista Village Trailer Court. Many renos have been done here including vinyl twin-seal windows in 2010, metal roof in 2012, as well this mobile has updated flooring, paint, and bathroom has been updated. 100 amp electrical panel has been certified and inspected. Spacious kitchen, living room and 2 bedrooms complete this 814 sq ft home. Separate laundry room. Some furnishings included.Move-in ready. Fridge, stove, washer and dryer are included.Trailer backs on to private treed area.Affordable living with pad rental of $550 per month.","Foundation is pylons.","BC Northern","For Sale",,,,,,,,,"9/15/2016","$25,000","$30.64","0.46","9/20/2016","1","2","R6B"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261793574/0/120/90/db5bae674e2c4336e134d13206da65ce/13/f6cf294ff69dd66d42720cf87ddc3c43/261793574.JPG","N245723","Land Only","S","LOT 2 TIBBETS ROAD","Burns Lake - Rural East","$26,000",,,,,,,,"Water Access",,,"250-982-2314",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"None Available","5/18/2017",,"Fawn Gunderson",,,"$138.00",,,"Yes",,"5/28/2015","Not Available",,,,"027-633-438","House/Single Family","V0J 1E0","No","BC","This 7.66 acre lot on the south shores of Burns Lake is one of a 10 parcel subdivision representing the only deeded land in this area. All the properties have a gentle slope to the lake with large flat benches ideal for situating a buildin g, clearings and stands of deciduous trees and bushes. These properties are approx. 16 kms from the Village of Burns Lake via lake access. Welcome back to nature where there is an abundance of wildlife, miles of nature, and the appeal to remote existence.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/18/2016","$26,000",,"0.90","10/14/2016",,,"R4"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260975057/0/120/90/d15d4437c080e809493faa15a8a35c64/13/8a1801f394bdc56becba823116f29d0e/260975057.JPG","N235822","Land Only","S","2278 TIMOTHY ROAD","Quesnel Rural - South","$26,000",,,,,,,,"Allowed Access",,,"250-991-9147",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","1/31/2017",,"RANDY DERRICK",,,"$136.00",,,"Yes",,"5/8/2014","At Lot Line",,,,"009-940-871","House/Single Family","V2J 6K8","No","BC","Great building lot south of city with lots of work already in place for a new home. There is a drilled well on the property, along with a perc test and estimates for a septic system and site preparation for a mobile home. Property is clear ed and fenced. Natural gas available. Just minutes from shopping and schools. 4533","4533","BC Northern","For Sale","None",,"None",,"No",,,"Well - Drilled","9/14/2016","$26,000",,"0.87","9/16/2016",,,"RR1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128401/0/120/90/12a788e874dfb58b50c0a869bd9c687b/16/5f086f1e0245949729bc7b54f58dfe03/262128401.JPG","R2106774","Residential Detached","S","7854 PETERSON ROAD","Fraser Lake","$28,000","1980","HOUSE","1",,,,,,"36",,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,,"Fraser Lake","Residential Detached",,,,,"Detached",,"11/26/2016",,"CARL, JEANNIE","Other","1","$463.81",,,,,"8/28/2016",,,"1",,"006-494-978",,"V0J 1S0",,"BC","Living on the north shore of Fraser Lake offers sunshine and solitude. Living on Peterson Road offers lake access through Peterson Beach. Home needs upgrades and yard work.","Foundation is cribbing. Title is CMHC. Floor is plywood. Septic is undetermined.","BC Northern","For Sale",,,,,,,,,"9/15/2016","$28,000","$29.17","1.00","9/16/2016","1","2","H1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262125016/0/120/90/549fa5ca40dfbb9eb03b7ed17831a832/13/1b0f832bf4c1cde9bb63340cbbb5822f/262125016.JPG","R2103389","Residential Detached","S","1144 LOOP ROAD","Vanderhoof - Town","$28,600","1970","MNFLD","1",,,,,,"46",,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,,"Vanderhoof","Residential Detached",,,"E#39826",,"Detached",,"11/18/2016",,"CARL LARSEN","Other","1","$396.84",,,,,"8/19/2016",,,"1",,"005-193-877",,"V0J 3A2",,"BC","Court ordered sale. Value in land. Located within city limits.","CMHC foreclosure. All appts. call Carl Larsen Royal LePage Home Central, Vanderhoof. Foundation is cribbing.","BC Northern","For Sale",,,,,,,,,"9/12/2016","$28,600","$48.64","0.96","9/13/2016","1","2","RS-3"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128158/0/120/90/909a70794b01cdf19324c447eff39571/15/96240f773fa2fc43774fea520d801300/262128158.JPG","R2106531","Residential Attached","S","26 11 SELWYN DRIVE","Mackenzie -Town","$36,000","1967","TWNHS","1",,,,,,"49",,"250-997-5077",,"Mackenzie (Zone 69)",,,"0","3",,,,"Mackenzie","Residential Attached",,,,,"Attached",,"10/31/2016",,"RICK MORGAN","Concrete Perimeter","1","$1,035.18",,,,,"8/31/2016",,,"3",,"023-297-565",,"V0J 2C0",,"BC","Great opportunity to gain sweat equity. Bring paint brush, cleaning skills and energy to this three bedroom, two bath townhouse in Peachtree Estates. Main floor features kitchen with eating area, living room with access to yard and a 2 piece powder room. Three bedrooms up with 4 piece bathroom plus there's an unfinished basement waiting for your ideas. Family and pet friendly complex with 1 covered parking stall. Great location, walking distance to town and amenities. Strata is $237.06 per/month plus an annual $1,204.72 roof levy every July 1st 2017 to 2020 (2016 - paid by Seller)","Call Rick 250-997-5077 for all Appointments, Information, Schedule A & Offer Instructions. No PDS, Sold As Is - Where Is, Allow 48 hour for offer review, deposit is due upon acceptance. Levy is $1204.72 per year due every July 1st until 2020 - 2016 paid by Seller.","BC Northern","For Sale",,,,"$237.60",,,"50",,"9/12/2016","$36,000","$25.10","0.90","9/16/2016","2","3","RM2"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127132/0/120/90/14b1f6363b42a7ace4d09503f9e0488a/15/916150a370babab02c0ada71f557fc22/262127132.JPG","R2105505","Residential Detached","S","13 31313 LIVINGSTONE AVENUE","Abbotsford West","$36,000","1976","MANUF","1",,,,,,"40",,"604-308-7091",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"Paradise Park","198679",,"Detached",,"12/6/2016",,"Touchbase","Other","1","$272.93",,,,,"9/6/2016",,,"1",,"900-580-780",,"V2T 4T1",,"BC","Affordability at Paradise Park , one of the most desirable parks in town. Updates include all new flooring, paint ,light fixtures ,refinished kitchen cabinets & furnace was just serviced. 55+ and small pet allowed. Quick possession !","Park requires some exterior upgrades by new owner, priced accordingly. Call me for details.","Fraser Valley","For Sale",,,,,,,,,"9/16/2016","$36,000","$48.39","0.81","9/30/2016","1","2","MHP"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262035630/0/120/90/b93c5ef31c1cce0a18dfed61027b826e/13/e7e0fcf5640f6d4a95a568a9bbe7f117/262035630.JPG","R2014003","Land Only","S","BLK C CAMPBELL ROAD","100 Mile House - Rural","$41,000",,,,,,,,"Road Access",,,,,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"Available","10/31/2016",,,,,"$355.00",,,"Yes",,"11/5/2015","Not Available",,,,"013-511-254","House/Single Family","V0K 2E2","No","BC","3.14 ac located on Campbell Road just 5 minutes South of 100 Mile House. Property is level with great building sites. The property backs onto Crown Land giving you lots of privacy and miles of trails for your recreational activities. There is a well on the property, but no information as to quantity or quality.It is an artesian spring Easy access to Highway 97. L#7794",,"BC Northern","For Sale","None",,"None",,"No",,,"Other","9/13/2016","$41,000",,"0.91","9/15/2016",,,"RR3"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049295/0/120/90/12170ad98430e96d592313a1b32ba71a/16/6d72ea400847a43fb386d50942581cb1/262049295.JPG","R2027668","Land Only","S","LOT 72 GREENTREE ROAD","Pender Harbour Egmont","$45,000",,,,,,,,"Road Access",,,"604-989-6632",,"Sunshine Coast",,,,,"No","Not Available",,"Egmont","Land",,,,"No",,"Nearby","1/20/2017",,"RHONDA GOSSIP",,,"$455.14",,,"Yes",,"1/20/2016","Not Available",,,,"007-495-498","House/Single Family","V0N 1S1","No","BC","Looking for a great  building lot? This flat lot is just under 1/2 acre and ready for all your ideas. Close to the ferry terminal in Earls Cove. Lots of outdoor activities close by - Ruby Lake, Sakinaw Lake, North Lake, Iris Griffith Enviro Centre, hiking and fishing minutes away. Just an hour and 20 minutes drive from the Langdale ferry terminal to your personal get away! Call now (no texts please)  for a viewing today.","All measurements are approximate. Buyer to verify if deemed important. No texts please.","Greater Vancouver","For Sale","Septic",,"At Lot Line",,"No",,,"City/Municipal","9/13/2016","$45,000","$2.30","0.90","9/30/2016",,,"R1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262123910/0/120/90/885076990472c0ec2aaaf6c1116508e8/13/c88208697a52831fb6ed226744fad7f8/262123910.JPG","R2102283","Land Only","S","LOT 4 GILL PLACE","Cluculz Lake","$54,000",,,,,,,,"Road Access",,,"250-567-2271",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Cluculz Lake","Land",,,,"No",,"Nearby","11/18/2016",,"PHLLIP",,,"$953.09",,,"Yes",,"8/18/2016","Not Available",,,,"011-011-785","House/Single Family","V0J 3A3","No","BC","Waterfront property on Cluculz Lake. Lot is lightly treed. Approx. 120 feet of east-facing shoreline. Access is from Gill Place. Property is affected by an Archeological/Heritage site - maps and details are available.","Please note that the entire property is affected by a heritage site. Court ordered sale - Subject to court approval; addendum A to be attached to all offers.","BC Northern","For Sale","None",,"None",,"No",,,"None","9/19/2016","$54,000",,"0.86","10/20/2016",,,"R4"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099293/0/120/90/c9f3042cdbecfdf38439e6b34c874308/13/538bd04b92731036c7f8af8d9d790455/262099293.JPG","R2077666","Residential Detached","S","32 770 11TH AVENUE","Williams Lake - City","$54,500","1991","MANUF","1",,,,,,"25",,"250-392-0371",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"460775",,"Detached",,"12/6/2016",,"Tanya Rankin","Other","1","$647.73",,,,,"6/6/2016",,,"1",,"800-076-088",,"V2G 2M4",,"BC","Cute, clean and move in ready. This cozy two bedroom mobile boasts an oversized bathroom with deluxe soaker tub! Quiet well managed park in central location. Close to Gibraltar bus route, all levels of school and minutes to town. Come check it out!","Mobile home is set on wood blocking.","BC Northern","For Sale",,,,,,,,,"9/14/2016","$54,500","$58.98","0.95","9/26/2016","1","2","MHP"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051005/0/120/90/e41a8b9eb6db2238f0e64abecddfb2e7/13/6a729d69abad6d0f84b82ff0988260d6/262051005.JPG","R2029378","Land Only","S","7628 FARQUHARSON ROAD","Deka/Sulphurous/Hathaway Lakes","$55,000",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"Available","10/31/2016",,"PAT",,,"$530.19",,,"Yes",,"1/27/2016","Not Available",,,,"024-542-377",,"V0X 1X3","No","BC","Come build your dream home on this 10 acre parcel surrounded with many fishing lakes. Hydro is on the property and a small shed of little value. This could be your own little piece of paradise in the Cariboo. PF-9790",,"BC Northern","For Sale","Unknown",,"None",,"No",,,"None","9/14/2016","$55,000",,"0.80","9/20/2016",,,"RR1"
