"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141945/0/120/90/906a5d9e9a1e58ef206ee37722683ef5/13/eddafb1692ee051675b74044c5dfeef0/262141945.JPG","R2120318","Land Only","S","23 HEARNE AVENUE","Granisle","$9,250",,,,,,,,"Road Access",,,"250-847-3144",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Granisle","Land",,,,"No",,"At Lot Line","10/27/2017",,"JANTINA MEINTS",,,"$334.79",,,"Yes",,"10/28/2016","Not Available",,,,"005-056-438",,"V0J 1W0","No","BC","Great lot located in the picturesque Village of Granisle. This 53'x120' lot is level and lightly treed. Driveway established. Full municipal services available. Small shed on property. View of Babine Lake. Great holding property or to develop and build.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","12/19/2016","$9,250","$1.45","0.80","1/12/2017",,,"R-1A"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149229/0/120/90/77966d74e766c61a12dbbcb7e9dacb46/15/a1e63193079919b0721f801cb31a2a8e/262149229.JPG","R2127602","Residential Detached","S","6 52604 YALE ROAD","Rosedale Popkum","$10,000","1981","MANUF","1",,,,,,"36",,"604-615-1988",,"Rosedale",,,"0","2",,,,"Rosedale","Residential Detached",,"MOUNT CHEAM MOBILE HOME PARK","419686",,"Detached",,"6/13/2017",,"Jesse Gill","Other","1","$89.35",,,,,"12/13/2016",,,"1",,"752-604-608",,"V0X 1X1",,"BC","Affordable manufactured home located in Rosedale. This 2 bedroom 1 bathroom manufactured home needs TLC. Amazing location which is close to HWY 1, and public transit. Home is a short distance away from recreational activities such as golfing, fishing, hiking, etc. Please call for more details.","Property is vacant. Sold as is - Where is. Meas. approx & to be verified by buyer or buyer's agent This unit has soft spots, and will require some work. Motivated Seller.","Chilliwack","For Sale",,,,,,,,,"12/29/2016","$10,000","$14.62","0.63","1/12/2017","1","2","MHR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146962/0/120/90/f1e4fb5b26570b278a3d51305b45c537/13/163ae729bc233bfe69c9b0ccd1e60aa9/262146962.JPG","R2125335","Residential Detached","S","358 CHILAKO CRESCENT","Fraser Lake","$22,000","1965","HOUSE","1",,,,,,"51",,"250-567-9222",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,,"Fraser Lake","Residential Detached",,,,,"Detached",,"2/24/2017",,"KENT HAWLEY","Concrete Perimeter","1","$1,292.80",,,,,"11/24/2016",,,"1",,"010-904-981",,"V0J 1S0",,"BC","If you are looking for a project here you go. This older home need some TLC.  The house is very solid and sits on a concrete foundation and the basement has never been finished and is wide open for you to do as you please. This house has great potential as an investment property or fix it up and live in it. There is newer high efficient furnace and a hot water tank too. At this price it is going to sell fast so come make an offer today.","Old oil tank in basement. Trustee in charge of sale.","BC Northern","For Sale",,,,,,,,,"12/16/2016","$22,000","$12.94","0.63","12/20/2016","1","2","R-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262077853/0/120/90/d7fc27dd1790e58ae7d5f6606b8cf36b/13/3422713eee2ba37d40e67a30bdc100a4/262077853.JPG","R2056226","Land Only","S","LOT 7 GUEST ROAD","Cluculz Lake","$24,000",,,,,,,,"No Access",,,"250-301-9099",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Nearby","12/31/2017",,"JOYCE DOUGLAS",,,"$177.27",,,"No",,"4/1/2016","Not Available",,,,"004-359-437",,"V0J 3A3","No","BC","Quick access from Highway 16 West on a paved road to a very nice 5 acre lot. Lake access is nearby. Just over half an hour to Home Depot in Prince George.","Buyer is responsible for confirming water and septic.","BC Northern","For Sale","None",,"None",,"No",,,"None","12/28/2016","$24,000",,"0.81","1/4/2017",,,"H1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144157/0/120/90/7d4d2fabcc794fda12f2e76568d43484/13/c9adb59ac5cb73e3e8fd751e46efd49b/262144157.JPG","R2122530","Residential Detached","S","7485 WEST FRASER ROAD","Quesnel Rural - South","$25,000","1981","HACR","1",,,,,,"35",,"250-991-8170",,"Quesnel (Zone 28)",,,"3","3",,,,"Quesnel","Residential Detached",,,,,"Detached",,"2/28/2017",,"WAYNE SEALE","Concrete Perimeter","1","$886.06",,,,,"11/8/2016",,,"2",,"010-339-493",,"V2J 6R3",,"BC","6 bdrm basement home on 1.5 acres South of town. Ideal accommodation for ranch hands. Bring the tool belt and turn this inexpensive home into a gem. Very private and quiet location. Approx. 41 kms and a 35 minute drive from downtown Quesnel. Address on property reads 7582 West Fraser. Included are all items left in or on the property. Seller will entertain reasonable offers for quick sale.","Address at property reads 7582 West Fraser. Lock box on entrance gate. Do not use front door. Keys for back door. Seller has no knowledge of well or septic. Sold As is-Where Is. All items in or on property will stay. Seller requests quick sale, so bring in reasonable offers.","BC Northern","For Sale",,,,,,,,,"12/14/2016","$25,000","$10.58","0.63","12/15/2016","1","6","RR3"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969003/0/120/90/931d315c0852801838c89cc5cede41bb/13/0755fced37b124371540294b185f6c35/261969003.JPG","N247912","Residential Detached","S","C-8 653 COLUMBIA AVENUE","Kitimat","$28,000","1979","MANUF","1",,,,,,"37",,"250-632-7000",,"Kitimat (Zone 89)",,,"0","3",,,,"Kitimat","Residential Detached",,"VISTA VILLAGE TRAILER PARK","250738",,"Detached",,"2/28/2017",,"SHANNON DOS SANTOS","Other","1","$1,045.00",,,,,"8/13/2015",,,"1",,"800-097-897",,"V8C 1V4",,"BC","1979 14x68 Viscount manufactured home in a quiet part of the Vista Village Trailer Park. This mobile features a spacious living room and has updated laminate flooring, separate dining room, 3 bedrooms and 1 bathroom. Home has been very well maintained and is very clean. Home has attached entry porch. Fridge, stove, built-in dishwasher and washer/dryer included. As well, this mobile is fully furnished. Yard has some fencing and has 2 sheds and a greenhouse. Affordable living here with pad rental at $550 per month.New furnace in 2014 and all water lines under trailer have new heat tape on them.","Foundation is pylons.","BC Northern","For Sale",,,,,,,,,"12/15/2016","$28,000","$29.47","0.62","12/20/2016","1","3","R6B"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147804/0/120/90/11fa79da63bb65d2d4125b31af43797d/13/50c3a466d8e0800b85061def45fdbafb/262147804.JPG","R2126177","Residential Detached","S","11 1427 DOG CREEK ROAD","Esler/Dog Creek","$29,000","1974","MANUF","1",,,,,,"43",,"250-267-4371","2016","Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"247299",,"Detached",,"3/31/2017",,"JANETTE RENNIE","Other","1","$290.00",,,,,"11/28/2016",,,"1",,"800-110-118",,"V2G 3H3",,"BC","Why Pay Rent! Newly renovated mobile home located in Kendall Acres. Spacious living room, kitchen with eating area, new furnace, new hot water tank, newly painted and much more. Vacant, move right in.","Foundation is wood & cement blocks.","BC Northern","For Sale",,,,,,,,,"12/29/2016","$29,000","$37.76","0.97","1/13/2017","1","2","R1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148104/0/120/90/22d4ab7a8970d620a9d6565e9f0c0c42/15/969f05d47a32e58680f6ddfd3e520449/262148104.JPG","R2126477","Residential Detached","S","136 7790 KING GEORGE BOULEVARD","East Newton","$31,900","1974","MANUF","1",,,,,,"43",,"604-538-8888","2014","Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","253357",,"Detached",,"5/14/2017",,"Karin White","Concrete Block","1","$76.00",,,,,"12/1/2016",,,"1",,"900-545-124",,"V3W 5Y4",,"BC","Welcome home! This bright open plan 3 bedroom home(one with separate entrance) is perfect. Private rear yard backing onto green space. Newer furnace and windows to keep you warm. Conveniently located close to schools and shopping. On bus route, minutes to sky train. Complex has clubhouse and outdoor pool.",,"Fraser Valley","For Sale",,,,,,,,,"12/18/2016","$31,900","$35.44","0.91","1/25/2017","1","3","MHP"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149379/0/120/90/c316053ea45acc505acde0d877611a5b/16/399feaf1e6bf9570b5038a8b240a19f2/262149379.JPG","R2127752","Residential Detached","S","3 21091 LOUGHEED HIGHWAY","Southwest Maple Ridge","$35,000","1979","MANUF","1",,,,,,"38",,"604-727-7848",,"Maple Ridge",,,"0","2",,,,"Maple Ridge","Residential Detached",,"Val Marie","Z240",,"Detached",,"3/15/2017",,"John Kenney","Concrete Block","0","$306.75",,,,,"12/15/2016",,,"1",,"800-110-343",,"V2X 2R2",,"BC","Sold as is where is. The roof is 2 years old, large yard. If you are looking for a project you have found it. Great West Maple Ridge location in a well established small park. Bring your ideas! ","Sold as is where is. Have all certification","Greater Vancouver","For Sale",,,,,,,,,"12/21/2016","$35,000","$39.06","1.00","1/3/2017","0","2","MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141467/0/120/90/9b908cefc7f77c171e712bac50f7eaa3/16/b791d0c9333a66888c926cc651cf5dc3/262141467.JPG","R2119840","Residential Attached","S","83 1200 PACIFIC BOULEVARD","Yaletown","$40,000","1994","OTHER","0",,,,,,"23",,"604-817-7892",,"Vancouver West",,,"0","0",,,,"Vancouver","Residential Attached",,,,,"Attached",,"2/28/2017",,"MICHELLE","Concrete Perimeter","0","$132.05",,,,,"10/25/2016",,,"1",,"018-382-118",,"V6Z 2Y0",,"BC","Your chance to own a LARGE strata-titled parking stall. Well priced. Annual maintenance fee of $637.24","This is a strata-titled LARGE parking stall.","Greater Vancouver","For Sale",,,,"$54.00",,,,,"12/15/2016","$40,000","$2,666.67","1.08","1/4/2017","0","0","CD-1"
