"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138979/0/120/90/8043ed146eced1859cd563da773b0230/15/ee68dbaaac4dac613f206e66cd234ec4/262138979.JPG","R2117352","Residential Detached","S","22 6571 KING GEORGE BOULEVARD","West Newton","$14,000","1968","MANUF","1",,,,,,"48",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,,"1618227",,"Detached",,"4/17/2017",,"TOUCHBASE RAY OR LES","Other","1","$76.42",,,,,"10/17/2016",,,"1",,"900-581-255",,"V3W 4Z4",,"BC","NEWTON MANUFACTURED HOME PARK: Well maintained single wide, located in quiet age restricted (55+) park, feels you are living in the country, yet steps from to shopping, recreation & public transit.. Fridge, stove, drapes & 1 workshop, plus separate storage shed included. Pad rent only $567 per month. Own your own affordable, detached house for less than half the price of renting an apartment.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use technology to make our lives easier.","Fraser Valley","For Sale",,,,,,,,,"10/19/2016","$14,000","$23.33","0.94","11/7/2016","1","2","MHP"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262118620/0/120/90/958d6871d365b89098d609b92efca709/13/271d7514188fcf3deea12bf1cc8ba078/262118620.JPG","R2096993","Land Only","S","LOT 7 MONTGOMERY ROAD","Topley","$15,500",,,,,,,,"Road Access",,,"250-845-1147",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Topley","Land",,,,"No",,"Nearby","7/28/2017",,"LIA",,,"$131.40",,,"Yes",,"7/28/2016","Not Available",,,,"005-246-873","House/Single Family","V0J 2Y0","No","BC","Affordable rural building lot located just east of Topley on Montgomery Road. Great spot to build a cabin to live in while enjoying the scenic area, hunting and fishing!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/14/2016","$15,500",,"0.92","10/20/2016",,,"H-1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115212/0/120/90/27db606d1e00fb2985ee2698c1392956/13/a8d13f1d30afa6e4be4151fd55161f61/262115212.JPG","R2093585","Residential Detached","S","114 5130 NORTH NECHAKO ROAD","Nechako Bench","$20,400","1971","MANUF","1",,,,,,"45",,"250-563-1000",,"PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,,"3784",,"Detached",,"11/11/2016",,"STACEY","Other","1","$69.27",,,,,"7/18/2016",,,"1",,"800-107-073",,"V2K 4W1",,"BC","This cute well maintianed manufactured home. Has 3 bedrooms and 1 bathroom, a spacious kitchen and livingroom that is all open. It a has a great covered carport for those sunny days. A large yard with a reprete yummy garden and shed. Quick possession available.","Measurements approximate. Buyer to verify if deemed important.","BC Northern","For Sale",,,,,,,,,"10/15/2016","$20,400","$29.14","1.03","10/27/2016","1","3","RS5"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262111451/0/120/90/14ef8e12560d42f663660594b751efc2/13/3a348241d55b8ab662e586e42188e728/262111451.JPG","R2089824","Land Only","S","LOT 12 EAGLE CREEK ROAD","Forest Grove","$27,500",,,,,,,,"Road Access",,,"250-706-1186",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Forest Grove","Land",,"EAGLE CREEK",,"No",,"Available","10/31/2016",,"GISELA/MICHELLE",,,"$191.88",,,"Yes",,"7/5/2016","Not Available",,,,"006-542-131","House/Single Family","V0K 1M0","No","BC","Lovely, affordable small acreage within walking distance to Canim Lake! Here is a fantastic opportunity to purchase a property for the family to enjoy on a full time or recreational basis. Set in the heart of Eagle Creek, in an area of old growth forest sits this 2.01 care property with elevated building sites and views of the Creek. Start your Cariboo dream here! L8252",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/20/2016","$27,500",,"0.92","10/25/2016",,,"RR3"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","R2081861","Residential Detached","S","1B 26892 FRASER HIGHWAY","Aldergrove Langley","$30,000","1970","MANUF","1",,,,,,"46",,"604-826-2699",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Aldergrove Mobile Home Park","30230",,"Detached",,"12/15/2016",,"Leslie",,"1","$91.30",,,,,"6/15/2016",,,"1",,"900-579-637",,"V2Z 1T7",,"BC","Talk about affordable living! Pad rent $535.00 per month. 2 bedrooms, nice open plan with vaulted ceiling in living room. Laminate floors, in all but 1 bedroom. Mostly dry walled with vinyl sliding and some newer vinyl windows. 3 year old hot water tank. Welcome kids and small pets, handy to schools, playground & shopping. Quick possession possible. Lose your Landlord","Afternoon and Evening showings preferred. Seller usually home. Interior measurements to be verified by buyer if important.","Fraser Valley","For Sale",,,,,,,,,"10/12/2016","$30,000","$51.72","0.86","10/26/2016","1","2","MOB"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138133/0/120/90/069fd7a6883e726a7658cc7b088e373a/13/5287d72c1b2032bb0a8fc247d883e6f8/262138133.JPG","R2116506","Residential Detached","S","53 654 NORTH FRASER ROAD","Quesnel - Town","$30,500","1982","MANUF","1",,,,,,"34",,"250-991-8170",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,,"425254",,"Detached",,"1/31/2017",,"WAYNE SEALE","Other","2","$319.39",,,,,"10/12/2016",,,"1",,"800-108-849",,"V2J 1Z6",,"BC","Quick possession possible in this 2 bdrm, 2 bath 1982 mobile in a park. Large 14x10 porch for storage or boot room. 12x8 shed for other items. Not much out there for the price. Only minutes to town, schools and shopping. Very clean and ready to move in. Comes with air conditioning, 6 appliances and assorted remaining furniture. Large master bedroom has soaker tub in ensuite bathroom and ample closet space.","1st right to #53 River Park Manufactured Home Park. Remaining furniture will stay. Foundation is wood cribbing.","BC Northern","For Sale",,,,,,,,,"10/18/2016","$30,500","$33.01","0.95","10/21/2016","2","2","MHP1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039338/0/120/90/2b16f00683a812f2c4a794357248a790/13/0700a8a20090122e08c2d9083e4a5393/262039338.JPG","R2017711","Land Only","S","LOT 14 HORSEFLY LANDING ROAD","Horsefly","$32,000",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Horsefly","Land",,"HORSEFLY LAKE",,"No",,"At Lot Line","12/1/2016",,"MICHELLE",,,"$265.87",,,"Yes",,"11/24/2015","Not Available",,,,"004-342-054","House/Single Family","V0L 1L0","No","BC","2 acre lot with driveway in and building site cleared. Access to Horsefly Lake nearby. Treed and private setting just 9 km past Horsefly village. Ideal for residential or recreational use.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/17/2016","$32,000",,"0.82","10/24/2016",,,"RR 3"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262137050/0/120/90/d0d0c7a94d2eb964cf7ec865fd0dbcd9/15/b3a4f15c11ec42b38ae7013f70ff44c5/262137050.JPG","R2115423","Residential Detached","S","44 7850 KING GEORGE BOULEVARD","East Newton","$38,000","1988","MANUF","1",,,,,,"28",,"604-315-5759",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Bear Creek Glen","47387",,"Detached",,"4/10/2017",,"Krystyna Watts","Other","1","$117.42",,,,,"10/10/2016",,,"1",,"900-580-949",,"V3W 5S3",,"BC","Bear Creek Glen - Single wide on double lot, 2 good sized bedrooms, open design, combined kitchen & eating area, large bright living room w/vaulted ceilings. Some recent improvements in process re painting. Nice private backyard w/storage shed, single carport, fruit trees. Park is age restricted to 55 yrs & over, 1 pet, close to all amenities ie. Costco, Superstore, transit to skytrain, etc.","Resident son is power of attorney for sale-owner (mother, in care facility). Some advent notice to showings appreciated as resident son is shift worker. Room sizes approx.","Fraser Valley","For Sale",,,,,,,,,"10/21/2016","$38,000","$41.13","0.86","11/15/2016","1","2","MHP"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262046094/0/120/90/adf22a8be0fae3efa06f5a567f3c77a7/16/5392e5cbf28ddae934bea1ca43ca9e59/262046094.JPG","R2024467","Land Only","S","208 EAST POINT ROAD","Saturna Island","$38,000",,,,,,,,"No Access",,,"250-539-2985",,"Islands-Van. & Gulf",,,,,"No","Not Available",,"Saturna Island","Land",,,,"No",,"At Lot Line","1/30/2018",,"SUSANNE MIDDLEDITCH",,,"$350.69",,,"Yes",,"1/11/2016","Not Available",,,,"004-573-803","House/Single Family","V0N 2Y0","No","BC","This 1.3 acre lot is rectangular in shape, is a lovely forest grove and is steep in some spots. It is centally located and a short walk to the Waterfalls Park. Lyall Harbour Public Beach, the General Store and the Rec Centre. Access this lot from either East Point Road or Narvaez Bay Road where you will find a lovely shelf to either park a trailer or build a little cabin in the woods and enjoy a view of Mount Elford.",,"Greater Vancouver","For Sale","None",,"None",,"No",,,"City/Municipal","10/14/2016","$38,000",,"0.69","10/19/2016",,,"RG"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089881/0/120/90/d318d78c98d15ad29acacf7d5c08e997/13/206969a30c65502fc7827f44d7f46286/262089881.JPG","R2068254","Residential Detached","S","55 803 HODGSON ROAD","Esler/Dog Creek","$39,200","1983","MANUF","1",,,,,,"33",,"250-398-0101",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,,"426987/E#574767",,"Detached",,"12/31/2016",,"JOY","Preserved Wood","1","$412.38",,,,,"5/11/2016",,,"1",,"800-105-204",,"V2G 3R2",,"BC","1983 Dartmouth, 14x66 with an 8x24 ft. addition. This mobile has been extensively renovated and a pleasure to view. The open floor plan leads to a recreation room in the addition. Enjoy the vaulted ceiling, new flooring throughout, freshly painted and well kept. Includes all appliances plus a large storage shed with area for tools and lawn mower. BC Elec# 574767 - 2016.","Caretaker - please give 24 hr. notice if possible.","BC Northern","For Sale",,,,,,,,,"10/18/2016","$39,200","$35.13","0.93","10/26/2016","1","3","MHP"
