"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146867/0/120/90/21451f7f4232d3e5b90fc1c804f0f19f/15/1f1d1a331e2bfbd64109b4f4ff3bf363/262146867.JPG","R2125240","Residential Detached","S","36 4426 232 STREET","Salmon River","$22,300","1973","MANUF","1",,,,,,"44",,"604-530-0231",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Westfield","25321",,"Detached",,"3/1/2017",,"Pat","Other","1","$186.00",,,,,"11/22/2016",,,"1",,"900-581-676",,"V2Z 2R3",,"BC","WESTFIELD COURT. 55 plus park located in rural area with grocery store and bus stop outside your door. Minutes to Murrayville and Hospital. Small friendly park with only 56 units. This AFFORDABLE home is right for someone who wants to RENOVATE to their own taste. Great layout with lots of windows ( some updated), Open plan with 2 generous sized bedrms. This FIXER UPPER could be your DIAMOND in the rough..... Come have a look..... Pet and rentals allowed with park approval. Pad rental $595.00 per month. Wheel chair ramp - Can park 2 cars.","Elderly selling - Motivated. This home has sold firm.","Fraser Valley","For Sale",,,,,,,,,"11/28/2016","$22,300","$26.24","0.83","1/9/2017","1","2","MHP"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130051/0/120/90/f3c94599a4b99b36facaf530a30aef0b/13/6f22b2f6435da1e03fbdb83436bca8a7/262130051.JPG","R2108424","Residential Detached","S","127 5130 NORTH NECHAKO ROAD","Nechako Bench","$24,000","1971","MANUF","1",,,,,,"45",,"250-981-8107",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"CALEDONIA MOBILE HOME PARK","28716",,"Detached",,"3/13/2017",,"(CALL OR TEXT) KAT JENSEN","Other","1","$129.43",,,,,"9/13/2016",,,"1",,"800-108-181",,"V2K 4W5",,"BC","Stop paying rent with this affordable 2 bedroom mobile that has been fully updated inside. All newer windows except for the addition, as well as newer flooring, drywall, paint, kitchen, and bathroom. Fenced yard with shed. Quick possession available.","Please note Seller is a Licensed Realtor. All measurements are approximate. Buyer to verify if deemed important. Foundation is wood blocking. Tenant Occupied - 24 hours notice, but tenant is very accommodating and can try and be out with less notice","BC Northern","For Sale",,,,,,,,,"11/29/2016","$24,000","$34.48","0.83","12/28/2016","1","2","MHP"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146677/0/120/90/5b3f98042a3070f6bb8bfba1bd68e4bf/13/e88a809fcd598d2fd9ebb17835747832/262146677.JPG","R2125050","Residential Detached","S","5 5378 PARK DRIVE","103 Mile House","$24,000","1969","MANUF","1",,,,,,"47",,"250-395-0272","2016","100 Mile House (Zone 10)",,,"0","2",,,,"103 Mile House","Residential Detached",,"PARK DRIVE ESTATES","24188",,"Detached",,"4/30/2017",,"FRANK","Concrete Perimeter","1","$150.00",,,,,"11/16/2016",,,"1",,"800-109-954",,"V0K 2E0",,"BC","Cheaper than renting!! Completely updated 2 bedroom manufactured home with addition, located in Park Drive Estates. Updates include new vinyl windows, new insulation, new drywall, brand-new bathroom, 5 new appliances, new hot water tank, new siding, new plumbing. Absolutely spanking clean and ready to move in and enjoy. Park approval required. Privacy fence. Come and look, before it's gone! L#8437",,"BC Northern","For Sale",,,,,,,,,"11/25/2016","$24,000","$30.30","0.96","12/7/2016","1","2","MHP"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113007/0/120/90/e070487e4d88ae67969a2d1fa31fa626/13/aed1d425a4c62eaf45c75163dc6e0f89/262113007.JPG","R2091380","Residential Detached","S","61 997 20 HIGHWAY","Williams Lake - Rural West","$32,000","1987","MANUF","1",,,,,,"30",,"250-392-0371",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"3354",,"Detached",,"1/12/2017",,"TANYA RANKIN","Other","1","$353.55",,,,,"7/12/2016",,,"1",,"800-106-903",,"V2G 4X7",,"BC","Number one spot in the Park! Take a step inside this meticulously well cared for 1987 Dartmouth home that sits on a private pad in Chilcotin Estates Park. Spectacular view off of the back that takes your breath away. You're sure to enjoy the patio while entertaining or enjoying the evening sun complete with fenced garden area and extra parking. This 2 bedroom, 1 bathroom home is oh so affordable and move in ready. Come check it out!","Mobile is set up on wood blocking.  *Large steel shed at back of mobile will be removed as per park owners request.","BC Northern","For Sale",,,,,,,,,"11/21/2016","$32,000","$34.63","0.86","12/7/2016","1","2","MHP"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089232/0/120/90/244346b7ace79a436059240a97335840/13/b28af1c53b97ce82ffd060ecbbe02978/262089232.JPG","R2067605","Residential Detached","S","61 770 N ELEVENTH AVENUE","Williams Lake - City","$35,000","1979","MANUF","1",,,,,,"37",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"FRAN LEE MH PARK","272474",,"Detached",,"2/28/2017",,"GEORDIE / CINDY","Other","1","$448.90",,,,,"5/6/2016",,,"1",,"800-105-175",,"V2G 2M4",,"BC","Excellent location, location, location... with this well cared for home. Large yard with gardens & 2 sheds. Covered deck to enjoy, 3 large bedrooms (that could be 4 bedrooms if needed) or 2 large bedrooms with great family/rec room - your choice! Open floor plan in kitchen/dining/living room. Covered porch & covered deck with good sized boot room - nice set up.","Foundation is wood blocks on pads. BC Electric #272474 Utilities approx. 30/mo Electric, 39/mo Gas","BC Northern","For Sale",,,,,,,,,"11/29/2016","$35,000","$32.11","0.92","12/6/2016","1","3","MHP"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262137286/0/120/90/ee5990b8ef4822cb7e97bc9b1fe2f499/16/91f23115de94a34442bde23b449338a7/262137286.JPG","R2115659","Residential Detached","S","8 62790 FLOOD HOPE ROAD","Hope Center","$37,000","1995","MANUF","1",,,,,,"21",,"778-374-3744","2016","Hope",,,"0","2",,,,"Hope","Residential Detached",,"SILVER RIDGE ESTATES","468106",,"Detached",,"12/30/2016",,"BILL","Other","2","$494.42",,,,,"10/6/2016",,,"1",,"700-001-159",,"V0X 1L1",,"BC","Super quiet Silver Ridge Estates with a 930 sq.ft. single wide with new renovation. Walls, floors and ceiling all redone. Shows spotlessly clean. Extra big sun deck with hot tub built-in. Quick possession, easy to show and priced to sell!","All meas. are approx and should be verified by buyer if deemed important.","Chilliwack","For Sale",,,,,,,,,"11/23/2016","$37,000","$39.78","0.93","12/5/2016","2","2","RMH"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144184/0/120/90/94d1de68cf83548d09c66930dff0bf82/15/44d1e10cfad931a35cacf41d8c913033/262144184.JPG","R2122557","Residential Detached","S","59 7850 KING GEORGE BOULEVARD","East Newton","$41,500","1981","MANUF","1",,,,,,"35",,"604-581-3838","2015","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Bear Creek Glen","421912",,"Detached",,"7/27/2017",,"Jeet Singh","Other","1","$82.93",,,,,"11/8/2016",,,"1",,"900-581-553",,"V3W 5B2",,"BC","Immaculate 2 bedroom + family room offers vinyl siding, double glazed window, drywall has gyroc, earthquake tiledown, spacious kitchen and living room. 2-car parking, laminate h/wood flooring. Age restriction - call for more info. A must see inside.","www.jeetsingh.ca Jeet 604-551-1743","Fraser Valley","For Sale",,,,,,,,,"11/26/2016","$41,500","$43.05","0.90","11/30/2016","1","2","MHP"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122842/0/120/90/5919692fe6bcad9608fc2d7e4ab39795/13/e4b2621eb4dc68403391569447e0e489/262122842.JPG","R2101215","Residential Detached","S","43 803 HODGSON ROAD","Esler/Dog Creek","$43,000","1979","MANUF","1",,,,,,"37",,"250-398-0101",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"PANARAMA MH PARK","BC EL 239748",,"Detached",,"12/30/2016",,"JOY","Preserved Wood","1","$490.58",,,,,"8/13/2016",,,"1",,"800-107-620",,"V2G 3R2",,"BC","Spacious open floor plan with 3 bedrooms, many updates with flooring, paint, kitchen cabinets, new furnace 2015. Nice size addition that adds a boot room and bedroom. Good sized yard with storage shed. New hot water tank and water filter in 2009. Buyers are subject to park approval. Very quiet and easy access to this well thought out mobile.",,"BC Northern","For Sale",,,,,,,,,"11/25/2016","$43,000","$36.69","0.86","12/5/2016","1","3","MH PAD"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262140825/0/120/90/fac86e287b3451048a599e99696ee69b/13/7e9fcfef3eec904d7a3049d17b400bf1/262140825.JPG","R2119198","Land Only","S","1419 WINWORD ROAD","Bouchie Lake","$45,000",,,,,,,,"Road Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","1/30/2017",,"RANDY",,,"$324.88",,,"Yes",,"10/24/2016","Available",,,,"008-457-972","House/Single Family","V2J 7G3","No","BC","Level, well treed 5 acre parcel with some decent outbuildings West of the city. There is a livable cabin, small shed/shop with 200 amp service, greenhouse and several other small outbuildings. Gated driveway. Several good building sites.","5451","BC Northern","For Sale","None",,"None",,"No",,,"None","11/19/2016","$45,000",,"1.13","12/5/2016",,,"RR2"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144552/0/120/90/f8f133810ef85a01dacfdc43ecbe30ba/13/3f148f828973dbbd7eb57f037645c683/262144552.JPG","R2122925","Residential Detached","S","79 4430 16 HIGHWAY","Smithers - Town","$53,000","1980","MANUF","1",,,,,,"36",,"250-847-9222",,"Smithers And Area (Zone 54)",,,"0","3",,,,"Smithers","Residential Detached",,"HUDSON BAY MOBILE HOME PARK","41984",,"Detached",,"4/28/2017",,"DJ MIO","None","1","$1,100.00",,,,,"11/10/2016",,,"1",,"800-109-616",,"V0J 2N0",,"BC","3 bedroom, 1 bathroom mobile home in popular Hudson Bay Mountain Trailer Park. This 14x66 home with a 240 sq/ft addition has a terrific layout. The living room and eating area share a nice natural gas fireplace and is an open concept layout. The addition provides a boot room to walk into and a spacious additional bedroom. This home is situated in a great location of the park. It has a nice sized lot with a storage shed, along with great views of Hudson Bay Mountain.","Permit for addition EL-462217 - 2016.","BC Northern","For Sale",,,,,,,,,"11/19/2016","$53,000","$45.53","0.89","12/5/2016","1","3","MHP"
