"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115672/0/120/90/e0b4db74be9da5ff6abcff19b6cb9177/13/6969102f26f7e8c0b2d5427f8391b587/262115672.JPG","R2094045","Land Only","S","LOT 55 CUMSU PLACE","108 Ranch","$12,500",,,,,,,,"Allowed Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"Available","10/20/2016",,"DIANE COBER",,,"$454.08",,,"Yes",,"7/20/2016","Available",,,,"007-960-662","House/Single Family","V0K 2Z0","Yes - Agricultural Land Reserve","BC","Large treed building lot on a quiet cul-de-sac at the 108 Mile Ranch. There is a 10x16 storage shed with a 11x19 lean-to located on the property. The lot is more than 367' deep allowing for a very private building site. The 108 is known for its recreation activities, including the 18 hole golf course, the 108 Lake, and all the greenbelt surrounding the ranch. L#8310",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","9/20/2016","$12,500",,"0.63","9/21/2016",,,"R1-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092517/0/120/90/929e65928d72a98d359576f67bb272ed/13/0d7cc4cb8943ee76bd1576e57e75796c/262092517.JPG","R2070890","Land Only","S","LOT 3 KOKANEE ROAD","Canim/Mahood Lake","$19,000",,,,,,,,"Road Access",,,"250-395-0685",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,"CANIM LAKE ESTATES",,"No",,"Available","11/15/2016",,"DIANE",,,"$320.60",,,"Yes",,"5/17/2016","Not Available",,,,"007-143-249","House/Single Family","V0K 1J0","No","BC","Canim Lake Estates building lot. Close to Canim Lake for all your recreational activities. The property is 0.826 acres and has a government -controlled water system   L#8111",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","9/23/2016","$19,000",,"0.63","9/30/2016",,,"R1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126431/0/120/90/4b9e4bcc6b1f341be1aadf0f75f0dc39/13/31b9f1d69ed9096d0bc1d07a3d1bef0f/262126431.JPG","R2104804","Land Only","S","LOT 38 SELLARS ROAD","Canim/Mahood Lake","$20,000",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Mandatory",,"100 Mile House","Land",,"HAWKINS LAKE",,"Yes",,"Available","8/17/2017",,"BARB MONICAL",,,"$146.30",,,"Yes",,"8/24/2016","Not Available",,,,"001-769-707","House/Single Family","V0K 1L0","Yes - Agricultural Land Reserve","BC","Located one lot back from Hawkins Lake. A speed restricted lake so enjoy the fishing and the peace and quiet.  You are only 10 minutes from Canim Lake which is about 20 miles long and here you can enjoy all the water sports. Just a little over a 1/2 hour drive to 100 Mile on mostly paved road. If you're not ready to build, this is a great investment for your future or your kids future. You cannot go wrong at this low price. It is subject to court approval.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/19/2016","$20,000",,"1.11","10/27/2016",,,"R1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262131144/0/120/90/4b6fac31d955884245e3a0f335098243/13/b97553b6e73b46efb4edc89e16c79a38/262131144.JPG","R2109517","Residential Detached","S","45 NADINA DRIVE","Fraser Lake","$23,000","1969","HOUSE","1",,,,,,"47",,"250-567-9222",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,,"Fraser Lake","Residential Detached",,,,,"Detached",,"12/16/2016",,"LR","Concrete Block","2","$1,919.94",,,,,"9/16/2016",,,"1",,"010-411-917",,"V0J 1S0",,"BC","Sold 2 bedroom house close to downtown of Fraser Lake. Perfect as an investment if you are willing to do some upgrades.","All measurements are approximate and to be verified if deemed important. 100 amp service","BC Northern","For Sale",,,,,,,,,"9/22/2016","$23,000","$11.92","0.66","10/25/2016","2","2","R-1"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126412/0/120/90/406d80a316a51e2f170f39631b116344/13/ead4fb5f82f7e05d53a651b346520747/262126412.JPG","R2104785","Land Only","S","LOT 25 NICKEL RIDGE AVENUE","Quesnel - Town","$33,000",,,,,,,,"Road Access",,,,,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"JOHNSON/CARSON II",,"No",,"At Lot Line","4/30/2017",,,,,"$410.16",,,"Yes",,"8/30/2016","At Lot Line",,,,"027-127-214","House/Single Family","V2J 6P6","No","BC","Lovely Lot, Lovely Street, Ready to build. Located in one of the most appealing subdivisions that Quesnel has to offer. Within walking distance to the Rec Center, rodeo grounds, college and shopping as well as easy access to hiking and biking trails. Underground services, paved roads and street lights as well as family orientated surroundings. 3 lots available side by side.","All measurements are approximate and should be verified if deemed important.","BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","9/20/2016","$33,000",,"0.83","9/21/2016",,,"RS1"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126408/0/120/90/7cab82679f1b35b7eff05489c5e21be4/13/a2c281a3101be8f8c16e97663ddfa28e/262126408.JPG","R2104781","Land Only","S","LOT 23 NICKEL RIDGE AVENUE","Quesnel - Town","$34,000",,,,,,,,"Road Access",,,,,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"JOHNSON/CARSON II",,"No",,"At Lot Line","4/30/2017",,,,,"$415.47",,,"Yes",,"8/30/2016","At Lot Line",,,,"027-127-192","House/Single Family","V2J 6P6","No","BC","Lovely Lot, Lovely Street, Ready to build. Located in one of the most appealing subdivisions that Quesnel has to offer. Within walking distance to the Rec Center, rodeo grounds, college and shopping as well as easy access to hiking and biking trails. Underground services, paved roads and street lights as well as family orientated surroundings. 3 lots available side by side.","All measurements are approximate and should be verified if deemed important.","BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","9/20/2016","$34,000",,"0.85","9/23/2016",,,"RS1"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095176/0/120/90/203f65ae285302f6aa6f322cd7607085/13/8682bf44023ec09043e51eb95b2320c7/262095176.JPG","R2073549","Land Only","S","LOT A CANIM HENDRIX ROAD","Canim/Mahood Lake","$35,000",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"At Lot Line","11/30/2016",,"MEL OR ADAM",,,"$255.11",,,"Yes",,"5/26/2016","Not Available",,,,"023-541-920","House/Single Family","V0K 1T0","Yes - Agricultural Land Reserve","BC","Amazing views down to Canim Lake! This 5 acre parcel has a partially developed road access up to an elevated site with incredible views. Great spot for a cabin, home, or simply a getaway place with Canim Lake and Eagle Lake only minutes away. Adjoining five acre lot is also available on MLS. L#8134",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/24/2016","$35,000",,"0.88","9/27/2016",,,"RR2"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132956/0/120/90/03e1eeaf59a1f782f7747f7d65683b40/15/510391c358a15c1dd23fe2f5e2d2b5c6/262132956.JPG","R2111329","Residential Detached","S","128 7790 KING GEORGE BOULEVARD","East Newton","$38,000","1975","MANUF","1",,,,,,"41",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crispen Bays","213841",,"Detached",,"6/30/2017",,"Les Wellman","Concrete Block","1","$75.00",,,,,"9/21/2016",,,"1",,"900-580-948",,"V3W 5X4",,"BC","Crispen Bays 2 bdrm located in the nicest pad in the park, back onto greenbelt. New furnace, roof redone, newer H.W.T. F/S, W/D and window coverings, clubhouse, pool. Pad rent $888, includes water sewer, taxes on the land and garbage p/u, bus stop out front of the park. Family park, 2 pets ok. Throw a stone to both schools. Very close. Walk to shopping and banking.","Current owner has lived here for 40 yrs. He is going into a seniors home.","Fraser Valley","For Sale",,,,,,,,,"9/24/2016","$38,000","$46.57","1.09","10/17/2016","1","2","MHP"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262131894/0/120/90/70fa9034f71ef98402f4f0f12b51053d/15/4e4f887a6f16cc23c853ef710dd9fdf9/262131894.JPG","R2110267","Residential Detached","S","3 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$38,500","1976","MANUF","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Plaza","151330",,"Detached",,"4/30/2017",,"Les Wellman","Concrete Block","1","$135.00",,,,,"9/20/2016",,,"1",,"900-580-862",,"V3W 5C2",,"BC","Plaza 2bdrm in quiet location overlooking green space. Pet friendly, adult park, newer furnace. Quick poss pad rent $600. F/S, W/D, A/C unit and window covering. Bus stop out front of park. 8 min to skytrain. Close to shopping.",,"Fraser Valley","For Sale",,,,,,,,,"9/23/2016","$38,500","$47.18","0.96","10/7/2016","1","2","MHP"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124751/0/120/90/5e1a8a6afc21d03d8542de937a4b8416/13/c482b89f35ecd56de7b375c7ed486555/262124751.JPG","R2103124","Residential Attached","S","301 398 RODDIS DRIVE","Quesnel - Town","$40,000","9999","APTU","1",,,,,,"999",,"250-255-4332",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Attached",,"WEST QUESNEL",,,"Attached",,"12/31/2016",,"PAM","Concrete Perimeter","1","$453.97",,,,,"8/20/2016",,,"1",,"004-603-818",,"V2J 1A6",,"BC","Why rent? Seriously, why rent when you can own a 2 bedroom apartment in a well managed and well cared for building? This is a great opportunity for either low cost living or as an investment property. Low strata fees at $218 per month and that takes care of all of those things that you don't want to have to worry about like snow removal and garbage. The building has a laundry and an elevator and is located right across the street from Cariboo fields, shopping and recreation. Priced to sell, this unit will go fast!","Unit is currently vacant.","BC Northern","For Sale",,"3",,"$218.00",,,,,"9/20/2016","$40,000","$48.84","1.00","10/7/2016","1","2","RM2"
