"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135025/0/120/90/7f73cf884d1bdda357f74f0c5f45bb55/13/a81368576fb8f9ef6b9fa778c2c71c13/262135025.JPG","R2113398","Residential Detached","S","T-9 560 SODA CREEK ROAD","Williams Lake - Rural North","$12,500","1969","MANUF","1",,,,,,"47",,"250-303-1169",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"COMER HILL TRAILER PARK","E#5285020",,"Detached",,"3/31/2017",,"JASON","Other","1","$140.54",,,,,"9/30/2016",,,"1",,"800-108-566",,"V2G 5E7",,"BC","Affordable starter home. 2 bedroom, 1 bath, close to town. Quiet park. Home is on lower level of park. Mud/laundry room addition off the nice sized deck. Open floor plan, new laminate flooring in home. Fenced side yard, great for kids and pets.","Foundation is wood.","BC Northern","For Sale",,,,,,,,,"10/4/2016","$12,500","$18.60","0.83","10/14/2016","1","2","MHP"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122091/0/120/90/fdf2a7056bbde98b9040b1c6c9323f48/13/7c54a60fd420fc0021c2e88d59d6217d/262122091.JPG","R2100464","Residential Detached","S","63 12842 OLD HOPE ROAD","Lakeshore","$15,000","9999","MANUF","1",,,,,,"999",,,,"Fort St. John (Zone 60)",,,"0","2",,,,"Charlie Lake","Residential Detached",,,"25137",,"Detached",,"2/9/2017",,"LR","Other","1","$237.68",,,,,"8/9/2016",,,"1",,"800-107-566",,"V0C 1H0",,"BC","Steal of a deal on this Mobile in Shady Acres on a large fenced yard. With a little work this place will be ready to call home!","Foundation: wooden blocks.","BC Northern","For Sale",,,,,,,,,"9/28/2016","$15,000","$12.18","1.00","10/11/2016","1","2","MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133931/0/120/90/82b30603df6c158ae697d45a497e71a1/15/3cb60930cbc5ae3d62ed8f5521a8f43b/262133931.JPG","R2112304","Residential Detached","S","2 12662 112A AVENUE","Bridgeview","$25,000","1975","MANUF","1",,,,,,"41",,"604-581-3838",,"North Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"PHILLIP'S PARK","5591",,"Detached",,"6/30/2017",,"Les Wellman","Concrete Block","1","$89.00",,,,,"9/26/2016",,,"1",,"900-581-006",,"V3W 5S3",,"BC","Phillip's Mobile Home Park. Double wide 2 bedroom. Pad Rent $525. Adult Park 19+ F/S, W/D, window coverings all included. Walk to Scott Road, Skytrain station. Nobody moves from this park. Such great pad rent. On bus route. No Pics till Oct 1, 2016.","Vacant, Immediate Possession $22,900.","Fraser Valley","For Sale",,,,,,,,,"9/29/2016","$25,000","$29.76","1.09","10/7/2016","1","2","MHP"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262123944/0/120/90/1ad3b84c9aa0a1f081d02ed46e9437e4/13/47efed6b1bacbc842825142d970fa6b5/262123944.JPG","R2102317","Residential Detached","S","28 101 ELM STREET","Valemount - Town","$29,000","1978","MANUF","1",,,,,,"39",,"250-566-1025",,"Robson Valley (Zone 81)",,,"0","3",,,,"Valemount","Residential Detached",,,"25495",,"Detached",,"2/17/2017",,"TAMMY VANDENOBELEN","Concrete Block","1","$196.63",,,,,"8/17/2016",,,"1",,"800-107-703",,"V0E 2Z0",,"BC","Penny Pincher! Cozy 3 bedroom mobile home located in a quiet mobile home park. With a little updating it would make a great rental unit or an affordable housing option. Comes with a fridge, stove, washer and dryer. Cozy wood stove keeps your heating costs minimal. Good sized fenced yard has two storage sheds. Pad rent is only $210 per month and includes the yearly utility bill. This home is priced for a quick sale",,"BC Northern","For Sale",,,,,,,,,"9/29/2016","$29,000","$26.80","1.00","10/19/2016","1","3","MHP"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262066065/0/120/90/1f62bea62974548b0744744593b27b83/13/ffef39804e65c681538ca6137c77f5de/262066065.JPG","R2044438","Residential Detached","S","21 4195 WILDWOOD ROAD","Williams Lake - Rural North","$37,000","1996","MANUF","1",,,,,,"20",,"250-267-1088",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"430360",,"Detached",,"12/31/2016",,"SUSAN COLGATE","None","2","$281.86",,,,,"3/9/2016",,,"1",,"800-103-551",,"V2G 4M8",,"BC","Amazing 2 bedroom mobile close to town! This fully finished mobile has vaulted ceilings, skylights, large windows and a great open floor plan concept. Large kitchen/dining area with an abundance of space in the living room. Large master bedrooms with ensuite. Detached shed.",,"BC Northern","For Sale",,,,,,,,,"9/29/2016","$37,000","$40.04","0.86","10/3/2016","2","2","MHR"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261753447/0/120/90/d7f75bfe8e301f1bdb698fcb1baca685/13/f43b7fcd80fae82b0a73fdd9128f2c20/261753447.JPG","N245217","Land Only","S","LOT B FAWN CREEK ROAD","Horse Lake","$40,000",,,,,,,,"Road Access",,,"250-395-0229",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"At Lot Line","4/30/2017",,"WAYNE",,,"$688.00",,,"Yes",,"5/12/2015","Not Available",,,,"023-179-589","Other","V0K 2E3","No","BC","Almost 10-acre parcel. Large hay meadow and nice building site. Close to many good fishing lakes. Drive by and take a look!! L#7506",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/26/2016","$40,000",,"0.82","9/28/2016",,,"C-2"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262060155/0/120/90/c9ba2e3442cbc7e77bfd3c6a3f306aac/13/cb23759c0cb4f3fdc24fbf8762022a92/262060155.JPG","R2038528","Land Only","S","7577 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes","$40,000",,,,,,,,"Road Access",,,"250-609-0631",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"At Lot Line","11/30/2016",,"KLAUS",,,"$278.57",,,"Yes",,"2/24/2016","Not Available",,,,"007-541-708","Other","V0K 1X3","No","BC","Nicely treed property close to Deka Lake and lake access. The level property has a cleared area ready to build your recreational cabin, retirement home or park your RV. Driveway, well and septic already in place with power and hone at lot line. Nice location amidst great fishing and hunting country. L7196","Selling salesperson must physically attend showing otherwise selling commission is $100.","BC Northern","For Sale","Septic",,"None",,"No",,,"Well - Drilled","10/1/2016","$40,000",,"0.82","10/19/2016",,,"R1"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261682632/0/120/90/d2391d040d9dfc93f6b0a06654b2706c/13/06d4b68c487eca8ed25d69a790a30258/261682632.JPG","N244331","Land Only","S","805 HOY SUB ROAD","Fort St. James - Rural","$40,000",,,,,,,,"Road Access",,,"250-996-1272",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,"Fort St. James","Land",,,,"No",,"At Lot Line","11/15/2016",,"MORGAN DAVIS",,,"$328.00",,,"No",,"4/21/2015","At Lot Line",,,,"005-897-289","House/Single Family","V0J 1P0","No","BC","5 acre lot in desirable location. This building lot is only minutes from the Village of Fort St. James and Stuart Lake. It is surrounded by nice homes in a rural setting. The property is partially cleared, has a gravel driveway, and already has a workshop on property. An area for future lagoon has also been cleared. Sellers have had lagoon area engineered, plans may be transferrable with sale.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/1/2016","$40,000",,"0.80","10/20/2016",,,"R1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112142/0/120/90/3fed371fc647389fe21510d15a32ac3d/13/77bd10715440bdd5c50f53d083d9d167/262112142.JPG","R2090515","Land Only","S","JOES LAKE ROAD","Williams Lake - Rural West","$40,000",,,,,,,,"Allowed Access",,,"250-305-4120",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,"ALKALI LAKE",,"No",,"None Available","7/31/2017",,"KAREN GERTZEN",,,"$263.17",,,"Yes",,"7/11/2016","Not Available",,,,"012-611-280",,"V0L 1B0","Yes - Agricultural Land Reserve","BC","160 acres of nice meadow land situated 2 km off grid. Features a small lake and creek through property. Good for livestock or private get away. Priced to sell!!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/4/2016","$40,000",,"0.57","10/5/2016",,,"RA"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098656/0/120/90/e0edd21830992a119c761dc098a226cc/13/c376605fe453bb733dc782669b9ec880/262098656.JPG","R2077029","Residential Detached","S","41 4625 GRAHAM AVENUE","Terrace - City","$41,000","1974","MANUF","1",,,,,,"42",,"250-615-1350",,"Terrace (Zone 88)",,,"0","3",,,,"Terrace","Residential Detached",,"TERRACE TRAILER COURT","208528",,"Detached",,"12/31/2016",,"DARREN","Other","1","$258.57",,,,,"6/3/2016",,,"1",,"800-105-969",,"V8G 1A6",,"BC","Super affordable and very private! This 3 bedroom, 1 bath, mobile home features a large full length addition with screened in porch and den which could make a great office or 4th bedroom if needed. This home is located at the very back of the park next which gives it the largest yard. The yard is very private with no neighbors around. The park features an RV parking area for storage of trailers and affordable pad rent of $272 per month.","Foundation is wood blocks.","BC Northern","For Sale",,,,,,,,,"10/4/2016","$41,000","$45.56","0.91","11/8/2016","1","3","R5"
