"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146585/0/120/90/50fcdd718eeb544cc0627b5ac02790d9/16/4ee4e8ea8533601074ce91f160ca9ae1/262146585.JPG","R2124958","Residential Detached","S","12 SHARK LANE","Pender Harbour Egmont","$17,900","1988","RECRE","0",,,,,,"28",,"604-740-2164","2015","Sunshine Coast",,,"0","0",,,,"Pender Harbour","Residential Detached",,"COHO MARINA RESORT","4092824",,"Detached",,"6/30/2017",,"Julie Hegyi","Concrete Block","1","$0.00",,,,,"11/23/2016",,,"1",,"800-109-939",,"V0N 2H1",,"BC","LOVE CAMPING? NEED MOORAGE?  This is the place for you!  Vacation property easily & comfortably used year round. Beautiful Resort Property with Clubhouse & 2 massive community decks with BBQ, Pool Table, Foos Ball & big screen TV + lg kitchen is perfect for entertaining guests. No charge.  Lots of sunshine here & gateway to Desolation Sound, Pender Harbour & many Gulf Islands.  This is a boaters paradise!  Everything you need is here, Trailer is in exceptional condition!  Brand new covered deck with front porch built in 2015, expands living space expotentially.  Fantastic Fishing, Kayaking, Paddle Boarding  This is a recreational park, Moorage available either by 1 year lease or daily.  Yearly Lease is $1 per ft pr mo. Daily moorage less than a year is charged out at $4.50pr ft pr month.  ","IF BUYERS AGENT NOT PHYSICALLY PRESENT AT FIRST SHOWING OF PROPERTY, BUYERS AGENT COMMISSION IS $100.00 Pad Lease$260. This is a recreational park, Moorage available either by 1 year lease or daily.  Yearly Lease is $1prft pr mo  Daily moorage less than a year is charged out at 4.50 ft pr month.  ","Greater Vancouver","For Sale",,,,,,,,,"12/8/2016","$17,900","$89.50","1.00","12/12/2016","1","0","C2"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145761/0/120/90/125506f9eb26b5aec5244a1d591fa11b/13/a1e652a5967a78a18028592921f7581c/262145761.JPG","R2124134","Land Only","S","8615 SHELLEY ROAD","Shelley","$18,500",,,,,,,,"Road Access",,,"250-565-7505",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Shelley","Land",,"SHELLEY ROAD",,"No",,"Nearby","6/30/2017",,"ANGELA",,,"$136.49",,,"Yes",,"11/16/2016","Nearby",,,,"023-296-402","House/Single Family","V2K 5G2","No","BC","An opportunity to own acreage just 19 km out of Prince George. The road is paved all the way and is well maintained. Just minutes past the golf course enroute to Shelley. Fully treed. Road to homesite will have to be constructed.","Timber agreement and undersurface rights registered on title and attached. Sign on the right border of the property. The farthest border is around the corner at a highway sign. Buyer to satisfy themselves as to the property lines.","BC Northern","For Sale","None",,"None",,"No",,,"None","12/8/2016","$18,500",,"0.93","12/14/2016",,,"RU3"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103665/0/120/90/01decc17e1d0d795859995a84a7e0f63/13/d52626920c4687709fcad7d434728941/262103665.JPG","R2082038","Residential Detached","S","74 4625 GRAHAM AVENUE","Terrace - City","$23,000","1973","MANUF","1",,,,,,"44",,"250-975-0654",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"TERRACE TRAILER COURT","CSA273276",,"Detached",,"2/10/2017",,"MARC","Other","1","$235.86",,,,,"5/19/2016",,,"1",,"800-105-548",,"V8G 1A7",,"BC","Great entry property into the real estate market. 2 bedroom mobile on a sun pad. Low pad rental and great option for Terrace.","MHP 13615 Serial 68A0477. Foundation: wood on concrete block.","BC Northern","For Sale",,,,,,,,,"12/1/2016","$23,000","$28.75","0.89","1/12/2017","1","2","MHP"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130051/0/120/90/f3c94599a4b99b36facaf530a30aef0b/13/6f22b2f6435da1e03fbdb83436bca8a7/262130051.JPG","R2108424","Residential Detached","S","127 5130 NORTH NECHAKO ROAD","Nechako Bench","$24,000","1971","MANUF","1",,,,,,"45",,"250-981-8107",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"CALEDONIA MOBILE HOME PARK","28716",,"Detached",,"3/13/2017",,"(CALL OR TEXT) KAT JENSEN","Other","1","$129.43",,,,,"9/13/2016",,,"1",,"800-108-181",,"V2K 4W5",,"BC","Stop paying rent with this affordable 2 bedroom mobile that has been fully updated inside. All newer windows except for the addition, as well as newer flooring, drywall, paint, kitchen, and bathroom. Fenced yard with shed. Quick possession available.","Please note Seller is a Licensed Realtor. All measurements are approximate. Buyer to verify if deemed important. Foundation is wood blocking. Tenant Occupied - 24 hours notice, but tenant is very accommodating and can try and be out with less notice","BC Northern","For Sale",,,,,,,,,"11/29/2016","$24,000","$34.48","0.83","12/28/2016","1","2","MHP"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145219/0/120/90/855ed8e5d157853b45ff7d83b5e36301/15/9f4a18aae6373083ba6b11c54ffe532d/262145219.JPG","R2123592","Residential Detached","S","3 3031 200 STREET","Brookswood Langley","$34,250","1971","MANUF","1",,,,,,"45",,"604-530-0231",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Cedar Creek Estates","6070",,"Detached",,"5/1/2017",,"Tania","Concrete Perimeter","1","$98.18",,,,,"11/10/2016",,,"1",,"900-581-524",,"V2Z 1N5",,"BC","Cedar Creek Estates! Affordable living in a wonderful community in Brookswood Clean and cheerful 2 bedroom home with larger lot, greenhouse and work shed with power. Great neighbours! 55+ living, vacant, easy to show and quick possession possible. Pad rental is $570.00 per month.","CSA #6070, 55+, requires park approval. Measurements to be verified if important.","Fraser Valley","For Sale",,,,,,,,,"12/4/2016","$34,250","$41.97","0.86","12/28/2016","1","2","MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261908686/0/120/90/6f48baa56677c4724ef0cf7bf47b6d3b/13/17282b2f63d9b248d1d1e932a8e0d45d/261908686.JPG","N247157","Land Only","S","LOT E PARK PLACE","Lac la Hache","$35,000",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,,,"No",,"At Lot Line","5/31/2017",,"MEL OR ADAM",,,"$273.00",,,"Yes",,"7/20/2015","Not Available",,,,"028-739-558","House/Single Family","V0K 1T0","No","BC","Great price for a 2 acre property! Nicely treed and ready to build on, this property is located near to Lac La Hache for those that like the lake. Roughly half an hour from Williams Lake or 100 Mile, this is a great opportunity to get an affordable acreage! L#7669",,"BC Northern","For Sale","None",,"None",,"No",,,"None","12/3/2016","$35,000",,"1.00","12/16/2016",,,"RR3"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089232/0/120/90/244346b7ace79a436059240a97335840/13/b28af1c53b97ce82ffd060ecbbe02978/262089232.JPG","R2067605","Residential Detached","S","61 770 N ELEVENTH AVENUE","Williams Lake - City","$35,000","1979","MANUF","1",,,,,,"37",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"FRAN LEE MH PARK","272474",,"Detached",,"2/28/2017",,"GEORDIE / CINDY","Other","1","$448.90",,,,,"5/6/2016",,,"1",,"800-105-175",,"V2G 2M4",,"BC","Excellent location, location, location... with this well cared for home. Large yard with gardens & 2 sheds. Covered deck to enjoy, 3 large bedrooms (that could be 4 bedrooms if needed) or 2 large bedrooms with great family/rec room - your choice! Open floor plan in kitchen/dining/living room. Covered porch & covered deck with good sized boot room - nice set up.","Foundation is wood blocks on pads. BC Electric #272474 Utilities approx. 30/mo Electric, 39/mo Gas","BC Northern","For Sale",,,,,,,,,"11/29/2016","$35,000","$32.11","0.92","12/6/2016","1","3","MHP"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147751/0/120/90/40a84e64fb4933b0d1a40d6979a49f16/14/0c83fb9201dabd74112f5fe778da0e41/262147751.JPG","R2126124","Residential Detached","S","25 45111 WOLFE ROAD","Chilliwack W Young-Well","$38,000","1972","MANUF","1",,,,,,"44",,"604-795-0856","2008","Chilliwack",,,"0","1",,,,"Chilliwack","Residential Detached",,"FRASER VILLAGE","7835",,"Detached",,"5/31/2017",,"Joanne","Concrete Slab","1","$89.29",,,,,"11/30/2016",,,"1",,"700-004-465",,"V2P 1V6",,"BC","Affordable Home in this 55+ Retirement Park. Close to shopping, medical, Hockey rink & Leisure Centre. This home has had extensive updates; drywall interior, laminate floors, new kitchen cabinets & counter tops, updated appliances, paint & crown mouldings. Updated roof, windows, furnace & hot water tank. Central air for your summer comfort. Covered deck & carport, small workshop & storage shed. Backs green space. Come have a look!","All offers must be subject to Park Manager Approval","Chilliwack","For Sale",,,,,,,,,"12/5/2016","$38,000","$46.57","0.95","12/13/2016","1","1","MHP"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262107705/0/120/90/ebf0c7c1a45abfbff5737e6a9cf79f43/16/fac5a0c954bee247ede4d8a13ade80e8/262107705.JPG","R2086078","Land Only","S","LOT 56 TIMBERLINE ROAD","Pender Harbour Egmont","$40,000",,,,,,,,"Road Access",,,"604-885-5414",,"Sunshine Coast",,,,,"No","Not Available",,"Egmont","Land",,"Cove Cay Estates",,"No",,"At Lot Line","12/28/2016",,"DAVE",,,"$514.03",,,"Yes",,"6/28/2016","Not Available",,,,"007-495-200",,"V0N 1N0",,"BC","Peaceful Getaway Leave city stresses behind & enjoy nature on this well priced, .53 acre recreational property in Earl's Cove on the Sunshine Coast.  Well suited for a manufactured home or mobile recreational lodging.  Hydro and phone hook up available near lot line.  Enjoy the nearby amenities of Egmont including a General Store, Liquor store and a good choice of restaurants for dining.  Ruby Lake located 5 minutes south on the highway for a summer swim or to launch the kayak.","All measurements approximate with buyer to verify if deemed important. *No Touchbase Please* www.sunshinecoasthomes.com","Greater Vancouver","For Sale","None",,"None",,"No",,,"Community","12/6/2016","$40,000","$1.73","0.80","12/7/2016",,,"R1"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146047/0/120/90/77384a269f37eb9ae0c4625f4790b277/16/8d4fb9e5d91e8ab46e5ba306da6d2437/262146047.JPG","R2124420","Residential Detached","S","20 23213 CALVIN CRESCENT","Northeast","$42,000","1972","MANUF","1",,,,,,"44",,"604-309-6799","2014","Maple Ridge",,,"0","3",,,,"Maple Ridge","Residential Detached",,,"12-312-7384",,"Detached",,"6/30/2017",,"JOHN","Other","1","$432.00",,,,,"11/18/2016",,,"1",,"800-109-847",,"V2X 4S3",,"BC","You will not find a better home in a better park! 3 bedrooms and almost all new windows! Lots of parking and fenced yard that is gated for you to park a vehicle or?? Call quick! This will not last!",,"Greater Vancouver","For Sale",,,,,,,,,"11/30/2016","$42,000","$55.63","0.84","12/15/2016","1","3","OS3"
