"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142720/0/120/90/f5180febb1594ae029672fd36f9e3a1f/15/13ce80273aa2f90db6ddfe3019de57df/262142720.JPG","R2121093","Residential Detached","S","60 15820 FRASER HIGHWAY","Fleetwood Tynehead","$9,000","1975","MANUF","1",,,,,,"41",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Greentree Estates","110163",,"Detached",,"6/30/2017",,"Les","Concrete Block","1","$132.00",,,,,"11/1/2016",,,"1",,"900-581-423",,"V4N 0N4",,"BC","Singe wide pad rent $465. Handi-man special needs work. Fridge is only appliance worth keeping.","Fixer upper.","Fraser Valley","For Sale",,,,,,,,,"11/2/2016","$9,000","$13.27","0.70","11/29/2016","1","2","MHP"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262093740/0/120/90/ea554b10c2ecfe3c8971e1998da0a838/13/d9d4d91b9669f87c7feabc662db74926/262093740.JPG","R2072113","Land Only","S","2876 HOOVER BAY ROAD","Canim/Mahood Lake","$12,500",,,,,,,,"Road Access",,,"855-742-4539",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"Nearby","11/30/2016",,"CHUCK GOETKEN",,,"$338.70",,,"No",,"5/20/2016","Not Available",,,,"007-710-518",,"V0L 1J0","No","BC","For more property info & photos click Go to Listing link. On mobile devices click REALTOR(R) Website link. 0.77 acres on the north end of Canim Lake, in the Cariboo. Great fishing and hunting. The lot is across the road from the lakefront lots and there is an undeveloped access road that leads down to the lake across from this lot. Small creek for water on the west side.","This is a Mere Posting. Contact seller directly for all appts or to present any offer. Sellers reserve the right to sell themselves. A copy of all offers, amendments, and subject removals Must be sent to Listing Brokerage.","BC Northern","For Sale","None",,"None",,"No",,,"Other","11/3/2016","$12,500",,"0.97","11/14/2016",,,"RR1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260352709/0/120/90/f29e384be8a7b27b7377af7909e9c801/13/f93ff9b4e61d275648cdafae1acf110d/260352709.JPG","N228686","Land Only","S","LOT 7 CANDLE DRIVE","Canim/Mahood Lake","$14,000",,,,,,,,"Road Access",,,"250-609-0631",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"At Lot Line","6/30/2017",,"KLAUS",,,"$128.00",,,"Yes",,"6/20/2013","Not Available",,,,"007-839-651","Other","V0K 1J0","No","BC","Nice lot ideal as a get-away or year round home. 0.49 acres within walking distance to Hawkins Lake. Close to Canim Lake and Ruth Lake. Area serviced by hydro, phone and school bus. L#7354","Selling salesperson must physically attend showing otherwise selling commission is $100.","BC Northern","For Sale","None",,"None",,"No",,,"None","11/3/2016","$14,000",,"0.74","11/14/2016",,,"R1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262053643/0/120/90/ef3ba4d4b807d8ec76b406b81d04e25f/13/21553156322e6314118e8f69649167cb/262053643.JPG","R2032016","Land Only","S","1015 W 3RD AVENUE","Prince Rupert - City","$15,000",,,,,,,,"Mixed",,,"250-600-2334",,"Prince Rupert (Zone 52)",,,,,"No","Available",,"Prince Rupert","Land",,,,"No",,"Available","12/31/2016",,"NADIA MOVOLD",,,"$1,348.03",,,"Yes",,"2/3/2016","Available",,,,"013-465-830","Mixed","V8J 1M9","No","BC","Centrally located in the heart of Prince Rupert and zoned for residential and commercial purposes, the possibilities are endless for development. From storage units to offices to retail and fine dining this may be the lot for you. Also noteworthy there are 2 lots next to this one available for sale, all zoned for commercial development.","Noteworthy the two lots next door are also available for sale.","BC Northern","For Sale","Available",,"Available",,"No",,,"City/Municipal","11/4/2016","$15,000","$6.00","0.33","11/9/2016",,,"C3"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261883916/0/120/90/b548037b781756019b019fee23812ae9/13/80b9837281583e99ffc3e662c28a2982/261883916.JPG","N246820","Land Only","S","LOT 29 YORK DRIVE","Vanderhoof - Rural","$17,500",,,,,,,,"Road Access",,,"250-567-0153",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Vanderhoof","Land",,,,"No",,"Nearby","7/8/2017",,"JODY PEDERSEN",,,"$175.00",,,"Yes",,"7/8/2015","Not Available",,,,"006-130-721","House/Single Family","V0J 3A1","No","BC","5 acre treed lot priced below assessed value located on York Drive near picturesque Nulki Lake, approximately a 30 minute drive South of Vanderhoof. Great fishing, bird watching and recreational activities abound on Nulki Lake. approximatel y a 30 minute drive south of Vanderhoof. A nice level lot that offers peace and privacy to build your home or use as a summer retreat.","Lot size taken from Tax Assessment.","BC Northern","For Sale","None",,"None",,"No",,,"None","11/7/2016","$17,500",,"0.83","11/8/2016",,,"H1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143807/0/120/90/5fb2612b4d8bc66d1f3dc6800ad61cc7/15/a35c4a337d8c04c26e9c57141d2d4ff0/262143807.JPG","R2122180","Residential Detached","S","3 20071 24 AVENUE","Brookswood Langley","$19,000","1968","MANUF","1",,,,,,"48",,"604-581-3838",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"FERNRIDGE","34711036",,"Detached",,"4/30/2017",,"Les Wellman","Concrete Block","1","$544.00",,,,,"11/6/2016",,,"1",,"900-581-282",,"V2Z 2A1",,"BC","Fernridge Park, nice setting, tall trees, country setting. Mobile has new furnace, h.w.t and roof recoated 2014. Fridge, stove, washer & dryer included. Pad rent $499.","Vacant.","Fraser Valley","For Sale",,,,,,,,,"11/9/2016","$19,000","$32.99","0.95","11/22/2016","1","2","MHP"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262136133/0/120/90/ee66609be1510bfd95175cea21165587/14/b838301ed0e6774ab0114e1cfc3c1463/262136133.JPG","R2114506","Residential Detached","S","26 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$30,000","1981","HOUSE","1",,,,,,"35",,"604-869-2945",,"Hope",,,"0","2",,,,"Hope","Residential Detached",,,"224021",,"Detached",,"1/30/2017",,"ROB PELLEGRINO","Other","1","$369.10",,,,,"9/30/2016",,,"1",,"700-005-351",,"V0X 1L1",,"BC","14' x 53' Moduline Home with the winter package for extra insulation and is located on a corner lot walking distance to Kawkawa Lake, nature trails and shopping. 2009/10 updates include a new roof, new windows throughout, new appliances, plumbing fixtures, hot water tank and air conditioning. The yard is fully fenced, with a spacious covered sun deck, and wired workshop for storage or small projects. Pad rent is just $428.0 per month.",,"Chilliwack","For Sale",,,,,,,,,"11/7/2016","$30,000","$41.21","0.80","12/2/2016","1","2","MHP"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130468/0/120/90/ad6af50e6286e439d84d12206402b220/13/ac4265f5f7210a8e61c15fa584a1b4b7/262130468.JPG","R2108841","Residential Detached","S","60 3889 MULLER AVENUE","Thornhill","$30,000","1975","MANUF","1",,,,,,"41",,"250-615-1350",,"Terrace (Zone 88)",,,"0","1",,,,"Terrace","Residential Detached",,"PINE PARK","E#308319",,"Detached",,"12/31/2016",,"DARREN BEAULIEU","Other","1","$432.04",,,,,"9/14/2016",,,"1",,"800-108-213",,"V8G 4L2",,"BC","Super spacious 3 bedroom mobile home located in Pine Park! The home features a large addition with mudroom, dining room, laundry, and 3rd bedroom. The addition also makes for a huge master suite. The main livingroom features laminate flooring. The open concept kitchen is great for entertaining or keeping an eye on the kids. Outside you'll find a fenced yard with storage shed and a large sundeck. A great package for the price!","Foundation is wood blocking.","BC Northern","For Sale",,,,,,,,,"11/1/2016","$30,000","$23.08","0.67","12/2/2016","1","1","MHP"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138731/0/120/90/3e1d7d18b871e0db4f9d38b730f446a9/13/6497eea5338f8b359d650d549dfbd2b3/262138731.JPG","R2117104","Residential Detached","S","62 95 LAIDLAW ROAD","Smithers - Rural","$34,500","1973","MANUF","1",,,,,,"43",,"250-877-2471","2012","Smithers And Area (Zone 54)",,,"0","2",,,,"Smithers","Residential Detached",,,"5319608",,"Detached",,"10/14/2017",,"JESSE BUTLER","Other","1","$265.80",,,,,"10/14/2016",,,"1",,"800-108-939",,"V0J 2N0",,"BC","2 bedroom (possible 3 bedroom) manufactured home with lots of upgrades. Upgrades include newer vinyl windows, laminate flooring, interior paint and stainless steel kitchen appliances. Enjoy the open concept of the main living space. This is your chance to get into something affordable before winter. The furnace has just been serviced and the home is in excellent condition for the price. Must see!","Foundation is wooden blocking. Pad rent is $295/Month. Average Hydro bill is $60 a month and average PNG is $150.","BC Northern","For Sale",,,,,,,,,"11/5/2016","$34,500","$41.47","0.81","12/6/2016","1","2","MHP"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127292/0/120/90/f9a3c17bc77dcf51397815bea2c21df2/16/efb05df3a2fb9b2d8cbb4132b8864b1f/262127292.JPG","R2105665","Land Only","S","LOT 61 TIMBERLINE ROAD","Pender Harbour Egmont","$35,000",,,,,,,,"Road Access",,,"604-740-1239",,"Sunshine Coast",,,,,"No","Not Available",,"Egmont","Land",,"TIMBERLINE ROAD, EGMONT",,"No",,"At Lot Line","3/6/2017",,"Barbie",,,"$492.14",,,"Yes",,"9/6/2016","Not Available",,,,"007-495-293","House/Single Family","V0N 1N0","No","BC","Private lot in a lovely rural area of Earls Cove. The ferry to Powell River is a few minutes away, less than 10 minutes to Earls Cove shops and restaurants, and less than 1 hour to Sechelt. Please call for an information package.","All measurements are approximate and if important to the Buyer should be verified by the Buyer.","Greater Vancouver","For Sale","Septic",,"None",,"No",,,"City/Municipal","10/31/2016","$35,000","$1.87","1.00","11/2/2016",,,"RES"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124967/0/120/90/5245be3ce453c7acc7634467edf493e9/13/fcac9c4dac6e4d7d48674c2e5058ac08/262124967.JPG","R2103340","Residential Detached","S","7752 BREWER AVENUE","Burns Lake - Rural West","$35,050","1950","HACR","1",,,,,,"66",,"250-692-7288",,"Burns Lake (Zone 55)",,,"0","0",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"11/19/2016",,"RE/MAX WRIGHTWAY","None","1","$436.66",,,,,"8/19/2016",,,"1",,"010-426-990",,"V0J 1E1",,"BC","Decker Lake 2.57 acre property with older 1152 sq ft older home of little value. Property is fully serviced and fenced with established trees, shrubs and potential garden site. Favourable location for Decker Lake Elementary School catchment. Quiet neighbourhood approximately 7 minutes from Burns Lake. A great building site and investment opportunity.","Court ordered sale. House of no value.","BC Northern","For Sale",,,,,,,,,"10/31/2016","$35,050","$30.43","0.83","11/8/2016","1","0","H-1"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135795/0/120/90/32c95a12eff39da061c313086f45c7f2/14/08183fcfd7490a679f8a923f35eba7df/262135795.JPG","R2114168","Residential Detached","S","9E 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$36,000","1975","MANUF","1",,,,,,"41",,"604-860-9042",,"Hope",,,"0","2",,,,"Hope","Residential Detached",,"CRYSTAL RIVER COURT","256607",,"Detached",,"10/3/2017",,"LINDA MOSSER","Other","1","$147.00",,,,,"10/3/2016",,,"1",,"700-009-292",,"V0X 1L1",,"BC","Several updates & renovations compliments this 2 bdrm, 1 bath home. Upgrades include furnace, hot water tank, flooring, appliances, newer bathtub & surround, kitchen & bathroom counter tops, plumbing, R20 insulation in floors & more. Excellent opportunity to own your own home in this centrally located desirable mobile home park. Close to shopping, golf, fishing, ski & recreation. Affordable living. No age restrictions, Pet restriction and no rentals allowed. Quick possession possible. Call today for your personal viewing.","Mobile park may require some improvements to mobile home & lot as of Tenancy Addendum #1 for Unit 9E.","Chilliwack","For Sale",,,,,,,,,"11/2/2016","$36,000","$42.86","0.99","11/16/2016","1","2","MHP"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109335/0/120/90/10e5d63f1bea5aeb4cd7409274b61025/13/76f102c1f4baf9dfd2f1461de9f4dd9d/262109335.JPG","R2087708","Residential Detached","S","1360 N KITWANGA ROAD","Kitwanga","$38,500","9999","HACR","1",,,,,,"999",,"250-842-8176","9999","Smithers And Area (Zone 54)",,,"0","3",,,,"Kitwanga","Residential Detached",,,,,"Detached",,"6/28/2017",,"KELLY MATTSON","Concrete Perimeter","1","$438.95",,,,,"6/29/2016",,,"2",,"008-989-184",,"V0J 2A0",,"BC","Fix me up! Check out this old timer 2240 sq ft home (unfinished basement) on a spacious 1.13 acre parcel in scenic Kitwanga right across from Gitwangak Battle Hill National Historic site. Has 9 good sized rooms, 3 bdrms, open concept kitchen, living room and dining room with 4-pc bath on main floor. Wood frame construction (8 walls), metal roof, pellet stove (uncertified), 100 amp, cement foundation, two level entries, septic system, and gravity fed water system. Large grassed yard provides mountains views in almost every direction. Seller selling as is - where is.  Buyer to make own enquiries as to condition of foundation as water seeping in on north side after it rains.","Property being sold as is - where is. Water is provided from two shallow wells - one external well that gravity feeds into shallow well in basement of house, also has two water storage tanks that feed into internal shallow well if need more water. Hydro right of way on title.","BC Northern","For Sale",,,,,,,,,"11/5/2016","$38,500","$17.19","0.86","11/9/2016","1","3","R-1"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130762/0/120/90/00183788abadcd04aec1538257c06a9d/13/749d669e7bc9ea6515b19e015242222a/262130762.JPG","R2109135","Land Only","S","4275 N CLEAR ROAD","Williams Lake - Rural North","$38,500",,,,,,,,"Road Access",,,"250-305-4120",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"Available","9/30/2017",,"KAREN GERTZEN",,,"$907.90",,,"Yes",,"9/13/2016","Available",,,,"026-604-914",,"V2G 5A1","No","BC","Great opportunity to purchase a fully serviced 0.72 acre lot close to town. Previous mobile has been removed and is ready for a new residence. Community sewer, drilled well, n/g, electricity. Accessible from Hwy 97 N. Central location. Priced to sell!","There was a home on the property that burned down this year. All services are still available. Mobile has been removed.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"Well - Drilled","11/9/2016","$38,500",,"0.86","11/14/2016",,,"RR2"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141359/0/120/90/c70b8d9daf9e6b5666c0b10fc9358fa2/16/df840a7bbfd067ac178a08ebe64a1811/262141359.JPG","R2119732","Residential Detached","S","79 6338 VEDDER ROAD","Sardis East Vedder Rd","$44,000","1974","MANUF","1",,,,,,"42",,"604-316-3411",,"Sardis",,,"0","2",,,,"Chilliwack","Residential Detached",,,"209339",,"Detached",,"3/31/2017",,"LISA KALINSKI","Other","1","$311.00",,,,,"10/25/2016",,,"1",,"700-005-148",,"V2R 3R3",,"BC","One of the best locations in Maple Meadows at the back of the park. Large private park setting yard with storage sheds, great for gardening. Extremely well maintained 2 bdrm & den, good size kitchen & living room with fireplace, stove, washer/dryer. Home has extensive interior drywall, upgraded plumbing, A/C, front covered deck. Close to bus routes, shopping, recreation center. Shows great, call today.","Park approval required.1 Dog allowed with approval.  ","Chilliwack","For Sale",,,,,,,,,"11/6/2016","$44,000","$55.56","0.88","11/23/2016","1","2","MHP"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124708/0/120/90/a584e643bef88efd303741960603a6a4/13/b3458cae1792dcde985ef65c640d1bf6/262124708.JPG","R2103081","Residential Detached","S","43 95 LAIDLAW ROAD","Smithers - Rural","$45,000","1979","MANUF","1",,,,,,"37",,"250-847-5999","2016","Smithers And Area (Zone 54)",,,"0","3",,,,"Smithers","Residential Detached",,,"28381/F615941",,"Detached",,"12/15/2016",,"DONNA","Other","1","$315.64",,,,,"8/23/2016",,,"1",,"800-107-735",,"V0J 2N6",,"BC","3 bedroom 14' x 70' mobile home with large addition. Covered front porch. Soaker tub and separate shower in bathroom. New carpets in 2 of the bedrooms. New plank flooring in main foyer. Freshly painted interiorly and exteriorly. New exterior siding on addition. Addition has metal roof. Detached storage shed. New electric hot water tank in mobile home. Will be installed at Sellers expense.","Foundation is wooden blocking.","BC Northern","For Sale",,,,,,,,,"11/8/2016","$45,000","$37.22","0.91","11/15/2016","1","3","MHP"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127431/0/120/90/9fafc9d508e8f47194b9e8ef17f811f3/14/2c87de455b35228d52de86812d3d694b/262127431.JPG","R2105804","Land Only","S","H77 HUCKLEBERRY TRAIL","Hope Sunshine Valley","$50,000",,,,,,,,"Road Access",,,"604-869-2945",,"Hope",,,,,"No","Not Available",,"Hope","Land",,,,"No",,"Available","4/24/2017",,"DAVID OR ANDY",,,"$250.00",,,"No",,"9/1/2016","Not Available",,,,"700-009-793","Recreational","V0X 1L5","No","BC","4 season recreational getaway. Enjoy the many activities that beautiful Sunshine valley has to offer. Hiking, biking, ATVing, fishing, skiing, swimming, snowmobiling and more. Balance of 999 year prepaid registered lease in the recreational community of Sunshine Valley near Manning Park. The lease has been fully prepaid for 999 years & there are no monthly or yearly payments or pad rental. This 2700 sq.ft. lot features electric, water & sewer, 40' snow shed and 14 x 13 covered deck.","In Gated Community of Huckleberry Village. Call L/B for gate. Mechanical L/B on trailer. Vacant & easy to show. NOTE: transfer of title for the NON-Real estate component must be made separately through ICBC. Included w/lot is 1993 5th wheel RV w/40' snow shed & 14 x 13 covered deck.","Chilliwack","For Sale","Community",,"None",,"No",,,"Other-Licensed","11/7/2016","$50,000",,"0.85","11/23/2016",,,"CHP-1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135664/0/120/90/736adbce7480fe30e1a3c39b8fc70a19/15/26e4b340594c8bb0582ce38284b930cf/262135664.JPG","R2114037","Residential Detached","S","62 15820 FRASER HIGHWAY","Fleetwood Tynehead","$50,000","1978","MANUF","1",,,,,,"38",,"604-644-9869",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Green Tree Estates","147643",,"Detached",,"6/30/2017",,"Les Wellman","Concrete Block","1","$157.00",,,,,"10/3/2016",,,"1",,"900-581-075",,"V4N 0Y2",,"BC","Greentree Estates 2 bed plus addition new washer/dryer 2016. Fridge/stove and window coverings age restricted 55+! Small pet ok. Still cleaning out home. Pad rent $465 includes water, sewer, garbage and taxes on the land. Walk to shopping, bank, library, pool. New furnace $4,200 2015 has double roof.","Allow 48 hrs from offers dealing with P.O.A. in N.B. and 4 hours time difference. Vacant but Nov 1 for possession.","Fraser Valley","For Sale",,,,,,,,,"11/5/2016","$50,000","$49.60","0.91","12/2/2016","1","2","MHR"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138698/0/120/90/52d9f7f4ef8a2163df0b4fdcf0ff047b/15/7946c4fb7c6a541f2b90e9b10c52bb3a/262138698.JPG","R2117071","Residential Detached","S","185 7790 KING GEORGE BOULEVARD","East Newton","$56,000","1974","MANUF","1",,,,,,"42",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","244801",,"Detached",,"4/17/2017",,"TOUCHBASE RAY or LES","Other","1","$75.95",,,,,"10/17/2016",,,"1",,"900-581-256",,"V3W 5X4",,"BC","CRISPEN BAYS: Completely renovated 2 bedroom single wide, located on cul-de-sac in family park. Roof, furnace, hot water tank, flooring & all windows have been replaced recently, along with newer appliances. Bus stop at park entrance, 10 minutes to skytrain, walk to Superstore, Costco, Canadian Tire. Upscale park has clubhouse & outdoor pool. Pad rent $863 per month. Small pets allowed.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use technology to make our lives easier.","Fraser Valley","For Sale",,,,,,,,,"11/4/2016","$56,000","$68.63","0.94","11/16/2016","1","2","MHP"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262136386/0/120/90/02ab82f8ae283e36569784c8e1ae5437/13/9d72cbab6b5097d81de1350b5b2f3de5/262136386.JPG","R2114759","Residential Attached","S","309 280 N BROADWAY AVENUE","Williams Lake - City","$60,000","9999","APTU","1",,,,,,"999",,"250-267-4371",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Attached",,"TERRA VISTA",,,"Attached",,"9/30/2017",,"JANETTE RENNIE","Concrete Perimeter","1","$787.30",,,,,"10/5/2016",,,"1",,"004-612-019",,"V2G 4J7",,"BC","Why Pay Rent! when you can own this 2 bedroom cozy apartment - located in Terra Vista on the 3rd floor on the north side of the building and have a view of the forest from your deck. Appliances included. Living room and eating area, kitchen and bathroom with storage area.",,"BC Northern","For Sale",,"3",,"$228.31",,,,,"11/5/2016","$60,000","$67.19","0.95","11/18/2016","1","2","R4"
