"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026853/0/120/90/02653941ccc6f59f4feea9f0ad35f45b/13/c7fcf629db2862a92ee18c4066213b8a/262026853.JPG","R2005226","Land Only","S","10617 MONTEITH STREET","Hudsons Hope","$9,000",,,,,,,,"Road Access",,,"250-783-1076",,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Hudsons Hope","Land",,,,"No",,"At Lot Line","10/3/2016",,"NICOLE GILLISS",,,"$140.23",,,"Yes",,"10/1/2015","At Lot Line",,,,"013-889-516","House/Single Family","V0C 1V0","No","BC","A perfect lot to put a new mobile or modular home on. The central location and low price give this property great investment potential. With rental accommodations in high demand, there is an opportunity here to make some money. Lot is 33' frontage by 132' depth. Zoned low density residential.",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","10/11/2016","$9,000",,"0.42","10/20/2016",,,"R1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135025/0/120/90/7f73cf884d1bdda357f74f0c5f45bb55/13/a81368576fb8f9ef6b9fa778c2c71c13/262135025.JPG","R2113398","Residential Detached","S","T-9 560 SODA CREEK ROAD","Williams Lake - Rural North","$12,500","1969","MANUF","1",,,,,,"47",,"250-303-1169",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"COMER HILL TRAILER PARK","E#5285020",,"Detached",,"3/31/2017",,"JASON","Other","1","$140.54",,,,,"9/30/2016",,,"1",,"800-108-566",,"V2G 5E7",,"BC","Affordable starter home. 2 bedroom, 1 bath, close to town. Quiet park. Home is on lower level of park. Mud/laundry room addition off the nice sized deck. Open floor plan, new laminate flooring in home. Fenced side yard, great for kids and pets.","Foundation is wood.","BC Northern","For Sale",,,,,,,,,"10/4/2016","$12,500","$18.60","0.83","10/14/2016","1","2","MHP"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261811288/0/120/90/c7cfeb462033de30eb1c287c5861b611/13/b6b5d07fed78a6bf1e15a7c4ce9dce47/261811288.JPG","N245971","Land Only","S","LOT 20 MCKEE ROAD","Quesnel - Rural North","$20,000",,,,,,,,"Road Access",,,"250-991-8170",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","12/31/2016",,"WAYNE SEALE",,,"$231.00",,,"Yes",,"6/9/2015","Not Available",,,,"006-338-895",,"V2J 6X9","No","BC","5 acre getaway or building lot close to ten mile lake. Quiet area with lots of privacy and only 18 kms or less than 15 minutes to town. Creek visible on property. Elementary School within 2 kms.","4986","BC Northern","For Sale","None",,"None",,"No",,,"None","10/11/2016","$20,000",,"0.82","10/11/2016",,,"RR2"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262131095/0/120/90/6dafc7d04bc0bc915110311bed350147/13/e1867bcf46a59435c1a204119807e409/262131095.JPG","R2109468","Residential Detached","S","8 5378 PARK DRIVE","103 Mile House","$20,000","1985","MANUF","1",,,,,,"31",,"250-644-1100",,"100 Mile House (Zone 10)",,,"0","2",,,,"100 Mile House","Residential Detached",,"PARK DRIVE ESTATES","443883",,"Detached",,"12/31/2016",,"MICHELLE/GISELA","Other","1","$173.15",,,,,"9/8/2016",,,"1",,"800-108-237",,"V0K 2E0",,"BC","More affordable than rent! Have a look at this 2 bedroom manufactured home in Park Drive Estates. Home has been freshened up and is ready for you to enjoy. 2 spacious bedrooms at each end with the living space in the middle. Nice kitchen with built in oven and cooktop and lots of built ins. Eating area off the kitchen and the living room has a sliding glass door to a sundeck and small fenced in yard. Full bath with cheater door into master bedroom. L#8394","Foundation is cribbing.","BC Northern","For Sale",,,,,,,,,"10/7/2016","$20,000","$21.65","0.80","10/18/2016","1","2","MHP"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130454/0/120/90/81968f8ce5a254b2b5e43111a9afa617/15/009829eb340251e8f3181ca22d758783/262130454.JPG","R2108827","Residential Detached","S","80 8190 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$22,000","1975","MANUF","1",,,,,,"41",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"King George","149842",,"Detached",,"5/30/2017",,"Les","Concrete Block","1","$74.00",,,,,"9/12/2016",,,"1",,"900-580-824",,"V3W 5B7",,"BC","King George Park. 2 bedroom, family park, pets ok. Pad rent 675. F/S W/D, window coverings. Bus stop out front of park, only 10 min to skytrain. Close to all shopping, banking..",,"Fraser Valley","For Sale",,,,,,,,,"10/9/2016","$22,000","$28.65","0.96","10/28/2016","1","2","MHP"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085258/0/120/90/f6e89cf0a3fafcba686d0251495bd7ee/13/03e35498af4b360632d2428a28caa7c2/262085258.JPG","R2063631","Residential Detached","S","822 2ND AVENUE","McBride - Town","$27,000","9999","HOUSE","1",,,,,,"999",,"250-566-4438",,"Robson Valley (Zone 81)",,,"0","3",,,,"McBride","Residential Detached",,,,,"Detached",,"4/25/2017",,"JOHN PETERSON","Other","1","$902.00",,,,,"4/28/2016",,,"2",,"004-783-191",,"V0J 2E0",,"BC","Three bedroom home with 4 pc bathroom. To be sold in as is - where is condition.","Foundation is wood. Taxes are an approximation.","BC Northern","For Sale",,,,,,,,,"10/7/2016","$27,000","$28.66","0.69","11/2/2016","1","3","R1"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","R2081861","Residential Detached","S","1B 26892 FRASER HIGHWAY","Aldergrove Langley","$30,000","1970","MANUF","1",,,,,,"46",,"604-826-2699",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Aldergrove Mobile Home Park","30230",,"Detached",,"12/15/2016",,"Leslie",,"1","$91.30",,,,,"6/15/2016",,,"1",,"900-579-637",,"V2Z 1T7",,"BC","Talk about affordable living! Pad rent $535.00 per month. 2 bedrooms, nice open plan with vaulted ceiling in living room. Laminate floors, in all but 1 bedroom. Mostly dry walled with vinyl sliding and some newer vinyl windows. 3 year old hot water tank. Welcome kids and small pets, handy to schools, playground & shopping. Quick possession possible. Lose your Landlord","Afternoon and Evening showings preferred. Seller usually home. Interior measurements to be verified by buyer if important.","Fraser Valley","For Sale",,,,,,,,,"10/12/2016","$30,000","$51.72","0.86","10/26/2016","1","2","MOB"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262114842/0/120/90/d1cda9a529e23acacbcd8e2ac84f053e/14/2f3fa486baffba533bd37ecd79c383e5/262114842.JPG","R2093215","Residential Detached","S","39 6035 VEDDER ROAD","Sardis East Vedder Rd","$35,000","1972","MANUF","1",,,,,,"44",,"604-798-7228",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"SELOMAS MODULAR HOME PARK","7648",,"Detached",,"10/25/2016",,"CAMERON","Other","1","$588.60",,,,,"7/15/2016",,,"1",,"796-035-382",,"V2R 1E5",,"BC","Lovely 2 bedroom modular in Selomas Park. Spacious living room, bright kitchen area, large sunroom w/extra storage, den area as well as outside garden area, nicely finished deck and a detached shed for your tools. Located close to all amenities including mall, doctors office and on a bus route. A very safe, secure and well run adult community.","Meas. approx., pls verify if important. Park approval required include criminal record check and 3 reference letters, pls put that in subjects. Pad rent $450./mo. No cats.","Chilliwack","For Sale",,,,,,,,,"10/6/2016","$35,000","$38.55","0.88","10/18/2016","1","2","MHP"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112142/0/120/90/3fed371fc647389fe21510d15a32ac3d/13/77bd10715440bdd5c50f53d083d9d167/262112142.JPG","R2090515","Land Only","S","JOES LAKE ROAD","Williams Lake - Rural West","$40,000",,,,,,,,"Allowed Access",,,"250-305-4120",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,"ALKALI LAKE",,"No",,"None Available","7/31/2017",,"KAREN GERTZEN",,,"$263.17",,,"Yes",,"7/11/2016","Not Available",,,,"012-611-280",,"V0L 1B0","Yes - Agricultural Land Reserve","BC","160 acres of nice meadow land situated 2 km off grid. Features a small lake and creek through property. Good for livestock or private get away. Priced to sell!!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/4/2016","$40,000",,"0.57","10/5/2016",,,"RA"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098656/0/120/90/e0edd21830992a119c761dc098a226cc/13/c376605fe453bb733dc782669b9ec880/262098656.JPG","R2077029","Residential Detached","S","41 4625 GRAHAM AVENUE","Terrace - City","$41,000","1974","MANUF","1",,,,,,"42",,"250-615-1350",,"Terrace (Zone 88)",,,"0","3",,,,"Terrace","Residential Detached",,"TERRACE TRAILER COURT","208528",,"Detached",,"12/31/2016",,"DARREN","Other","1","$258.57",,,,,"6/3/2016",,,"1",,"800-105-969",,"V8G 1A6",,"BC","Super affordable and very private! This 3 bedroom, 1 bath, mobile home features a large full length addition with screened in porch and den which could make a great office or 4th bedroom if needed. This home is located at the very back of the park next which gives it the largest yard. The yard is very private with no neighbors around. The park features an RV parking area for storage of trailers and affordable pad rent of $272 per month.","Foundation is wood blocks.","BC Northern","For Sale",,,,,,,,,"10/4/2016","$41,000","$45.56","0.91","11/8/2016","1","3","R5"
