"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085075/0/120/90/0cdd5f571eacccce30b64c8d40304995/13/b3013b5212d2af5ff28132a7c977e0d9/262085075.JPG","R2063448","Land Only","S","581 RIVER AVENUE","Willow River","$3,000",,,,,,,,"Road Access",,,"250-961-6888",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Willow River","Land",,"WILLOW RIVER",,"No",,"Nearby","12/31/2017",,"DEBBIE",,,"$0.00",,,"No",,"4/27/2016","Not Available",,,,"012-615-412","House/Single Family","V2L 3X2","No","BC","5 lots being sold together must be consolidated. Survey estimate done in October 2015 was $6700. Little or no value in existing home.","No offers will be entertained until 3 weeks after list date. Province has up to 90 days after acceptance as a closing date. Please contact Listing Realtor for Province of BC Contract of Purchase & Sales. Addtl PID#s 012-615-447, 012-615-391,  011-704-454, 011-704-446.","BC Northern","For Sale","Unknown",,"Nearby",,"No",,,"Other","1/12/2017","$3,000","$0.33","0.20","2/3/2017",,,"RR1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262086149/0/120/90/2028a60f916e0a3c4333e9780fcce5e6/13/26520df5d9f4dac78603119338893943/262086149.JPG","R2064522","Land Only","S","LOT 1 MATTHEWS ROAD","Quesnel - Rural North","$22,500",,,,,,,,"Road Access",,,"250-255-2503",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Nearby","4/25/2017",,"CHELSEA",,,"$159.56",,,"Yes",,"4/25/2016","Not Available",,,,"027-726-444","House/Single Family","V2J 6V4","No","BC","This 4.92 acre lot has two driveways with culverts installed, which drives on to a mostly cleared lot. The area is still treed for privacy, and has plenty of potential as a building site for a residential property with RR2 zoning, which allows for farm animals. A drilled well has been started and needs only to be drilled through the bedrock to reach water (says the seller), as his neighbor did the same. The well is drilled to a distance of about 45', and the piping will remain for a buyer who would like to continue the drill to water. Most utility services are available to this lot, with the exception of gas. Come and see the potential this lot could have for you today!","Phone listing REALTOR for appointment.","BC Northern","For Sale","None",,"None",,"No",,,"Other","1/4/2017","$22,500",,"0.90","1/11/2017",,,"RR2"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135505/0/120/90/8e1286c04b484d5cf326bb7a90c58fb0/13/d35da68c5b584ad4a2086dad445dc61a/262135505.JPG","R2113878","Residential Detached","S","92 560 SODA CREEK ROAD","Williams Lake - Rural North","$23,500","1970","MANUF","1",,,,,,"47",,"250-305-7779",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"SODA CREEK MOBILE HOME PARK","24177",,"Detached",,"1/31/2017",,"GLEN HOLLING","Preserved Wood","1","$170.48",,,,,"10/2/2016",,,"1",,"800-108-601",,"V2G 5E4",,"BC","This is a unique family home with a large covered porch, a double sized lot and at the quiet end of the street. There is a good garden area and lots of play room. The home is in very good condition and offers a hardwood floor. The third bedroom doubles as a laundry. Fridge, stove, elec. fireplace are all included. Also you will find a 15'x15' garage or shed. This 12x70 home offers lots of space so you will like this one!  Pad Rental $275.00 at time of listing.",,"BC Northern","For Sale",,,,,,,,,"1/5/2017","$23,500","$27.68","0.84","1/9/2017","1","3","MHP"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133870/0/120/90/ebbb236ca010ab2c62cf941372cda19a/13/94ed861ca75cc406ef92edef9cae588d/262133870.JPG","R2112243","Land Only","S","315 CROOKED RIVER CRESCENT","Mackenzie -Town","$25,000",,,,,,,,"Road Access",,,"250-997-6773",,"Mackenzie (Zone 69)",,,,,"No","Not Available",,"Mackenzie","Land",,"MORFEE SUBDIVISION",,"No",,"At Lot Line","12/24/2016",,"LOUISE OR LYNDA",,,"$892.24",,,"Yes",,"9/26/2016","At Lot Line",,,,"010-173-391","House/Single Family","V0J 2C0","No","BC","Ready to build your brand new home? This large private lot is perfectly situated close the elementary school and is within walking distance to the hospital, shopping and restaurants. This lot is perfect for the outdoor enthusiast as it backs onto green space. Being sold as is where is. Lot size taken from detailed tax report. Buyer to verify if deemed important.","Lot size taken from the detailed tax report. Size of property is approximate and if deemed important, buyer should measure. Being sold as is - where is.","BC Northern","For Sale","Community",,"At Lot Line",,"No",,,"City/Municipal","1/2/2017","$25,000","$2.02","0.84","1/4/2017",,,"R1"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149914/0/120/90/391545ebd77f59beaa1ea28572ae72df/13/79003c62dc6f5809ba8b9d27fd613342/262149914.JPG","R2128287","Land Only","S","LOT 6 BRYAN CRESCENT","108 Ranch","$25,000",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Mandatory",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"Yes",,"Nearby","12/1/2017",,"BARB MONICAL",,,"$473.92",,,"Yes",,"12/19/2016","Nearby",,,,"006-241-735","House/Single Family","V0K 2Z0","No","BC","Location with a great view. Water is available but not hooked up along with natural gas, hydro, and telephone. Easy access off of the road. Have a look and see if your plans will work. When Spring comes it is not likely to still be available.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","1/4/2017","$25,000",,"1.00","1/5/2017",,,"R1-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262151078/0/120/90/65ab9b5cb084dec56310bd7e3f3f2e32/16/d548c99aab4e648a308f4f119bcfd5a8/262151078.JPG","R2129451","Residential Detached","S","19 39768 GOVERNMENT ROAD","Northyards","$26,000","1963","MANUF","1",,,,,,"54",,"604-815-8846",,"Squamish",,,"0","2",,,,"Squamish","Residential Detached",,,"38705",,"Detached",,"4/1/2017",,"ELEANORE MCKENZIE","Concrete Block","1","$108.49",,,,,"1/5/2017",,,"1",,"800-110-550",,"V8B 0G3",,"BC","Great opportunity for handyman with this solid fixer upper in Three Rivers Mobile Park. Easy walking distance to trails, close to mall. Priced to sell!",,"Greater Vancouver","For Sale",,,,,,,,,"1/6/2017","$26,000","$35.14","1.00","1/13/2017","1","2","RMH"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262151172/0/120/90/3f5b7a3f6ab31ecea77d4d9604c63508/16/1b85bd94fc7745f34a283d27475dbf69/262151172.JPG","R2129545","Residential Detached","S","25 21163 LOUGHEED HIGHWAY","West Central","$30,000","1973","MANUF","1",,,,,,"44",,"604-462-7619",,"Maple Ridge",,,"0","1",,,,"Maple Ridge","Residential Detached",,,"226246",,"Detached",,"7/30/2017",,"TOM OR YOLANTA","Other","1","$454.36",,,,,"1/4/2017",,,"1",,"800-110-565",,"V2X 2R4",,"BC","Centrally located, spacious home in well kept mobile home park. Good size den/family room leading to cozy, secluded sundeck and lovely, private garden back yard. Professional El. update just completed and inspected by B.C. Safety authority with new CSA #. 55+ age restriction. Affordable living with $438.00 pad rental.",,"Greater Vancouver","For Sale",,,,,,,,,"1/11/2017","$30,000","$40.00","0.86","2/8/2017","1","1","MOBILE"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262151363/0/120/90/bda539f9ce3a3cec9ff610dd7054444d/13/7779b4790038a59e0351a65485878dca/262151363.JPG","R2129736","Residential Detached","S","27 3319 KOFOED DRIVE","Thornhill","$32,000","1968","MANUF","1",,,,,,"49",,"250-631-6769",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"COPPER MOUNTAIN COURT","225849",,"Detached",,"4/8/2017",,"JOHN BAILEY","Other","1","$237.03",,,,,"1/6/2017",,,"1",,"800-110-591",,"V8G 3P8",,"BC","If you are looking to downsize, this may be the perfect place for you! This 2 bedroom mobile in a quiet Thornhill Park features many upgrades such as newer drywall and laminate throughout, paint, updated bathroom, vinyl siding, newer washer and dryer and gas range. The addition is could be a third bedroom, or extra storage. If the price of property is getting you down, give this place a look it may just be what you are looking for!","Mature living park. No pets. Foundation is wood.","BC Northern","For Sale",,,,,,,,,"1/13/2017","$32,000","$41.94","0.84","1/18/2017","1","2","RUM"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095181/0/120/90/e97e705c5083847f82c5333b19892c70/13/a8a7204558a41ad3ce18a98e72fc86d5/262095181.JPG","R2073554","Land Only","S","LOT B CANIM HENDRIX ROAD","Canim/Mahood Lake","$36,000",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"At Lot Line","11/30/2017",,"MEL OR ADAM",,,"$255.11",,,"Yes",,"5/26/2016","Not Available",,,,"023-542-071","House/Single Family","V0K 1T0","No","BC","A nicely treed five acres very near to Canim Lake and Eagle Creek. Nicely treed with an older driveway and building site cleared. Great recreational area and well worth a look L#8133",,"BC Northern","For Sale","None",,"None",,"No",,,"None","1/6/2017","$36,000",,"0.90","1/10/2017",,,"RR2"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261121023/0/120/90/65b0f6d7f57798cc050d4f1993ce5b63/13/06775189d89c7a5bf4ef7e21796a75cd/261121023.JPG","N238068","Land Only","S","DL 715 SOUTH SIDE HILL ROAD","South Francois","$50,000",,,,,,,,"Road Access",,,"250-694-3719",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"Nearby","7/31/2017",,"MARIKA RAMOUSCH",,,"$146.00",,,"No",,"7/14/2014","Not Available",,,,"013-520-504",,"V0J 2P0","Yes - Agricultural Land Reserve","BC","Very beautiful 80 acres, only minutes from the ferry landing on Southbank. Nice building sites, lots of trails, mixed trees. Most of the property is fenced. Gravel source available on the property. Build your dream home, or just set up a weekend cabin and enjoy the rich wildlife on the property.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","1/6/2017","$50,000",,"0.72","1/12/2017",,,"N/A"
