"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262319349/0/120/90/f6a46e622efeacd0f9abf525dba97bf9/13/0429147ced4111b5e3eaae7b55d65105/262319349.JPG","R2297722","Residential Detached","S","5327 41 STREET","Fort Nelson -Town","$20,000","1973","MNFLD","1",,,,,,"45",,"250-775-0667","9999","Fort Nelson (Zone 64)",,,"0","3",,,,"Fort Nelson","Residential Detached",,,"379326-2016",,"Detached",,"8/13/2019",,"LYNN FERTUCK","Other","1","$842.15",,,,,"8/13/2018",,,"1",,"004-497-724",,"V0J 1R0",,"BC","Looking for that starter home or a great rental property? This 1973 12'x 64' 3 bedroom, 2 bath manufactured mobile home has an approximate 10'x13' addition creating approximately 1095 sq. ft. of living space. The addition has added a bedroom, 2 piece bathroom and large porch to the original mobile home space. There is an approximate 8'2 x 18' attached deck which is perfect to enjoy the deck's SW exposure. This property has a large yard that allows for further additions for that garage and shed. The property is only a few blocks from the town centre and shopping. There are only a few properties in this category and price point so plan on viewing it soon!","Estate property.  Mobile is sitting on blocks","BC Northern","For Sale",,,,,,,,,"10/30/2018","$20,000","$18.25","0.80","10/31/2018","2","3","RS2"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262302325/0/120/90/8c52d62282f296e091a093b0c74ffcd6/13/7524df4d18985ffa2aa7e38c005f45be/262302325.JPG","R2280698","Land Only","S","57190 AARON ROAD","Cluculz Lake","$22,000",,,,,,,,"Road Access",,,"250-562-3600",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Cluculz Lake","Land",,"CLUCULZ LAKE",,"No",,"Nearby","7/6/2019",,"AGGIE",,,"$107.36",,,"No",,"6/10/2018","Not Available",,,,"012-511-820","Recreational","V0J 3A3","No","BC","Property is located at the corner of Aaron and Fuller, and has drive-through access from both roads. Pull in your RV and enjoy, as the lot is located close to the lake and, if you build a 2-storey building, you could get a view of the lake! Lot size is taken from BC Assessment.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","11/3/2018","$22,000",,"0.71","11/7/2018",,,"H-1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262340493/0/120/90/54116bdcce2169a5c4d64847da05a6d3/13/0636d978f2c684815c2750e7742a3848/262340493.JPG","R2318866","Land Only","S","LOT 44 KALLUM DRIVE","108 Ranch","$30,000",,,,,,,,"Road Access",,,"250-395-9391",,"100 Mile House (Zone 10)",,,,,"No","Mandatory",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"Available","10/15/2019",,"BARB MONICAL",,,"$484.31",,,"Yes",,"10/16/2018","Available",,,,"007-958-331","House/Single Family","V0K 2Z0","No","BC","Greenbelt access just across the road with miles of walking and recreational trails. Your dog and kids will love this location. A couple of blocks to the 108 beach, and yet a very private area. Just a couple of blocks to the school bus route. Excellent price.",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","11/1/2018","$30,000","$1.00","0.91","11/2/2018",,,"R1-1"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262318758/0/120/90/c543377dc01a1c529c8f82e46f406b15/13/3221258633875094e97e87dd81baedc3/262318758.JPG","R2297131","Residential Detached","S","99 5130 NORTH NECHAKO ROAD","Nechako Bench","$35,000","1974","MANUF","1",,,,,,"44",,"250-961-4508","2017","PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,"Caledonia Mobile Home Park","209513",,"Detached",,"11/30/2018",,"Rebecca","Other","1","$291.55",,,,,"8/13/2018",,,"1",,"006-636-560",,"V2K 4E3",,"BC","Beauty on a budget! Such a great find with this darling mobile that has seen several updates over the past year. Clean lines, fresh neutral paint and the nicest kept yard in the park. This home is located in North Nechako, close to Pidherny bike trails, North Meadows Tennis Court & river walks. Covered parking which everyone loves plus an enclosed mudroom. 3 bedrooms, 1 bath. Bright kitchen with full built-in china cabinet. Beautiful big living room with gas fireplace. Master bedroom has a large walk in corner closet. Gazebo in the backyard will stay with home. Cheaper than rent and an affordable living option. Call today.","Front screen door does not lock. Do not let the cats outside!! Middle bedroom is the cat room.  Hydro & Fortis are $85.00 each. Park is fixing the back fence.","BC Northern","For Sale",,,,,,,,,"11/3/2018","$35,000","$39.06","0.82","11/14/2018","1","3","RM9"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262245782/0/120/90/7b3db1bcf49c534a598376fa81e3bed5/15/a8ae0055267db8784ce6bfee15a84783/262245782.JPG","R2224155","Land Only","S","75 8400 SHOOK ROAD","Hatzic","$40,000",,,,,,,,"Road Access",,,"604-820-0555",,"Mission",,,,,"No","Not Available",,"Mission","Land",,"The Everglades Resort",,"No",,"At Lot Line","11/18/2018",,"Nancy Olson",,,"$1,467.00",,,"No",,"11/18/2017","Not Available",,,,"900-585-999","Recreational","N0N 0N0","No","BC","The Everglades Resort at Hatzic Lake-Lake community open year round appx. 1 hour from Vancouver. Gated community, parks, playground, clubhouse, private boast launch. Swim, ski, fish and just enjoy your own recreational user area and recreational property. Only $1467.00 annual fee and that includes taxes. Awaiting for your ideas and unit, for a piece of paradise.","Undivided Interest In Land. Flood Plain - new water controls in 2014. $1467.00 includes taxes its the annual fee. Measurements are appx. UA irregular and park needs to be re-measured for a buyer.","Fraser Valley","For Sale","Community",,"Nearby",,"No",,,"Community","11/5/2018","$40,000","$48.48","0.80","11/20/2018",,,"REC"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262322147/0/120/90/d8637129f3e624faadf8a3d0b91dbdec/13/fc804586a3f31356a05552144fcd1d67/262322147.JPG","R2300520","Residential Detached","S","27 3319 KOFOED DRIVE","Thornhill","$48,500","1968","MANUF","0",,,,,,"50",,"250-975-0654","2017","Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"COPPER MOUNTAIN COURT","225849",,"Detached",,"11/30/2018",,"MARC","Other","1","$171.43",,,,,"8/23/2018",,,"1",,"800-124-129",,"V8G 2P8",,"BC","Looking to jump into the real estate market, or maybe to downsize? This two bedroom mobile has just experienced upgrades to boast its appeal. Upgrading bathroom fixtures and skirting, also add heat tracing tape, new doors, flooring and more. Also the kitchen has been freshened up and upgraded, lots of flooring and paint. It's ready to go. This is an excellent adult-oriented park in great location quiet, yet close to downtown area. Lots of storage or bonus space for whatever your need. Put this on you list of must see, but act quickly cause this is a great deal.",,"BC Northern","For Sale",,,,,,,,,"10/26/2018","$48,500","$63.40","0.97","11/27/2018","1","2","RUM"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262316160/0/120/90/e41b2cef4a6eddcb70f3880bc1514f65/13/c5d9879a8fec343c1a15d1bdf28afb38/262316160.JPG","R2294533","Residential Detached","S","8B 6151 GAUTHIER ROAD","Gauthier","$52,000","1981","MANUF","1",,,,,,"37",,"250-613-3158",,"PG City South (Zone 74)",,,"0","3",,,,"Prince George","Residential Detached",,,"340278",,"Detached",,"1/31/2019",,"RICK","Other","1","$418.24",,,,,"7/31/2018",,,"1",,"800-123-679",,"V2N 5M5",,"BC","Wow!  Ready to move in; cheaper than rent.  Bright new kitchen, new flooring, new furnace, new hot water tank, new sundeck, covered parking, and some new windows.  End of the street in Meadows mobile home park.  Neighbors on one side, big, open field on the yard side with all-day sun. ","Foundation is wood cribbing","BC Northern","For Sale",,,,,,,,,"11/5/2018","$52,000","$49.81","0.91","11/16/2018","1","3","RM9"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262227140/0/120/90/a7296f41e2959188d9ed60cd3559aea8/13/fdd5b612c55c4a2ff44a60ab30104853/262227140.JPG","R2205513","Land Only","S","LOT 3 PURSER CREEK ROAD","Bouchie Lake","$55,000",,,,,,,,"Road Access",,,"250-991-9147",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","10/31/2018",,"RANDY",,,"$316.20",,,"Yes",,"9/11/2017","Not Available",,,,"024-271-209","House/Single Family","V2J 7C1","No","BC","A beautiful view of Bouchie Lake and area is just one feature this 4.96 acre parcel has to offer. It's well treed with a driveway and cleared area offering total privacy that would make a great building site or campsite if you're just looking for a place to get away. Located on a quiet no-thru road.","5758","BC Northern","For Sale","None",,"None",,"No",,,"None","10/28/2018","$55,000",,"0.93","11/9/2018",,,"RR2"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262342336/0/120/90/b9ddd04aa7b7cd95e689408b96098cfb/15/47cb793c0cf6f46c1ebfc54e64e8dd71/262342336.JPG","R2320709","Residential Detached","S","45 7790 KING GEORGE BOULEVARD","East Newton","$64,000","1976","MANUF","1",,,,,,"42",,"604-538-2125","9999","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","25645",,"Detached",,"2/5/2019",,"Touchbase","Other","1","$39.73",,,,,"11/5/2018",,,"1",,"905-002-088",,"V3W 5Y4",,"BC","WHY RENT WHEN YOU CAN OWN! This super affordable 2 bedroom 1 bath manufactured home located in very desirable Crispen Bays is ready for it's new owner! This home features new laminate flooring, new windows, new hood fan and fresh paint. Outdoor enthusiasts will love this yard. No age restriction and your 2 small pets are welcome here. Very central location, close to everything! This is a great alternative to renting and for people who are looking to get in to the market, book your private viewing today!","2 SMALL PETS ALLOWED. Measurements approximate please verify all important information for your buyer. This home had a licensed medicinal grow op in the past, we have the comfort letter from the city. Looking for all cash offers.","Fraser Valley","For Sale",,,,,,,,,"11/5/2018","$64,000","$83.33","0.92","11/20/2018","1","2","MHP"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262318588/0/120/90/b849d6599db880e83ad8ad14bfd15152/16/599396a1987888cedbad6962d7733003/262318588.JPG","R2296961","Residential Detached","S","98 1830 MAMQUAM ROAD","Garibaldi Estates","$65,000","1974","MANUF","1",,,,,,"44",,"604-815-8846",,"Squamish",,,"0","2",,,,"Squamish","Residential Detached",,"TIMBERTOWN MOBILE PARK","308619",,"Detached",,"12/31/2018",,"TEXT Eleanore","Concrete Block","1","$53.11",,,,,"8/12/2018",,,"1",,"800-123-860",,"V0N 1T0",,"BC","Great entry level home in centrally located Timbertown Park.  This cute little mobile offers 2 bedrooms, and is clean and ready for you to move right in and make it your home!  Offers a new HW tank, new furnace and has been electrically certified for worry free living.  The patio is shaded with a lovely mature grape vine, perfect space to unwind and escape the heat at the end of the day. Yard is partially fenced and offers blueberry bushes, herb garden and plenty of mature shrubs and trees.  Timbertown is a DOG FREE park, and is just steps to the Highlands Mall, golf course and Mamquam Elementary School.","Easy to show Lockbox Pad rental includes annual Municipal utilities charges No dogs permitted in this park","Greater Vancouver","For Sale",,,,,,,,,"11/5/2018","$65,000","$87.37","0.78","11/21/2018","1","2","RMH"
