"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262321927/0/120/90/00082c22b3707e007fcfad6c3a8b5e5c/13/f5d1330398cbe91883950f5e44dc5b9b/262321927.JPG","R2300300","Residential Attached","S","43 50 HAGAN STREET","Granisle","$13,500","1973","APTU","1","100",,,,,"45",,"520-464-4200",,"Burns Lake (Zone 55)",,,"0","1",,,,"Granisle","Residential Attached",,,,,"Attached",,"8/26/2019",,"Charles Pitcher","Concrete Perimeter","1","$340.69",,,,,"8/27/2018",,,"1",,"018-204-538",,"V0J 1W0",,"BC","Buy a furnished rentable condo for less than a car. This ground floor fully furnished studio condo is located in Granisle, BC on the shores of Lake Babine. You are able to put this condo in the rental pool of the “Granisle Resort” or keep it for your personal use. Do a search for “Granisle Resort” on Google and Booking.com. Lake view from the newly installed patio door. The heated crawl space provides ample storage with a power outlet available. New outlets, switches, windows, lights, and faucets, have been installed. One small pet and rentals are allowed. The fishing in Babine Lake is excellent. It is the longest natural lake in British Columbia, Canada and is located northeast of the town of Burns Lake in central British Columbia, some 177 km west northwest of the city of Prince George.","***Mere Posting*** Despite the fact that the commission field states, $2, THE SELLER IS WILLING TO NEGOTIATE A FEE AGREEMENT DIRECTLY WITH A CO-OPERATING BROKERAGE. Contact Seller, Charles, directly at 520-464-4200.","BC Northern","For Sale",,"2",,"$159.00",,,,,"10/10/2018","$13,500","$42.59","0.91","10/12/2018","1","1","R-2"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295113/0/120/90/721d63c368f4a75ee6fc8dca113212f7/13/97260ea4d9f6338d25b2757c4a3b6e8a/262295113.JPG","R2273486","Residential Detached","S","5 4401 NAHANNI DRIVE","Fort Nelson -Town","$15,500","1977","MANUF","1",,,,,,"41",,"250-321-0777",,"Fort Nelson (Zone 64)",,,"0","2",,,,"Fort Nelson","Residential Detached",,,"339897",,"Detached",,"11/18/2018",,"CATHLEEN","Other","1","$116.45",,,,,"5/18/2018",,,"1",,"800-122-177",,"V0C 1R0",,"BC","Renovated top to bottom! Walk into this affordable mobile home and you'll think it's brand new! Everything from wiring, plumbing, walls, windows, flooring, ceiling, cabinets, siding, roof, doors, trim, bathroom - everything has been updated! With low pad rent and a quiet location, this home might just be the place for you! 2 bedrooms and a large bathroom plus a great entry way with large closet. This home is a must see. Have a piece of property and you're looking to move a home? Look no further!","Foundation is wood blocks.","BC Northern","For Sale",,,,,,,,,"10/1/2018","$15,500","$14.51","0.60","10/10/2018","1","2","M-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262332899/0/120/90/1a641b2443cb2bd4e3245b1fd855c1c4/13/f99cf85ec52315461cd163d694d32290/262332899.JPG","R2311272","Land Only","S","LOT 1 FOOTE ROAD","Fraser Lake","$17,000",,,,,,,,"Road Access",,,"250-617-5778",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"Nearby","9/10/2019",,"SHAUNA",,,"$103.68",,,"No",,"9/10/2018","Not Available",,,,"005-552-834","House/Single Family","V0J 1S0","Yes - Agricultural Land Reserve","BC","Very private 8.1 acres, just minutes away from Fraser Lake. Definitely perfect for a hobby farm, or just to enjoy the peace and solitude. There is one area for a building site that has a beautiful view of Fraser Lake. Priced to sell, at well below assessed value. Don't miss out!","Road has not been maintained past the first driveway on Foote Road. The road to this parcel is there, but would need work to be wide enough for a vehicle.","BC Northern","For Sale","None",,"None",,"No",,,"None","10/1/2018","$17,000",,"0.90","10/10/2018",,,"AG1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262332968/0/120/90/6a5bd7d44a77949e7d0ef327c9ce944b/13/e020f956550ea580937be2237be607c0/262332968.JPG","R2311341","Residential Detached","S","69 6100 O'GRADY ROAD","Upper College","$31,000","1974","MANUF","1",,,,,,"44",,"250-613-9599",,"PG City South (Zone 74)",,,"0","2",,,,"Prince George","Residential Detached",,,"53223",,"Detached",,"12/31/2018",,"SUSAN","Other","1","$219.00",,,,,"9/30/2018",,,"1",,"800-116-056",,"V2N 4R1",,"BC","Well-maintained mobile in a great Park. Close to everything!!!! Good setup for retired person or student. Easy walk to shopping, and short drive to UNBC. Large, covered sundeck, gas fireplace in living room. Most windows have been updated to vinyl. Possession can be quick!","Must have Park approval. Foundation is wood blocking. Owner has not used dishwasher or gas fireplace and does not know working condition of either.","BC Northern","For Sale",,,,,,,,,"10/5/2018","$31,000","$43.06","0.98","10/16/2018","1","2","MHP"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262318055/0/120/90/b74c5b3bc5db52f1740b7415cdd20132/13/5c4fb48cff94be4f8fc3ec377f423095/262318055.JPG","R2296428","Residential Detached","S","5224 42 STREET","Fort Nelson -Town","$34,000","1972","MNFLD","1",,,,,,"46",,"250-500-1434",,"Fort Nelson (Zone 64)",,,"0","3",,,,"Fort Nelson","Residential Detached",,,"21428",,"Detached",,"10/12/2018",,"SHERRY","Other","2","$1,031.67",,,,,"8/9/2018",,,"1",,"004-862-171",,"V0C 1R0",,"BC","Opportunity Knocks! Take a look at this value-priced 3-bedroom home with a completely separate bachelor suite you can rent out for extra income! Or--you could make a few changes and expand your living space to meet your family's needs. The home has a covered and screened deck, fenced yard, fire pit, and a 16' x 24' wired and insulated workshop. Don't miss out on this one!!","Home sits on blocks on concrete pad. Schedule A must accompany all offers. As is, where is.","BC Northern","For Sale",,,,,,,,,"10/9/2018","$34,000","$34.27","0.83","11/5/2018","2","3","RS-2"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262334658/0/120/90/70f15315da814fc2c0006e9141aa1134/13/7d68a0faed65a0bffc66ebcbc63c3bd2/262334658.JPG","R2313031","Residential Detached","S","100 1000 INVERNESS ROAD","Aberdeen PG","$37,750","1984","MANUF","1",,,,,,"34",,"250-981-3425",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,,"440391",,"Detached",,"12/15/2018",,"MARK","Other","2","$511.32",,,,,"10/5/2018",,,"1",,"800-125-083",,"V2K 4V2",,"BC","Affordable modular on Inverness Road. This 2 bed 2 bath is a great place to home. Perfect for the downsizer. 4 pc ensuite. Newer roof. enclosed porch. Shed. Short drive to SaveOn.","Mark Dial Personal Real Estate Corporation* Shannon Thomas Personal Real Estate Corporation*  Foundation is wood blocking. Recently re-leveled. Roof 3 years old. Furnace original","BC Northern","For Sale",,,,,,,,,"10/10/2018","$37,750","$40.85","0.95","10/29/2018","2","2","RM9"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262336125/0/120/90/08267fc4b207c7ca25fc671e4130353a/13/501bd143a71e65ce525fe592f6e6a111/262336125.JPG","R2314498","Land Only","S","911 DOG CREEK ROAD","Esler/Dog Creek","$40,000",,,,,,,,"Road Access",,,"250-398-0215",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"At Lot Line","4/30/2019",,"GARTH MCINTYRE",,,"$293.21",,,"Yes",,"10/10/2018","Available",,,,"010-903-852","House/Single Family","V2G 3G5","No","BC","Hard to find lot on Dog Creek Rd. Close to school, store and pub. Has a nice view across valley to Fox Mountain. Property is level with slight slope for good septic drainage. Mobile homes would be welcomed. Private building site toward back of lot which is very private. Easy lot to develop.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/11/2018","$40,000",,"0.82","11/2/2018",,,"RUR1"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262289468/0/120/90/eb88dbaba9079ad23eb6abde28a2f79b/13/6159ef6bfffc1761277313699e6bf675/262289468.JPG","R2267841","Residential Detached","S","5208 41 STREET","Fort Nelson -Town","$40,000","1994","MNFLD","0",,,,,,"24",,"250-321-0777",,"Fort Nelson (Zone 64)",,,"0","3",,,,"Fort Nelson","Residential Detached",,,"24463",,"Detached",,"11/18/2018",,"CATHLEEN","Other","2","$1,284.52",,,,,"5/7/2018",,,"1",,"004-301-871",,"V0C 1R0",,"BC","This 1994 mobile with addition is clean and move-in ready, with a sweet price tag as well! There have been updates to the fencing, siding, flooring and more. 3 bedrooms, 2 baths, a large family room, and a great fenced yard. Two sheds out back offer good storage. This home also has ample parking!","Court-ordered Sale. Signed Schedule A must accompany all offers. Subject to court approval. Foundation is concrete pilings.","BC Northern","For Sale",,,,,,,,,"10/4/2018","$40,000","$30.58","0.95","11/28/2018","2","3","RS-2"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262329698/0/120/90/e3c571e08967fdd3abdf512d143b8759/16/794db9544d004c3cc7e80a86085bf5ce/262329698.JPG","R2308071","Residential Attached","S","47 1200 PACIFIC BOULEVARD","Yaletown","$44,000","1994","OTHER","0",,,,,,"24",,"604-218-4846",,"Vancouver West",,,"0","0",,,,"Vancouver","Residential Attached",,,,,"Attached",,"12/31/2018",,"CARMEN LEAL","Other","0","$36.77",,,,,"9/19/2018",,,"1",,"018-381-758",,"V6Z 2Y0",,"BC","Very rare opportunity to purchase a free hold parking spot in Yaletown. Stall 47 on P1 of Parkview Parkade. Never worry about finding parking in Downtown again!",,"Greater Vancouver","For Sale",,,,"$29.65",,,,,"10/6/2018","$44,000","$389.38","0.88","10/15/2018","0","0","CD-1"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/db59a22ee327cd824769da377e288747/NoPhotoAvailable.jpg","R2311528","Residential Detached","S","27 6571 KING GEORGE BOULEVARD","West Newton","$47,000","1966","MANUF","1",,,,,,"52",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"NEWTON MOBILE HOME PARK","12260FL",,"Detached",,"4/4/2019",,"TOUCHBASE RAY","Other","1","$49.42",,,,,"10/4/2018",,,"1",,"905-003-300",,"V3W 4Z4",,"BC","NEWTON MOBILE HOME PARK: Single wide in 55+ age restricted park, on quiet, private corner lot at end of street. Two bedroom & storage room (could be 3rd bedroom), one full bathroom, double carport. Walk to bus stop, 15 minutes to Sky Train, few minutes to Costco, Superstore, Newton Wave Pool, hockey rink, restaurants, etc. Pad rent 660.76 per month, includes sewer, water, garbage pick up, land portion of the property taxes. Inexpensive single, detached living.","TOUCHBASE to book appts. I need to know you are a bona-fide Realtor, first names don't do it for me. No one day codes. Professionals carry the proper tools","Fraser Valley","For Sale",,,,,,,,,"10/4/2018","$47,000","$59.87","0.86","10/10/2018","1","2","MHP"
