"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262306418/0/120/90/2145a8fb13b0bdc2a814834e5cfbef1b/13/2cdd6f02b32476e974f7e56c8a137653/262306418.JPG","R2284791","Land Only","S","6 HEARNE AVENUE","Granisle","$16,000",,,,,,,,"Road Access",,,"250-847-3144",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Granisle","Land",,,,"No",,"At Lot Line","12/28/2018",,"JANTINA",,,"$317.46",,,"Yes",,"6/29/2018","Not Available",,,,"005-056-471","House/Single Family","V0J 1W0","Yes - Agricultural Land Reserve","BC","Nice building lot located on a quiet dead-end street in Granisle. Lot is zoned R-1A which allows for double-wide mobile homes. Granisle sits on the shores of beautiful Babine Lake, and the area is known for its great fishing and other outdoor recreational opportunities. Vendor financing available.","Vendor financing available @ 2.5% - $7,000 down payment. Option to pay out early. Monthly payments of $400/month","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","10/19/2018","$16,000","$2.67","0.53","10/19/2018",,,"R-1A"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262302639/0/120/90/5b2f555e99037a970ec6136f88b30997/13/6c84b694ef0f1ea351e586f8e9def37b/262302639.JPG","R2281012","Land Only","S","STURGEON POINT ROAD","Vanderhoof - Rural","$21,000",,,,,,,,"Road Access",,,"250-567-1555",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Vanderhoof","Land",,,,"No",,"At Lot Line","12/31/2018",,"GERRY",,,"$165.69",,,"No",,"6/12/2018","Not Available",,,,"008-627-754","House/Single Family","V0J 3A0","Yes - Agricultural Land Reserve","BC","Great rural getaway, close to the Stuart River. This rural acreage is ideal for a rural-community lifestyle that gives one a great deal of freedom!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","10/18/2018","$21,000",,"0.72","10/19/2018",,,"R-6"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309980/0/120/90/8a92b1a13f1a3ed348d0f24c36a6de4f/13/649acf53e4ba48012ca7acb373d897e1/262309980.JPG","R2288353","Residential Detached","S","582 NORTH FRASER DRIVE","Quesnel - Town","$35,000","9999","HOUSE","1",,,,,,"999",,"250-991-9147",,"Quesnel (Zone 28)",,,"0","1",,,,"Quesnel","Residential Detached",,,,,"Detached",,"1/6/2019",,"RANDY","Other","1","$801.47",,,,,"7/6/2018",,,"1",,"004-596-773",,"V2J 1Z5",,"BC","Great starter home or investment property on a corner lot close to all amenities and the river walk. Lots of possibilities here, as it is zoned C2A and housed a catering service at one time. Currently 1-bedroom, but a 2nd bedroom could easily be added.","Foundation is half concrete and half wood.","BC Northern","For Sale",,,,,,,,,"10/16/2018","$35,000","$47.95","0.71","10/24/2018","1","1","C2A"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262317012/0/120/90/f884457c49c2ab0ebef1e819088f8e66/13/6d6a60e990d5198a0cb0c2b9949906fc/262317012.JPG","R2295385","Residential Detached","S","17 CRANBERRY ROAD","Fort Nelson - Rural","$62,000","2007","HACR","1",,,,,,"11",,"250-500-1434",,"Fort Nelson (Zone 64)",,,"0","1",,,,"Fort Nelson","Residential Detached",,,,,"Detached",,"10/29/2018",,"SHERRY","Concrete Perimeter","0","$1,090.27",,,,,"8/1/2018",,,"1",,"019-022-191",,"V0C 1R0",,"BC","Get away from it all! This charming 1-bedroom home sits on 4.94 acres of land just 15 minutes outside o Fort Nelson. There's a 32'x24' garage and plenty of parking space; and the cleared land is mostly level. There's packed gravel in place for a future shop. A new septic system was installed in recent years. It's affordable, and it's waiting for you!!","Court-ordered Sale. As is, where is. Subject to court approval. Signed Schedule A must accompany all offers. NEW SEPTIC and holding tanks installed approximately 3 years ago.","BC Northern","For Sale",,,,,,,,,"10/15/2018","$62,000","$45.86","1.08","10/18/2018","0","1","RR-1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262329096/0/120/90/8199938c0e8c811e02766bb0f0e0d332/13/d03620ee8c0ddb23fdcdf3b1e71f3ce7/262329096.JPG","R2307469","Residential Attached","S","906 1501 QUEENSWAY STREET","Millar Addition","$65,000","1965","APTU","1",,,,,,"53",,"250-981-8107",,"PG City Central (Zone 72)",,,"0","1",,,,"Prince George","Residential Attached",,,,,"Attached",,"12/18/2018",,"KAT","Concrete Perimeter","1","$583.08",,,,,"9/18/2018",,,"1",,"026-577-151",,"V2L 1L5",,"BC","Get into your own home with this affordable property! This one bedroom upper unit is well maintained and has a fantastic view of Connaught Hill. Walking distance to parks, downtown, shopping and more! Building has on site management, laundry, elevator/wheelchair accessible. Rentals allowed and pets allowed with restrictions.","Currently vacant - Quick possession Available. Owner has paid special levy.","BC Northern","For Sale",,,,"$265.00",,,,,"10/22/2018","$65,000","$106.56","0.93","11/1/2018","1","1","RM7"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262334987/0/120/90/ab8d5a2906a1c93b970e9cfcd4f5b5e7/13/92d7ff5cfe85babb7e605712027b7dc8/262334987.JPG","R2313360","Residential Attached","S","1103 1501 QUEENSWAY STREET","South Fort George","$65,000","1966","APTU","1",,,,,,"52",,"250-960-2373",,"PG City Central (Zone 72)",,,"0","1",,,,"Prince George","Residential Attached",,"Miller Addition",,,"Attached",,"2/4/2019",,"Tab or Theresa","Concrete Perimeter","1","$666.05",,,,,"10/3/2018",,,"1",,"026-577-283",,"V2L 1L5",,"BC","One bedroom apartment with a fantastic view of the Fraser River Cut banks. Fresh and Clean this unit has been recently renovated and is available for quick possession.  Large windows for lots of natural light, large storage in the apartment for all the extras.  Great location with easy access to parks, shopping, library, gallery and more.  Transit just outside your door.  Secure building, with wheel chair access, elevators, pets allowed with restriction, rentals allowed, onsite management 24/7. Seller is paying the special levy.","Seller is paying the special levy of $17000.00","BC Northern","For Sale",,,,"$289.00",,,,,"10/12/2018","$65,000","$97.01","0.93","10/16/2018","1","1","RM7"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305152/0/120/90/c0cfd27ca7917fbfde485316b7f2e75c/13/763d24b4f3d05bb05efebdf6563330b7/262305152.JPG","R2283525","Residential Detached","S","290 8TH AVENUE","Burns Lake - Town","$66,000","1949","HOUSE","1",,,,,,"69",,"250-692-3530","1970","Burns Lake (Zone 55)",,,"0","2",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"6/25/2019",,"Dennis Bock","Other","1","$1,123.49",,,,,"6/25/2018",,,"2",,"007-602-189",,"V0J 1E0",,"BC","Two Bedroom home with preserved wood footing with a living room addition with a basement with a cement foundation. The lot is extra long and backs onto a park. It comes with a kitchen stove and a clothes washer","Foundation is wood footing and living rm addition with basement is cement.","BC Northern","For Sale",,,,,,,,,"10/16/2018","$66,000","$50.73","0.88","11/5/2018","1","2","R1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262336498/0/120/90/11e931f98896ba98f1f1c4386fbb08eb/13/f79082a50ac55c7bec89cba18071e9d1/262336498.JPG","R2314871","Residential Attached","S","805 1501 QUEENSWAY STREET","Millar Addition","$66,500","1966","APTU","1",,,,,,"52",,"250-612-2061",,"PG City Central (Zone 72)",,,"0","1",,,,"Prince George","Residential Attached",,"MILLAR ADDITION",,,"Attached",,"1/11/2019",,"DENISE DUNN","Concrete Perimeter","1","$640.27",,,,,"10/11/2018",,,"1",,"026-577-062",,"V2L 1L5",,"BC","vacant  - move into this renovated condo, new kitchen, flooring, paint, or rent out to the person of your choice. Beautiful modern unit. Centrally located, close to public transit, within walking distance of parks, library, shopping, amenities. This secure building has 24-7 on-site management. Nice-size in-suite storage room, updated windows & elevators. Laundry facilities available, wheelchair accessible. Rentals are allowed, pets allowed with restrictions.","vacant call for keys. - renovations just finished","BC Northern","For Sale",,"10",,"$284.00",,,"94",,"10/23/2018","$66,500","$101.53","0.95","10/30/2018","1","1","RM7"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262303280/0/120/90/12ae1b4d38cb68e311fb9e84dad9b043/13/6f2d541453d3bb2878cde07bb9ec251e/262303280.JPG","R2281653","Residential Detached","S","1829 ALDER AVENUE","Red Bluff/Dragon Lake","$67,000","1977","MNFLD","1",,,,,,"41",,"250-983-5792",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"RED BLUFF","37955",,"Detached",,"11/30/2018",,"WILLIAM","Other","0","$607.27",,,,,"6/15/2018",,,"1",,"016-519-671",,"V2J 3T3",,"BC","Investors, first-time buyers and/or retirees--looking for one-level living...take note! 2-bedroom home on almost 3/4 of an acre, with the potential for a 3rd bedroom in the mudroom--and priced to sell! Quiet location that is still close to all the convenience of living south of town. Shopping and schools are right around the corner. Bring your ideas and transform this house into a home!","Vacant, have at it. Shared wel with easement. Foundation is wood cribbing.","BC Northern","For Sale",,,,,,,,,"10/18/2018","$67,000","$71.28","0.79","11/7/2018","0","2","R2"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262336872/0/120/90/e5ab7d44af49255430d3212e2f4fa0fb/13/f3782f5f68566e5f2af1885cbe658cee/262336872.JPG","R2315245","Residential Attached","S","108 1501 QUEENSWAY STREET","Millar Addition","$71,500","1966","APTU","1",,,,,,"52",,"250-961-0989",,"PG City Central (Zone 72)",,,"0","2",,,,"Prince George","Residential Attached",,,,,"Attached",,"3/15/2019",,"HARVEY","Concrete Perimeter","1","$771.45",,,,,"10/15/2018",,,"1",,"026-576-538",,"V2L 1L5",,"BC","Very spacious, clean, and nicely renovated unit, conveniently located close to parks, shopping, the library and downtown. There have been many updates, with new laminate/tile flooring, trims, paint and windows. The floor plan is welcoming, with a nice-size living room (with many daylight windows), dining room open to galley kitchen (which boasts beautiful cabinets and countertops), updated 4-piece bath and--to make this unit the real deal--it is one of the very few with 2 spacious bedrooms found in the whole building. Great opportunity for the investor and the first-time buyer. Don't wait, because this special 2-bedroom unit won't last long!!","Please allow for 48 hr notice, unit is tenanted. Managed by Li-Car property management. Special levy has been paid by the registered owner.","BC Northern","For Sale",,,,"$368.00",,,,,"10/19/2018","$71,500","$84.32","0.95","10/30/2018","1","2","RM7"
