"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261503577/0/120/90/67aa810b79f45738d29462b88cc200f3/15/489c95e85da4c0549ad6190073d46821/261503577.JPG","F1432182","Residential Detached","S","171 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","205980",,"Detached",,"7/30/2015",,"LES WELLMAN","Concrete Block","1","$12.00",,,,,"2/10/2015",,,"1",,"900-573-855",,"V3W 5X4",,"BC","Crispen Bays. 2 bed rooms with separate laundry room. The 3rd room could be huge bedroom, hobby room or family room. New furnace (Coleman) installed Feb 2015. F/S, W/D all included. Large lot located on quiet cul de sac. Vacant move tomorrow pad rent $850. 2 small pets allowed family park. Stone throw to both schools (Frank Hurt) and (Bear Creek) Grade 1 thru 12. Bus stop out front of park. Walk to Costco, Superstore, banking and more only minutes to skytrain.",,"Fraser Valley","For Sale",,,,,,,,,"4/14/2015","$10,000","$11.52","0.59","4/22/2015","1","2","MHP","$16,900",,"63",,"868",,"0.00","Surrey","$11.52","0.59","Manufactured"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261548143/0/120/90/9dc8ad1990e6994477c801abb622c8cc/15/445e2a80ae5256fe2860ba62ec14efa4/261548143.JPG","V1108028","Residential Detached","S","44 21668 LOUGHEED HIGHWAY","West Central","1973","Manufactured","1",,,,,,"42",,"604-820-0555",,"Maple Ridge",,,"0","2",,,,"Maple Ridge","Residential Detached",,"CENTENNIAL MOTOR INN","37007",,"Detached",,"3/1/2016",,"Nancy Olson","Concrete Block","1","$345.00",,,,,"3/1/2015",,,"1",,"800-092-986",,"V2X 2S1",,"BC","Velmont 850 sq ft Mobile Home with a nice addition of master bedroom. Centrally located with a large covered deck with trees behind for privacy. Bay window in living room, laminate flooring in kitchen and hallway. Large laundry room with lo ts of storage. 4 piece bathroom with newer vanity and flooring. Expansive Storage Shed with workshop. No age restrictions, NO dogs, fixed cat welcome. RV parking. Pad rental approx $510. Furniture in unit staying. Great value for a place to live in beautiful Maple Ridge.","All measurements approx. Easy to show. Vacant. 1 fixed cat welcome, NO dogs. No age restrictions. BC Safety Authority #37007 Province of BC Reg No. 11862. 1973 Velmont MFH SNT 56242609-100AMP","Greater Vancouver","For Sale",,,,,,,,,"4/13/2015","$16,000","$18.82","0.80","4/17/2015","1","2","MHP","$19,900",,"43",,"850","0.00","0.00","Maple Ridge","$18.82","1.07","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261353127/0/120/90/92d5af0178e33c8487732d65fbf71b66/14/b56a81b0348fb3bb14dbc54e46c8e808/261353127.JPG","H1404340","Land Only","S","15231 CEDAR BOULEVARD","Hope Sunshine Valley",,,,,,,,"Road Access",,,"604-819-1167",,"Hope",,,,,"No","Not Available",,"Hope","Land",,"Sunshine Valley",,"Yes",,"Available","10/30/2015",,"Lesley",,,"$179.00",,,"Yes",,"10/30/2014","Not Available",,,,"024-135-186","House/Single Family","V0X 1L5","No","BC","Fabulous recreational or year round development in the beautiful Sunshine Valley. You are close to Manning Park, hiking, skiing and many other activities. This development has a large recreation center/pool. Here's your chance to own your o wn 1/4 acre piece of recreational heaven a two hour drive from Vancouver. A wonderfully affordable place to relax & have fun.","Yearly fee for road maintenance, recreation center. Geo Tech study available. $30 monthly- water; $26.00 monthly-recreation.$100.00 yearly-fire protection;$125.00 yearly - garbage disposal.","Chilliwack","For Sale","None",,"None",,"No",,,"Community","4/14/2015","$17,000",,"0.68","4/16/2015",,,"N/A","$24,999","No","166","0",,"130.00","0.00","Chilliwack",,"0.68","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261625931/0/120/90/6adb2e3fb8c93b11cb7237307adfe127/13/d688aac67444467691870de89b211d53/261625931.JPG","N243573","Residential Detached","S","81 12842 OLD HOPE ROAD","Lakeshore","1974","Manufactured","1",,,,,,"41",,"250-793-4394",,"Fort St. John (Zone 60)",,,"0","3",,,,"Charlie Lake","Residential Detached",,"SHADY ACRES MOBILE HOME PARK","162854",,"Detached",,"9/30/2015",,"ANNETTE REEDER","Other","1","$248.00",,,,,"3/30/2015",,,"1",,"800-093-958",,"V1J 4M7",,"BC","Bargain-priced 3 bedroom manufactured home located in Shady Acres Mobile Home Park. Some updates completed include new hot water tank, new natural gas furnace, new windows (in 2007). Roof was repaired and has had no new leaks since then. Includes appliances and other items. This home is great for the handyman to put your own touches. Owner said sell, she is open to offers. phone or text the listing realtor for your appointment to view.250-793-4394","Text Annette 250-793-4394 for appointment. Buyer to verify measurements if deemed necessary. Foundation is wood.","BC Northern","For Sale",,,,,,,,,"4/11/2015","$20,000","$26.04","0.67","5/7/2015","1","3","R-4","$30,000",,"12",,"768",,"0.00","Dawson Creek Rural/North Peace","$26.04","0.67","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261441476/0/120/90/9745d720bbf61c4ccc26e30253040974/15/80f06b503f06674d21927286fbdc56e1/261441476.JPG","F1429379","Residential Detached","S","32 6571 KING GEORGE BOULEVARD","West Newton","1971","Manufactured with Land","1",,,,,,"44",,"604-581-3838","2004","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Newton mobile home park","2424954",,"Detached",,"12/30/2015",,"JEET","Concrete Block","1","$100.00",,,,,"1/7/2015",,,"1",,"900-573-461",,"V3W 4Z4",,"BC","NEWTON MOBILE PARK Well kept 2- bedroom mobile home sitting far away from king george blvd , has propane stove , full bath , nice kitchen , carport , 2- storage shed , work bench , inside wall has wood panels . walk to bus-stop , school , shopping , rental pad fee of $537.28 includes sewer, garbage , water. LOW PAD RENT.","*S.Comm. $1,800 inc tax. www.jeetsingh.ca","Fraser Valley","For Sale",,,,,,,,,"4/10/2015","$20,500","$30.51","0.90","4/20/2015","1","2","MHP","$22,900",,"93","0","672","0.00","0.00","Surrey","$30.51","0.69","Manufactured with Land"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261273357/0/120/90/c0cee99929ecef2ccbcc0e5bfdd736fa/14/ff160d5661fc0653013cb00080c0917b/261273357.JPG","H1403902","Land Only","S","61613 YALE ROAD","Hope Silver Creek",,,,,,,,"Road Access",,,"604-858-7179",,"Hope",,,,,"No","Not Available",,"Hope","Land",,,,"No",,"Nearby","6/12/2015",,"GARRY KING",,,"$709.00",,,"No",,"9/18/2014","Not Available",,,,"026-450-381",,"V0X 1L2","Yes - Agricultural Land Reserve","BC","Prime recreational property on the Fraser River. Nearly 3/4 acre parcel located near the Hope Airport at Exit #165. Terrific recreational property for weekend get-a-ways, flat & mostly cleared, easy freeway access.","Schedule 'A' required. Allow 7 days for acceptance of sale. Get info from L/R.","Chilliwack","For Sale","None",,"None",,"No",,,"None","4/13/2015","$28,000",,"0.70","4/14/2015",,,"RU1","$39,900",,"207","IRREG/.68 ACRES",,"322.00","0.68","Chilliwack",,"0.40","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261475971/0/120/90/6e2ed6e1214b8096247e9de1f9f26352/13/94d1e29644002c2b0a47383d4c85b244/261475971.JPG","N241987","Land Only","S","LOT 7 GRANTHAM ROAD","Smithers - Rural",,,,,,,,"Road Access",,,"250-847-0335",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"Smithers","Land",,"GRANTHAM",,"No",,"At Lot Line","1/29/2016",,"RON LAPADAT",,,"$173.00",,,"Yes",,"1/23/2015","Not Available",,,,"006-401-937","Mixed","V0J 2X2","No","BC","Rural subdivision located about 45 minutes drive from Smithers. Lots 7, 9, 10 and 11 are approximately 5 acres each and are level to gently sloping and treed with bush and some open meadow areas. Lot 13 is almost 27 acres and is undulating and treed. All lots are zoned H-2 and not in the ALR; zoning allows 2 dwellings per lot. Hydro and telephone run along Grantham Road. Located near the Bulkley River, Klinger Lake and various hiking and ATV trails. Perfect for a hobby farmer and for a quiet and secluded rural life style.","Owner developer, prospectus from 1979 available.","BC Northern","For Sale","None",,"None",,"No",,,"None","4/14/2015","$30,000",,"0.75","4/29/2015",,,"H-2","$39,900",,"81",,,"0.00","5.00","Smithers Rural",,"0.75","Mixed"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261621075/0/120/90/37f026d8cac9c7fd98360e7778595c78/13/489821a18cfb6bd64dec1f6b2f39501b/261621075.JPG","N243507","Residential Detached","S","47 FULTON STREET","Granisle","9999","House/Single Family","1",,,,,,"999",,"250-613-9037",,"Burns Lake (Zone 55)",,,"0","3",,,,"Burns Lake","Residential Detached",,"BURNS LAKE/GRANISLE",,,"Detached",,"9/30/2015",,"MARTIN","Concrete Perimeter","1","$1,500.00",,,,,"3/25/2015",,,"2",,"009-647-520",,"V0J 1W0",,"BC","Views of Babine Lake from your front door! Clean and bright 3 bdrm bungalow backing onto a quiet park. This home provides exceptional value for those starting out and looking to retire in the peaceful Village of Granisle, or simply have a v ery comfortable base camp from which to explore the exceptional fishing and hunting opportunities in the region. Well maintained with newer paint and shingles make this home move-in ready. Close to town amenities and marina. Attached carport, wheelchair accessible and an RSF wood stove in basement with newer block chimney. (The enclosed information while deemed to be correct, is not guaranteed).","Please turn off lights and leave interior doors as follows: open master bedroom door, close other two bedrooms and bathroom. Your consideration is appreciated. Call Martin for all viewings 250-613-9037. Key available in Granisle to show.","BC Northern","For Sale",,,,,,,,,"4/14/2015","$44,000","$21.57","0.99","5/4/2015","1","3","R1","$44,500",,"20","120","2,040","72.00","0.00","Granisle","$21.57","0.99","House/Single Family"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261378658/0/120/90/bb453538d42f7ed9af3ada21f970fee9/15/ad3740ed1dcd0cbe4a2e1ca9e3792541/261378658.JPG","H1404475","Residential Attached","S","101 9282 HAZEL STREET","Chilliwack E Young-Yale","1982","Apartment/Condo","1",,,,,,"32",,"604-855-0800",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"HAZELWOOD MANOR",,,"Attached",,"6/30/2015",,"MIKE","Concrete Perimeter","1","$443.00",,,,,"11/17/2014",,,"1",,"008-041-041",,"V2P 5N6",,"BC","1 bedroom unit in fully rentable Hazelwood Manor. Unit is vacant, but not on the ground floor. Very affordable entry in to the investment market, building has new roof in 2011. Electric baseboard heat. The unit was rented for $550.00 per mo nth plus hydro. New carpets, lino & paint have all been freshly done. Appliances have been replaced in the last couple of years. Strata fees are $209/mth.","Vacant unit.","Chilliwack","For Sale",,"4",,"$209.00",,,"29",,"4/14/2015","$45,550","$81.48","0.95","4/30/2015","1","1","R5","$47,800",,"148",,"559",,"0.00","Chilliwack","$81.48","0.91","Apartment/Condo"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260972273/0/120/90/b1ef3ac695bd77818e9b5c364300a621/16/e9823e26e09cc50307a37a4511ef8f54/260972273.JPG","V1063718","Residential Detached","S","304 201 CAYER STREET","Maillardville","1973","Manufactured with Land","1",,,,,,"41",,"604-939-6666","2009","Coquitlam",,,"0","3",,,,"Coquitlam","Residential Detached",,,"151546",,"Detached",,"5/9/2015",,"Iris Chen","Concrete Slab","2","$110.00",,,,,"5/9/2014",,,"1",,"800-085-915",,"V3K 5A9",,"BC","Affordable housing couldnt get any better. This single wide Manufactured home is a great economically way to own. This home offers 3 bedrooms, 2 bathroom, nice living room & kitchen. Roof has been replaced and insulation has been replaced and updated. Laminated floor and screen has been installed. Park has indoor pool, clubhouse, playground & tennis courts. Walk to Superstore, theatres, bowling alley, Ikea, shopping and transportation. At this price is could be a real delight, 2 pets allowed, dog's 16 max at shoulder. Bring your offers. Open May 17, 2014.","Reg #008287. CSA 37149. Pad Fee subject to change on New Tenancy.","Greater Vancouver","For Sale",,,,"$0.00",,,,,"4/10/2015","$49,900","$47.98","1.00","4/17/2015","2","3","MOBILE","$49,900",,"336",,"1,040",,"0.00","Coquitlam","$47.98","0.83","Manufactured with Land"
