"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261503577/0/120/90/67aa810b79f45738d29462b88cc200f3/15/489c95e85da4c0549ad6190073d46821/261503577.JPG","F1432182","Residential Detached","S","171 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","205980",,"Detached",,"7/30/2015",,"LES WELLMAN","Concrete Block","1","$12.00",,,,,"2/10/2015",,,"1",,"900-573-855",,"V3W 5X4",,"BC","Crispen Bays. 2 bed rooms with separate laundry room. The 3rd room could be huge bedroom, hobby room or family room. New furnace (Coleman) installed Feb 2015. F/S, W/D all included. Large lot located on quiet cul de sac. Vacant move tomorrow pad rent $850. 2 small pets allowed family park. Stone throw to both schools (Frank Hurt) and (Bear Creek) Grade 1 thru 12. Bus stop out front of park. Walk to Costco, Superstore, banking and more only minutes to skytrain.",,"Fraser Valley","For Sale",,,,,,,,,"4/14/2015","$10,000","$11.52","0.59","4/22/2015","1","2","MHP","$16,900",,"63",,"868",,"0.00","Surrey","$11.52","0.59","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261353127/0/120/90/92d5af0178e33c8487732d65fbf71b66/14/b56a81b0348fb3bb14dbc54e46c8e808/261353127.JPG","H1404340","Land Only","S","15231 CEDAR BOULEVARD","Hope Sunshine Valley",,,,,,,,"Road Access",,,"604-819-1167",,"Hope",,,,,"No","Not Available",,"Hope","Land",,"Sunshine Valley",,"Yes",,"Available","10/30/2015",,"Lesley",,,"$179.00",,,"Yes",,"10/30/2014","Not Available",,,,"024-135-186","House/Single Family","V0X 1L5","No","BC","Fabulous recreational or year round development in the beautiful Sunshine Valley. You are close to Manning Park, hiking, skiing and many other activities. This development has a large recreation center/pool. Here's your chance to own your o wn 1/4 acre piece of recreational heaven a two hour drive from Vancouver. A wonderfully affordable place to relax & have fun.","Yearly fee for road maintenance, recreation center. Geo Tech study available. $30 monthly- water; $26.00 monthly-recreation.$100.00 yearly-fire protection;$125.00 yearly - garbage disposal.","Chilliwack","For Sale","None",,"None",,"No",,,"Community","4/14/2015","$17,000",,"0.68","4/16/2015",,,"N/A","$24,999","No","166","0",,"130.00","0.00","Chilliwack",,"0.68","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260832046/0/120/90/07a70a520f912f352984b63c7c533a40/13/176dc8011d1500a038195b2dd742e3a6/260832046.JPG","N233913","Land Only","S","LOT 1 QUARTZ ROAD","Fraser Lake",,,,,,,,"Road Access",,,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"At Lot Line","4/30/2015",,"CARL OR JEANNIE",,,"$148.00",,,"Yes",,"3/10/2014","Not Available",,,,"005-330-688","House/Single Family","V0J 1S0","No","BC","A good building site on a quiet road. Close to Francois Lake and the great fishing there. This property allow all the convenience of living by the lake without the cost of doing so. Treed, private and quiet with easy access to the back coun try. A great jumping off place for a week-end adventure.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/19/2015","$25,000",,"0.67","4/23/2015",,,"RR","$37,500","No","405",,,"0.00","5.50","Fraser Lake",,"0.67","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260832144/0/120/90/11f86327c74bab88f4f89ca3aeaa9801/13/7e4916d12a2b0b7c1a20f3a5ab714318/260832144.JPG","N233915","Land Only","S","LOT 3 QUARTZ ROAD","Fraser Lake",,,,,,,,"Road Access",,,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"At Lot Line","4/30/2015",,"CARL /JEANNIE",,,"$142.00",,,"Yes",,"3/10/2014","Not Available",,,,"005-330-718","House/Single Family","V0J 1S0","No","BC","A good building site on a quiet road. Close to Francois Lake and the great fishing there. This property allows all the conveniences of living by the lake, without the cost of doing so. Treed, private and quiet with easy access to the back c ountry. A great jumping off place for a weekend adventure.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/19/2015","$25,000",,"0.67","4/23/2015",,,"RR","$37,500","No","405",,,"0.00","5.01","Vanderhoof Rural",,"0.67","House/Single Family"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261347451/0/120/90/5f337af78db2a8c333f3e789dc7990ad/13/2a447cf870759c0bc62c93185b27b16e/261347451.JPG","N240721","Residential Detached","S","8 1095 DYKE ROAD","McBride - Town","1984","Manufactured","1",,,,,,"30",,"250-569-2793",,"Robson Valley (Zone 81)",,,"0","3",,,,"McBride","Residential Detached",,"DOR-VAL TRAILER PARK","CSA#442199",,"Detached",,"10/21/2015",,"RODGER","Other","1","$273.00",,,,,"10/21/2014",,,"1",,"800-090-134",,"V0J 2E0",,"BC","Very well-maintained 14 x 66 mobile. 8 x 10 entrance and 8 x 11 patio. Recent extensive upgrades throughout. Vaulted ceiling in the living room, kitchen and dining areas. New lino in the kitchen/dining area. 3 bedrooms, 4-pc bath. This mobile is in like-new condition and looks like it's in great shape! Easy heating with oil forced-air furnace. Quiet pad at the end of the park. Play area for children. Near to the town of McBride, and the school bus route is very close.","Very well maintained 14 x 66 mobile. Foundation is concrete pads and blocking.","BC Northern","For Sale",,,,,,,,,"4/16/2015","$28,500","$30.84","0.96","5/6/2015","1","3","MHP","$29,750",,"177",,"924",,"0.00","Mcbride","$30.84","0.96","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261475971/0/120/90/6e2ed6e1214b8096247e9de1f9f26352/13/94d1e29644002c2b0a47383d4c85b244/261475971.JPG","N241987","Land Only","S","LOT 7 GRANTHAM ROAD","Smithers - Rural",,,,,,,,"Road Access",,,"250-847-0335",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"Smithers","Land",,"GRANTHAM",,"No",,"At Lot Line","1/29/2016",,"RON LAPADAT",,,"$173.00",,,"Yes",,"1/23/2015","Not Available",,,,"006-401-937","Mixed","V0J 2X2","No","BC","Rural subdivision located about 45 minutes drive from Smithers. Lots 7, 9, 10 and 11 are approximately 5 acres each and are level to gently sloping and treed with bush and some open meadow areas. Lot 13 is almost 27 acres and is undulating and treed. All lots are zoned H-2 and not in the ALR; zoning allows 2 dwellings per lot. Hydro and telephone run along Grantham Road. Located near the Bulkley River, Klinger Lake and various hiking and ATV trails. Perfect for a hobby farmer and for a quiet and secluded rural life style.","Owner developer, prospectus from 1979 available.","BC Northern","For Sale","None",,"None",,"No",,,"None","4/14/2015","$30,000",,"0.75","4/29/2015",,,"H-2","$39,900",,"81",,,"0.00","5.00","Smithers Rural",,"0.75","Mixed"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261604070/0/120/90/d96efc8d010754d541d4b7b1e1c5c590/15/a85dea75113983785eba485a288ef347/261604070.JPG","F1436081","Residential Detached","S","59 7790 KING GEORGE BOULEVARD","West Newton","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","4",,,,"Surrey","Residential Detached",,"Crispen Bays","13974",,"Detached",,"11/15/2015",,"Les Wellman","Concrete Block","2","$90.00",,,,,"3/23/2015",,,"1",,"900-574-277",,"V3W 5Y4",,"BC","Crispen Bays. 4 bedroom, 2 full bathroom with a family room. Located in corner with huge yard & no neighbor to one side vacant all appliances remain, family park 2 small pet ok. Both schools & a stone throw away grads 1 thru 12. Clubhouse and pool. Bus stop out front of park. Only minutes to sky train, walk to all shopping, pad rent is $806, washer is new 2015, dryer 2014. Electric fine place. 2 storage shed. Fenced backyard.",,"Fraser Valley","For Sale",,,,,,,,,"4/16/2015","$32,000","$30.48","0.92","4/27/2015","2","4","MHP","$34,900",,"24",,"1,050","0.00","0.00","Surrey","$30.48","0.92","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261431930/0/120/90/40a1f91e54f310acfdff243a2d2fbd0a/15/db8665c2e5ec67597e58c8c564adf7b2/261431930.JPG","F1428887","Residential Detached","S","49 9080 198 STREET","Walnut Grove","1976","Manufactured","1",,,,,,"39",,"604-513-2300","2013","Langley",,,"0","2",,,,"Langley","Residential Detached",,"Forest Green Estates","285457",,"Detached",,"6/30/2015",,"Rosemary","Other","1","$123.00",,,,,"1/1/2015",,,"1",,"900-573-384",,"V1M 3A8",,"BC","Happiness is affordability! This sharply priced 2 BR home offers recent updates that includes roof, furnace, carpet, flooring, and more! Spacious kitchen with meal nook leads to large covered deck perfect for year round living, full size la undry area tucked into bathroom, king size mbdrm with good closet space, 2nd BR or den, landscaped lot with separate storage. This gated community is for those 55+ and 1 small pet, features include doggie parkette, clubhouse with full kitchen, well equipped workshop, ample visitor & RV parking, location is close to all that Walnut Grove has to offer. Move in ready, call soon or this good buy will soon be good bye!","day before notice to show please. 1 owner must be 55 (within calendar year) 1 sm all pet ok. pix & tour www.homesinlangley.ca","Fraser Valley","For Sale",,,,,,,,,"4/16/2015","$33,500","$41.05","0.89","4/22/2015","1","2","MH-1","$37,500",,"105",,"816","0.00","0.00","Langley","$41.05","0.89","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261646323/0/120/90/859b4fc6644ffd0aa0dd4b721dc1f8dd/13/bc1776e797764f0b587256ceacc5a541/261646323.JPG","N243862","Residential Detached","S","78 770 ELEVENTH AVENUE","Williams Lake - City","1981","Manufactured","1",,,,,,"34",,"250-392-5959",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"FRAN LEE MHP","421325",,"Detached",,"7/31/2015",,"GEORDIE","Other","1","$388.00",,,,,"4/8/2015",,,"1",,"800-094-129",,"V2G 2M4",,"BC","Say hello to affordable living! Well cared for 3 bedroom mobile home with great location in popular Fran Lee Park. Central location to all levels of school. Large porch to enjoy as covered entry with storage or future developing. Good parki ng and a fair bit of yard. Roofing redone in 2008. On the Bus Route for Gibraltar mine.","Foundation is wooded blocks on cement pads.","BC Northern","For Sale",,,,,,,,,"4/15/2015","$34,500","$37.34","0.87","4/28/2015","1","3","MHP","$39,900",,"7",,"924","0.00","0.00","Williams Lake","$37.34","0.87","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261621504/0/120/90/ef74fc7c60065b146bc8ecfd256de82f/14/d9c7e8392d3c78697f29c508c192b9b6/261621504.JPG","H2151222","Residential Detached","S","141 6338 VEDDER ROAD","Sardis East Vedder Rd","1984","Manufactured","1",,,,,,"31",,"604-819-1664",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"MAPLE MEADOWS MOBILE HOME PARK","424532",,"Detached",,"9/30/2015",,"DOUG SAWCHUK","Other","1","$750.00",,,,,"3/28/2015",,,"1",,"700-001-345",,"V2R 1C6",,"BC","Well kept 2 bedroom home situated on a large lot in Maple Meadows Park. Features vaulted ceilings, laminate flooring and an open floor plan. Enjoy a large 8 x 20 covered deck, 8 x 12 storage shed and parking for 3 vehicles. Walk to al l amenities and on the bus route. Small dog ok.",,"Chilliwack","For Sale",,,,,,,,,"4/18/2015","$42,500","$38.22","0.94","4/30/2015","1","2","MHP","$45,000",,"21",,"1,112","0.00","0.00","Chilliwack","$38.22","0.94","Manufactured"
