"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261391688/0/120/90/a53babb81a5b2e79db53216913cc4442/15/57295d8d4f6fff0967b9509f65083cce/261391688.JPG","F1427573","Residential Detached","S","174 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","253252",,"Detached",,"5/30/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"11/24/2014",,,"1",,"900-573-134",,"N0N 0N0",,"BC","Crispen Bays. 2 bedroom with covered patio + carport. Vacant pad rent $830 per month. Complex has pool + clubhouse. Bus stop out front of park, only minutes to skytrain. Walk to all shopping, Superstore, Costco, banking and more. F/S, W/D, A/C. Roof was replaced with new metal roof.",,"Fraser Valley","For Sale",,,,,,,,,"4/21/2015","$7,000","$9.11","0.54","4/30/2015","1","2","MHP","$12,900",,"148",,"768","0.00","0.00","Surrey","$9.11","0.54","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261252480/0/120/90/9280088ececdd6f30bb091dba5cf2936/15/a03890cbafcdb7a42a45ecedae5227e8/261252480.JPG","F1422708","Residential Detached","S","13 7850 KING GEORGE HIGHWAY","East Newton","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Bear Creek Glen","107010",,"Detached",,"6/30/2015",,"Les Wellman","Concrete Block","1","$228.00",,,,,"9/15/2014",,,"1",,"900-572-489",,"V3W 5B2",,"BC","Bear Creek Glen double wide in Seniors Park 55+, small pet OK. Corner lot at entrance. No neighbor on one side. It has a multipurpose room, 22'x12' club house, bus stop out front of park, only min to sky train. Walk to Costco, Superstore and much more. Pad rent $832.","SUBJECT TO PROBATE. Vacant.","Fraser Valley","For Sale",,,,,,,,,"4/21/2015","$15,000","$12.50","0.76","4/30/2015","1","2","MHP","$19,750",,"218",,"1,200","0.00","0.00","Surrey","$12.50","0.56","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261594370/0/120/90/a26d2e1fa5d80bdab2462e33810927cc/15/8f5a3aeaf60f9ef07625dc8daab6a9b5/261594370.JPG","F1435724","Residential Detached","S","121 7790 KING GEORGE BOULEVARD","East Newton","1977","Manufactured","1",,,,,,"38",,"604-315-5759",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","244811",,"Detached",,"12/31/2015",,"KRYSTYNA WATTS","Other","1",,,,,,"3/16/2015",,,"1",,"900-574-199",,"V3W 5Y4",,"BC","CRISPEN BAYS - Single wide 14x68 2 bedrooms plus Den (2nd bedroom currently a hobby room - cabinets can be removed - den could be 3rd bedroom). Huge detached workshop for Mr.Fix-It or extra storage, good sized eating area off kitchen, brigh t living room, family park, 2 small pets ok, great clubhouse with O/D pool. Close to all amenities. Shows well, motivated seller. Easy to show. Hot water tank replaced 2 yrs ago, furnace replaced 6 yrs ago, seller will remove cabinets from 2nd bedroom upon request.",,"Fraser Valley","For Sale",,,,,,,,,"4/21/2015","$15,500","$16.28","1.00","5/11/2015","1","2","MFD","$15,500",,"36",,"952","0.00","0.00","Surrey","$16.28","1.00","Manufactured"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261656512/0/120/90/1633534e95e68b1097aae0d8881a4361/13/08b44798f6208666aa5db24a2072b100/261656512.JPG","N244022","Residential Detached","S","122 3666 11TH STREET","Houston - Town","1976","Manufactured","1",,,,,,"39",,"250-847-9222",,"Houston (Zone 53)",,,"0","2",,,,"Houston","Residential Detached",,"AMBASSADOR MOBILE HOME PARK","CSA# 14422",,"Detached",,"10/14/2015",,"DAN HANSMA","Other","1","$152.00",,,,,"4/14/2015",,,"1",,"800-094-269",,"V0J 1Z0",,"BC","Recently renovated double-wide all set up and tucked away in the back of Ambassador Mobile Home Park. Nice fenced backyard area with storage shed, garden, firepit, overlooking hayfields and hills. 2 bedrooms, 1 bath. Master with patio door to private backyard sundeck (with hot tub). Spacious kitchen with updated laminate flooring, and new paint. Updated carpet in the living room/halls/bedrooms. Updated vanity/toilet in bathroom. Large boot room addition with newer wood stove. Covered deck with lots of room for storage. Updated appliances and hot tub included.","Foundation is wood blocks. Brett Perreault will be excluded from this contract until April 30th, 2015.","BC Northern","For Sale",,,,,,,,,"4/20/2015","$24,500","$24.70","0.98","4/29/2015","1","2","R3","$24,900",,"6",,"992",,"0.00","Houston","$24.70","0.98","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261411312/0/120/90/a956f9c50d09effdfac7521c16fc364c/13/a632823bdf42db9567954dbd03541d6e/261411312.JPG","N241325","Land Only","S","1080 14TH AVENUE","Valemount - Town",,,,,,,,"Allowed Access",,,"250-566-4438",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"At Lot Line","6/9/2015",,"SHELLY OR JOHN",,,"$439.00",,,"Yes",,"12/8/2014","Not Available",,,,"003-659-348","Mixed","V0E 2Z0","No","BC","This lot is ready for you! Approximately 7729 sq ft, this lot is situated on the south side of Valemount close to the secondary school, and only a short drive from shopping. Minutes away from Starratt Wildlife Sanctuary, you can live in a quiet setting near nature. Come and be a part of the Robson Valley lifestyle!","Property sold as is. Sale subject to court approval.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","4/21/2015","$24,700","$3.20","0.89","5/25/2015",,,"R2","$27,900","No","134",,,"0.00","0.18","Valemount","$3.20","0.89","Mixed"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260832046/0/120/90/07a70a520f912f352984b63c7c533a40/13/176dc8011d1500a038195b2dd742e3a6/260832046.JPG","N233913","Land Only","S","LOT 1 QUARTZ ROAD","Fraser Lake",,,,,,,,"Road Access",,,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"At Lot Line","4/30/2015",,"CARL OR JEANNIE",,,"$148.00",,,"Yes",,"3/10/2014","Not Available",,,,"005-330-688","House/Single Family","V0J 1S0","No","BC","A good building site on a quiet road. Close to Francois Lake and the great fishing there. This property allow all the convenience of living by the lake without the cost of doing so. Treed, private and quiet with easy access to the back coun try. A great jumping off place for a week-end adventure.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/19/2015","$25,000",,"0.67","4/23/2015",,,"RR","$37,500","No","405",,,"0.00","5.50","Fraser Lake",,"0.67","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260832144/0/120/90/11f86327c74bab88f4f89ca3aeaa9801/13/7e4916d12a2b0b7c1a20f3a5ab714318/260832144.JPG","N233915","Land Only","S","LOT 3 QUARTZ ROAD","Fraser Lake",,,,,,,,"Road Access",,,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"At Lot Line","4/30/2015",,"CARL /JEANNIE",,,"$142.00",,,"Yes",,"3/10/2014","Not Available",,,,"005-330-718","House/Single Family","V0J 1S0","No","BC","A good building site on a quiet road. Close to Francois Lake and the great fishing there. This property allows all the conveniences of living by the lake, without the cost of doing so. Treed, private and quiet with easy access to the back c ountry. A great jumping off place for a weekend adventure.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/19/2015","$25,000",,"0.67","4/23/2015",,,"RR","$37,500","No","405",,,"0.00","5.01","Vanderhoof Rural",,"0.67","House/Single Family"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261603316/0/120/90/54169bb1ef8bd2ae6aa80d560cf9577a/15/2f558391ab0aec0e77dac161083fd506/261603316.JPG","F1436042","Residential Detached","S","20 15820 FRASER HIGHWAY","Fleetwood Tynehead","9999","Manufactured","1",,,,,,"999",,"604-315-5759",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,,"33394",,"Detached",,"12/31/2015",,"Krystyna Watts","Other","1","$163.00",,,,,"3/19/2015",,,"1",,"900-574-276",,"V4N 0Y2",,"BC","Green Tree Estates, 2 bedroom, single wide in 55+ Sr. Park, cute as a button with skylights in living room & kitchen, solarium off kitchen plus enclosed porch. Great backyard with fruit trees and detached storage shed. Pad rent $455. Includes water, sewer, garbage, taxes on the land. Vacant, shows well, easy to show!",,"Fraser Valley","For Sale",,,,,,,,,"4/20/2015","$27,000","$37.50","0.69","4/24/2015","1","2","MFD","$39,000",,"32",,"720","0.00","0.00","Surrey","$37.50","0.69","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260894775/0/120/90/a77d4f52bc9f6645db9a43cbca18e0d9/13/69c6dcb10a16b38ee942f427a06bc621/260894775.JPG","N234704","Land Only","S","3 110 FOREST RIDGE ROAD","100 Mile House - Town",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"At Lot Line","10/31/2015",,"MEL OR ADAM",,,"$0.00",,,"Yes",,"4/7/2014","At Lot Line",,,,"029-002-141","House/Single Family","V0K 2E1","Yes - Agricultural Land Reserve","BC","Great fully serviced city lot! This strata community is for those 55+, located within city limits this small lot is meant for those wanting to downsize and move to the convenience of town while still having control of their own home. Strata ortion is limited and very low cost to help make this a convenient and affordable way to downsize. L#6782",,"BC Northern","For Sale","Community",,"Nearby",,"No",,,"City/Municipal","4/20/2015","$35,000",,"0.78","5/4/2015",,,"R3","$45,000","No","378","20",,"56.83","0.10","100 Mile House",,"0.78","House/Single Family"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256169527/0/120/90/753028e963186ed568318f8d4efeb5a7/13/4129be838bb5f27543929e41e8ed2a4d/256169527.JPG","N177687","Land Only","S","LOT 1 NAZKO ROAD","Bouchie Lake",,,,,,,,"Road Access",,,"250-992-9846",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","4/30/2016",,"RICHARD",,,"$100.00",,,"Yes",,"11/1/2007","At Lot Line",,,,"008-563-799",,"V2J 7E7","Yes - Agricultural Land Reserve","BC","Build your log home. Seller says enough trees on this 4.83 acres ready for development. Ideal as unique building site, with southern exposure. Beautifully treed. Nice elevation. Frontage on Nazko Road at corner just past Rawlings Rd high side of hwy on curve. Private wih hwy frontage. Easy commute to town approx 15 min. drive west of Quesnel.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/20/2015","$35,000",,"0.73","4/24/2015",,,"RR2","$48,000",,"2727",,,,"4.83","Quesnel Rural",,"0.58","Other"
