"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261488422/0/120/90/454aeaecd07171f4959a0236680d1713/15/10791ac58ef5c161c2c4377170afce2d/261488422.JPG","F1431519","Residential Detached","S","71 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1973","Manufactured","1",,,,,,"42",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","159505",,"Detached",,"8/3/2015",,"TOUCHBASE RAY","Other","1","$84.00",,,,,"2/3/2015",,,"1",,"900-573-771",,"V3W 6E1",,"BC","CRESTWAY BAYS: Well maintained 2 bedroom, single wide in upscale family park. Located in one of the best locations in park, both quiet and private, backing onto green space and Bear Creek. Added bonus: price includes some patio furniture , BBQ, & 2 propane heaters to enjoy your spacious deck. Small pet & kids welcome. Pad rent $815.00.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"4/28/2015","$8,000","$11.49","0.82","5/19/2015","1","2","MHP","$9,800",,"84","0","696","0.00","0.00","Surrey","$11.49","0.67","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261593355/0/120/90/78fceda19f63d978646e98935f59caf1/15/6355a1de5eeaa0c957b633d58628a9b7/261593355.JPG","F1435669","Residential Detached","S","58 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1973","Manufactured","1",,,,,,"42",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"THE PLAZA","82275",,"Detached",,"9/19/2015",,"TOUCHBASE RAY","Other","1","$117.00",,,,,"3/19/2015",,,"1",,"900-574-184",,"V3W 5C2",,"BC","THE PLAZA 45+ age restricted manufactured home park: Well maintained single wide, with newer laminate flooring. Very affordable living in a clean, well managed park. This unit is located on the most desirable side of the park with a larg e, south facing backyard. Pad rent only $650 per month. One small pet o.k.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"4/28/2015","$11,500","$18.43","0.78","5/13/2015","1","2","MHP","$14,800",,"40","120","624","40.00","0.00","Surrey","$18.43","0.78","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261535901/0/120/90/e3c18f8411cf6da23515e6bf999512c9/13/495589998c90934edf9c5f3b362e9ac2/261535901.JPG","N242526","Land Only","S","54720 JARDINE ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-613-9599",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","9/30/2015",,"SUSAN",,,"$341.00",,,"Yes",,"2/22/2015","Not Available",,,,"006-769-403","Mixed","V0J 3A3","No","BC","Perfect little summer retreat. 0.80/acre located 40-45 minutes from Prince George and only 5 minutes from Cluculz Lake. Build your home, cabin, or set up your RV. Older mobile on property has been de-energized and is of no value. According to previous listing there may be water and sewer, but buyer is to verify.","There is no record of an archaeological site located on this property.","BC Northern","For Sale","Unknown",,"None",,"No",,,"Other","4/30/2015","$15,000",,"0.75","5/4/2015",,,"H1","$19,900",,"67","350",,"100.00","0.80","Vanderhoof Rural",,"0.75","Mixed"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","N244381","Land Only","S","10990 HEDLUND ROAD","Tabor Lake",,,,,,,,"No Access",,,"250-649-8110",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Nearby","12/31/2015",,"MELISSA",,,"$87.00",,,"Yes",,"4/24/2015","Nearby",,,,"012-559-148","House/Single Family","V2N 6V8","No","BC","0.329-acre lot just steps away from beautiful Tabor Lake. Build your dream home on this flat, corner lot with lake views. Zoned R2. Old structure on lot with no value. Lots of beautiful mature trees surrounding. Buyer to satisfy themselves as to lot lines and availability of sewer and water.","Regional District map has lot size as 0.24 acres. Correct size from lot plan is 0.329.","BC Northern","For Sale","None",,"None",,"No",,,"None","4/28/2015","$18,000",,"0.78","5/1/2015",,,"R2","$23,000","Not Known","4",,,"0.00","0.33","Prince George Rural",,"0.78","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261545689/0/120/90/a6bc3722bf64b10d00a122dd6313f1a4/13/ac2e46b3de0c13fa62bb59b0475066f9/261545689.JPG","N242632","Residential Detached","S","27 3319 KOFOED DRIVE","Thornhill","1968","Manufactured","1",,,,,,"47",,"250-631-6769",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"COPPER MOUNTAIN COURT","BCE#225849",,"Detached",,"5/30/2015",,"JOHN BAILEY","Other","1","$158.00",,,,,"2/27/2015",,,"1",,"800-092-975",,"V8G 3P8",,"BC","If you are looking to downsize, this may be the perfect place for you! This 2 bedroom mobile in quiet Thornhill Park features many upgrades such as newer drywall and laminate throughout, vinyl siding, newer wash/dryer and gas range. The addition is currently being used as a workshop, but could easily be transformed into a 3rd bedroom. If the price of property is getting you down, give this place a look...it may just be what you are looking for!","Mature-living park. No pets. Foundation is wood.","BC Northern","For Sale",,,,,,,,,"5/1/2015","$30,000","$39.32","0.79","5/15/2015","1","2","MHP","$38,000",,"63",,"763",,"0.00","Terrace","$39.32","0.71","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261638719/0/120/90/ddd08cd853edd71cc872f4322594750f/13/8f5a56cfabb4f2bc67470bca48f1686d/261638719.JPG","N243742","Land Only","S","43 54115 GUEST ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-960-2373",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,"LAKESIDE RESORT",,"No",,"Available","8/4/2015",,"TAB OR THERESA",,,"$188.00",,,"No",,"4/1/2015","Not Available",,,,"026-705-745","Recreational","V0J 3A3","No","BC","Summer getaway in a gated community strata lot. Which includes electricity, sewer, water, boat launch and mooring, laundry facilities, showers and washrooms. Strata fee $57 per month.","Bare land strata.","BC Northern","For Sale","Lagoon",,"None",,"No",,,"Community","4/29/2015","$32,000","$21.70","0.85","5/1/2015",,,"C5","$37,500","No","28",,,"0.00","0.03","Vanderhoof Rural","$21.70","0.85","Recreational"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261533570/0/120/90/0fe250e22f048a5b4aecb1edff86bfce/13/c8a2850025fb85d595c6f2c794f63932/261533570.JPG","N242507","Residential Detached","S","4435 11TH AVENUE","Hazelton","9999","House/Single Family","1",,,,,,"999",,"250-842-8176",,"Smithers And Area (Zone 54)",,,"0","2",,,,"New Hazelton","Residential Detached",,,,,"Detached",,"2/18/2016",,"KELLY MATTSON","Concrete Perimeter","1","$1,026.00",,,,,"2/19/2015",,,"2",,"005-485-134",,"V0J 2J0",,"BC","Check out this fixer upper 2 bdrm, 3 pc bath 1900 sq ft house (unfinished basement) on two lots (66x120 ft) in downtown C-1 zoned area of New Hazelton. Close to everything. Needs TLC.","Estate sale. Buyers to satisfy themselves as to condition of building, fencing a nd old shed (of no value). Appliances on site include F/S/W/D but condition unknown. Property is as is-where is. Old wood/oil furnace in basement not working. Additional PID# 005-485-096","BC Northern","For Sale",,,,,,,,,"4/28/2015","$36,000","$18.58","0.82","5/22/2015","1","2","C-1","$44,000",,"68","120","1,938","66.00","0.00","New Hazelton","$18.58","0.74","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261684779/0/120/90/7d9404696c7d763028217d8ed85e9ffc/13/b538d112274369dc59e55d6b2455544b/261684779.JPG","N244363","Residential Detached","S","37 4619 QUEENSWAY DRIVE","Thornhill","1969","Manufactured","1",,,,,,"46",,"250-635-9184","2014","Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"TIMBERLAND TRAILER PARK","20984",,"Detached",,"7/23/2015",,"JAMES DUFFY","Other","1","$187.00",,,,,"4/23/2015",,,"1",,"800-094-607",,"V8G 3X5",,"BC","Renovated 2 bedroom mobile home located in Timberland Mobile Home Park. This unit was extensively renovated last year, with new windows, new siding, new sundeck, new flooring, and it was completely repainted. All appliances are included. Just move right in and enjoy!","Foundation is wood blocking on concrete pads.","BC Northern","For Sale",,,,,,,,,"5/1/2015","$37,000","$37.91","0.71","5/19/2015","1","2","MHP","$52,000",,"8",,"976",,"0.00","Terrace","$37.91","0.71","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261662745/0/120/90/432992033162a7fbc5233718b5c55d81/13/41ad2951599500e03d373214eba5fb32/261662745.JPG","N244100","Residential Detached","S","118 3666 11TH STREET","Houston - Town","1991","Manufactured","1",,,,,,"24",,"250-845-8234",,"Houston (Zone 53)",,,"0","2",,,,"Houston","Residential Detached",,"AMBASSADOR MHP","460785",,"Detached",,"10/15/2015",,"DAN HANSMA","Other","1","$519.00",,,,,"4/15/2015",,,"1",,"800-094-328",,"V0J 1Z0",,"BC","1991 14'x66' winter package mobile nicely set up on a double pad with a private fenced backyard. Treated sundeck recently re-done, 3 storage sheds, lots of room for RV/boat parking! Spacious kitchen & eating area with plenty of cabinets, french doors to livingroom, vaulted ceilings. Huge bathroom with jetted bathtub, separate stand-up shower. 2 sinks, 2 bedrooms, Master bedroom with cheater ensuite. Metal roof, vinyl siding, vinyl windows, 2x6 walls, heat tape on water lines and drains. New gas furnace, electric HWT. Fridge, stove, dishwasher incl. Washer/dryer neg.","Foundation is wood blocking.","BC Northern","For Sale",,,,,,,,,"5/2/2015","$41,000","$44.37","0.92","5/25/2015","1","2","R-3","$44,500",,"17",,"924","0.00","0.00","Smithers","$44.37","0.92","Manufactured"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260553876/0/120/90/9d76c57d36711799d04128d736facc58/13/906c0b98cef0603b36cfefaee464a3cc/260553876.JPG","N231201","Residential Detached","S","58 FULTON STREET","Granisle","1972","House/Single Family","1",,,,,,"41",,"250-847-3144",,"Burns Lake (Zone 55)",,,"0","3",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"10/28/2015",,"JANTINA","Concrete Perimeter","1","$1,978.00",,,,,"9/26/2013",,,"2",,"008-492-450",,"V0J 1W0",,"BC","Solid clean and bright, well cared for home in quiet Granisle. This home has 3 bedrooms and a laundry room on the main floor. Large kitchen and living room with open fireplace. Some newer twin sealed windows, numerous upgrades in the last 1 2 years make this home move in ready. High efficiency propane furnace with a wood stove in the basement for back up. Workshop, wood shed, single carport, and sundeck. There is a rec room, cold room and lots of room for storage in the basement. Don't miss this opportunity to own a great home in beautiful Granisle.",,"BC Northern","For Sale",,,,,,,,,"4/29/2015","$45,000","$16.54","0.90","5/19/2015","2","3","R1","$50,000",,"580",,"2,720","0.00","0.20","Granisle","$16.54","0.60","House/Single Family"
