"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261953007/0/120/90/c829ef214e2a9506e738ee4fe248e260/15/927261e2231bd405e2190e02869dd045/261953007.JPG","F1449225","Residential Detached","S","162 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","211765",,"Detached",,"4/20/2016",,"LES WELLMAN","Concrete Block","1","$93.00",,,,,"8/10/2015",,,"1",,"900-575-714",,"V3W 5Y4",,"BC","Crispen Bays 2BR on quiet cul-de-sac in family park. 2 dogs allowed. F/S, W/D, A/C, storage and window coverings included. Covered carport & deck. Roof snow coated every 2 years, hot water tank 7 years old. Stone throw to schools, shopping, on bus route. Only minutes to skytrain. Clubhouse and pool. Move in tomorrow, pad rent $846 per month.","Vacant.","Fraser Valley","For Sale",,,,,,,,,"8/14/2015","$6,000","$7.81","0.47","8/25/2015","1","2","MHP","$12,900",,"4",,"768","0.00","0.00","Surrey","$7.81","0.47","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261075591/0/120/90/c703770870f4461563249999aefbb37e/13/af4860b5d40fdeeae038ed457b4d7629/261075591.JPG","N237332","Land Only","S","1997 WIDGEON BOULEVARD","Masset",,,,,,,,"Road Access",,,"604-557-3597",,"Prince Rupert (Zone 52)",,,,,"Yes","Not Available",,"Masset","Land",,,,"No",,"At Lot Line","6/15/2016",,"BRIAN BUSSIERE",,,"$272.00",,,"No",,"6/17/2014","Not Available",,,,"009-848-801","House/Single Family","V0T 1M0","No","BC","Very good location close to town in preferred area. Lot serviced at lot line. Fully treed, easy to clear and build on or use for RV. 10 minutes from boat launch and marina.","Very good location, close to town in preferred area. Lot has services at lot lin e. Fully treed easy clear and build or use for RV. 10 minutes to boat launch and marina.","BC Northern","For Sale","At Lot Line",,"Nearby",,"No",,,"City/Municipal","8/14/2015","$9,000","$1.25","0.76","8/17/2015",,,"R1","$11,900","Not Known","423","60",,"120.00","0.17","Masset","$1.25","0.62","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261957571/0/120/90/a89302a40745215f66be0544bc935bc3/13/887786053e91e4acfed62a911264c8f7/261957571.JPG","N247740","Land Only","S","LOT 254 MERLYN ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Allowed Access",,,"250-395-6196",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"Available","7/31/2016",,"DAVE",,,"$213.00",,,"Yes",,"7/31/2015","Not Available",,,,"007-542-771",,"V0K 1X3","Yes - Agricultural Land Reserve","BC","Home or cabin building lot. On a quiet street not far from beautiful Deka Lake. 0.64 acre property is level off the road. L#7701",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/13/2015","$15,500",,"0.97","8/17/2015",,,"R 1","$16,000",,"13",,,"0.00","0.64","Williams Lake Rural",,"0.97","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261836889/0/120/90/04c90f7cb1076aae9b5d32be217651d8/13/dba02d7cc3dc80cb872216af581c0223/261836889.JPG","N246243","Land Only","S","377 VON LIENEN ROAD","Hixon",,,,,,,,"Road Access",,,,,"PG Rural South (Zone 78)",,,,,"No","Not Available",,"Hixon","Land",,,,"No",,"Nearby","6/30/2017",,,,,"$52.00",,,"No",,"6/8/2015","Nearby",,,,"005-481-589","House/Single Family","V0K 1S0","No","BC","Affordable, close to services, level and ready to develop. Small town near nature and the famous Hixon Falls. An easy drive to both Prince George and Quesnel. Modular/mobile homes allowed.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/14/2015","$20,000",,"0.74","8/17/2015",,,"HIXON","$27,000","No","67",,,"0.00","1.01","Prince George Rural",,"0.74","House/Single Family"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261902855/0/120/90/672c27571384fbf4b9d67bec36e6cc70/15/1a6110f59a2f7efc76d63744225d298c/261902855.JPG","F1447368","Residential Detached","S","105 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1976","Manufactured","1",,,,,,"39",,"604-590-2444",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crestway Bays","285487",,"Detached",,"12/18/2015",,"Lenning","Other","1","$111.00",,,,,"7/18/2015",,,"1",,"900-575-476",,"V3E 6E1",,"BC","Well maintained - Clean - and very nice. Newer laminate flooring, sparkling white kitchen cabinets -spacious living room - everything you need to just move in and feel comfy. Nice covered deck- wired workshop - beautiful gardens- No work ne eded here - move in ready and....flexible possession too. Take a look today!","Clean - Owner transferred - All Information deemed correct, buyer should confirm if relevant.","Fraser Valley","For Sale",,,,,,,,,"8/13/2015","$20,000","$26.04","0.88","8/26/2015","1","2","MHP","$22,800",,"26","0000","768","0.00","0.00","Surrey","$26.04","0.88","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261939992/0/120/90/5b7825e4131f795975a1d4acf7b2e4d2/15/ab71fc7e4630d6c454eea62abe930426/261939992.JPG","F1448741","Residential Detached","S","28 16039 FRASER HIGHWAY","Fleetwood Tynehead","1971","Manufactured","1",,,,,,"44",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Fleetwood Trailer park","17774",,"Detached",,"3/20/2016",,"Les Wellman","Concrete Block","1","$63.00",,,,,"8/4/2015",,,"1",,"900-575-752",,"V4N 0G2",,"BC","Fleetwood Park 2 bdrm located in Family park, small pet ok. Located at end of quiet cul de sac. Included F/s, W/D & 2 AC units. Covered patio, huge common area to one side of home. Walk to all shopping & banking, on bus route. Only minutes to Cloverdale & Langley. Immediate poss can be approved.",,"Fraser Valley","For Sale",,,,,,,,,"8/14/2015","$22,000","$27.50","0.88","8/19/2015","1","2","MHP","$24,900",,"10",,"800","0.00","0.00","Surrey","$27.50","0.88","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261746723/0/120/90/dbb9f7a64692d9b214118c933d0c9253/13/6c7565cced1358fdb4efc26801a3e98e/261746723.JPG","N245118","Land Only","S","2085 EAGLE CREEK ROAD","Canim/Mahood Lake",,,,,,,,"Road Access",,,"250-706-2518",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"Available","11/13/2015",,"BRENDA",,,"$772.00",,,"Yes",,"5/14/2015","Not Available",,,,"006-542-069","House/Single Family","V0K 1J0","Yes - Agricultural Land Reserve","BC","Almost 2 1/2 acres out in the country. Close to Canim, Hawkins, Ruth Lakes and many others. Great area for hunting and fishing. Home of little or no value on the property. L# 7496.","Home was a grow op - and was busted. Wiring has been pulled and lots of evidence of the grow op inside the house.","BC Northern","For Sale","Unknown",,"None",,"No",,,"Other","8/17/2015","$27,000",,"0.69","8/18/2015",,,"RR3","$38,900","Not Known","95",,,"0.00","2.49","Williams Lake Rural",,"0.64","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261481552/0/120/90/c3b4cea358be473ad8991cd794792357/13/ab829168b6ef0ca91dbac2678d31014b/261481552.JPG","N242037","Land Only","S","1233 3RD AVENUE","Valemount - Town",,,,,,,,"Road Access",,,"250-566-4438",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Available","1/31/2016",,"JOHN PETERSON",,,"$458.00",,,"Yes",,"1/28/2015","Not Available",,,,"004-912-900","House/Single Family","V0E 2Z0","No","BC","This quiet neighbourhood is ready for you! Approximately 8,800 sq ft this large lot is perfect for a family home. Stunning views from the front and a short walk to the business district from the back. Don't let this pass you by!",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","8/14/2015","$27,500","$3.13","1.00","10/7/2015",,,"R1","$27,500",,"198",,,"0.00","0.20","Valemount","$3.13","1.00","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260402982/0/120/90/e4ef25fbea41aa85965b5b2cc2b67a07/13/f367d7b06312cb6343c6137974eb6e86/260402982.JPG","N229336","Land Only","S","11610 ROSS STREET","Hudsons Hope",,,,,,,,"Road Access",,,"250-783-1076",,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Hudsons Hope","Land",,,,"No",,"At Lot Line","8/5/2016",,"NICOLE GILLISS",,,"$115.00",,,"Yes",,"7/14/2013","At Lot Line",,,,"027-581-721",,"V0C 1V0","No","BC","This rural residential lot in Jamieson Subdivision is perfect for a new house development. This lot is a third of an acre and enjoys a private setting. The lot is situated right across road from Jamieson Woods and walking trail leading into town is right in front of lot as well.",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","8/18/2015","$28,500",,"1.00","9/8/2015",,,"RU1","$28,500",,"765",,,"0.00","0.33","Hudsons Hope",,"1.00","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261917155/0/120/90/925b8d592a13d0dfe87d2af5e09397e3/13/c2b89350be7193d350e64e072033aaf3/261917155.JPG","N247262","Residential Detached","S","1841 RAWLINGS ROAD","Bouchie Lake","9999","House with Acreage","1",,,,,,"999",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","4",,,,"Quesnel","Residential Detached",,"MILBURN LAKE AREA",,,"Detached",,"10/22/2015",,"WILLIAM LACY","None","1","$713.00",,,,,"7/22/2015",,,"1",,"009-956-212",,"V2J 7E5",,"BC","A diamond in the rough. Just over one acre, close to Milburn Lake and waiting for you to bring it back to its former glory. Log home with multiple outbuildings on a conveniently located and level lot. Priced to sell!","Call for banker box code. Nothing is known about the well or septic. Treat buildings as no value. All measurements are approximate, subject to court, schedule A necessary.","BC Northern","For Sale",,,,,,,,,"8/17/2015","$31,500","$28.64","0.90","9/29/2015","1","4","R2","$35,000",,"26",,"1,100","0.00","1.01","Quesnel Rural","$28.64","0.90","House with Acreage"
