"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261952477/0/120/90/3b4d96cae20324cb983ebeda5b5fe8b7/13/96046361285af4f8ea24312675226f49/261952477.JPG","N247683","Residential Detached","S","323 SIMON FRASER AVENUE","Fort St. James - Town","9999","House/Single Family","1",,,,,,"999",,"250-996-8618",,"Fort St. James (Zone 57)",,,"0","3",,,,"Fort St. James","Residential Detached",,,,,"Detached",,"11/6/2015",,"EVELYN","Concrete Perimeter","1","$870.00",,,,,"8/6/2015",,,"1",,"004-673-981",,"V0J 1P0",,"BC","Older house of little or no value on level municipal lot, within easy walking to the down town area.",,"BC Northern","For Sale",,,,,,,,,"8/31/2015","$17,500","$18.27","0.70","8/31/2015","1","3","R-1","$24,900",,"25","152","958","50.00","0.00","Fort St James","$18.27","0.70","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969435/0/120/90/78e2ffd36febd59178eccd5f4e149f8d/13/318ae85f3d884af4a89dfb81b43b8927/261969435.JPG","N247914","Residential Detached","S","A-5 5931 HART HIGHWAY","Birchwood","1973","Manufactured","1",,,,,,"42",,"250-552-2757",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"BIRCHWOOD MOBILE HOME PARK","9565",,"Detached",,"11/30/2015",,"SHAWNA/CARRIE","Other","1","$177.00",,,,,"8/17/2015",,,"1",,"800-097-920",,"V2K 3A3",,"BC","This little gem is move in ready and waiting for a new owner. The home has tatsefully decorated and clean, clean, clean. The yard is fully fenced and has a shed.","Foundation is pilings.","BC Northern","For Sale",,,,,,,,,"8/28/2015","$20,000","$24.51","0.87","9/15/2015","1","2","MHP","$23,000",,"11",,"816",,"0.00","City of Prince George","$24.51","0.87","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261327706/0/120/90/14b22612a426b6ef0b3fe700aee8c5f7/14/72b01aaf240bd769ca10bde972e20a3d/261327706.JPG","H1404195","Residential Detached","S","5 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","9999","Manufactured","1",,,,,,"999",,"604-869-1010",,"Hope",,,"0","1",,,,"Hope","Residential Detached",,"CRYSTAL RIVER COURT","285323",,"Detached",,"9/30/2015",,"DIANE LOTHIAN","Concrete Block","1","$0.00",,,,,"10/20/2014",,,"1",,"700-000-008",,"V0X 1L1",,"BC","Newly painted 840 sq. ft., 2 bdrm mobile located in the nicely maintained Crystal River Court MHP. Large living area that is open to the kitchen offers lots of light & plenty of cabinet space. Very clean & is move in ready. A new deck has b een added to the front, new windows, vinyl siding & skirting. Located in a quiet area of the park with nice mountain views. Only a five minute walk to shopping, recreation, the Coquihalla River & all the amenities that Hope has to offer. Five minute drive to Kawkawa Lake. Won't last!","Vacant for quick possession.","Chilliwack","For Sale",,,,,,,,,"8/28/2015","$24,600","$29.29","0.90","9/8/2015","1","1","MHP","$27,500",,"312","0","840","0.00","0.00","Chilliwack","$29.29","0.90","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261367409/0/120/90/47b4d29758573df887812a5d3b3d808d/13/a38ab520d63f449303e1a933a6b45fc1/261367409.JPG","N240951","Land Only","S","230 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,"DEKA LAKE",,"No",,"Available","10/31/2015",,"LR",,,"$209.00",,,"Yes",,"11/10/2014","Not Available",,,,"007-347-405",,"V0K 1X0","No","BC","Nice lot on the corner of Paterson and King in the Deka Lake subdivision. Close to the lake for all your recreational activities. Just 30 minutes from 100 Mile House. Build your summer getaway here or build your retirement home away from the maddening crowd. L6979",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/29/2015","$26,000",,"0.87","8/31/2015",,,"R1","$29,900",,"292",,,"0.00","0.57","Williams Lake Rural",,"0.87","Other"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261618839/0/120/90/083b1da240b252645459ed5dfb7da53a/15/4b2747428c36b90a9dafdebe968bce9f/261618839.JPG","F1436609","Residential Detached","S","75 8190 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"KING GEORGE PARK","71887",,"Detached",,"12/15/2015",,"LES WELLMAN","Concrete Block","0","$104.00",,,,,"3/27/2015",,,"1",,"900-574-335",,"V3W 5B7",,"BC","King George Park family park, small pet O.K. 5 appliances plus A/C unit double wide, roof redone 2007, new stove 2005, 3 storage area's wired workshop. Back yard onto green belt with southern exposure. Pad rent $743. Hot water Tank Jan 2011 with 6 year warrantee, Washer and Dryer NOT included. Lots of room in back southern exposure idael for garden amunst the fruit tree's. There is parking for four vehicles including a R.V if you have one. Must see this private back yard.",,"Fraser Valley","For Sale",,,,,,,,,"8/25/2015","$28,000","$27.45","0.94","9/8/2015","1","2","MHP","$29,900",,"151",,"1,020","0.00","0.00","Surrey","$27.45","0.80","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260932312/0/120/90/387b00112ed631ae898790a597e7d0a1/16/c365bb7cdefb709100e96e17532e96f4/260932312.JPG","V1060442","Land Only","S","237 MARINERS WAY","Mayne Island",,,,,,,,"Road Access",,,"250-539-0629",,"Islands-Van. & Gulf",,,,,"No","Not Available",,"Mayne Island","Land",,,,"No",,"At Lot Line","4/20/2016",,"Deanna Stobart",,,"$528.00",,,"Yes",,"4/24/2014","Not Available",,,,"003-074-935","House/Single Family","V0N 2J2","No","BC","This .36 of an acre property, has a lovely assortment of mature cedars and firs and sits conveniently close to Village Bay boat launch and ferry terminal, and just a few minutes further south to Dinner Bay Park & beach. A community water & sewage system is available to hook up to and hydro at the road. There is a level area to park a trailer while you plan your cottage or future home. A driveway is required and then you are ready to go!",,"Greater Vancouver","For Sale","Septic",,"None",,"No",,,"Community","8/30/2015","$30,000",,"0.67","9/2/2015",,,"S.R.","$45,000","No","493",,,,"0.36","Gulf Islands",,"0.53","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261798239/0/120/90/6af9fbef083a69fbe15385e0a03e7b1c/13/b8f8fdd3e081efa44ada4231ac86feb6/261798239.JPG","N245880","Land Only","S","6398 KEITHLEY CREEK ROAD","Horsefly",,,,,,,,"Road Access",,,"250-392-0633",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"At Lot Line","8/31/2015",,"CAROL ANN",,,"$463.00",,,"No",,"6/3/2015","Not Available",,,,"014-657-911","Mixed","V0L 1N0","No","BC","9.674 acres on the Keithley Creek Road just minutes from Likely. Property sold - as is - where is. There is an old cabin (of little to no value), not habitable as there is no hydro or running water hooked up. Property needs to be cleaned up of old cars and equipment. The owner is living on the property.","There is an old house that the owner is living in but it really is not habitable , no hydro and no water. Probably should be burnt down. Ground could be contaminated with all the old cars and wrecks on this property. Contact Listing Broker before taking someone out there.","BC Northern","For Sale","Unknown",,"None",,"No",,,"Well - Drilled","8/31/2015","$30,555",,"1.40","9/15/2015",,,"RR2","$21,900","Not Known","89",,,"0.00","9.67","Williams Lake Rural",,"1.02","Mixed"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261985442/0/120/90/d05855b124f5cc59bc343c77791a4f4f/16/1575b54850c7ed9b5ea89e6e4ad2dca3/261985442.JPG","V1140891","Residential Detached","S","5366 SUNSHINE COAST HIGHWAY","Sechelt District","9999","House/Single Family","1",,,,,,"999",,"604-989-3676",,"Sunshine Coast",,,"0","2",,,,"Sechelt","Residential Detached",,,,,"Detached",,"8/25/2016",,"NICOLE PETERSON","Other","1","$1,306.00",,,,,"8/25/2015",,,"1",,"800-098-169",,"V0N 3A0",,"BC","Affordable living at its best! This charming cottage has been well loved and beautifully maintained inside and out by the same owner for the last 30 years. Walking distance to the beach and downtown Sechelt. Move in ready!","Measurements are approximate. To be verified by buyer if important. Lease is to, Dec 2030. Current lease is $3600/yr to Dec 2015. Jan 2016 lease is $3,726 with annual increase of 3.5%.","Greater Vancouver","For Sale",,,,,,,,,"8/31/2015","$34,000","$35.71","0.90","9/30/2015","1","2","SIR","$37,900",,"6","100","952","50.00","0.00","Sechelt (Village)","$35.71","0.90","House/Single Family"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261952042/0/120/90/9df908c4e54ceb86e195895de41c8156/13/47c1dae1544e9057ead9f93445cbe03f/261952042.JPG","N247678","Residential Detached","S","1 1095 DYKE ROAD","McBride - Town","1981","Manufactured","1",,,,,,"34",,"250-569-7397",,"Robson Valley (Zone 81)",,,"0","2",,,,"McBride","Residential Detached",,"DOR-VAL TRAILER PARK","420609/273894",,"Detached",,"4/1/2016",,"IRENE BERNDSEN","Other","1","$255.00",,,,,"8/10/2015",,,"1",,"800-097-692",,"V0J 2E0",,"BC","Affordable living for the budget conscious buyer. Why rent when you can own this nicely decorated 2 bedroom mobile in a quiet rural park. Great floor plan with open kitchen and dining, large living room, patio doors to sun porch, and large mud room. Neat, clean and very well maintained. Beautiful yard with mature trees, and developed gardens. Fenced and private.","Foundation is wood blocks. CSA 420609 BC Electrical EL-273894-2015. Buyers must be approved by Mobile Home Park owners.","BC Northern","For Sale",,,,,,,,,"8/29/2015","$34,000","$32.32","0.97","9/8/2015","1","2","MHP","$34,900",,"19",,"1,052",,"0.00","Mcbride","$32.32","0.97","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261748436/0/120/90/73d4b89a90e1492fffbfe38c11d5f77d/13/2c06c539689a2ff618b9d9b583eebe5f/261748436.JPG","N245156","Land Only","S","LOT 3 PITNEY ROAD","Valemount - Rural South",,,,,,,,"Road Access",,,"250-566-0021",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Nearby","12/31/2015",,"TAMMY",,,"$215.00",,,"Yes",,"5/17/2015","Not Available",,,,"006-152-015",,"V0E 2Z0","No","BC","Amazing views from this 2.2 acre lot just minutes from Valemount. There are two lots available just south of town and have some of the best mountain views! At this price today they will not last long!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/26/2015","$34,000",,"0.85","9/8/2015",,,"CR1","$39,900","Not Known","101",,,"0.00","2.22","Prince George Rural",,"0.81","Other"
