"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261952477/0/120/90/3b4d96cae20324cb983ebeda5b5fe8b7/13/96046361285af4f8ea24312675226f49/261952477.JPG","N247683","Residential Detached","S","323 SIMON FRASER AVENUE","Fort St. James - Town","9999","House/Single Family","1",,,,,,"999",,"250-996-8618",,"Fort St. James (Zone 57)",,,"0","3",,,,"Fort St. James","Residential Detached",,,,,"Detached",,"11/6/2015",,"EVELYN","Concrete Perimeter","1","$870.00",,,,,"8/6/2015",,,"1",,"004-673-981",,"V0J 1P0",,"BC","Older house of little or no value on level municipal lot, within easy walking to the down town area.",,"BC Northern","For Sale",,,,,,,,,"8/31/2015","$17,500","$18.27","0.70","8/31/2015","1","3","R-1","$24,900",,"25","152","958","50.00","0.00","Fort St James","$18.27","0.70","House/Single Family"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261548925/0/120/90/a6b13a0d8cc27b462306c7e8fd14aece/15/b70b73373a791f192b5b40a67ecc50e1/261548925.JPG","F1433899","Residential Detached","S","32 9267 SHOOK ROAD","Stave Falls","1971","Manufactured","1",,,,,,"44",,"604-820-0555","2009","Mission",,,"0","5",,,,"Mission","Residential Detached",,"GREEN ACRES","26113",,"Detached",,"12/31/2015",,"DAVID WANSINK","Concrete Block","1",,,,,,"2/26/2015",,,"1",,"900-573-998",,"V2V 7M3",,"BC","'Family sized unit' 4 bedrooms + mud room. Mobile home park at Hatzic Lake. Large rooms, fenced yard. Wide plank flooring, recent paint, detached shed/workshop. Covered front deck, boat, swim, waterski or just enjoy nature on the shores of Hatzic Lake.",,"Fraser Valley","For Sale",,,,,,,,,"9/3/2015","$28,000","$22.58","0.83","9/22/2015","1","5","MHP","$33,900",,"189",,"1,240","0.00","0.00","Mission","$22.58","0.78","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261798239/0/120/90/6af9fbef083a69fbe15385e0a03e7b1c/13/b8f8fdd3e081efa44ada4231ac86feb6/261798239.JPG","N245880","Land Only","S","6398 KEITHLEY CREEK ROAD","Horsefly",,,,,,,,"Road Access",,,"250-392-0633",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"At Lot Line","8/31/2015",,"CAROL ANN",,,"$463.00",,,"No",,"6/3/2015","Not Available",,,,"014-657-911","Mixed","V0L 1N0","No","BC","9.674 acres on the Keithley Creek Road just minutes from Likely. Property sold - as is - where is. There is an old cabin (of little to no value), not habitable as there is no hydro or running water hooked up. Property needs to be cleaned up of old cars and equipment. The owner is living on the property.","There is an old house that the owner is living in but it really is not habitable , no hydro and no water. Probably should be burnt down. Ground could be contaminated with all the old cars and wrecks on this property. Contact Listing Broker before taking someone out there.","BC Northern","For Sale","Unknown",,"None",,"No",,,"Well - Drilled","8/31/2015","$30,555",,"1.40","9/15/2015",,,"RR2","$21,900","Not Known","89",,,"0.00","9.67","Williams Lake Rural",,"1.02","Mixed"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261937668/0/120/90/5ffc9e7fa418c36ef515bb0baf6da7c0/13/f25d9d06f39fccb61e041be5be6d20ec/261937668.JPG","N247519","Residential Detached","S","7520 WOMACK ROAD","Deka/Sulphurous/Hathaway Lakes","9999","House/Single Family","1",,,,,,"999",,"250-395-3424",,"100 Mile House (Zone 10)",,,"0","2",,,,"Deka Lake / Sulphurous / Hathaway Lakes","Residential Detached",,,,,"Detached",,"7/31/2016",,"LR","Concrete Block","0","$585.00",,,,,"7/31/2015",,,"1",,"008-095-221",,"V0K 1X3",,"BC","Older home in very rough condition on first rate Deka Lake lot. Sound 18x22' garage with electricity and concrete floor, unfinished sleeping cabin. Vendor state s well has excellent water and produced 24 g.p.m. at time of drilling in 2002. Registered well. Short walk to excellent lake access. House and lot require a lot of clean up. No one on property without an agent please. L#6911",,"BC Northern","For Sale",,,,,,,,,"9/1/2015","$34,000","$40.48","0.85","9/3/2015","0","2","R1","$39,900",,"32","0","840","0.00","0.45","Williams Lake Rural","$40.48","0.68","House/Single Family"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261985442/0/120/90/d05855b124f5cc59bc343c77791a4f4f/16/1575b54850c7ed9b5ea89e6e4ad2dca3/261985442.JPG","V1140891","Residential Detached","S","5366 SUNSHINE COAST HIGHWAY","Sechelt District","9999","House/Single Family","1",,,,,,"999",,"604-989-3676",,"Sunshine Coast",,,"0","2",,,,"Sechelt","Residential Detached",,,,,"Detached",,"8/25/2016",,"NICOLE PETERSON","Other","1","$1,306.00",,,,,"8/25/2015",,,"1",,"800-098-169",,"V0N 3A0",,"BC","Affordable living at its best! This charming cottage has been well loved and beautifully maintained inside and out by the same owner for the last 30 years. Walking distance to the beach and downtown Sechelt. Move in ready!","Measurements are approximate. To be verified by buyer if important. Lease is to, Dec 2030. Current lease is $3600/yr to Dec 2015. Jan 2016 lease is $3,726 with annual increase of 3.5%.","Greater Vancouver","For Sale",,,,,,,,,"8/31/2015","$34,000","$35.71","0.90","9/30/2015","1","2","SIR","$37,900",,"6","100","952","50.00","0.00","Sechelt (Village)","$35.71","0.90","House/Single Family"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261862399/0/120/90/c621c3ee2e9f8e02f211fcf53e84fe96/15/cc6bb7c33cd2089976ca030f3444c2b6/261862399.JPG","F1445894","Residential Detached","S","1 26892 FRASER HIGHWAY","Aldergrove Langley","1975","Manufactured","1",,,,,,"40",,"604-533-3491","2014","Langley",,,"0","2",,,,"Langley","Residential Detached",,"Aldergrove Mobile Park","259288",,"Detached",,"12/31/2015",,"Ray or Laura","Other","1","$100.00",,,,,"7/1/2015",,,"1",,"900-575-425",,"V4W 3T5",,"BC","Family and Pet friendly Park! Totally renovated. Move in condition. Best location in park. Furnace 5 years old. Water on demand system. 1 year old fridge and dishwasher. Metal roof and 2 coats of Dura deck silicone roofing sealant.","For title search, and PCDS please see attachments on listing.","Fraser Valley","For Sale",,,,,,,,,"9/4/2015","$34,000","$59.03","0.88","9/9/2015","1","2","MH-1","$38,500",,"65",,"576","0.00","0.00","Langley","$59.03","0.82","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261719793/0/120/90/a49054b6516a0032451e08e5b63845b9/15/68c1ab3a1d21b3c76979f58629e3101f/261719793.JPG","F1440531","Residential Detached","S","131 3300 HORN STREET","Central Abbotsford","1979","Manufactured","1",,,,,,"36",,"604-309-8541",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"Georgia Court","420459",,"Detached",,"12/31/2015",,"Richard or Ray","Concrete Block","1","$400.00",,,,,"5/5/2015",,,"1",,"900-574-744",,"V2S 7B8",,"BC","Super affordable housing for Retirees. Good size, with newer covered sundeck, shed, fully fenced and a spot pre-wired for your hot tub. 3 parking spots, 2 bdrm & office (2nd bdrm used to be 2 bdrms -so could make it a 3 bdrm again) Call today for private showing.","*S.Comm $2500 FLAT FEE. Any offers subject to Park Manager Approval. Adult Park. If measurements important, buyer must measure.","Fraser Valley","For Sale",,,,,,,,,"9/1/2015","$35,000","$36.61","0.92","9/10/2015","1","2","MHP","$38,000",,"119",,"956",,"0.00","Mission","$36.61","0.88","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261321852/0/120/90/3800f29616073374023d24807a26fd80/13/bf1fbf4285ba952423d4a52669509985/261321852.JPG","N240477","Residential Detached","S","14 375 HORSE LAKE ROAD","100 Mile House - Town","1973","Manufactured","1",,,,,,"42",,"250-395-3422",,"100 Mile House (Zone 10)",,,"0","3",,,,"100 Mile House","Residential Detached",,"TRAVELLER TRAILER PARK","38356",,"Detached",,"10/16/2015",,"BARB MONICAL","Other","1","$549.00",,,,,"10/16/2014",,,"1",,"800-089-747",,"V0K 2E0",,"BC","Walk to everything! Hospital, mall, doctor's office, dentist office, park, etc. Updated 3 bedroom mobile with 2 storage buildings at the back. Forced air natural gas furnace and approved wood stove. Small pet allowed. Would make a good inv estment. BM9620","Foundation - believed to be sitting on concrete blocks.","BC Northern","For Sale",,,,,,,,,"9/1/2015","$36,000","$30.30","0.84","9/15/2015","1","3","R7","$43,000",,"320",,"1,188","0.00","0.00","100 Mile House","$30.30","0.69","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261840718/0/120/90/73571d6ccf50145fcd58259393308156/13/aeca95d18b6f9d3bf8987a86adc28d2c/261840718.JPG","N246299","Residential Detached","S","25 8474 BUNCE ROAD","Haldi","1988","Manufactured","1",,,,,,"27",,"250-981-3100",,"PG City South (Zone 74)",,,"0","2",,,,"Prince George","Residential Detached",,"TRAILER VILLAGE IN HALDI","CSA#450600",,"Detached",,"9/18/2015",,"CALL/TEXT MIKE","Concrete Perimeter","1","$373.00",,,,,"6/18/2015",,,"1",,"800-096-363",,"V2N 6P1",,"BC","This spotless mobile with 2 bedrooms is in fantastic condition and has tons of new. The brand new hickory kitchen with porcelain countertops will immediately impress. Other recent updates include low-e windows throughout, new toilet, modern laminate flooring, pastel paint colors and newer styled trim. A large mudroom addition is perfect for keeping mess outside of the main home. The yard also has a big workshed with wide doors that would fit an ATV or snowmobile. Pad rent currently $315 per month.",,"BC Northern","For Sale",,,,,,,,,"9/2/2015","$37,000","$36.17","0.86","9/15/2015","1","2","MHP","$42,875",,"76",,"1,023",,"0.00","City of Prince George","$36.17","0.86","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261682485/0/120/90/f27b232610a9bd8eb904b485d7dfac34/13/b66b79b71342a7bd4a9d9e9c7c2eae5c/261682485.JPG","N244326","Residential Detached","S","2206 BLACKWATER ROAD","Bouchie Lake","9999","House/Single Family","1",,,,,,"999",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","3",,,,"Quesnel","Residential Detached",,"BOUCHIE LAKE",,,"Detached",,"8/31/2015",,"LESLIE","Preserved Wood","1","$713.00",,,,,"4/22/2015",,,"1",,"011-554-509",,"V2J 7C5",,"BC","Bare bone bargain! Three bedroom bungalow, ten minutes west of town in Bouchie Lake area. Put on your working clothes and do your own thing! Detached single garage, nice flat 0.81 of an acre. Use your imgagination. All offers are subject to court approval.","Property Management lock box on back door. See listing REALTOR for code. Vacant. Schedule A to be attached to all offers. Record on file from RCMP that this property was NOT investigated as a grow op.","BC Northern","For Sale",,,,,,,,,"8/31/2015","$41,550","$32.41","1.34","9/1/2015","1","3","R2","$31,000",,"131",,"1,282","0.00","0.81","Quesnel Rural","$32.41","0.77","House/Single Family"
