"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261345951/0/120/90/eca05c578cd2f74971d0ed7fce6108b8/13/8424040033adae0db9a3a7a83953af79/261345951.JPG","N240711","Residential Attached","S","102 10216 102ND AVENUE","Fort St. John - City NW","1979","Apartment/Condo","1",,,,,,"35",,"250-785-5520",,"Fort St. John (Zone 60)",,,"0","2",,,,"Fort St. John","Residential Attached",,,,,"Attached",,"3/30/2015",,"HAILEY","Concrete Perimeter","1","$1,444.00",,,,,"10/28/2014",,,"1",,"004-345-631",,"V1J 2E5",,"BC","A great find for the first-time buyer or anyone approaching retirement. This is a well-kept condo in a great location, close to downtown shopping and more. The unit features 2 bedrooms, living room, dining room, kitchen, bath, laundry/ utility area, and storage room. Located on the main floor, there's no need for use of the elevator, and ground level provides tons of natural light. There is a secure entry, laundry facilities, and parking. Included in the unit price is the fridge, stove, washer, dryer, dishwasher, and window coverings. The strata fee includes water, sewer, cable, garbage pickup, caretaker gardening and maintenance. Call today to view!","Buyer to verify all data and measurements if deemed important.","BC Northern","For Sale",,,,"$290.40",,,,,"12/24/2014","$170","$0.19","0.00","1/21/2015","1","2","R4","$179,000",,"57",,"874",,"0.00","Fort St John","$0.19","0.00","Apartment/Condo"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261325644/0/120/90/ede7a8a67daf7d50f12060ba2a8ca045/13/6407406d646263f6cf7c7846f20348f6/261325644.JPG","N240513","Residential Detached","S","4 7128 OTWAY ROAD","Cranbrook Hill","1977","Manufactured","1",,,,,,"37",,"250-565-7724",,"PG City West (Zone 71)",,,"0","3",,,,"Prince George","Residential Detached",,"SOUTH SHORE TRAILER PARK","CSA#308403",,"Detached",,"1/31/2015",,"LORIE HUNTER","Concrete Block","1","$335.00",,,,,"10/16/2014",,,"1",,"800-089-790",,"V2M 7E1",,"BC","Good layout. Kitchen with eating area. LR has parquet flooring. Large master bedroom in front has 2-pc ensuite. 2 smaller bedrooms at the rear with family room/play area (with laminate flooring) and a full bathroom.",,"BC Northern","For Sale",,,,,,,,,"12/22/2014","$14,900","$15.20","1.00","12/30/2014","2","3","AF","$14,900",,"67",,"980",,"0.00","City of Prince George","$15.20","0.83","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261420383/0/120/90/2cf02821bbce25fc114a64ee1bd8286b/15/85705f1baf299ec204e1d67acdda2435/261420383.JPG","F1428523","Residential Detached","S","53 1840 160TH STREET","King George Corridor","1975","Manufactured","1",,,,,,"39",,"604-581-3838",,"South Surrey White Rock",,,"0","3",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","84364",,"Detached",,"7/30/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"12/16/2014",,,"1",,"900-573-305",,"V4A 4X4",,"BC","3 bdrm on quiet cul-de-sac in Breakaway Bays. Family park, 2 small pets allowed. Vacant, move tomorrow. Fridge, stove, washer, dryer. Current owner lived here since 1983. Roof and Hwt have been replaced. Huge covered deck with door leading to addition. 5 minutes to beach and US border. There is a clubhouse, swimming pool, exercise center and activity center.",,"Fraser Valley","For Sale",,,,,,,,,"12/24/2014","$15,000","$16.30","0.84","1/8/2015","1","3","MHP","$17,900",,"8",,"920","0.00","0.00","Surrey","$16.30","0.84","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261403914/0/120/90/422da4ca34af6aebfdd7f0e6bb62df5f/13/e1b854c2d9949bb507b39198afad6f8e/261403914.JPG","N241254","Residential Detached","S","52 6100 O'GRADY ROAD","Upper College","1977","Manufactured","1",,,,,,"37",,"250-617-8806",,"PG City South (Zone 74)",,,"0","2",,,,"Prince George","Residential Detached",,"COLLEGE HEIGHTS TRAILER PARK","CSA#34846",,"Detached",,"3/1/2015",,"CAITLIN RADZANOWSKI","Other","1","$459.00",,,,,"12/1/2014",,,"1",,"800-091-021",,"V2N 4R1",,"BC","This very clean and affordable mobile home with addition is available for quick possession. Located in desirable College Heights, close to schools and an excellent variety of shopping and dining choices. Features include a generous open- concept living room/kitchen, spacious master bedroom, and two storage sheds backing onto green space. If you are tired of throwing money away on rent, this would be a great starter. Great value here, priced to move!","Easy to show. Call to view (250-617-8806). Fridge and deep freeze excluded from contract. Foundation is wood cribbing.","BC Northern","For Sale",,,,,,,,,"1/7/2015","$15,500","$14.27","0.92","1/21/2015","1","2","RS5","$16,900",,"37",,"1,086",,"0.00","City of Prince George","$14.27","0.92","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260749046/0/120/90/20424557377a41782500c2fddb55d1cd/15/023ad3a54e4a0230d6dd02f9a7831476/260749046.JPG","F1402161","Residential Detached","S","87 8190 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1974","Manufactured","1",,,,,,"40",,"604-581-3838","2013","Surrey",,,"0","3",,,,"Surrey","Residential Detached",,,"3487",,"Detached",,"3/31/2015",,"TOUCHBASE RAY","Other","1","$99.00",,,,,"1/29/2014",,,"1",,"900-569-892",,"V3W 5B7",,"BC","Looking for an affordable family starter home or downsizer? This completely renovated double wide manufactured home offers 3 large bedrooms, 2 full bathrooms & fenced yard, new windows, doors, newer appliances, laminate floors. Located at the quiet end of the park close to Bear Creek. Just one block from the bus stop & two blocks to schools. A 10 minute bus ride connects you to the sky train. Close to Superstore, Costco and all amenities. Pad rent is $718 per month, but seller will subsidize for 1st year to get it down to $600 per month for you. Kids and pets ok.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"12/28/2014","$17,500","$15.19","0.83","1/2/2015","2","3","MHP","$21,000",,"333","80'","1,152","33.00","0.00","Surrey","$15.19","0.56","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261397228/0/120/90/9299e33c4d2f5a355d7b8efbe607e129/13/e1b7f70a5ffec8a07bd08511e4b043eb/261397228.JPG","N241206","Residential Detached","S","E14 5931 HART HIGHWAY","Birchwood","1969","Manufactured","1",,,,,,"45",,"250-960-9152",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"BIRCHWOOD TRAILER PARK","BCE#272254",,"Detached",,"2/27/2015",,"DELORES","Other","1","$142.00",,,,,"11/27/2014",,,"1",,"800-090-930",,"V2K 3A3",,"BC","An oldie, but goodie! Located on a quiet lot at the back of the Park, backing onto greenbelt (currently no units occupy the spaces next door). Spacious addition with master bedroom and small family room/playroom area. Newer outer wall with upgraded insulation and laminate floors in the addition. New furnace in 2011. Electrical upgraded with Silver Seal (November 2014). New hot water tank. Roof approximately 2008. The deck and fence are newer. On-site managers. Possession can be quick.","Foundation is unknown by REALTOR at this time.","BC Northern","For Sale",,,,,,,,,"1/3/2015","$20,800","$18.84","0.97","1/23/2015","1","2","RS5","$21,500",,"37",,"1,104",,"0.00","City of Prince George","$18.84","0.97","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261389648/0/120/90/1bea1ce505b5ab4bffc2ad7454354272/15/5b1f04e08483b45f0d782bef2beebf8f/261389648.JPG","F1427497","Residential Detached","S","30 15820 FRASER HIGHWAY","Fleetwood Tynehead","1972","Manufactured","1",,,,,,"42",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"GREENTREE ESTATES","37583",,"Detached",,"6/30/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"11/21/2014",,,"1",,"900-573-100",,"V4N 0Y2",,"BC","Greentree Estates 2 bdrm in 55+ age restricted park, small pets ok. Pad rent only $455 per month includes water, sewer, garbage and taxes on the land. Vacant. Covered patio and huge deck, half covering addition enclosed looking onto back. Walk to all amenities, pool, library, shopping, banking and bus stop in both directions out front of park. New furnace and HWT. Roof redone.",,"Fraser Valley","For Sale",,,,,,,,,"12/30/2014","$23,000","$31.94","0.77","1/2/2015","1","2","MHP","$29,900",,"39",,"720","0.00","0.00","Surrey","$31.94","0.77","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260867672/0/120/90/c7eae10d9b91a9ceea40100bbd116e8c/13/2ab53aa83f4d1949537fe1f5bff74db5/260867672.JPG","N234352","Land Only","S","1266 9TH AVENUE","Valemount - Town",,,,,,,,"Allowed Access",,,"250-566-1025",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Available","6/30/2015",,"TAMMY VANDENOBELEN",,,"$428.00",,,"Yes",,"3/24/2014","Not Available",,,,"006-935-672","House/Single Family","V0E 2Z0","No","BC","Great time to buy a lot in Valemount BC. Prices are too good to be true. This is a level, fully-serviced town lot that has been cleared and is ready to build on. Close to arena, curling rink and schools. Don't miss out on this one! Call LS to view.",,"BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","1/6/2015","$25,500","$3.39","0.90","2/4/2015",,,"R1","$28,500","No","288",,,"0.00","0.17","Valemount","$3.39","0.80","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260849795/0/120/90/697c329bfc99bfdc949da75f6cbda290/13/b6413dec450d14ca27da2535c2055b00/260849795.JPG","N234122","Land Only","S","257 COOPER ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"866-593-0131",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"Nearby","6/17/2015",,"ROBERT YOUNG",,,"$247.00",,,"Yes",,"3/17/2014","Not Available",,,,"007-350-228",,"V0K 1X0","No","BC","Excellent price on just under an acre of treed land close to Deka Lake. (priced right on BC Assessed value.) This 0.90 acre property is located at the end of a quiet no-thru road. Great spot to build a home, or set up as your recreational b ase. Miles of trails await the adventurer or drop your boat in the waters of Deka and catch a Kokanee or Rainbow Trout for dinner. Adjacent property c/w home available under separate MLS number.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","12/19/2014","$26,000",,"0.80","1/7/2015",,,"R-1","$32,500",,"277",,,"0.00","0.90","Williams Lake Rural",,"0.72","Other"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261395472/0/120/90/2444d0d013173abbcb9a167878de5633/13/c351b8d05e216a23d6d8acc315873316/261395472.JPG","N241191","Residential Detached","S","24 803 HODGSON ROAD","Esler/Dog Creek","1976","Manufactured","1",,,,,,"38",,"250-302-1785",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"PANORAMA TRAILER PARK","BC ELEC# 32286",,"Detached",,"5/26/2015",,"PAULINE","Preserved Wood","1","$225.00",,,,,"11/26/2014",,,"1",,"800-090-904",,"V2G 3R2",,"BC","Clean and move-in ready two bedroom mobile in Panorama Trailer Park only minutes to downtown Williams Lake. Updates to this home include new fridge in 2011, garden shed built in 2012, and addition roof was redone in 2013. This bright home h as skylight in kitchen and laminate and linoleum flooring throughout, large master bedroom in addition with access to backyard. White picket fenced yard and a newer garden shed. This home is located on the upper level providing a nice view of the lake, backs onto Crown land, and no through road with limited traffic for peace and quiet living. Security system has sensors for intrusion,smoke,low temperatures, and flood.","Laundry room used to be a bedroom, could be converted back. The long working tab le in master bedroom can be removed by seller if buyer would lke - furnace last serviced November 2012, electrical inspection on addition has been done.","BC Northern","For Sale",,,,,,,,,"12/20/2014","$27,000","$27.55","0.77","1/13/2015","1","2","MHP","$35,000",,"24",,"980",,"0.00","Williams Lake","$27.55","0.77","Manufactured"
