"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261416344/0/120/90/7c20bbea587468d922f3273d017f983c/15/f68abefd01637b0af37dd944b212bf15/261416344.JPG","F1428400","Residential Detached","S","30 7790 KING GEORGE BOULEVARD","East Newton","1974","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS MANUFACTURED HOME PARK","244793",,"Detached",,"6/12/2015",,"TOUCHBASE","Other","1","$88.00",,,,,"12/12/2014",,,"1",,"900-573-286",,"V3W 5Y4",,"BC","CRISPEN BAYS: Clean, well maintained single wide in well managed, upscale family park. Park has separate recreation centre, visitor parking, outdoor pool & RV storage lot. Kids & one small pet ok. Pad rent $846.00 per month. Priced to sell . Quick possession possible.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"12/18/2014","$7,500","$9.19","0.77","12/29/2014","1","2","MHP","$9,800",,"6","80","816","30.00","0.00","Surrey","$9.19","0.77","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261407735/0/120/90/bb4f37da512f8d89d0d6ef07ee5650bf/13/6f8aa55bbb35e46f61115af3b424cc48/261407735.JPG","N241292","Land Only","S","4874 TIMOTHY LAKE ROAD","Lac la Hache",,,,,,,,"Road Access",,,"250-644-1100",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,"LAC LA HACHE",,"No",,"Available","3/4/2015",,"MICHELLE/GISELA",,,"$1,464.00",,,"Yes",,"12/4/2014","Available",,,,"010-937-714","House/Single Family","V0K 1T0","No","BC","1.83 acre lot in Lac La Hache with a distant view of the lake. Municipal water and sewer ready to be connected and power is already on the property. Build your new home or set up a mobile home as the big ticket utilities are already install ed. Call today for an information package and plot pl L#7069","Schedule A to accompany offer. an.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","12/9/2014","$13,000",,"0.68","12/15/2014",,,"RR3","$19,000","Not Known","5",,,"0.00","1.83","Williams Lake Rural",,"0.68","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260875470/0/120/90/5c4be3cb925148349e21d33c5e96d911/13/a9ff5ac9d8e8e5d09a835df77a7c4312/260875470.JPG","N234470","Multifamily","S","3010 N MACKENZIE AVENUE","Williams Lake - City","1980","Duplex","4",,,,,,"34",,"250-305-4120",,"Williams Lake (Zone 27)",,,"0","11",,,"N","Williams Lake","Multifamily",,,,,"Multi-Family Revenue (Max. 4 Units)",,"12/30/2014","No","KAREN GERTZEN","Concrete Perimeter","4","$2,820.00",,,,,"3/27/2014",,,"2",,"013-548-905",,"V2G 1P4",,"BC","If you are a handyman and not afraid of a challenge, this one is for you! Duplex with unauthorized suites located on MacKenzie Ave, across from Comer Pub. Property to be sold as is - where is. Needs lots of work. Must contact City regardi ng having services re-connected. Property has been secured by Procheck Home Services (bring a flashlight).","No evidence of previous grow-op or any police record of it ever being a gr ow-op. Apparently drug dealings from property. In addition - 1% of sale price to Gowling Lafleur Henderson LLP which will come from listing side.","BC Northern","For Sale",,,,,,,,,"12/11/2014","$25,000","$5.36","0.50","3/10/2015","4","11","R3","$49,900",,"259",,"4,666","0.00","0.32","Williams Lake","$5.36","0.42","Duplex"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260849795/0/120/90/697c329bfc99bfdc949da75f6cbda290/13/b6413dec450d14ca27da2535c2055b00/260849795.JPG","N234122","Land Only","S","257 COOPER ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"866-593-0131",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"Nearby","6/17/2015",,"ROBERT YOUNG",,,"$247.00",,,"Yes",,"3/17/2014","Not Available",,,,"007-350-228",,"V0K 1X0","No","BC","Excellent price on just under an acre of treed land close to Deka Lake. (priced right on BC Assessed value.) This 0.90 acre property is located at the end of a quiet no-thru road. Great spot to build a home, or set up as your recreational b ase. Miles of trails await the adventurer or drop your boat in the waters of Deka and catch a Kokanee or Rainbow Trout for dinner. Adjacent property c/w home available under separate MLS number.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","12/19/2014","$26,000",,"0.80","1/7/2015",,,"R-1","$32,500",,"277",,,"0.00","0.90","Williams Lake Rural",,"0.72","Other"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261371878/0/120/90/572f4eefa19ef241a94eadac1ac4b3d8/13/213a622d0985d78574d3aa1633646f5d/261371878.JPG","N240990","Residential Detached","S","163 10420 96TH AVENUE","Fort St. John - City SW","1978","Manufactured","1",,,,,,"36",,"250-262-9966",,"Fort St. John (Zone 60)",,,"0","3",,,,"Fort St. John","Residential Detached",,,"225946",,"Detached",,"5/12/2015",,"WYNNETTE OR BRANDON LOWES","Other","1","$792.00",,,,,"11/12/2014",,,"1",,"800-090-450",,"V1J 1L5",,"BC","Cozy 3 bedroom mobile centrally located close to shopping and schools. With a little TLC this home would be perfect for the first time home buyer or investor with its spacious living room, 3 bedrooms, newer addition with a full bedroom and entrance way.","Mobile sits on blocking. BC Electrical #225946, Permit #EL-147259-2014. Call for your viewing.","BC Northern","For Sale",,,,,,,,,"12/8/2014","$30,000","$28.90","0.75","1/26/2015","1","3","R3","$39,900",,"26",,"1,038","0.00","0.00","Fort St John","$28.90","0.75","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261054489/0/120/90/72dd3dd4b53775b651f2aef677c0beb0/16/23c631942b33448a9b3b97d92fd3e8b9/261054489.JPG","V1070291","Land Only","S","9506 LOT A PORTAGE ROAD","D'Arcy",,,,,,,,"Allowed Access",,,"604-902-4589",,"Pemberton",,,,,"No","Not Available",,"D'Arcy","Land",,,,"No",,"At Lot Line","10/31/2015",,"LISA HILTON",,,"$380.00",,,"Yes",,"6/10/2014","Not Available",,,,"026-770-598",,"V0N 1L0","No","BC","Affordable acreage nestled in a valley with stellar mountain views. This 5 acre property is 2.5 hours from Vancouver and minutes away from 4 lakes. Excellent back country hiking, fishing, boating, summer and winter activities. Drilled well is on the property. Contact today for your Information package.","Physical introduction to the property must be done by the Buyer's designated","Greater Vancouver","For Sale","None",,"None",,"No",,,"Well - Drilled","12/8/2014","$30,000",,"0.52","12/22/2014",,,"RS-1","$58,000",,"181",,,"0.00","5.00","Whistler",,"0.44","Other"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057040/0/120/90/18e3a3e20df067b24a9f681debfea645/16/e647ed42c409753aa60675c561cabcf4/261057040.JPG","V1070460","Land Only","S","9506 LOT B PORTAGE ROAD","D'Arcy",,,,,,,,"Road Access",,,"604-902-4589",,"Pemberton",,,,,"No","Not Available",,"D'Arcy","Land",,,,"No",,"At Lot Line","10/31/2015",,"LISA HILTON",,,"$381.00",,,"No",,"6/10/2014","Not Available",,,,"026-770-601",,"V0N 1L0","No","BC","Affordable acreage nestled in a valley with stellar mountain views. This 5 acre property is 2.5 hours from Vancouver and minutes away from 4 lakes. Excellent back country hiking, fishing, boating, summer and winter activities. Drilled well is on the property. Contact today for your Information package.","Physical introduction to the property must be done by the Buyer's designated agent the cooperating brokerage's commission will be $500.00.","Greater Vancouver","For Sale","None",,"None",,"No",,,"Well - Drilled","12/12/2014","$30,000",,"0.52","12/22/2014",,,"RS-1","$58,000",,"185","0.0",,"0.00","5.02","Whistler",,"0.44","Other"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261161663/0/120/90/2c0e16a3a9bc5e92d9862de15e51399f/13/0b42718ad8778ac08506a215b6c184b9/261161663.JPG","N238602","Residential Detached","S","C-10 1885 QUEENSWAY DRIVE","Thornhill","1981","Manufactured","1",,,,,,"33",,"250-615-1350",,"Terrace (Zone 88)",,,"0","3",,,,"Terrace","Residential Detached",,"SKEENA VALLEY MOBILE HOME PARK","420748",,"Detached",,"1/31/2015",,"DARREN BEAULIEU","Other","1","$338.00",,,,,"7/29/2014",,,"1",,"800-087-948",,"V8G 3Z1",,"BC","Affordable 3 bedroom home. This home features a huge open concept kitchen with center island and loads of cupboard space. The living is very spacious and features a wood burning fireplace for those chilly nights. The spa like bath features a soaker tub, stand up shower and newer flooring and trim. All in all a great package for the price! Make an offer today! Available Immediately! Move in before winter! Call or Click today for more information or to book a viewing!","Foundation: wooden block and concrete.","BC Northern","For Sale",,,,,,,,,"12/11/2014","$32,000","$24.10","0.58","1/8/2015","1","3","MHP","$54,900",,"135",,"1,328","0.00","0.00","Terrace","$24.10","0.53","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261369751/0/120/90/664aea7fafa42d80373232300647faf0/16/184ff7cf757c9a0ddd1c3e27143ba3f2/261369751.JPG","V1093635","Residential Attached","S","211 4295 BLACKCOMB WAY","Whistler Village","1995","Apartment/Condo","1",,,,,,"19",,"604-935-2013",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"HOLIDAY INN WHISTLER VILLAGE CENTRE",,,"Attached",,"4/30/2015",,"DENISE BROWN","Concrete Slab","1","$1,112.00",,,,,"11/9/2014",,,"1",,"800-089-862",,"V0N 1B4",,"BC","211 Holiday Inn Whistler Village is right in the centre of the original village and literally steps from great dining, shopping, entertainment and both of the Whistler and Blackcomb Gondolas! A 396 sf studio suite that has a/c, windows that open to enjoy the fresh mountain air, free WIFI, a comfy queen bed, kitchenette with range top, microwave & refrigerator as well as gas fireplace & 4 piece bathroom. Enjoy the day on the slopes then unwind in the fitness centre with hot-tub & change room facilities. The Holiday Inn is a phase 2 nightly rental hotel with ample owner use (28 days winter/28 days summer) & rental revenue opportunity. It is an entry level investment & lifestyle opportunity in North America's #1 Ski Resort!","Email denise@realwhistlerliving.com for availability. TW fees paid out of revenue. Strata fees include 5% GST.","Greater Vancouver","For Sale",,,,"$335.24",,,,,"12/14/2014","$35,000","$88.38","0.70","12/17/2014","1","1","TA8","$50,000",,"35",,"396",,"0.00","Whistler","$88.38","0.70","Apartment/Condo"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261316343/0/120/90/a434a4502cd1abe0a7dbd8cc0769f51b/13/3f84951e91b549b36a4334d4a6f0a5d2/261316343.JPG","N240426","Land Only","S","LOT 69 W MEIER ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-981-3100",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,"CLUCULZ LAKE",,"No",,"Nearby","4/14/2015",,"CALL/TEXT MIKE",,,"$294.00",,,"Yes",,"10/14/2014","Not Available",,,,"006-751-521","Recreational","V0J 3A3","No","BC","This beautiful and serene 12 acre sub-lake front property is across the road from public lake access to the popular Cluculz Lake. It has meandering trails throughout and zoning allows a variety of uses including agricultural, recreational a nd/or 1 or 2 family dwellings. There is electricity at the street and road access is paved and maintained year round. Perfect place for a low cost retirement dream. Seller willing to finance.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","12/12/2014","$35,000","$0.07","0.88","12/12/2014",,,"H1","$39,900","Not Known","59",,,"0.00","12.04","Vanderhoof Rural","$0.07","0.88","Recreational"
