"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261483140/0/120/90/fe808e664fddf6a8bdb81c920eedf569/14/7af1ffe994cd7bc43dbd6a466686f3a5/261483140.JPG","H2150385","Residential Detached","S","42 45640 WATSON ROAD","Vedder S Watson-Promontory","1974","Manufactured","1",,,,,,"41",,"800-446-5686",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"WESTWOOD ESTATES","244898",,"Detached",,"4/30/2015",,"ANDY/DAVID","Other","1","$105.00",,,,,"1/29/2015",,,"1",,"700-000-047",,"V2R 3P9",,"BC","Fixer upper mobile in Westwood Estates Mobile Home Park. Home is in need of a complete renovation but is priced for a buyer to build up a bit of sweat equity. Floor plan consists of two bedrooms and one bath, while exterior is feature d by single carport, good sized yard, storage building, greenhouse and plenty of parking for those with multiple vehicles. This is a great retirement or starter home for those with handyman skills or possibly and investment purchase. Pad rent is $538/mth. Pets allowed but this restrictions.","Incomplete PDS, Sale via POA, Buyer to satisfy themselves re: condition.","Chilliwack","For Sale",,,,,,,,,"2/20/2015","$9,000","$11.54","0.60","3/3/2015","1","2","MHP","$14,900",,"22",,"780","0.00","0.00","Chilliwack","$11.54","0.60","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261461093/0/120/90/7ade66ad5a88f9648724703bb9a65a23/13/b643db18d949ff4aae82c94fe8c17bc5/261461093.JPG","N241822","Land Only","S","LT 39& 40 ALBERT STREET","Prince Rupert - City",,,,,,,,"Mixed",,,"250-600-2334",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Prince Rupert","Land",,,,"No",,"Nearby","11/30/2015",,"NADIA",,,"$51.00",,,"Yes",,"1/16/2015","Nearby",,,,"014-131-102","Other","V8J 4B6","No","BC","Undeveloped land for sale, zoned R2. Lot 39 is 2337 sq ft and Lot 40 is 4652 sq ft. This section of Albert Street is not developed.","Please see map for exact location. Additional PID# 014-131-111","BC Northern","For Sale","Nearby",,"Nearby",,"No",,,"None","2/17/2015","$15,000","$2.15","1.00","2/19/2015",,,"R2","$15,000",,"32",,,"0.00","0.16","Prince Rupert","$2.15","1.88","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261470030/0/120/90/50f7cf826ad11428865e920ea0ffc2da/15/4dd6f1310357708ccae3c5c98fad0799/261470030.JPG","F1430704","Residential Detached","S","26 9132 120 STREET","Queen Mary Park Surrey","1972","Manufactured","1",,,,,,"43",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"SCOTT PLAZA","244986",,"Detached",,"6/30/2015",,"LES WELLMAN","Concrete Block","1","$84.00",,,,,"1/22/2015",,,"1",,"900-573-646",,"V4C 6E1",,"BC","Scott Plaza 2 bdrm with addition family park. Pad rent 535 throw stone to school bus stop out front of park. New fridge, stove, washer, dryer all included. Newer H.W.T. Full size tub with stand up shower. 10 min to Scott Rd Skytrain Station. Close to all.",,"Fraser Valley","For Sale",,,,,,,,,"2/19/2015","$16,000","$16.67","0.80","2/26/2015","1","2","MNP","$19,900",,"28",,"960","0.00","0.00","Surrey","$16.67","0.67","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261440891/0/120/90/0f9e7da3006a8fa3ce9d71a75077dd42/15/b48b405852fb99ac68efe29ec53bfefe/261440891.JPG","F1429340","Residential Detached","S","2 41495 NORTH NICOMEN ROAD","Dewdney Deroche","1983","Manufactured with Land","1",,,,,,"32",,"604-854-0392",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"LAKAHAHMEN TRAILER PARK","427600",,"Detached",,"12/31/2015",,"CAL CRAWFORD","None","1",,,,,,"1/7/2015",,,"1",,"900-573-449",,"V0M 1G0",,"BC","This is a great price. Pad rent is $250 per month. Very Affordable. Huge lot. Bright open floor plan with big kitchen area including a Bay Window to sit and have that morning cup of tea. Spacious living room and 2 bedrooms. Close to a newer country elementary school. Great outdoor activities close by such as fishing, skiing, golfing and lakes. Located just a few minutes east of Mission.","Potential buyer must be approved by Mobile Home Park.","Fraser Valley","For Sale",,,,,,,,,"2/19/2015","$24,000","$25.97","0.80","3/6/2015","1","2","MHP","$29,900",,"43",,"924","0.00","0.00","Mission","$25.97","0.80","Manufactured with Land"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261438650/0/120/90/3eb0bd579ae956901112b1a7e40b6095/13/efb8034bdb8145e103ef39bf2c6a9686/261438650.JPG","N241602","Residential Detached","S","1259 PARK AVENUE","Prince Rupert - City","1953","House/Single Family","0",,,,,,"62",,"250-624-9444",,"Prince Rupert (Zone 52)",,,"0","0",,,,"Prince Rupert","Residential Detached",,,,,"Detached",,"5/31/2015",,"JEFF CLARKE","Concrete Perimeter","0","$352.00",,,,,"1/2/2015",,,"2",,"013-098-781",,"V8J 1K2",,"BC","This fixer upper could be just the project you've been looking for. The house currently has been stripped down to the studs inside and if you added some stairs to the basement you could have yourself a spacious home. The central location pu ts you within walking distance to the main downtown core and the property itself has off-street parking plus a greenbelt across the back for privacy.",,"BC Northern","For Sale",,,,,,,,,"2/17/2015","$30,000","$23.08","0.75","2/19/2015","0","0","R2","$40,000",,"46","100","1,300","37.50","0.09","Prince Rupert","$23.08","0.67","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261452005/0/120/90/714b404016c291e2aa1cc1b7d12acacf/13/eef43f9cb53025f7ef4e0f7cca19bdb2/261452005.JPG","N241754","Residential Detached","S","18 457 VANDERVIEW DRIVE","Vanderhoof - Town","1977","Manufactured","1",,,,,,"38",,"250-567-2271","2007","Vanderhoof And Area (Zone 56)",,,"0","3",,,,"Vanderhoof","Residential Detached",,"MOBILE HOME PARK","39252",,"Detached",,"7/31/2015",,"CARL/JEANNIE","Other","1","$248.00",,,,,"1/13/2015",,,"1",,"800-091-781",,"V0J 3A0",,"BC","This well kept mobile home has room for the young family. The living room combined with a large front entrance gives a spacious feel to the home. With 3 bedrooms this home is appealing to a young and growing family. Well situated, reasonabl y priced and spacious in design this home is the perfect starter home. A 11x20 storage shed has room to keep the toys for the little kids and the big kids in the family.","Ice build up in eavestroughing backed up and stained master bedroom ceiling. Pro blem was resolved by placing heat tape in eavestroughing. Foundation is cement pad.","BC Northern","For Sale",,,,,,,,,"2/16/2015","$30,500","$27.83","0.94","3/4/2015","1","3","R5","$32,500",,"34",,"1,096","0.00","0.00","Vanderhoof","$27.83","0.94","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261341333/0/120/90/d907c936f46922e61c03e8638fd49fb2/13/64a58257c512b244461532c964e72b97/261341333.JPG","N240657","Residential Detached","S","16 375 HORSE LAKE ROAD","100 Mile House - Town","1983","Manufactured","1",,,,,,"31",,"250-706-1186",,"100 Mile House (Zone 10)",,,"0","2",,,,"100 Mile House","Residential Detached",,"TRAVELLERS TRAILER PARK","427852",,"Detached",,"7/14/2015",,"GISELA/MICHELLE","Concrete Block","1","$382.00",,,,,"10/19/2014",,,"1",,"800-089-952",,"V0K 2E0",,"BC","Move in ready 2 bedroom, 1 bath home in Travellers Trailer Park in downtown 100 Mile House. Some new flooring, and freshly painted walls and cabinets. It's just a short wal k to doctors office, 100 Mile House Hospital, Safeway and other convenient shopping. Quick possession possible - this could be exactly what you're looking for in your next step to easy breezy in town living. L#7053",,"BC Northern","For Sale",,,,,,,,,"2/19/2015","$33,400","$30.78","0.96","2/24/2015","1","2","R7","$34,900",,"123",,"1,085","0.00","0.00","100 Mile House","$30.78","0.96","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261403838/0/120/90/c2c1dfa56b72d9c555d24e0924ad74e5/15/5e08f8f900fb809cd518ec408a2b7175/261403838.JPG","F1427965","Residential Detached","S","113 43201 LOUGHEED HIGHWAY","Lake Errock","1994","Manufactured","1",,,,,,"20",,"778-549-8606",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"DEROCHE","463993",,"Detached",,"2/28/2015",,"MATT THIESSEN","Concrete Slab","1",,,,,,"11/27/2014",,,"1",,"900-573-202",,"V0M 1N0",,"BC","Clean Manufactured Home in Deroche. This 2 bedroom, 1 bathroom mobile home has vaulted ceilings and a sunken living room. 2 year old furnace and hotwater tank. Great private setting, close to skiing, hunting, fishing and more. Check it out today!","All measurements are approximate, should be verified if important.","Fraser Valley","For Sale",,,,,,,,,"2/21/2015","$36,000","$39.13","0.81","3/9/2015","1","2","A1","$44,500",,"86",,"920","0.00","0.00","Mission","$39.13","0.81","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260798796/0/120/90/23652ee5f556f0353bfd3c4fecfff7ca/15/a01c528078b48f606d8c98cfdfdd9e0b/260798796.JPG","F1404474","Land Only","S","225 8400 SHOOK ROAD","Hatzic",,,,,,,,"Road Access",,,"604-820-0555",,"Mission",,,,,"No","Not Available",,"Mission","Land",,"THE EVERGLADES RESORT",,"No",,"Available","12/31/2015",,"NANCY OLSON",,,"$1,503.00",,,"No",,"2/24/2014","Not Available",,,,"900-570-239","Recreational","V2V 7N1","No","BC","WATERFRONT LOT at THE EVERGLADES RESORT at HATZIC LAKE. This lot has a lake side patio, cement pad and a 8' x 10' storage shed. Just pull in and plug in. Appx. 1 hour from Vancouver you can enjoy your own recreation property - swimming, boating, water skiing or fishing for a low annual fee including taxes of $1503.00. Located on Slumber lane a nice and quiet lane at the Resort. Call today!","Users interest in land - Undivided interest. Area may experience flooding - call listing realtor for more info.","Fraser Valley","For Sale","Community",,"None",,"No",,,"Community","2/21/2015","$44,000","$19.96","0.80","2/27/2015",,,"REC","$55,000","No","362","58",,"38.00","0.05","Mission","$19.96","0.80","Recreational"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261531786/0/120/90/bb8fc6a11d1e1dceaa6a5da245c085b7/13/d4ed689203a30b0b97df3d931239468f/261531786.JPG","N242492","Residential Detached","S","78 9207 82ND STREET","Fort St. John - City SE","1977","Manufactured","1",,,,,,"38",,"250-794-1515",,"Fort St. John (Zone 60)",,,"0","2",,,,"Fort St. John","Residential Detached",,"SOUTHRIDGE MOBILE HOME PARK","305922",,"Detached",,"7/21/2015",,"TEXT SCOTT","Preserved Wood","1","$642.00",,,,,"2/19/2015",,,"1",,"800-092-790",,"V1J 5G5",,"BC","Immaculately kept by the current owner with upgraded appliances in the kitchen featuring a gas stove and a french door fridge with ice and water plus a high quality dishwasher. The home has newer windows with upgraded styrofoam insulation a nd vinyl siding. Located in Southridge Mobile Home Park.","Accepted offer till March 5","BC Northern","For Sale",,,,,,,,,"2/19/2015","$55,000","$71.61","0.92","3/17/2015","1","2","PARK","$60,000",,"0",,"768","0.00","0.00","Fort St John","$71.61","0.92","Manufactured"
