"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261320532/0/120/90/50a4e4ef3cd7dab9a736184b852d04e8/13/d5b325dfa62f4b58495f9704c4100d33/261320532.JPG","N240462","Residential Detached","S","29 955 13TH AVENUE","Valemount - Town","1972","Manufactured","1",,,,,,"42",,"250-569-7397",,"Robson Valley (Zone 81)",,,"0","2",,,,"Valemount","Residential Detached",,,"CSA#225992",,"Detached",,"5/15/2015",,"IRENE BERNDSEN","Other","1","$154.00",,,,,"10/14/2014",,,"1",,"800-089-705",,"V0E 2Z0",,"BC","Need your own space? Affordable place to call your own. Over 1100 sq ft to do with as you please. Large open living area. 2 bedrooms, laundry room, storage room, and large enclosed porch. Garden shed and appliances included. Located in a nice park just a short walk from town.","Foundation is blocks.","BC Northern","For Sale",,,,,,,,,"3/5/2015","$15,000","$13.35","0.77","3/11/2015","1","2","MHP","$19,500",,"142",,"1,124",,"0.00","Valemount","$13.35","0.71","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261103057/0/120/90/71777cab936910a02ab7a6668833b020/13/f310eadd1f5a8435be1a22da6f8911c0/261103057.JPG","N237775","Land Only","S","LOT 14 HALE ROAD","Topley",,,,,,,,"Road Access",,,"250-877-3050",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"Available","5/27/2015",,"NICOLE HACKLE",,,"$180.00",,,"Yes",,"5/27/2014","Not Available",,,,"005-321-531","Mixed","V0J 2Y0","No","BC","This 5-acre property is part of the rural subdivision known as Topley Estates. Comprised of 27 lots all with approximately 5 acres each. Access the property by road only 1 km off Highway 16. Lot 14 is relatively level and aesthetically pleasing with the mature stand of aspen/poplar trees. Minutes from the small community of Topley BC, offering a convenience store, restaurant, volunteer fire department, community hall, and postal service.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/2/2015","$18,500",,"0.71","3/25/2015",,,"H1","$26,000",,"279",,,"0.00","5.00","Houston Rural",,"0.71","Mixed"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261538301/0/120/90/61a284208a13400cbf31f7a57597a1d9/13/f0587f16afa55bd6ebc292a5373b48cd/261538301.JPG","N242559","Residential Detached","S","3444 14TH STREET","Houston - Town","9999","House/Single Family","0",,,,,,"999",,"250-845-8234",,"Houston (Zone 53)",,,"0","0",,,,"Houston","Residential Detached",,,,,"Detached",,"12/31/2015",,"DAN HANSMA","Concrete Perimeter","1","$1,436.00",,,,,"2/25/2015",,,"1",,"013-846-809",,"V0J 1Z0",,"BC","Large 128' x 100' lot located downtown close to the arena, pool, rec centre and shopping. 2 older unoccupied houses on property to be sold as is, where is.",,"BC Northern","For Sale",,,,,,,,,"2/28/2015","$19,600","$18.46","1.16","3/4/2015","1","0","R1","$16,900",,"3","100","1,062","128.00","0.29","Houston","$18.46","1.16","House/Single Family"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","N216640","Residential Detached","S","4356 BIRCH LAKE ROAD","Bridge Lake/Sheridan Lake","1963","Recreational","1",,,,,,"49",,"250-593-0131",,"100 Mile House (Zone 10)",,,"0","2",,,,"Bridge Lake","Residential Detached",,,,,"Detached",,"7/15/2015",,"ROBERT YOUNG","Other","0","$1,380.00",,,,,"3/19/2012",,,"1",,"800-066-213",,"V0K 1E0",,"BC","It is not often a cabin becomes available on trout bearing Birch Lake off the famous fishing Hwy 24. (approx 1.5 hrs to Kamloops or 45 minutes to 100 Mile House). This 2 bedroom cabin features propane appliances, a separate storage shed as well as a bath house with demand hotwater system, fed by a 1000 gal holding tank. Continue leasing from the government or buy out the property. South facing with miles and miles of Crown land to explore. L#7128",,"BC Northern","For Sale",,,,,,,,,"3/4/2015","$20,000","$41.67","0.80","5/26/2015","0","2","RL1","$25,000",,"1080",,"480","0.00","0.41","100 Mile House","$41.67","0.24","Recreational"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261504126/0/120/90/3e6e766372353138b953d934aa12317e/15/a8845412d6345f38467ab8c997494554/261504126.JPG","F1432206","Residential Detached","S","9 16039 FRASER HIGHWAY","Fleetwood Tynehead","1967","Manufactured","1",,,,,,"48",,"604-572-1211","2012","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"FLEETWOOD TRAILER PARK","39633",,"Detached",,"5/31/2015",,"JOE PAL","Other","1",,,,,,"1/27/2015",,,"1",,"900-573-857",,"V4N 0G2",,"BC","Fleetwood location at 160 and Fraser Highway Rec Center and Library, shopping mall, restaurants, banks, fast food, church etc. On Bus Route. This mobile was fully renovated with new roof with plywood under, wiring, plumbing, windows, lamina ted floors, kitchen and appliances including dishwasher and microwave, bathroom vanity and soaker tub and closet. Covered sundeck 11x9'8, a second storage shed 8'4x7'6. Has visitor parking. Pad rental $500.","If important to buyer all sizes and measurements should be verified by buyer.","Fraser Valley","For Sale",,,,,,,,,"3/1/2015","$21,500","$31.99","0.80","3/11/2015","1","2","MHP","$26,900",,"33",,"672","0.00","0.00","Surrey","$31.99","0.80","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261189989/0/120/90/1db8be4188696f50fe969759c50d9f86/13/9837a630e70d166356bf894e9afe23e5/261189989.JPG","N239006","Residential Detached","S","3 2764 DURRELL ROAD","Quesnel Rural - South","1982","Manufactured","1",,,,,,"32",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"DURREL TRAILER PARK","423057",,"Detached",,"4/1/2015",,"LESLIE OR CLAUDIA","Other","1","$148.00",,,,,"8/13/2014",,,"1",,"800-088-194",,"V2J 6M9",,"BC","Affordable living, south of town. This mobile is impressively clean, and very well maintained. There is a large sundeck, two bedrooms, and a fabulous wood fireplace in your generous size living room. This mobile is situated in a quiet, rura l park, great starter or retirement home. Move in ready!","Foundaiton is blocking.","BC Northern","For Sale",,,,,,,,,"3/4/2015","$22,000","$23.11","0.85","3/5/2015","1","2","MHP","$25,900",,"203",,"952","0.00","0.00","Quesnel","$23.11","0.69","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261462759/0/120/90/e860ba4e74d129c13a7e026add01d663/15/c109bfa368392a007c36ebe63a18fa63/261462759.JPG","F1430351","Residential Detached","S","9 7850 KING GEORGE BOULEVARD","East Newton","1991","Manufactured","1",,,,,,"24",,"604-315-5759",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","458481",,"Detached",,"12/31/2015",,"KRYSTYNA WATTS","Other","1","$162.00",,,,,"1/17/2015",,,"1",,"900-573-581",,"V3W 5B2",,"BC","Bear Creek Glen - a gleaming WINNER here! 14x66 mobile S/W but shows like a real HOME with high ceilings & skylights, bright spacious rooms, South facing, beautiful built-in dinrm hutch, good sized kitchen, 2 bedrooms - WOW! Check the spa sized bathroom, separate shower, double sinks, huge soaker tub - enjoy your bubble bath! This 24 hr year old features recent new roof with 50 yr warranty, detached workshop, entertaining patio/deck plus a backyard garden for the green thumb enthusiasts. Park is age restricted to 55 + over, one pet (dog swize 18) Close to all amenities plus transit. Easy to show.",,"Fraser Valley","For Sale",,,,,,,,,"3/5/2015","$26,500","$28.68","0.76","3/13/2015","1","2","MFD","$35,000",,"47","66","924","14.00","0.00","Surrey","$28.68","0.53","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261216075/0/120/90/9910f2451d7ee01ae489a356a8cf4ff0/13/b8b28a578f26e0381942c1017d2e2279/261216075.JPG","N239351","Land Only","S","907 JUBILEE DRIVE","Port Edward",,,,,,,,"Road Access",,,"250-624-9444",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Port Edward","Land",,,,"No",,"At Lot Line","8/26/2015",,"JEFF CLARKE",,,"$538.00",,,"No",,"8/26/2014","At Lot Line",,,,"005-990-840","House/Single Family","V0V 1G0","No","BC","This large lot located in one of the most desirable areas of Port Edward is just waiting for you to start construction of your new home. Not only is it a good sized lot in a great neighbourhood but it's also being offered at a price that ma kes it nearly impossible to pass up. Don't wait too long to act on this one because the market just keeps getting busier and excellent lots like this are very popular.",,"BC Northern","For Sale","At Lot Line",,"Nearby",,"No",,,"City/Municipal","3/4/2015","$39,900","$6.65","0.80","3/6/2015",,,"R1","$49,900","No","190","100",,"60.00","0.14","Port Edward","$6.65","0.80","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261473077/0/120/90/61300186734529d482a8f82cc5b7246c/13/35ead5b669683a5b098857fcf9506ff1/261473077.JPG","N241949","Residential Detached","S","2988 MINOTTI DRIVE","Hart Highway","1973","Manufactured with Land","1",,,,,,"42",,"250-565-7653",,"PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,"HART HIGHWAY","BCE#225910",,"Detached",,"6/1/2015",,"KEN GOSS","Other","1","$1,095.00",,,,,"1/24/2015",,,"1",,"006-598-102",,"V2K 1T4",,"BC","Situated on 0.18 acres, this is a fixer-upper. It is ideal for a handyman with a larger family, or it would make a great rental. It does have the BC Safety Branch Sticker. Vacant, so it is easy to show.","Foundation is concrete pillars. Measurements are approximations.","BC Northern","For Sale",,,,,,,,,"3/4/2015","$40,000","$39.22","0.67","3/4/2015","1","3","URS2B","$59,900",,"39",,"1,020","0.00","0.18","City of Prince George","$39.22","0.67","Manufactured with Land"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261314055/0/120/90/6788b4d6adb8a2cffcc14601f8ee8ba1/14/e8ad76dd8c7f8ac193b247382c6d9cb8/261314055.JPG","H1404141","Residential Detached","S","82 3942 COLUMBIA VALLEY ROAD","Cultus Lake","1972","Manufactured","1",,,,,,"42",,"604-819-1664",,"Cultus Lake",,,"0","2",,,,"Cultus Lake","Residential Detached",,"CULTUS LAKE VILLAGE","36776",,"Detached",,"4/30/2015",,"DOUG SAWCHUK","Other","1","$178.00",,,,,"10/11/2014",,,"1",,"700-009-375",,"V2R 5B3",,"BC","Cozy 2 bedroom home in Cultus Lake Village. Features large 10x18 covered deck, 10x20 workshop wired for 220, all drywall interior, updated roof, flooring, counters & cabinets, doors, lighting fixtures, bathroom fixtures including a soaker t ub, security doors & more. Electrical certification completed. Walk to the Park Golf course & lake recreation.",,"Chilliwack","For Sale",,,,,,,,,"2/28/2015","$44,500","$61.81","0.94","3/23/2015","1","2","RMH","$47,500",,"140","0","720","0.00","0.00","Chilliwack","$61.81","0.94","Manufactured"
