"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261174198/0/120/90/ce0fbe9e679fb9c07f81fa99e651821a/15/de0b40d3a060765e587e65c9aa4f2c9c/261174198.JPG","F1419466","Residential Detached","S","20 32380 LOUGHEED HIGHWAY","Mission BC","1972","Manufactured","1",,,,,,"42",,"604-302-5348",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,,"35102",,"Detached",,"7/31/2015",,"DEBORAH VALE","None","1","$170.00",,,,,"8/4/2014",,,"1",,"900-572-173",,"V2V 1A4",,"BC","Great location - 55+ mobile home park! The Grove is conveniently located for seniors' availability to the hospital and shopping. This unit is clean and ready to be lived in with quick possession possible. This mobile has an addition that gives it a covered porch and an extra room of living space. This home has 2 bedrooms, a galley kitchen and dining/living room with laminate floors throughout most of the home. There is a wheelchair ramp beside the single car port and a shed out the back. The roof is approximately 3 years old and has recently had the electrical inspected with a new Silver Sticker. Added bonus of being hooked up to city water and sewer. Call today for your personal showing.","Easy to show. All measurements are approximate and are to be confirmed by buyer if deemed important.","Fraser Valley","For Sale",,,,,,,,,"1/27/2015","$15,000","$22.19","0.77","2/10/2015","1","2","MMP","$19,500",,"176",,"676","0.00","0.00","Mission","$22.19","0.77","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261450345/0/120/90/70ec191d25e851ab3ffa92edf1c816fd/15/d7fa647fcf8d76e995db0fef1a502bae/261450345.JPG","F1429787","Residential Detached","S","5 23141 72ND AVENUE","Salmon River","1978","Manufactured","1",,,,,,"37",,"604-839-3491","2014","Langley",,,"0","2",,,,"Langley","Residential Detached",,"Livingston","412616",,"Detached",,"6/30/2015",,"Shelly","Concrete Slab","1","$591.00",,,,,"1/12/2015",,,"1",,"900-573-422",,"V2Y 2R9",,"BC","Livingstone Park. 55+ Cats Allowed. Home in the Country, yet Awesome access to Langley & Freeway. CLEAN, Affordable, 2Bdrm 1 Bath & Upgraded! Pad Rent just $404.38. Nice Classic Oak Kitchen with upgrades include New flooring throughout, HW heater, newer Furnace, fresh paint, awesome covered deck (new roof on deck), new insulation under unit, NEW Tub, surround, toilet & sink. GREAT UNIT! Tons of Storage, & Storage Shed included. Vacant Call today.","Clean & Affordable. Pad Fee just $404.38. All measurements approx. to be verified if deemed important.","Fraser Valley","For Sale",,,,,,,,,"2/1/2015","$31,500","$34.09","0.79","2/17/2015","1","2","MH-1","$39,900",,"20",,"924","0.00","0.00","Langley","$34.09","0.79","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261485747/0/120/90/22fe67aa538b69f71f3d2b7d7cff34b3/13/58b99c3af8905ad3e005cb14e92914ce/261485747.JPG","N242063","Residential Detached","S","69 3001 MACKENZIE AVENUE","Williams Lake - City","1983","Manufactured","1",,,,,,"32",,"250-398-0914",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"226254",,"Detached",,"6/30/2015",,"DANA HINSCHE","Concrete Block","1","$373.00",,,,,"1/30/2015",,,"1",,"800-092-210",,"V2G 3N9",,"BC","1983 mobile in Green acres has been well kept. 2 bedrooms, one bathroom, with open floor plan in kitchen/living room area. Addition adds extra space with natural gas fireplace. Sundeck, storage shed. Cheaper than renting!","Seller uncertain if dishwasher is working.","BC Northern","For Sale",,,,,,,,,"2/2/2015","$33,000","$26.96","0.83","2/19/2015","1","2","MHP","$39,995",,"3",,"1,224",,"0.00","Williams Lake","$26.96","0.83","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261427221/0/120/90/f5d3799b29bf72918a27e9b4dd6c15ab/16/acc25a0d3af27362875c02658c2a6c82/261427221.JPG","V1098133","Residential Attached","S","337 4315 NORTHLANDS BOULEVARD","Whistler Village","1998","Apartment/Condo","0",,,,,,"16",,"604-905-9975",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"CASCADE LODGE",,,"Attached",,"6/1/2015",,"LANCE LUNDY","Concrete Slab","1","$1,165.00",,,,,"12/23/2014",,,"1",,"024-149-489",,"V0N 1B4",,"BC","This Phase II studio in the Cascade Lodge is well located for all amenities and activities. Walk to the ski hill and valley trail, enjoy the hot tub, pool and gardens, or walk over to the local restaurants, bars and shops on the village stroll. This quiet location offers an affordable real estate investment in Whistler.","Email bbergstrom@resortquestwhistler.com or apayne@resortquestwhistler.com for access. hysical introduction to the property must be done by designated agent for the buyer or the commission of 3% won't t be paid, commission of $500 shall be received by the agent for the buyer.","Greater Vancouver","For Sale",,,,"$270.57",,,,,"1/28/2015","$45,000","$159.01","0.94","7/28/2015","1","0","CC1","$48,000",,"36",,"283",,"0.00","Whistler","$159.01","0.94","Apartment/Condo"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261361070/0/120/90/6d472f886bc3c6aa54d7246f1c86d76c/15/43b0c1f84accf2f5d6ad533d4b49a199/261361070.JPG","F1426509","Residential Detached","S","39 31313 LIVINGSTONE AVENUE","Abbotsford West","1975","Manufactured","1",,,,,,"39",,"604-859-2341",,"Abbotsford",,,"0","3",,,,"Abbotsford","Residential Detached",,"PARADISE PARK","CR8421",,"Detached",,"5/5/2015",,"SUSAN PELZER","Concrete Slab","2","$422.00",,,,,"11/5/2014",,,"1",,"900-572-988",,"V2T 4T1",,"BC","Spotless 3 bdrm 2 bath double wide home in Paradise Park with over 1300 Sq ft. Beautiful layout with living room (corner gas F/P), dining room, built-in china cabinet. Kitchen with bright eating area plus adjacent family room. The bedroom s are large & the ensuite is a 3 piece. The covered parking is over height with room for 2 small cars & has an attached workshop that is wired. Lots of nice updates, new windows, flooring etc. 55 plus, small pet ok. Move in and enjoy!","All measurements approximate. Buyer to verify, if important.","Fraser Valley","For Sale",,,,,,,,,"1/26/2015","$48,000","$36.09","0.83","2/10/2015","2","3","MHP","$58,000",,"82",,"1,330","0.00","0.00","Abbotsford","$36.09","0.75","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261380571/0/120/90/edd5f792776dfdfba145ed835bccbd74/13/b482099e9168a72921253f7cf81c9b06/261380571.JPG","N241077","Residential Detached","S","13 5016 PARK AVENUE","Terrace - City","1976","Manufactured","1",,,,,,"38",,"250-975-0654",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"PARK AVE TRAILER PARK","225805",,"Detached",,"3/31/2015",,"MARC","Other","1","$179.00",,,,,"11/18/2014",,,"1",,"800-090-604",,"V8G 1X1",,"BC","Great opportunity for inexpensive living in Terrace. Great location in quiet trailer park. Located close to downtown. This small park boasts large mature trees and a quaint neighbourhood with no renters just owners. Pride of ownership is ob vious in this park. This two bedroom trailer has a bonus den and a closed in porch that acts as more space for the family. This all together means you can own a trailer and live for a reasonable amount.","Foundation is wooden blocks. Pad rental: $245.","BC Northern","For Sale",,,,,,,,,"2/2/2015","$49,000","$45.71","0.91","2/10/2015","1","2","R6","$53,900",,"76",,"1,072","0.00","0.00","Terrace","$45.71","0.91","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261221120/0/120/90/a0db66f8b7f81040664ea8320bc591b5/14/92fb6368ac91fe960ee53834d2234952/261221120.JPG","H1403587","Residential Detached","S","31 6035 VEDDER ROAD","Sardis West Vedder Rd","2007","Manufactured","1",,,,,,"7",,"604-819-1664",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"SELOMAS MOBILE HOME PARK","43289",,"Detached",,"2/28/2015",,"DOUG SAWCHUK","Other","1","$609.00",,,,,"8/29/2014",,,"1",,"700-007-806",,"V2R 1E5",,"BC","Like new only 7 years old, 2 bedroom home featuring an open kitchen/living room design with skylights in living room and bath areas. Good sized sundeck and adequate parking for 2 vehicles. Walking distance to malls and all amenities. Thi s is a must view in this price range. Pad rent 350. per month and small dog is allowed.","Grant of Estate received & quick possesion possible.","Chilliwack","For Sale",,,,,,,,,"1/27/2015","$53,000","$63.10","0.96","1/29/2015","1","2","MHP","$55,000",,"151",,"840","0.00","0.00","Chilliwack","$63.10","0.96","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261162199/0/120/90/784208ac9125e0f3867e2ba20687ea4a/15/0d6b3a21fc445dcebffca46622965bc9/261162199.JPG","F1418998","Residential Detached","S","22 3300 HORN STREET","Central Abbotsford","1981","Manufactured","1",,,,,,"33",,"604-807-4290",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"GEORGIAN PARK","22733",,"Detached",,"8/31/2015",,"JOANNE","Concrete Block","1","$458.00",,,,,"7/28/2014",,,"1",,"900-572-105",,"V2S 7Y4",,"BC","2 bedroom, Bright and sunny, backing onto trees for privacy, plus a new gated fence to keep the critters in the yard. Fence Panels are easily removable so you can bring the big toys behind the fence and work on them. Updates include drywall ed walls, white kitchen, floors, new gutters, freshpaint! The yard is an oasis with it's bubbling pond and 10x10 wkshp & 6x8 storage. Roof is 7-10 yr old. FORGET the TOWNHOUSE/CONDO! A turnkey property with minimal upkeep but have all the freedom! No strata! You can have a BBQ, a vegie garden, a lawn for the dog -- all those things you can't do in a condo -- THIS is retirement living. 2 block walk to 55+ pets ok. BRAND NEW ROOF!","Park approval required. Buyer to verify measurements.","Fraser Valley","For Sale",,,,,,,,,"1/31/2015","$53,000","$57.36","0.92","2/12/2015","1","2","RH1","$57,500",,"187",,"924","0.00","0.00","Abbotsford","$57.36","0.88","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261469371/0/120/90/5d14eba677cacdd52894ab9cdc1c6936/13/21b4958084bdda32101e7608da50b704/261469371.JPG","N241915","Residential Detached","S","116 9207 82ND STREET","Fort St. John - City SE","1977","Manufactured","1",,,,,,"38",,"250-785-8051",,"Fort St. John (Zone 60)",,,"0","3",,,,"Fort St. John","Residential Detached",,"SOUTHRIDGE MOBILE HOME PARK","306595",,"Detached",,"7/31/2015",,"CHAD/CHERYL","Preserved Wood","1","$5,342.00",,,,,"1/21/2015",,,"1",,"800-091-977",,"V1J 5G5",,"BC","Priced to sell. Attractive 3 bedroom mobile home situated in Southridge Mobile Home Park. This home has had many updates including kitchen counter tops, bathroom and flooring over the past 6 years. Private, fully fenced yard, deck with glaz ed wind break above railing and paved driveway all add to the value of this property. All window coverings, appliances and shed included in this offering. Quick possession.",,"BC Northern","For Sale",,,,,,,,,"1/29/2015","$58,500","$59.69","0.99","2/20/2015","1","3","R3","$59,000",,"8",,"980",,"0.00","Fort St John","$59.69","0.99","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260661866/0/120/90/a268c0f60aa847261667084a420b9160/14/75a2f4d56cb378b1d3049f9158df9899/260661866.JPG","H1304358","Residential Detached","S","87 6035 VEDDER ROAD","Sardis East Vedder Rd","1989","Manufactured","1",,,,,,"24",,"604-819-1664",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"SELOMAS MOBILE HOME PARK","455659",,"Detached",,"4/30/2015",,"DOUG","Other","2","$468.00",,,,,"11/22/2013",,,"1",,"700-006-335",,"V2R 1E5",,"BC","2 bedrooms & 2 full bathrooms. Open kitchen/living room areas featuring skylights in baths & kitchen. Jetted tub in main bath & W/I closet in master. 1 year old roof, recently added deck & wheelchair ramp. Private patio & 12x12 workshop/sto rage shed. Single carport with extra parking. Walking distance to a mall & all amenities. This is a must view in this price range. Pad rent $350.00 per month & small dog allowed.","Property being SOLD AS-IS - Where Is, the owner has not lived in the home. Purchasers should be advised to make all necessary inquiries to satisfy themselves as to the condition of the home & any appliances included in a purchase.","Chilliwack","For Sale",,,,,,,,,"2/1/2015","$58,850","$52.92","0.89","2/11/2015","2","2","RMH","$65,900",,"436",,"1,112","0.00","0.00","Chilliwack","$52.92","0.74","Manufactured"
