"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259873649/0/120/90/90b049f265fe06c903adc9ac23a43e41/13/0a6263e76f44a7b6f8ac39e5f82ec279/259873649.JPG","N223334","Land Only","S","LOT 27 SAUNDERS CRESCENT","103 Mile House",,,,,,,,"Road Access",,,"250-395-0272",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"Available","9/30/2015",,"FRANK",,,"$348.00",,,"No",,"10/25/2012","Available",,,,"007-908-890","House/Single Family","V0K 2E0","No","BC","1 acre property, nicely sloped and treed with a view of 103 Mile Lake. Most services on the road, except sewer. Community water system. Choose your building site to maximize the lake view. Well priced. L#5932",,"BC Northern","For Sale","None",,"None",,"No",,,"None","1/18/2015","$15,900",,"0.80","1/19/2015",,,"R1","$19,900",,"815",,,"0.00","1.00","Williams Lake Rural",,"0.55","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261318766/0/120/90/bc0da051096460b240d11fe5f04fbb3a/15/6323dd56923a59299c548126037a79d3/261318766.JPG","F1425090","Residential Detached","S","14 20071 24TH AVENUE","Brookswood Langley","1968","Manufactured","1",,,,,,"46",,"604-530-0231",,"Langley",,,"0","1",,,,"Langley","Residential Detached",,"FERNRIDGE PARK","1605160",,"Detached",,"4/30/2015",,"GEOFF NORRIS","Concrete Block","1",,,,,,"10/9/2014",,,"1",,"900-572-801",,"V2Z 2A1",,"BC","Nicely updated mobile in great mobile home park. Updates include 2 year old furnace, new plumbing, lovely laminate flooring, freshly painted inside and out. Bright kitchen with new counters and sink also a gas stove, new bathroom fixtures, vanity and flooring. Large covered (36x7) deck perfect for entertaining. Metal roof was snow coated last year, storage shed (7x6) and private back patio area. Excellent amenities including clubhouse, outdoor pool and RV parking. Age restricted 55+ and sorry No pets. Walk to shops and transit.","*S.Comm 4.6% with physical introduction otherwise $100","Fraser Valley","For Sale",,,,,,,,,"1/15/2015","$22,000","$36.67","0.74","1/28/2015","1","1","MH1","$29,900",,"98",,"600","0.00","0.00","Langley","$36.67","0.74","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261422446/0/120/90/018c6d45c75b11eab30a274cedf900f3/13/9632d2813dfade5a3c407451089412c1/261422446.JPG","N241440","Residential Detached","S","22 803 HODGSON ROAD","Williams Lake - Rural South","1992","Manufactured","1",,,,,,"22",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"PANORAMA MANUFACTURED HOME PARK","CSA#463300",,"Detached",,"4/30/2015",,"GEORDIE/CINDY","Other","1","$428.00",,,,,"12/17/2014",,,"1",,"800-091-370",,"V2G 3R2",,"BC","Opportunity is knocking! Check out this 1992 14x66 2-bedroom home located on the top level of Panorama Park. Great location, really close to Chilcotin Road Elementary, lots of recreational trails nearby, only a couple of minutes' drive to town. 8'x 8' storage shed, and 10'x 10' entrance deck. Large, open-plan kitchen/dining/living room area. Vaulted ceilings with skylights to brighten your days. Could use a bit of updating (flooring, paint) but, Priced to sell - check it out!","In Probate. Foundation is wooden blocks on cement pads.","BC Northern","For Sale",,,,,,,,,"1/10/2015","$34,500","$37.34","0.99","1/27/2015","1","2","MHP","$35,000",,"24",,"924",,"0.00","Williams Lake Rural","$37.34","0.99","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260294272/0/120/90/093b1c8f0fd6c55a2e5e45bc72adfbdf/16/34447dcf4c54e139eef57a788f2acedd/260294272.JPG","V1009661","Land Only","S","9506 LOT D PORTAGE ROAD","Birken",,,,,,,,"Road Access",,,"604-902-4589",,"Pemberton",,,,,"No","Not Available",,"Birken","Land",,,,"No",,"At Lot Line","4/30/2015",,"LISA HILTON",,,"$644.00",,,"Yes",,"5/27/2013","Not Available",,,,"026-770-628","House/Single Family","V0N 1L0","No","BC","Affordable acreage nestled in a valley with stellar mountain views. This 5 acre property is 2.5 hours from Vancouver and minutes away from 4 lakes. Excellent back country hiking, fishing, boating, summer and winter activities. Drilled well is on the property. Contact today for your Information package.","**ion to the property must be done by the Buyer's designated agent to qualify fo r cooperating brokerages commission. Without physical introduction by the Buyer's designated agent the cooperating brokerage's commission will be $500.00.","Greater Vancouver","For Sale","None",,"None",,"No",,,"Well - Drilled","1/9/2015","$35,000",,"0.58","3/9/2015",,,"RR1","$60,000","Not Known","592",,,,"7.04","Whistler",,"0.38","House/Single Family"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260768497/0/120/90/c8c03ee59919966a344c2febffc0932d/15/fa60bee689e49afb049bf73cb9525d0d/260768497.JPG","F1403078","Residential Detached","S","83 8560 156 STREET","Fleetwood Tynehead","1977","Manufactured","1",,,,,,"37",,"604-760-4611",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"WESTVILLA ESTATES","18148",,"Detached",,"6/29/2015",,"DENNIS GRAHAM","Other","1","$248.00",,,,,"2/3/2014",,,"1",,"900-569-989",,"V3S 5K4",,"BC","3 bedroom, 1 bath, 960 sq ft home located in Fleetwood with Transit at Gate and close to all amenities. Dining Room has built-in china cabinet with large mirror. Laminate flooring in Kitchen and Hallway. Kitchen has an eating bar. Appliances included: washer/dryer, fridge & stove. New Hot Water Tank July 2014. Parking for 2 cars. 7'6 x 9' Wood Shed plus 9' x 6' Metal Shed. 9'6 x 10'10 Covered Deck. Window coverings stay. Park has Club House and Billiard Room. Age Restriction 55+. One small pet is ok. No Rentals.","Age & measurements Approximate if important Buyer or Buyers Agent to verify before subject removal.","Fraser Valley","For Sale",,,,,,,,,"1/12/2015","$40,000","$41.67","0.76","1/27/2015","1","3","MHP","$52,800",,"343",,"960",,"0.00","Surrey","$41.67","0.49","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261310216/0/120/90/ad5a153fc66d98dde69adf6311129277/15/aef21955ecefd511a532d887496d1028/261310216.JPG","F1424813","Residential Detached","S","36 9525 KING GEORGE BOULEVARD","Queen Mary Park Surrey","1974","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"PARK PLACE","246809",,"Detached",,"6/30/2015",,"LES","Concrete Block","1",,,,,,"10/7/2014",,,"1",,"900-572-772",,"V3W 5W5",,"BC","Park Place. Walk to skytrain, all shopping across from hospital. 2 or 3 bdrms. This is a turn key home. Furnce, roof and HWT been replaced, appliances included. Workshop attached but not in the sqft. Family park, pets ok. Pad rent $560.",,"Fraser Valley","For Sale",,,,,,,,,"1/12/2015","$40,000","$40.00","0.89","2/4/2015","1","2","MHP","$44,900",,"97",,"1,000","0.00","0.00","Surrey","$40.00","0.89","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261363572/0/120/90/e12612b6d13156c78e09e9ce09538f67/15/7ba3cd27e9c7377eda7c29f9440c8335/261363572.JPG","F1426614","Residential Detached","S","14 35584 DURIEU ROAD","Durieu","1973","Manufactured","1",,,,,,"41",,"604-826-9000",,"Mission",,,"0","3",,,,"Mission","Residential Detached",,,"2245",,"Detached",,"11/30/2015",,"MINDY","Other","2",,,,,,"11/6/2014",,,"1",,"900-569-294",,"V2V 7K9",,"BC","Huge affordable double wide!!! 3 bedrooms & 2 full baths. Very open & spacious. Large kitchen. Gas f/p. Furnace 6 years old. BIG lot with amazing veggie garden. Parking for 3 cars in front. Handicap accessible and has ramp. This beautiful country setting is just 10 minutes to town. West Coast Express station closeby & only 5 mins to Hwy 7 for commuters. Seller motivated!!!","*S.Comm 3.22% 1st 100K/1.15% bal based on 1st physical introduction, otherwise $250. Touchbase all showings. Email offers to mindy@mindymcpherson.com . All meas., age & sqft are approx and should be verified by buyer and selling agent. MHP only allows 2 people to reside in home.","Fraser Valley","For Sale",,,,,,,,,"1/11/2015","$41,000","$35.78","0.82","1/21/2015","2","3","MHP","$49,900",,"66",,"1,146","0.00","0.00","Mission","$35.78","0.82","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261232462/0/120/90/77b820cc973249b08163b4827fd48efa/15/c3be616fedecc0bf40695c763f399a5b/261232462.JPG","F1421848","Residential Detached","S","94 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1965","Manufactured","1",,,,,,"49",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","10306",,"Detached",,"6/15/2015",,"LES WELLMAN","Concrete Block","1","$122.00",,,,,"9/2/2014",,,"1",,"900-572-411",,"V3W 6E1",,"BC","Crestway Bays 2 Bed from located at end of cul de sac and a stone throw to the clubhouse. 2 small pets ok. Visitor parking close by. This home has been renovated 2014. Turn key home. This is a great lot, no neighbours on one side and no thru traffic.",,"Fraser Valley","For Sale",,,,,,,,,"1/17/2015","$42,000","$39.77","0.84","3/24/2015","1","2","MHP","$49,900",,"137",,"1,056","0.00","0.00","Surrey","$39.77","0.84","Manufactured"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261413915/0/120/90/1ea4e793aacc1dce71987dc8f8c3693c/14/e78fd9c88076207fcce6ed4bd24b68e3/261413915.JPG","H1404679","Residential Detached","S","13 45111 WOLFE ROAD","Chilliwack W Young-Well","1993","Manufactured","1",,,,,,"21",,"604-991-0105",,"Chilliwack",,,"0","2",,,,"Chilliwack","Residential Detached",,"FRASER VILLAGE MOBILE HOME PARK","22887",,"Detached",,"3/31/2015",,"Kathy","Concrete Slab","1","$350.00",,,,,"12/10/2014",,,"1",,"700-005-690",,"V2P 1V6",,"BC","Nice mobile home on large lot backing on to green space. Very open floor plan in this modern mobile home. Vaulted ceilings and large master bedroom. 8 X 10 storage shed and 2 covered sun decks. This is a 55+ park that allows no rentals, p ets or RV parking. Centrally located. You are close to Prospera Center, the Leisure Center, hospital and Shopping either downtown or at Eagle Landing. A perfect location for those who want to walk to all the amenities.","Park approval is required. Lockbox code 1976.","Chilliwack","For Sale",,,,,,,,,"1/9/2015","$42,850","$45.68","0.86","1/19/2015","1","2","RMH","$49,900",,"30","0","938","0.00","0.00","Chilliwack","$45.68","0.86","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261417926/0/120/90/33ce7bd503e87e7433e564c5dde18517/16/ad7842cac3009732f7597edffcc2e426/261417926.JPG","V1097049","Residential Attached","S","204B 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","1",,,,,,"6",,"604-905-8464",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"EVOLUTION AT WHISTLER CREEK",,,"Attached",,"12/31/2015",,"RAY LONGMUIR","Concrete Slab","1","$1,978.00",,,,,"12/12/2014",,,"1",,"027-505-979",,"V0N 1B2",,"BC","Suite 204B is strategically located in Evolution at Whistler Creek and offers fabulous down valley views with great sun exposure. Suite 204B features luxurious finishings's, a well designed open plan and all the modern touches you would expect of a chic mountain lodge. Purchase this suite now then you and your family will want to visit Whistler more often. Evolution is also amenity rich, soak in one of the hot tubs; enjoy a steam bath or a swin in the heated pool after a big day in the great outdoors enjoying all that Whistler has to offer. Suite 204B can be placed in the rental pool when you are not using it. Call listing agent today and get the information you need to decide if this is the right opportunity for you.","Evolution offers the most refined Quarter Ownership in Whistler Creek!","Greater Vancouver","For Sale",,,,"$383.18",,,,,"1/17/2015","$46,000","$77.18","0.93","2/2/2015","1","1","CC2","$49,500",,"36",,"596",,"0.00","Whistler","$77.18","0.93","Apartment/Condo"
