"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261907128/0/120/90/356f0d4591e16f55e6415d56be708df2/13/c783cdee5e3c3e4d120ff36047c0d3d4/261907128.JPG","N247124","Residential Detached","S","37 803 HODGSON ROAD","Williams Lake - Rural South","1969","Manufactured","1",,,,,,"46",,"250-392-0371",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"PANORAMA TRAILER PARK","CSA#267506",,"Detached",,"1/20/2016",,"TANYA RANKIN","None","1","$106.00",,,,,"7/20/2015",,,"1",,"800-097-217",,"V2G 3R2",,"BC","Prime, private location in quality, well-managed mobile park. $294.00 monthly pad rent. This adorable home has been impeccably well cared for and updated with lots of love. You'll enjoy the wood floors, bathroom updates and bonus storage space or third bedroom. Fantastic semi-fenced yard offers lots of parking, plus a nice sense of space! Come and check it out!","SERIAL #1107","BC Northern","For Sale",,,,,,,,,"7/20/2015","$22,000","$28.65","1.00","8/7/2015","1","2","MHP","$22,000",,"0",,"768",,"0.00","Williams Lake Rural","$28.65","1.00","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261729100/0/120/90/3a6e0985b6ed04e11ceab38e11a7af3f/13/a4dc0d755535ff4f4f9d8fe07a12619b/261729100.JPG","N244931","Land Only","S","LOT 163 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"250-644-4242",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"At Lot Line","3/31/2016",,"BRAD",,,"$194.00",,,"Yes",,"5/8/2015","Not Available",,,,"002-141-329","House/Single Family","V0K 1X0","No","BC","Level, well treed corner lot. Close to Old Forestry Road for access into miles of trails and several great fishing lakes. Mostly big spruce - build your own cabin! Just up the road from public access to popular Deka Lake. 17 kilometers of g reat fishing, swimming and water sports. In the affluent Interlakes area of the South Cariboo and only 10 minutes to the Interlakes Service Center. L#7467",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/24/2015","$23,500",,"0.89","7/31/2015",,,"R1","$26,500",,"77",,,"0.00","0.46","Williams Lake Rural",,"0.89","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261096621/0/120/90/284692b3740a806c573c9b283bf8eb62/13/0354eec6a1d1db7e48031b004b2b2d71/261096621.JPG","N237652","Land Only","S","LOT 3 BALD HILL ROAD","Burns Lake - Rural South",,,,,,,,"Road Access",,,"250-694-3719",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","7/1/2016",,"MARIKA RAMOUSCH",,,"$218.00",,,"No",,"7/1/2014","Not Available",,,,"005-474-515",,"V0J 1B0","No","BC","Treed building lot only minutes from town in a great neighborhood. Large three-bay pole shed on property. Only a few parcels left in this beautiful neighborhood. Call today for viewing appointment.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/22/2015","$27,000",,"0.87","7/23/2015",,,"H1","$31,000",,"386",,,"0.00","5.01","Houston Rural",,"0.73","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261903723/0/120/90/d34a652770c409a95365b3163975a895/13/89d3d84c58eb36550fc8671c82fe3220/261903723.JPG","N247059","Land Only","S","1291 JADE STREET","Red Bluff/Dragon Lake",,,,,,,,"Road Access",,,"250-983-3251",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","10/16/2015",,"JASPER CROY",,,"$573.00",,,"No",,"7/16/2015","At Lot Line",,,,"010-228-845","Mixed","V2J 4E2","No","BC","A nice level 0.3 acre lot in South Quesnel. Zoned M2 with Red Bluff sewer.","5043","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"None","7/20/2015","$30,000",,"1.00","7/22/2015",,,"U","$30,000","No","4",,,"0.00","0.30","Quesnel Rural",,"1.00","Mixed"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261705766/0/120/90/09aef2c84e8fa4f91a15933bfe4ed56b/16/12af65ed330b412f3af1083f795ca2b6/261705766.JPG","V1120438","Residential Attached","S","604 4295 BLACKCOMB WAY","Whistler Village","1995","Apartment/Condo","1",,,,,,"20",,"604-935-9313",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"HOLIDAY INN",,,"Attached",,"10/15/2015",,"DEAN LINNELL","Concrete Perimeter","1","$1,115.00",,,,,"4/30/2015",,,"1",,"019-193-785",,"V0N 1B4",,"BC","Phase II restricted Holiday Inn studio suite sleeps two and faces west. Positioned in the heart of the Village and just steps from both gondolas. The Phase II usage restriction means that as the owner of this suite you can use it for 28 d ays in the winter and 28 days in the summer which is almost every weekend! When you're not using it, the hotel manages the rentals and you get a share of the revenues which will cover some of the ongoing monthly expenses. Call today for more details.","Call Dean Linnell to arrange showing 604-935-9313.","Greater Vancouver","For Sale",,,,"$320.00",,,,,"7/21/2015","$38,000","$122.19","0.97","7/23/2015","1","0","RM1","$39,000",,"82",,"311",,"0.00","Whistler","$122.19","0.97","Apartment/Condo"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261597946/0/120/90/94440253c99bccb6bc483464ac99fdaa/15/486b4d48915b1b56838ef92539bf7edc/261597946.JPG","F1435849","Residential Detached","S","75 20071 24TH AVENUE","Brookswood Langley","1975","Manufactured","1",,,,,,"40",,"604-513-2300",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Fernridge Estates","BCE 33407",,"Detached",,"9/30/2015",,"Rosemary","Other","1","$661.00",,,,,"3/20/2015",,,"1",,"900-574-223",,"V2Z 2A1",,"BC","Right size at the right price! This sharply priced 2 BR home features recent updates that includes roof, ceilings, insulation, hardwood floors & mouldings, warm paint pallette and more! Step saver kitchen is adjacent to separate dining area ; bright, open living area offers room to entertain, hobby room has access to covered deck, full size laundry tucked into bathroom, king size mbdrm with good closet space and 2nd BR or den. This community is for those 55+ and no pets, amenities include outdoor pool for summer living, mature landscaping and shaded lots. Area amenities include grocery, pizza, coffee shop and a great pub. Call soon or this good buy will soon be good bye!","day before notice to show preferred, this home shows very nicely inside. NO PETS , all residents must be 55+, park approval a must.","Fraser Valley","For Sale",,,,,,,,,"7/20/2015","$38,500","$49.36","0.97","7/31/2015","1","2","MH-1","$39,900",,"122",,"780","0.00","0.00","Langley","$49.36","0.86","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261098156/0/120/90/ff7203fb52fd276bce53bea721841a99/13/93423d6d61a21447db0567c3d5320928/261098156.JPG","N237729","Land Only","S","1065 JUBILEE CRESCENT","Port Edward",,,,,,,,"Road Access",,,"250-600-4959",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Port Edward","Land",,,,"No",,"At Lot Line","10/31/2015",,"MICHAL SLUKA",,,"$649.00",,,"Yes",,"7/3/2014","At Lot Line",,,,"005-991-862",,"V0V 1G0","No","BC","This lot is located in desirable neighbourhood in Port Edward. This is a great opportunity to build your dream home only 15 minutes from Prince Rupert and Ridley Island.",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","7/26/2015","$40,000","$6.55","0.78","7/28/2015",,,"R1","$51,000",,"388",,,"0.00","0.14","Port Edward","$6.55","0.78","Other"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261790339/0/120/90/993c09c6c367b4f6d32ec966b4b3a513/13/534eceabf8283572549a6c86edea721e/261790339.JPG","N245670","Residential Detached","S","33 803 HODGSON ROAD","Esler/Dog Creek","1992","Manufactured","1",,,,,,"23",,"250-398-0215",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"461553",,"Detached",,"9/1/2015",,"GARTH MCINTYRE","Other","1","$369.00",,,,,"6/1/2015",,,"1",,"800-095-763",,"V2G 3R2",,"BC","Spotlessly clean 1992-2 bedroom mobile home located on the far end top level of Panorama MHP. Nice and quiet bay with a spacious addition for entry. Fridge, stove, washer, dryer and window coverings all neg., nice garden area close to store and elementary school. Very affordable.","Foundation is blocking.","BC Northern","For Sale",,,,,,,,,"7/23/2015","$43,000","$52.18","0.96","8/10/2015","1","2","R1","$44,900",,"52",,"824","0.00","0.00","Williams Lake","$52.18","0.87","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261507488/0/120/90/ceb9f79e14f746000c9a2fc05db23299/13/242e9b829f3556f6e24332ba2f1a13a5/261507488.JPG","N242268","Land Only","S","LOT 3 STURGEON POINT ROAD","Vanderhoof - Rural",,,,,,,,"No Access",,,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Vanderhoof","Land",,,,"No",,"Nearby","9/30/2016",,"MANDI DAVIDSON",,,"$251.00",,,"No",,"2/11/2015","Not Available",,,,"008-573-671","Mixed","V0J 3A0","No","BC","Build your cabin, recreational retreat or dream home on this beautifully-treed 38.2-acre lot only 25 minutes from town on Sturgeon Point Road. Property was logged 10+ years ago. Zoning RR1 allows for a multitude of uses.","Copy of Survey Certificate available. As is, where is - seller has never been to the property.","BC Northern","For Sale","None",,"None",,"No",,,"None","7/25/2015","$47,000",,"0.95","7/28/2015",,,"RR1","$49,500",,"164",,,"0.00","38.20","Vanderhoof Rural",,"0.90","Mixed"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261862065/0/120/90/41825bce91de7d893368bd02a00de141/15/1b2e06dada08c615ad1dae380a9ec08f/261862065.JPG","F1445876","Land Only","S","22 9053 SHOOK ROAD","Hatzic",,,,,,,,"Road Access",,,,,"Mission",,,,,"No","Not Available",,"Mission","Land",,"SUNDORN",,"No",,"Nearby","4/30/2016",,"MINDY",,,"$0.00",,,"No",,"6/24/2015","Not Available",,,,"900-575-342","Recreational","V2V 7M6","No","BC","Sundorn Estates!!! Best buy!!! Waterfront access to launch your boat. Nice flat 75' x 75' lot. Great for RV, cabin or year round!!! Rare opportunity, don't wait!!!","*S.Comm 4.6% based on 1st physical introduction, otherwise $250. Touchbase all showings. Email an offer to mindy@mindymcpherson.com . SHARE PURCHASE - seller may carry with good down payment.","Fraser Valley","For Sale","None",,"None",,"No",,,"Community","7/23/2015","$49,000",,"0.98","8/20/2015",,,"REC","$49,900","No","29","75",,"75.00","0.00","Mission",,"0.98","Recreational"
