"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261848606/0/120/90/c6cdd26322ef756af306fc64c6582c53/13/eb7f524d84ba478b1002228c68fbd281/261848606.JPG","N246412","Land Only","S","48 BYRON CIRCLE","Granisle",,,,,,,,"Road Access",,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","6/25/2016",,"Dennis Bock",,,"$296.00",,,"No",,"6/25/2015","Not Available",,,,"008-036-608","Other","V0J 1W0","No","BC","A desirable lot for recreation because it is zoned R3A. Water, sewer, hydro and telephone are available at the lot line. R3A zoning allows: Double wide mobile home, home occupation, mobile home park, motor homes, parks, recreation trailer a nd fifth wheels, single family dwelling, single wide mobile home, truck and camper and accessary buildings and uses. This zoning allows motor homes, or trucks and campers, to be hooked up to: Hydro, Village water and sewer. The fishing for char and salmon nearby on Babine Lake is making these lots desirable.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","8/4/2015","$11,500","$1.67","0.87","8/21/2015",,,"R3A","$13,200","Not Known","40",,,,"0.00","Granisle","$1.67","0.87","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261544143/0/120/90/1049b75d01b5cd4c3257212d0080f0f9/13/b4dc19b90c16e78409e0aca7d0f1c162/261544143.JPG","N242614","Land Only","S","LOT 294 LUDLOM ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"250-395-6599",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,"DEKA LAKE",,"No",,"At Lot Line","9/30/2015",,"RON KELLY",,,"$248.00",,,"Yes",,"2/27/2015","Not Available",,,,"007-350-686","House/Single Family","V0K 1X0","No","BC","Good-sized lot in the Deka Lake subdivision. Only 30 minutes from 100 Mile House to this recreationally-developed area close to lake accesses on one of the Cariboo's premier lakes. Excellent fishing and boating, close to miles of trails for hiking, exploring and four-wheeling. Lot is larger than average, and great for recreational use or full-time housing. Priced to sell. L#7092",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/2/2015","$15,900",,"0.80","8/7/2015",,,"R-1","$20,000",,"156",,,"0.00","0.82","Williams Lake Rural",,"0.55","House/Single Family"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261852879/0/120/90/5e3094109d5efc9991b06b220bc4333d/13/c6f228bab1f9aa1903042fa393fc831f/261852879.JPG","N246483","Residential Detached","S","5 2189 GASSOFF ROAD","Quesnel - Town","1985","Manufactured","1",,,,,,"30",,"250-255-2855","2008","Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"BIG HORN TRAILER PARK","443251",,"Detached",,"9/30/2015",,"AMBER","Other","1","$557.00",,,,,"6/26/2015",,,"1",,"800-096-531",,"V2J 4E4",,"BC","Affordable 2 bedroom plus den, 1 bath mobile in Big Horn Trailer Park. Perfect for some one who needs wheelchair access. Large boot room to contain mess and for storage. Bathroom has walk-in shower. Furnace is under 8 years old. Quiet park is perfect for those who need some peace of mind. Pad rent $200/mth. Small pets ok with permission.","Foundation is wood cribbing. Furnace is under 8 years old. Estate sale. Small pets ok with permission.","BC Northern","For Sale",,,,,,,,,"8/2/2015","$24,500","$26.52","0.77","8/13/2015","1","2","CR2","$32,000",,"37",,"924","0.00","0.00","Quesnel","$26.52","0.77","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261920369/0/120/90/45083011160cfdeb034965039f83ea40/14/fd872ecb3d400bd03e2c2157101b473e/261920369.JPG","H2152909","Residential Detached","S","31219 DOUGLAS STREET","Yale - Dogwood Valley","9999","House/Single Family","1",,,,,,"999",,"800-830-7175",,"Hope",,,"0","1",,,,"Yale","Residential Detached",,,,,"Detached",,"10/23/2015",,"GARRY OR HEIDI","Concrete Perimeter","1","$897.00",,,,,"7/23/2015",,,"1",,"012-923-583",,"V0X 1L0",,"BC","Located 25 minutes North of Hope in center of Yale downtown area. Small one bedroom home located on good size fenced lot. Detached shop/garage with electrical power, cement floor & attic storage. Good size work bench & some storage cabinet s in garage. Home is in need of repair. Value mainly in the land.","Measurements to be confirmed by buyer or buyer's agent. Schedule A required. Allow 7 days for acceptance.","Chilliwack","For Sale",,,,,,,,,"8/6/2015","$35,000","$38.04","0.84","8/18/2015","1","1","RS4","$41,900",,"14","118/.152 ACRES","920","56.00","0.15","Chilliwack","$38.04","0.84","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261153863/0/120/90/7dbb6f67172ceb560c4427fab50c231c/13/8579cf985447ed61956cccf25f7c365f/261153863.JPG","N238479","Land Only","S","LOT 2 PARKER ROAD","Terrace - Northwest/Rosswood",,,,,,,,"Road Access",,,"250-631-6769",,"Terrace (Zone 88)",,,,,"No","Not Available",,"Terrace","Land",,,,"No",,"Available","11/26/2015",,"JOHN BAILEY",,,"$267.00",,,"No",,"7/26/2014","Not Available",,,,"006-652-743","House/Single Family","V8G 0G8","No","BC","10 private acres available in Rosswood. With access from Parker Road in behind, providing views of the mountains, or directly from Kalum Lake Rd in front, providing easy access directly off the highway, this versatile property is ready for your dream home. There is even 200 amp service already on the lot for your future house and shop! Take a drive out and view it today.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","8/4/2015","$41,000",,"0.82","8/5/2015",,,"RR1","$49,900","Not Known","374",,,"0.00","10.25","Terrace Rural",,"0.59","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261713005/0/120/90/31686c270bad90768237acb0bde8c26c/13/334ec4eafbe0b2438fe48357d4ddbd1c/261713005.JPG","N244705","Land Only","S","LESLIE ROAD","Fraser Lake",,,,,,,,"No Access",,,"250-567-8756",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"Yes",,"None Available","8/1/2015",,"TED SNELL",,,"$357.00",,,"Yes",,"5/1/2015","Not Available",,,,"013-812-505",,"V0J 1S0","Yes - Agricultural Land Reserve","BC","80 acre property located close to Fraser Lake, with some land cleared and in pasture. Enjoy the country setting and wildlife in the area.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/31/2015","$43,500",,"1.00","8/18/2015",,,"RR1","$43,500",,"92",,,"0.00","80.00","Vanderhoof Rural",,"1.00","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261939257/0/120/90/3e765eb9053a5c704e3c1a60b34589e4/13/2e0e48565112e73db77466f3a1986adb/261939257.JPG","N247530","Residential Detached","S","1910 QUEENSWAY DRIVE","Thornhill","9999","House/Single Family","1",,,,,,"999",,"250-631-6769",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,,,,"Detached",,"11/7/2015",,"JOHN BAILEY","Other","1","$1,175.00",,,,,"8/4/2015",,,"1",,"008-186-278",,"V8G 3W7",,"BC","Priced to sell! With a little hard work, this 2 bed home on Queensway could be transformed, or just tear it down and build a new place to call home. The large 80x120 foot lot allows lots of space with mature trees already there, offering a little privacy and a good spot for nesting birds! Quick possession is possible.","Please inform buyers the house is basically a tear down. It is AS IS WHERE IS. There is no power or water currently turned on. Appears to be concrete perimeter foundation, but buyers should confirm. Tenant/squatter named Kip. Please do not let the cat our!","BC Northern","For Sale",,,,,,,,,"8/6/2015","$45,000","$47.62","0.90","8/10/2015","1","2","R1","$49,900",,"2","120","945","80.00","0.00","Terrace Rural","$47.62","0.90","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261926882/0/120/90/97cea9a32b2d71fdaa9ae1889e288c4c/15/db3982ccb412e189d93389354dc16638/261926882.JPG","F1448261","Residential Detached","S","71 15820 FRASER HIGHWAY","Fleetwood Tynehead","1971","Manufactured","1",,,,,,"44",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"GREENTREE ESTATES","35278",,"Detached",,"10/31/2015",,"LES WELLMAN","Concrete Block","1","$149.00",,,,,"7/28/2015",,,"1",,"900-575-704",,"V4N 0Y2",,"BC","Greentree Estates pad rent $454. Age restricted park 55+, small pet ok. Wow yard is like Stanley park. Fish pond. Turn key home, all newer appliances, plumbing, piping all replaced. Complete electrical upgrade, new floor covering. Furnace, hwt and roof re-done. Walk to all shopping, library, pool. Bus stop out front of the park. Only 10 minutes to skytrain. Easy access to Hwy 1. $55,000 in renovations.",,"Fraser Valley","For Sale",,,,,,,,,"8/6/2015","$45,000","$53.76","0.90","8/19/2015","1","2","MHP","$49,999",,"9",,"837",,"0.00","Surrey","$53.76","0.90","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261868826/0/120/90/ca8463284851ec70424ea643f63236da/15/dd630be33f53d63aab10b5affb36571c/261868826.JPG","F1446114","Residential Detached","S","14 4426 232 STREET","Salmon River","1974","Manufactured","1",,,,,,"41",,"604-308-1363",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Westfield Courts","CSA 205843/2448",,"Detached",,"1/5/2016",,"Karestin Kare","Other","2","$167.00",,,,,"7/5/2015",,,"1",,"900-575-438",,"V2Z 2R2",,"BC","Move in today. Westfield Park has this great 2 bedroom, 2 bathroom home ready for you, with plenty of privacy, your own private yard and garden. This 55+ mobile home park has lots of open green space for you to enjoy. You are just mins. to shoping and restaurants in Murryvilley Centre. The recreational pool is just down the road. With just a short bus ride you will find yourself in the heart of Langley.","bring an offer, rules and regs and tenancy app. in hand ready to go. Getting Mang. approval could be 2-5 business days. SOLD thanks for viewing","Fraser Valley","For Sale",,,,,,,,,"7/31/2015","$45,000","$44.82","1.00","8/17/2015","2","2","MH-1","$45,000",,"26",,"1,004","0.00","0.00","Langley","$44.82","0.90","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261936944/0/120/90/dfb6b54ee68f5f36b37e5e38f26bd6ad/13/90d580237b4adcad331ee1f5b74454f4/261936944.JPG","N247506","Land Only","S","7564 HIGH COUNTRY ROAD","Bridge Lake/Sheridan Lake",,,,,,,,"Road Access",,,"250-644-4242",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Bridge Lake","Land",,,,"No",,"At Lot Line","11/30/2015",,"BRAD",,,"$409.00",,,"Yes",,"7/28/2015","Not Available",,,,"023-415-509","House/Single Family","V0K 1X0","No","BC","10 acres in the heart of the Interlakes area. 5 minute walk to the trail to the famous Ice Caves on the shores of Bridge Lake. Small seasonal creek through property with approx an acre in good meadow grass. Easement over adjacent lot gives you access to the other side of the creek and Crown land beyond. Start of a driveway with gate at roadside. Clearing done for recreational site. Just off the Fishing Hwy Hwy 24 but far enough not to hear it! L7685",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/31/2015","$55,000",,"0.89","8/5/2015",,,"RR1","$62,000",,"3",,,"0.00","9.91","Williams Lake Rural",,"0.89","House/Single Family"
