"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261785505/0/120/90/b32a3a929c1d925470e86602fdf1de02/15/8106206b8ef69b2bd3cf681cd8863023/261785505.JPG","F1442969","Residential Detached","S","4 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crispan Bays","239845",,"Detached",,"4/30/2016",,"Les Wellman","Concrete Block","1","$80.00",,,,,"6/1/2015",,,"1",,"900-575-038",,"V3W 5Y4",,"BC","Crispan Bays. 2 bdrm vacant locaton on cul-de-sac new stainless and roof. New furnace $4,200 2014, H.W.T. 2014. Must tomorrow. Family park. 2 small pets ok.",,"Fraser Valley","For Sale",,,,,,,,,"6/5/2015","$12,500","$16.28","0.84","6/19/2015","1","2","MHP","$14,900",,"4",,"768","0.00","0.00","Surrey","$16.28","0.84","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261397725/0/120/90/4fa7fe81a24f9908de49f9fb7c9699dc/13/21c1952c00920fc06577c9e5a6ce457f/261397725.JPG","N241214","Land Only","S","LOT 35 KITWANGA DRIVE","108 Ranch",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 RANCH RESORT",,"No",,"At Lot Line","11/30/2015",,"MEL OR ADAM",,,"$391.00",,,"Yes",,"11/26/2014","At Lot Line",,,,"007-955-529","House/Single Family","V0K 2Z0","No","BC","Cleared, level, fenced lot with road frontage on 3 sides! Very nicely set up for horses, which are allowed if purchased with the adjacent family home (see MLS#241213). A twister horse/hay shelter is set up on the lot. The property is a shor t greenbelt walk from 108 lake and golf course for recreation. About 150 meters from public bus service. Natural gas, water system, garbage pickup, schools, and other amenities are all near. Priced to sell! L 7066","Must be sold with or after 4809 Kitwanga Drive-see MLS#241213","BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","6/5/2015","$18,000",,"0.60","6/12/2015",,,"R1-1","$29,900",,"191","200",,"130.00","0.57","Williams Lake Rural",,"0.60","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261613738/0/120/90/dc3220229c48bf253c17beb7d701d814/15/910afc426bcccb0aba05e9b322ea7c36/261613738.JPG","F1436442","Residential Detached","S","93 1840 160TH STREET","King George Corridor","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","146838/33393",,"Detached",,"12/31/2015",,"Les Wellman","Concrete Block","1","$102.00",,,,,"3/26/2015",,,"1",,"900-574-324",,"V4A 4X4",,"BC","Breakaway Bays 2 bdrm with L.R & famrm in family park, 2 small pet O.K. Pad rent includes, electricity, water, taxes on the land, sewer and door to door garbage P/U. Bus stop out front on park. Club house, pool, exercise centre and activity centre, F/S, W/D all included pad rent 884.",,"Fraser Valley","For Sale",,,,,,,,,"6/5/2015","$24,000","$25.26","0.80","6/19/2015","1","2","MHP","$29,900",,"71",,"950","0.00","0.00","Surrey","$25.26","0.80","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261800054/0/120/90/9de2cd58ff5e632a4b9111a9a2838d60/15/b31ecf9b9098391b7f78ccf24a7cea00/261800054.JPG","F1443441","Residential Detached","S","195 1840 160 STREET","King George Corridor","1973","Manufactured","1",,,,,,"42",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","109556",,"Detached",,"12/8/2015",,"TOUCHBASE RAY","Other","1","$86.00",,,,,"6/8/2015",,,"1",,"900-575-124",,"V4A 4X4",,"BC","BREAKAWAY BAYS: Single wide, 2 bedroom on quiet cul-de-sac. Fridge, stove, washer & dryer included. Huge covered deck with wired, spacious storage shed. Newer windows & furnace. Kids & small pet ok. Pad rent of $912.95 (Sept 1, 2015) in cludes electricity.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"6/8/2015","$25,000","$34.72","0.87","6/22/2015","1","2","MHP","$28,800",,"0","0","720","0.00","0.00","Surrey","$34.72","0.87","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261786614/0/120/90/c2bc848812ccb80d9f4c72426f288b1b/13/646a22faf6cd97014c42347118afa007/261786614.JPG","N245621","Residential Detached","S","52 803 HODGSON ROAD","Esler/Dog Creek","1975","Manufactured","1",,,,,,"40",,"250-305-7034",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"PANORAMA MOBILE HOME PARK","239372",,"Detached",,"8/31/2015",,"GEORGE BEST","Other","1","$195.00",,,,,"5/31/2015",,,"1",,"800-095-723",,"V2G 3R2",,"BC","Check out this freshly painted home with open kitchen and dining room. There is a large living room with a unique pop out for extra living space and a wood fireplace to keep it all cozy warm. The bathroom has been completely updated and ha s a brand new hot water tank. Huge addition can be used as a workout area, office or hobby room and you'll love the covered 200 sq ft deck for BBQing and entertaining. The yard is fully fenced with rock and flower gardens and it backs onto green space for privacy. This is super affordable and why pay someone else's mortgage. Call today and move in before the end of the month.","Call or text George 250-305-7034 for showings. Foundation is wood cribbing on cement pads.","BC Northern","For Sale",,,,,,,,,"6/7/2015","$33,000","$34.70","0.95","6/18/2015","1","2","MHP","$34,900",,"7",,"951","0.00","0.00","Williams Lake Rural","$34.70","0.95","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261773434/0/120/90/11d29a74c0b89010fcbd1de0f8149fa1/13/c0dcd67e2404cf58b577b34634fcaaa9/261773434.JPG","N245447","Land Only","S","440 ROLPH STREET","Quesnel - Town",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"WEST QUESNEL",,"No",,"Available","12/31/2015",,"LESLIE",,,"$501.00",,,"No",,"5/26/2015","Available",,,,"026-205-131","House/Single Family","V2J 1A3","No","BC","Build your dream home on this fabulous 0.39-acre riverfront lot on Rolph Street. Located in a nice quiet family area, with absolute panoramic view of the river. Dream away, build away. Seller is motivated!","4963","BC Northern","For Sale","Available",,"Available",,"No",,,"City/Municipal","6/4/2015","$33,500",,"0.89","6/5/2015",,,"RS1","$37,600","Not Known","9",,,"0.00","0.39","Quesnel",,"0.89","House/Single Family"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261683192/0/120/90/475512755b5e8e54adb9a46f695bc93e/13/cf852c589d922ece397e5efe3c066a42/261683192.JPG","N244355","Residential Detached","S","59 997 20 HIGHWAY","Williams Lake - Rural West","1983","Manufactured","1",,,,,,"32",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"CHILCOTIN ESTATES MHP","4580692/426729",,"Detached",,"8/31/2015",,"GEORDIE/CINDY","Other","1","$281.00",,,,,"4/23/2015",,,"1",,"800-094-578",,"V2G 4X7",,"BC","Very nice home in great park! Located in popular Chilcotin Estates - minutes to Williams Lake. Den could be 3rd bedroom. Large flat yard backing onto Crown Land with easy access to fire pit and trails. Nice updates include: kitchen and floo ring throughout 2010, Energy Star vinyl windows 2011, new 8x12 shed/shop 2014, metal shed 7x11 2013, addition insulated, drywalled, new floor and re-roofed 2013, home re-roofed 2008, all appliances 2010 or newer, HWT 2010. Good value here - priced to sell! Don't wait or it may be too late!","Foundation is wooden blocks on cement pads. Approx utilities: electric$96/mo gas$49/mo","BC Northern","For Sale",,,,,,,,,"6/8/2015","$44,900","$40.09","0.91","6/29/2015","1","2","MHP","$49,500",,"46",,"1,120","0.00","0.00","Williams Lake","$40.09","0.91","Manufactured"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261780079/0/120/90/34fbb696826b891e8a4072378aab709a/15/ba120ce186bdc067b177746d744f30c7/261780079.JPG","F1442689","Land Only","S","101 14600 MORRIS VALLEY ROAD","Lake Errock",,,,,,,,"Allowed Access",,,,,"Mission",,,,,"No","Not Available",,"Mission","Land",,,,"No",,"At Lot Line","2/26/2016",,"TOUCHBASE",,,"$365.00",,,"No",,"5/26/2015","At Lot Line",,,,"023-086-025",,"V0M 1A1","No","BC","Wow! Lowest priced lot in Tapadera Estates! Fully finished 1,650 sq.ft. lot with no trees and full sun. Privacy fencing with attractive, allan block, 24 foot long planters on both sides along the front of the lot. Quiet lot with no road or vehicle noise. Plumbed and wired on both sides with extra sewer hook ups. Easily parks large trailers or motorhomes. Live here year round or part-time! Amazing community with a spectacular clubhouse and facilities. Nestled at the Harrison River next to Sandpiper Golf Course and close to Hemlock Ski Resort, Harrison Hot Springs and Kilby. What an amazing lifestyle! And it can be yours for less than $50,000! Hurry and inquire today!","Buyer/Agent to verify measurements if important. Visit www.tapaderaestates.ca for more info.","Fraser Valley","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","6/5/2015","$47,900","$29.03","0.96","6/18/2015",,,"REC","$49,900",,"10","50",,"33.00","0.04","Chilliwack - Rural","$29.03","0.96","Other"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261786904/0/120/90/c7292445ebe71c98cf01d3a8c32f6cfb/13/40d26783a0f107cce02f913557b5cd49/261786904.JPG","N245615","Residential Detached","S","4016 JADE DRIVE","Emerald","1978","Manufactured with Land","1",,,,,,"37",,"250-981-3100",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"HART/EMERALD","408592",,"Detached",,"9/2/2015",,"CALL/TEXT MIKE","Concrete Perimeter","1","$1,085.00",,,,,"6/2/2015",,,"1",,"011-723-165",,"V2K 3M2",,"BC","Priced at lot value! 2 bedroom 1 bath older mobile in reasonable shape on a nice level 1/4 acre lot. Mobile needs a roof but is actually quite clean and well maintained. Original CSA appears to be valid.","Tenanted, 24 hours notice. Commission: if buyers agent physically present for 1st viewing by buyer otherwise $500.","BC Northern","For Sale",,,,,,,,,"6/7/2015","$48,000","$51.95","0.80","6/10/2015","1","2","RS1M","$59,900",,"5",,"924","0.00","0.26","City of Prince George","$51.95","0.80","Manufactured with Land"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261573693/0/120/90/339210a693f9b5c246f22b2b3c35c60f/16/6dc72fb21930767d17e18a6d92ea42ee/261573693.JPG","V1110328","Residential Attached","S","124 4315 NORTHLANDS BOULEVARD","Whistler Village","1998","Apartment/Condo","0",,,,,,"17",,"604-905-2873",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"CASCADE LODGE",,,"Attached",,"12/31/2015",,"CAROLYN HILL","Concrete Slab","1","$1,137.00",,,,,"3/11/2015",,,"1",,"024-148-717",,"V0N 1B4",,"BC","Fully furnished Whistler Village studio condo with kitchenette located at the end of the hall, facing the pool. Located at the Cascade Lodge, a concrete building with central A/C, work out room and one of the largest pools in Whistler! Great investment property with positive cash flow at a low price and the bonus is the opportunity to use yourself. Walk to everything the Village has to offer, park your car and go.","Email bbergstrom@resortquestwhistler.com apayne@resortquestwhistler.com 938-6037 Courtesy call to Carolyn 604-907-0770 chill@whistlerbuyer.com. Co-op broker must physically introduce property to buyer to receive full commission otherwise co-op broker shall receive $500.","Greater Vancouver","For Sale",,,,"$264.00",,,,,"6/4/2015","$48,000","$175.82","0.96","6/17/2015","1","0","TA-1","$50,000",,"85",,"273",,"0.00","Whistler","$175.82","0.96","Apartment/Condo"
