"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261798162/0/120/90/7f6ae893b6dfa41e750d498d1ba0fd04/13/0b0fb2acf896ef0685aa1b5ddecc10c6/261798162.JPG","N245816","Land Only","S","LOT 17 BOWRON LAKE ROAD","Wells/Barkerville",,,,,,,,"Allowed Access",,,"250-991-9063",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Wells","Land",,"BOWRON LAKE SUBDIVISION",,"No",,"None Available","6/30/2016",,"BOBBI",,,"$91.00",,,"Yes",,"6/5/2015","Not Available",,,,"011-745-568","House/Single Family","V0K 2R0","No","BC","If you like the outdoors and enjoy the water, this could be the perfect property for you. Set it up as a recreational site or build your home. Minutes from Bowron Lake, make this your special getaway for any season.","4978","BC Northern","For Sale","None",,"None",,"No",,,"None","6/17/2015","$10,500",,"1.06","6/23/2015",,,"RR3","$9,900","No","12",,,"0.00","0.35","Wells",,"1.06","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261670857/0/120/90/06b6b8985878e0e1177de629aac66797/13/86451c3a8350c432907c23f4becae514/261670857.JPG","N244183","Residential Detached","S","89 3001 N MACKENZIE AVENUE","Williams Lake - City","1982","Manufactured","1",,,,,,"33",,"250-305-7034",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"GREEN ACRES","226261",,"Detached",,"9/30/2015",,"GEORGE BEST","Other","1","$281.00",,,,,"4/20/2015",,,"1",,"800-094-396",,"V2G 3N9",,"BC","Check out this updated and well maintained 3 bedroom home at the end of a quiet street in this nice mobile park of Green Acres. Open concept kitchen, dining, & living room leads to a large addition for office space or workout room and compl ete with wood stove in enclosed front porch. Custom window air conditioner in living room. Kitchen has newer appliances, plenty of counter space, and 2 pantries for storage. You'll enjoy the beautifully treed backyard with large entertaining and barbecuing gazebos. Green space at the back for privacy and a huge 12 x 16 storage shed for the toys and wood shed & small shed for the gardening stuff. Excellent opportunity to own your own home at a great price and no more rent. Time to move!","Call or text George 250-305-7034 for showing. Foundation is wood cribbing. Can include 2 gazebos and outside furniture.","BC Northern","For Sale",,,,,,,,,"6/22/2015","$28,000","$25.13","0.80","6/29/2015","1","3","MHP","$35,000",,"63",,"1,114","0.00","0.00","Williams Lake","$25.13","0.71","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261711211/0/120/90/469402f913103de96689f23b628db22a/13/08259f4b935e07fb933281c0a74cf637/261711211.JPG","N244687","Land Only","S","LOT A STURGEON ROAD","Burns Lake - Rural West",,,,,,,,"Road Access",,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","8/5/2015",,"DENNIS BOCK",,,"$318.00",,,"No",,"5/5/2015","Not Available",,,,"023-651-539","House/Single Family","V0J 1E2","No","BC","This property has lots of potential as it boarders on Hwy 16, has private access from Sturgeon Road and has a surveyed road access on the West boundary of the property. There is a cleared building site with a driveway off a partly devel oped road along the west boundary. The property has been logged in the past and has a mixture or regrowth with the majority of the conifer trees estimated 15 to 30 years old. It is not in the ALR and zoned H2 so a subdivision should be possible. Building permits are required.","Court ordered sale and subject to Court approval.","BC Northern","For Sale","None",,"None",,"No",,,"None","6/22/2015","$45,150","$0.01","0.92","6/26/2015",,,"H2","$49,000","Not Known","48",,,,"94.37","Houston Rural","$0.01","0.92","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260935658/0/120/90/a9c1d2864e6a9b5ddc85c27f78b946e7/13/38a36951499a8af471598b515f6a8b70/260935658.JPG","N235239","Residential Detached","S","645 GROVE STREET","Fort St. James - Town","1970","Manufactured with Land","1",,,,,,"44",,"250-996-8618",,"Fort St. James (Zone 57)",,,"0","3",,,,"Fort St. James","Residential Detached",,,"153930",,"Detached",,"10/31/2015",,"EVELYN","Other","2","$464.00",,,,,"4/24/2014",,,"1",,"010-056-319",,"V0J 1P0",,"BC","Updated 3 bedroom 2 bathroom mobile on its own lot in town. nice porch addition for additional living space Tile and laminate through out the mobile",,"BC Northern","For Sale",,,,,,,,,"6/20/2015","$46,000","$51.11","0.96","6/26/2015","2","3","R4","$47,900",,"422","100","900","50.00","0.00","Fort St James","$51.11","0.68","Manufactured with Land"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261204947/0/120/90/9982caa130109a5a792993b97bcb675c/13/fa651a9ca835eb8dee295dd388218925/261204947.JPG","N239212","Residential Detached","S","240 DODGE COVE","Prince Rupert - Rural","1931","House with Acreage","1",,,,,,"83",,"250-600-4959",,"Prince Rupert (Zone 52)",,,"0","2",,,,"Prince Rupert","Residential Detached",,,,,"Detached",,"10/31/2015",,"MICHAL SLUKA","Other","1","$251.00",,,,,"8/21/2014",,,"2",,"012-728-004",,"V8J 2E9",,"BC","Quiet piece of north coast paradise could be yours! This 1.8 acre piece of property is located in the lovely coastal community of Dodge Cove on Digby Island. Only a 10-minute boat ride across the Prince Rupert harbour from the Fairview docks. Features of this property include a spectacular view of the harbour and Prince Rupert City; and a private setting with secluded backyard. There are two buildings located on the property, and both are in need of extensive repair. If you are looking for a project, this is a great opportunity for you! Call today to book a viewing...serious buyers only, please.","Boat arrangements can be made. Foundation is wood pilings.","BC Northern","For Sale",,,,,,,,,"6/22/2015","$54,000","$42.06","0.72","6/26/2015","1","2","N/A","$75,000",,"305",,"1,284","0.00","1.80","Prince Rupert Rural","$42.06","0.54","House with Acreage"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261811642/0/120/90/2f42dcaee8b25d4b2d2d96aba828251a/13/365480d92b86e550bb3775772f29a913/261811642.JPG","N245977","Residential Detached","S","48 997 20TH HIGHWAY","Esler/Dog Creek","1983","Manufactured","1",,,,,,"32",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,,"426594",,"Detached",,"9/30/2015",,"GEORDIE/CINDY","Other","1","$299.00",,,,,"6/10/2015",,,"1",,"800-096-041",,"V2G 4X7",,"BC","Imagine - your own piece of tranquility! Very well cared for 2 bedroom home in Chilcotin Estates Park. Updates include windows, hot water tank, nat. gas furnace, flooring, bathroom, gas fireplace. Amazing yard, really private setting at the end of the road. Enjoy the sights & sounds of nature on the gazebo covered private patio! Storage sheds and small hobby shop. This is a must see!","Foundation is wooden blocks on cement pads.","BC Northern","For Sale",,,,,,,,,"6/19/2015","$59,000","$63.85","0.99","6/26/2015","1","2","MHP","$59,500",,"9",,"924","0.00","0.00","Williams Lake","$63.85","0.99","Manufactured"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261826507/0/120/90/3dea6f9897eac46d0989eb68d12c8d27/14/74847f8d59f223bd7986ac46a1edb4e0/261826507.JPG","H2152419","Residential Attached","S","106 9417 NOWELL STREET","Chilliwack N Yale-Well","1983","Apartment/Condo","1","3",,,,,"32",,"604-858-7179",,"Chilliwack",,,"0","2",,,,"Chilliwack","Residential Attached",,"AMBASSADOR",,,"Attached",,"10/15/2015",,"RUSS/GERT","Concrete Slab","1","$750.00",,,,,"6/15/2015",,,"1",,"000-601-730",,"V2P 7M4",,"BC","Here is a real treasure. The ambassador apartment in central Chilliwack. Close to everything. This 951 sq.ft., 2 bedroom home shows beautifully with good or new flooring, fresh paint, oak kitchen, appliances and underground parking. Thi s is a 55+ building and 1 cat at Council's discretion, 2 birds or small caged mammals. So quiet enjoyment is yours. There is also a fabulous billiards and large recroom available, free laundry facilities and lots of storage. So much for so little. Just perfect.","***SELLING COMMISSION LESS 25% IF RUSS BAILIE TEAM SHOWS PROPERTY*** www.russbailie.com","Chilliwack","For Sale",,,,"$240.00",,,,,"6/18/2015","$63,000","$57.85","0.90","7/3/2015","1","2","R6","$69,900",,"3",,"1,089",,"0.00","Chilliwack","$57.85","0.90","Apartment/Condo"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261659371/0/120/90/a85cea2043a9f4c1e4feb017c96c0655/16/7d77093016859507b02ccf0f72907781/261659371.JPG","N244051","Land Only","S","LOT C KALUM LAKE ROAD","Terrace - Northwest/Rosswood",,,,,,,,"Road Access",,,"604-351-9417",,"Terrace (Zone 88)",,,,,"No","Not Available",,"Terrace","Land",,,,"No",,"Available","4/10/2016",,"ROBBI-LAYNE ROBERTSON",,,"$333.00",,,"Yes",,"4/10/2015","Not Available",,,,"028-103-173","House/Single Family","V8G 4R1","No","BC","24.19 acres in Rosswood neighbourhood close to Terrace. Treed and private with easy year round access off highway. Great recreational area, all of mother nature's best; mountains, rivers & lakes! Build to suite yourself and bring all your t oys to enjoy!","3% commission to Selling REALTOR. Buyer to verify all details.","BC Northern","For Sale","None",,"None",,"No",,,"None","6/17/2015","$63,500",,"0.91","6/23/2015",,,"RR1","$69,500","Not Known","68",,,"0.00","24.19","Terrace Rural",,"0.91","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261827650/0/120/90/e2720378f189c8c7c4952f4787211788/13/37e803f0f8c8485e62634d84ff867fba/261827650.JPG","N246159","Residential Detached","S","37 OLD HOPE ROAD","Lakeshore","1972","Manufactured","1",,,,,,"43",,"250-263-2091",,"Fort St. John (Zone 60)",,,"0","4",,,,"Charlie Lake","Residential Detached",,"SHADY ACRES MHP","BC E#226294",,"Detached",,"12/16/2015",,"BRANDON LOWES","Other","1","$231.00",,,,,"6/16/2015",,,"1",,"800-096-265",,"V0C 1H0",,"BC","Very nice home in Shady Acres. This is a rare find, with 4 good size bedrooms make it a great place to raise a family. Many updates include flooring, light fixtures, bathroom and windows. The large addition includes a good size boot room to keep your messy boots out of the living area. The kitchen, dining and living room are of an open concept making it feel large and comfortable. Recently the kitchen has been updated with beautiful dark brown cabinets and plenty of cabinet space to keep your pots and pans. The yard is partially fenced and includes a storage shed.","Foundation is blocking.","BC Northern","For Sale",,,,,,,,,"6/19/2015","$65,000","$53.59","0.87","7/3/2015","1","4","R3","$75,000",,"3",,"1,213","0.00","0.00","Fort St John","$53.59","0.87","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261689155/0/120/90/ab631a31d03413ddd9803dfd160fc392/16/a8d4953465c132dbd17b2831db97c9e3/261689155.JPG","N244415","Land Only","S","LOT B KALUM LAKE ROAD","Terrace - City",,,,,,,,"Road Access",,,"604-351-9417",,"Terrace (Zone 88)",,,,,"No","Not Available",,"Terrace","Land",,,,"No",,"Nearby","4/23/2016",,"ROBBI-LAYNE ROBERTSON",,,"$354.00",,,"Yes",,"4/23/2015","Not Available",,,,"028-103-165",,"V8G 3R1","No","BC","Large 29.9 acre lot in the heart of a superb recreational area. Enjoy the quiet solitude of privacy in your treed lot. Driveway along south side of property. Choose your building site and get started on your dream. Bring your outdoor gear t o enjoy all there is to do or do nothing at all but listen to Mother Nature.","3% commission to selling REALTOR. Buyer to verify all information.","BC Northern","For Sale","None",,"None",,"No",,,"None","6/22/2015","$68,000",,"0.91","7/16/2015",,,"R1","$74,900","Not Known","60",,,"0.00","29.90","Terrace Rural",,"0.91","Other"
