"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261644759/0/120/90/8ca309a3e438c0b8af6239242b1f072b/14/345cad072a6d83495b4b6c86bc3b6772/261644759.JPG","H2151359","Residential Detached","S","43 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","1968","Manufactured","1",,,,,,"47",,"604-869-2945",,"Hope",,,"0","2",,,,"Hope","Residential Detached",,,"2548",,"Detached",,"11/23/2015",,"DAVE OR ANDY","None","1","$350.00",,,,,"4/8/2015",,,"1",,"700-008-463",,"V0X 1L0",,"BC","Solid 2 bedroom, 1 bath mobile in great park. This home has newer vinyl windows, fenced yard with nice landscaping, new carpet in living room, covered deck, drywalled interior, designed paint and amazing mountain views. Excellent, well pric ed opportunity in beautiful Hope, BC. Close to schoools, shopping and recreation. Just a short walk to Coquihalla River and Kawkawa Lake.","Park may require some improvements to mobile","Chilliwack","For Sale",,,,,,,,,"6/23/2015","$12,500","$17.36","0.84","7/8/2015","1","2","MHP","$14,900",,"76",,"720","0.00","0.00","Chilliwack","$17.36","0.46","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261491830/0/120/90/b55f34b5e60ef2d9021dcc197b54c8f6/13/34c8b003012b0d797d49f4388d21c51e/261491830.JPG","N242110","Land Only","S","LOT 3 GOLDEN POND ROAD","Red Bluff/Dragon Lake",,,,,,,,"Road Access",,,"250-983-3251",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"ASHLAND MEADOWS",,"No",,"At Lot Line","8/2/2015",,"JASPER CROY",,,"$197.00",,,"No",,"2/2/2015","At Lot Line",,,,"024-496-677","House/Single Family","V2J 7A2","No","BC","Snowbird Alert! A very affordable and desirable lot is available in the quiet community of Ashland Meadows. Located just minutes south of Quesnel, near great shopping, recreation and bus routes, this gated community offers peace-of-mind living with community services. Act now before you miss out!","4806","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"Community","6/26/2015","$21,500",,"0.94","7/7/2015",,,"R4","$22,995","Not Known","144",,,"0.00","0.10","Quesnel Rural",,"0.94","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261089921/0/120/90/99e8e34d9bdddb81126108791b82d4d4/13/de1535d2fade54da072c1c9894fe3367/261089921.JPG","N237576","Land Only","S","1255 3RD AVENUE","Valemount - Town",,,,,,,,"Road Access",,,"250-566-4438",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Available","6/23/2015",,"JOHN PETERSON",,,"$458.00",,,"Yes",,"6/23/2014","Not Available",,,,"012-675-636","House/Single Family","V0E 2Z0","No","BC","Treed building lot in town. Approximately 0.2 acres. Partially treed. Power and phone available. Municipal water and sewer. Mountain views.",,"BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","6/25/2015","$22,000",,"0.80","7/2/2015",,,"R1","$27,500",,"365",,,"0.00","0.20","Valemount",,"0.80","House/Single Family"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260902172/0/120/90/3df790bf4e9ae91a5c771bfe4f2f7698/13/b71cea609e21cf4664c18f8fd3bbd168/260902172.JPG","N234825","Land Only","S","TATALROSE ROAD","South Francois",,,,,,,,"Road Access",,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","4/30/2016",,"DENNIS BOCK",,,"$158.00",,,"No",,"4/10/2014","Not Available",,,,"015-496-708","House/Single Family","V0J 1E4","Yes - Agricultural Land Reserve","BC","80 acres with Tatalrose Road going through the property. Hydro and telephone are along the edge of the road, making it desirable property. This property has been logged, and volunteer second growth is starting to come back. The property is not zoned and is in the ALR. The property has many farms to the east, south, and west, and there are several small lakes in the area. There is Crown Land on the northwest side of this property.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/23/2015","$25,000",,"0.84","7/20/2015",,,"N/A","$29,900",,"439",,,"0.00","80.00","Houston Rural",,"0.42","House/Single Family"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261064348/0/120/90/afc7283f1366bb0e4aeec3bec1d2bf00/15/e11595bbb0c2546f76df0d84a4d19ec7/261064348.JPG","F1415221","Residential Detached","S","97 9950 WILSON STREET","Stave Falls","1975","Manufactured","1",,,,,,"39",,"604-531-1111","1978","Mission",,,"0","3",,,,"Mission","Residential Detached",,"RUSKIN PLACE","35392",,"Detached",,"11/30/2015",,"CAROL EDWARDS","Concrete Block","1",,,,,,"6/12/2014",,,"1",,"900-571-501",,"V4S 1B3",,"BC","Bright sunny 3 bedroom manufactured home located in Ruskin Place, with a view of the Fraser River. This unit boasts a beautiful patio and yard - perfect for entertaining. The bathroom was renovated in 2011, and the master bedroom has been u pgraded with a walkout to the back patio. Laminate flooring throughout. Plumbing and electrical upgrades. Kitchen plumbing is roughed in for a dishwasher, and the electrical has been upgraded for a future kitchen renovation. Insulation has been upgraded to R15, in the back half of the unit. One cat or dog 12 tall or smaller allowed. No RVs, boats or hottubs are permitted.","Buyer to be approved by Ruskin Place management and a clean criminal record check is required. Noisy vehicles are not allowed in the park. No vicious or exotic pets allowed in the park. All pets require pre-approval.","Fraser Valley","For Sale",,,,,,,,,"6/25/2015","$26,000","$29.35","0.87","7/14/2015","1","3","RU16","$29,900",,"378","98","886","30.00","0.07","Mission","$29.35","0.58","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261670857/0/120/90/06b6b8985878e0e1177de629aac66797/13/86451c3a8350c432907c23f4becae514/261670857.JPG","N244183","Residential Detached","S","89 3001 N MACKENZIE AVENUE","Williams Lake - City","1982","Manufactured","1",,,,,,"33",,"250-305-7034",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"GREEN ACRES","226261",,"Detached",,"9/30/2015",,"GEORGE BEST","Other","1","$281.00",,,,,"4/20/2015",,,"1",,"800-094-396",,"V2G 3N9",,"BC","Check out this updated and well maintained 3 bedroom home at the end of a quiet street in this nice mobile park of Green Acres. Open concept kitchen, dining, & living room leads to a large addition for office space or workout room and compl ete with wood stove in enclosed front porch. Custom window air conditioner in living room. Kitchen has newer appliances, plenty of counter space, and 2 pantries for storage. You'll enjoy the beautifully treed backyard with large entertaining and barbecuing gazebos. Green space at the back for privacy and a huge 12 x 16 storage shed for the toys and wood shed & small shed for the gardening stuff. Excellent opportunity to own your own home at a great price and no more rent. Time to move!","Call or text George 250-305-7034 for showing. Foundation is wood cribbing. Can include 2 gazebos and outside furniture.","BC Northern","For Sale",,,,,,,,,"6/22/2015","$28,000","$25.13","0.80","6/29/2015","1","3","MHP","$35,000",,"63",,"1,114","0.00","0.00","Williams Lake","$25.13","0.71","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261759931/0/120/90/2e095995d54ae6abff835cdb9a2e1f75/15/55fbd1328926dcdd726ae606b790718f/261759931.JPG","F1442028","Residential Detached","S","87 20071 24TH AVENUE","Brookswood Langley","1980","Manufactured","1",,,,,,"35",,,"2015","Langley",,,"0","2",,,,"Langley","Residential Detached",,"FERNRIDGE PARK","419636",,"Detached",,"11/30/2015",,"Touchbase only","Concrete Slab","1","$677.00",,,,,"5/22/2015",,,"1",,"900-528-412",,"V2Z 2A1",,"BC","Fantastic single wide loaded with updates in one of the best locations in Fernridge Park on a double wide lot with large private yard, siding green space. Loads of visitors parking close by. Excellent age 55+ community with outdoor pool, cl ubhouse & workshop. No pets. Walk to shops, restaurants & pub. Bright open plan, gorgeous kitchen with eating area. Bay window living room. Full sized laundry, air conditioning, fresh paint, new flooring & Huge partly covered deck. A must see. Quick possession possible. Call now!","*S. Comm 4.6% w/physical introduction otherwise $100. PRIVACY - DO NOT SOLICIT. ALL touchbases recvd after 5pm Sat will be replied to after 9am Monday.","Fraser Valley","For Sale",,,,,,,,,"6/24/2015","$33,000","$43.65","0.95","7/8/2015","1","2","MH-1","$34,800",,"33","PAD","756","0.00","0.00","Langley","$43.65","0.75","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261776492/0/120/90/4d19a26eafe4df1a64ffd6804e69e5e9/13/fa67db90489bfc6b1ecb65a5e934d511/261776492.JPG","N245490","Residential Detached","S","7579 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes","2008","Recreational","0",,,,,,"9",,"250-395-0259",,"100 Mile House (Zone 10)",,,"0","0",,,,"Deka Lake / Sulphurous / Hathaway Lakes","Residential Detached",,,,,"Detached",,"11/15/2015",,"LOUISE CLEVERLEY","Preserved Wood","0","$192.00",,,,,"5/26/2015",,,"1",,"007-541-686",,"V0K 1X3",,"BC","One-room cabin in the woods in the popular Deka Lake Subdivision. Driveway, partially fenced, hydro with 100-amp service and drilled well in place. Deka Lake is a four-season playground with direct access to a massive recreational trail system. This pristine lake is excellent for swimming, fishing (winter & summer) and all your favorite water sports. L#7533",,"BC Northern","For Sale",,,,,,,,,"6/27/2015","$38,000","$271.43","0.95","6/30/2015","0","0","R1","$39,900",,"32","210","140","86.00","0.41","Williams Lake Rural","$271.43","0.95","Recreational"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261694246/0/120/90/8afeafb29cd4bf8c1a79c604c50c99af/15/f91eb9ec30176bb9dea75082cc2c5f77/261694246.JPG","F1439454","Residential Detached","S","53 3300 HORN STREET","Central Abbotsford","1988","Manufactured","1",,,,,,"27",,"604-866-2992",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"GEORGIA PARK","452270",,"Detached",,"7/27/2015",,"KATHLEEN O'RIORDAN","None","1","$468.00",,,,,"4/27/2015",,,"1",,"900-574-644",,"V2S 7Y5",,"BC","This home is stunning! Large, spacious, PRIVATE and bright! Spotless and ready to move in! Beautiful well manicured back yard that backs onto GREEN BELT and CREEK! Enjoy two garden sheds for extra storage or your gardening tools. Large covered sundeck, perfect for socializing! This is an adult oriented (55+) park. This home includes a portable air conditioner that cools the entire home with comfort. Upgraded flooring. This home has been well taken care of. Easy to show. Seller is motivated. A must see! Book now for your private viewing!","*S.Comm. $2500 Flat Fee. There are 2 shelves to be removed. 1 in spare room and 1 glass shelf in bathroom. Bar fridge and freezer outside negotiable. Lock box. Seller Motivated! Easy to show. Bring all offers!","Fraser Valley","For Sale",,,,,,,,,"6/27/2015","$44,000","$56.12","0.82","7/9/2015","1","2","NA","$53,900",,"61",,"784",,"0.00","Abbotsford","$56.12","0.82","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261711211/0/120/90/469402f913103de96689f23b628db22a/13/08259f4b935e07fb933281c0a74cf637/261711211.JPG","N244687","Land Only","S","LOT A STURGEON ROAD","Burns Lake - Rural West",,,,,,,,"Road Access",,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","8/5/2015",,"DENNIS BOCK",,,"$318.00",,,"No",,"5/5/2015","Not Available",,,,"023-651-539","House/Single Family","V0J 1E2","No","BC","This property has lots of potential as it boarders on Hwy 16, has private access from Sturgeon Road and has a surveyed road access on the West boundary of the property. There is a cleared building site with a driveway off a partly devel oped road along the west boundary. The property has been logged in the past and has a mixture or regrowth with the majority of the conifer trees estimated 15 to 30 years old. It is not in the ALR and zoned H2 so a subdivision should be possible. Building permits are required.","Court ordered sale and subject to Court approval.","BC Northern","For Sale","None",,"None",,"No",,,"None","6/22/2015","$45,150","$0.01","0.92","6/26/2015",,,"H2","$49,000","Not Known","48",,,,"94.37","Houston Rural","$0.01","0.92","House/Single Family"
