"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261585828/0/120/90/dbe62d32d2e7be10c62c9ad1f74644e2/13/f78e19737dec7dd1c52604081e9f8312/261585828.JPG","N243051","Land Only","S","BLOCK B TALLUS ROAD","Summit Lake",,,,,,,,"Road Access",,,"250-552-8565",,"PG Rural North (Zone 76)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Nearby","3/10/2016",,"BILL OLLINGER",,,"$72.00",,,"Yes",,"3/12/2015","Not Available",,,,"023-512-261","House/Single Family","V2K 5R2","No","BC","This 0.80/acre building lot is close to Summit Lake and the boat launch. It has been partially cleared for a cabin. The approach and driveway culvert are installed. All ready for your plans for year-rounc use.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/2/2015","$12,000",,"0.67","7/7/2015",,,"CR 1","$18,000","Not Known","112",,,"0.00","0.80","Prince George Rural",,"0.67","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261692726/0/120/90/56cf6a91a9e2462ea0a1548eb8d2567c/13/bf6dd8a8aa45a382b9934a8fa633e805/261692726.JPG","N244470","Residential Detached","S","50 634 S ELM STREET","Red Bluff/Dragon Lake","1981","Manufactured","1",,,,,,"34",,"250-983-9522",,"Quesnel (Zone 28)",,,"0","1",,,,"Quesnel","Residential Detached",,,"422797",,"Detached",,"9/30/2015",,"BILL","Other","0","$326.00",,,,,"4/24/2015",,,"1",,"800-094-672",,"V2J 1Z6",,"BC","Affordable living in this 14 wide 2 bedroom mobile home. Natural gas fireplace in living room. 10x16 addition. Patio doors lead to 14x20 deck. Chain link fencing. Shed 10x14.","Foundation: Wooden blocks on cement","BC Northern","For Sale",,,,,,,,,"7/2/2015","$21,000","$22.73","0.75","7/7/2015","0","1","MHP","$27,900",,"69","0","924","0.00","0.00","Quesnel","$22.73","0.70","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261531582/0/120/90/22ed2442c19f7d552f3cf830a3713b37/15/0b738549b2b65e031c1ab519a804da48/261531582.JPG","F1433293","Residential Detached","S","110 1840 160TH STREET","King George Corridor","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","78677",,"Detached",,"12/30/2015",,"Les Wellman","Concrete Block","1","$88.00",,,,,"2/23/2015",,,"1",,"900-573-952",,"V4A 4X4",,"BC","Breakaway Bays. 2 bedrooms in a great location 5 appliances, newer kitchen cabinets and flooring. New elec H.W.T, fireplace, 2 pets ok, family park. Pad rent 890, includes electricity, water, sewer, garbage, facilities and taxes on the land. Door to door mall delivery and garbage pickup. 5 minutes to U.S. Border and White Rock Beach.",,"Fraser Valley","For Sale",,,,,,,,,"7/3/2015","$24,500","$31.90","0.82","7/20/2015","1","2","MHP","$29,900",,"130",,"768","0.00","0.00","Surrey","$31.90","0.82","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260945257/0/120/90/2feb9c6dd04811c79152281b3c08864c/13/03437eee1bd8fbb81f671c1ccf2c2909/260945257.JPG","N235383","Residential Detached","S","1316 N KITWANGA ROAD","Kitwanga","9999","Manufactured with Land","1",,,,,,"999",,"250-847-3144",,"Smithers And Area (Zone 54)",,,"0","3",,,,"Kitwanga","Residential Detached",,,"4184190",,"Detached",,"10/31/2015",,"TINA OR KIESHA","Other","0","$412.00",,,,,"4/30/2014",,,"1",,"006-963-374",,"V0J 2A0",,"BC","Beautiful 3 acre property in scenic Kitwanga. Older 3 bedroom mobile home with a few additions. Property contains various out buildings. Vegetable garden, greenhouse, fruit trees and natural saskatoon and hazelnut trees. Minutes from great fishing and other outdoor recreational opportunities.","Water is collected in rain barrels and transferred to small indoor tanks. There is a septic tank and drain field but no toilet - using a port-a-potty. All offers to include Schedule A. Sitting trailer blocking & treated wood.","BC Northern","For Sale",,,,,,,,,"7/3/2015","$25,000","$17.86","0.49","10/20/2015","0","3","RR1","$51,200",,"429",,"1,400","0.00","3.00","Terrace Rural","$17.86","0.44","Manufactured with Land"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261309633/0/120/90/fa913a12035dabaaf8a56c00657d04df/13/e85cfaa2ae6e32bfd5a3765271203faf/261309633.JPG","N240380","Land Only","S","LOT 33 KALLUM DRIVE","108 Ranch",,,,,,,,"Road Access",,,"250-706-9776",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","10/31/2015",,"KATHY FIRTH",,,"$405.00",,,"No",,"10/7/2014","At Lot Line",,,,"007-958-226","House/Single Family","V0K 2Z0","No","BC","Well priced 0.65 acre treed lot, gently sloping down from the road. Small shed for storage. Backing onto greenbelt, in an area with new homes being built. Build your new home or recreational getaway. Only minutes to walk to the lake, with the 108 Mile Golf Course also close by. Kallum Drive is in a quiet area with some homes backing onto Walker Valley.",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","7/3/2015","$25,000",,"0.93","7/7/2015",,,"R1-1","$26,900","No","269",,,"0.00","0.65","Williams Lake Rural",,"0.93","House/Single Family"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261851508/0/120/90/9779cfa1da3974aeeb3f76344a256346/15/eb8046e4f568c9f54101b4e08fc31511/261851508.JPG","F1445488","Residential Detached","S","12 7850 KING GEORGE BOULEVARD","East Newton","1976","Manufactured","1",,,,,,"39",,"604-315-5759","1996","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","e51558",,"Detached",,"12/31/2015",,"KRYSTYNA WATTS","Other","1",,,,,,"6/25/2015",,,"1",,"900-575-245",,"V3W 5B2",,"BC","Bear Creek Glen - Adult Park (age restriction to 55+). Impressive and well maintained home, S/W over 900 sqft. 2 bedrooms plus large covered patio. Major updates done to kitchen plus addition in 1996, featuring beautiful modern white kitche n with black appliances, large island with counter stove top with grill, built-in oven & microwave. There are 2 patios, enjoy your morning coffee or BBQs off opposite sides of kitchen. Bathroom was renovated 2011, lots of windows with Bay Window, roof re-done approx 10 yrs ago. One small pet allowed. Easy to show with some notice.","Room measurements approx and to be verified by buyer if important. Friendly small dog lives here who loves to bark at you.","Fraser Valley","For Sale",,,,,,,,,"7/1/2015","$32,000","$33.79","0.91","7/10/2015","1","2","MHP","$35,000",,"6",,"947","0.00","0.00","Surrey","$33.79","0.91","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261776492/0/120/90/4d19a26eafe4df1a64ffd6804e69e5e9/13/fa67db90489bfc6b1ecb65a5e934d511/261776492.JPG","N245490","Residential Detached","S","7579 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes","2008","Recreational","0",,,,,,"9",,"250-395-0259",,"100 Mile House (Zone 10)",,,"0","0",,,,"Deka Lake / Sulphurous / Hathaway Lakes","Residential Detached",,,,,"Detached",,"11/15/2015",,"LOUISE CLEVERLEY","Preserved Wood","0","$192.00",,,,,"5/26/2015",,,"1",,"007-541-686",,"V0K 1X3",,"BC","One-room cabin in the woods in the popular Deka Lake Subdivision. Driveway, partially fenced, hydro with 100-amp service and drilled well in place. Deka Lake is a four-season playground with direct access to a massive recreational trail system. This pristine lake is excellent for swimming, fishing (winter & summer) and all your favorite water sports. L#7533",,"BC Northern","For Sale",,,,,,,,,"6/27/2015","$38,000","$271.43","0.95","6/30/2015","0","0","R1","$39,900",,"32","210","140","86.00","0.41","Williams Lake Rural","$271.43","0.95","Recreational"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261831036/0/120/90/c8c8f8e46d6bacba2dcf97cb164e9d8d/13/cfe558e1e4a392d75e97a21c7896cd2a/261831036.JPG","N246199","Residential Attached","S","886 OCEANVIEW DRIVE","Port Edward","1975","1/2 Duplex","1",,,,,,"40",,"250-624-9444",,"Prince Rupert (Zone 52)",,,"0","3",,,,"Port Edward","Residential Attached",,,,,"Attached",,"12/18/2015",,"JEFF CLARKE","Concrete Perimeter","1","$906.00",,,,,"6/18/2015",,,"2",,"008-019-509",,"V0V 1G0",,"BC","This affordable three bedroom property has potential to become quite a nice home for someone with a little vision. There is a nice harbour view from several rooms and a decent amount of outdoor space as well. Whether you're looking for a home for yourself, a rental property or a house to flip, and with the real estate market continuing to get stronger, this fixer-upper could be just the investment you've been looking for.",,"BC Northern","For Sale",,,,,,,,,"7/2/2015","$44,000","$29.41","0.76","7/7/2015","1","3","R2","$58,000",,"14",,"1,496","0.00","0.10","Port Edward","$29.41","0.76","1/2 Duplex"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261694246/0/120/90/8afeafb29cd4bf8c1a79c604c50c99af/15/f91eb9ec30176bb9dea75082cc2c5f77/261694246.JPG","F1439454","Residential Detached","S","53 3300 HORN STREET","Central Abbotsford","1988","Manufactured","1",,,,,,"27",,"604-866-2992",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"GEORGIA PARK","452270",,"Detached",,"7/27/2015",,"KATHLEEN O'RIORDAN","None","1","$468.00",,,,,"4/27/2015",,,"1",,"900-574-644",,"V2S 7Y5",,"BC","This home is stunning! Large, spacious, PRIVATE and bright! Spotless and ready to move in! Beautiful well manicured back yard that backs onto GREEN BELT and CREEK! Enjoy two garden sheds for extra storage or your gardening tools. Large covered sundeck, perfect for socializing! This is an adult oriented (55+) park. This home includes a portable air conditioner that cools the entire home with comfort. Upgraded flooring. This home has been well taken care of. Easy to show. Seller is motivated. A must see! Book now for your private viewing!","*S.Comm. $2500 Flat Fee. There are 2 shelves to be removed. 1 in spare room and 1 glass shelf in bathroom. Bar fridge and freezer outside negotiable. Lock box. Seller Motivated! Easy to show. Bring all offers!","Fraser Valley","For Sale",,,,,,,,,"6/27/2015","$44,000","$56.12","0.82","7/9/2015","1","2","NA","$53,900",,"61",,"784",,"0.00","Abbotsford","$56.12","0.82","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261389319/0/120/90/aff01df05e90770ad67acf2bc28fe462/15/d7d1f9e2daf1d470e41a776e59db0f69/261389319.JPG","F1427489","Residential Detached","S","15 34519 LOUGHEED HIGHWAY","Hatzic","1971","Manufactured","1",,,,,,"43",,"604-826-2699","2012","Mission",,,"0","1",,,,"Mission","Residential Detached",,,"4094501",,"Detached",,"8/28/2015",,"CINDY","None","1",,,,,,"11/18/2014",,,"1",,"900-573-131",,"V2V 6N7",,"BC","Super clean, completely updated unit located in a great adult comlex close to town and all amenities. This 1 bdrm plus den (Could easily be converted back to a 2nd bedroom) has all the bells and whistles. New wiring, siding, plumbing, floor ing, tub, H/W tank, windows and countertops. Beautiful kitchen with tons of cabinets with glass tile backsplash and newer appliances. Lots of storage. Enjoy the outdoors on your 10x12 covered patio with greenbelt and pretty flower garden behind. Call today, you won't be disappointed.","*$500.00 SELLING BONUS. Completely updated and re-wired. Pets allowed with restrictions. Subject to park approval.","Fraser Valley","For Sale",,,,,,,,,"7/3/2015","$47,900","$63.87","0.96","7/27/2015","1","1","MHP","$49,900",,"227",,"750","0.00","0.00","Mission","$63.87","0.87","Manufactured"
