"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261480223/0/120/90/855f209b4490d7509042632d6d448dda/13/f8356658e70fb5f7e46f9ece590d1a08/261480223.JPG","N242029","Residential Detached","S","56 1700 BROADWAY STREET","Williams Lake - City","1978","Manufactured","1",,,,,,"37",,"250-267-1088",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,,"285361",,"Detached",,"8/30/2015",,"SUSAN COLGATE","Other","1","$430.00",,,,,"1/28/2015",,,"1",,"800-092-148",,"V2G 2W5",,"BC","Easy, affordable living in a fantastic mobile home park with an amazing view of Williams Lake! Nice open kitchen, addition on the home for extra space, walking distance to public transit.","Foundation is blocks.","BC Northern","For Sale",,,,,,,,,"6/10/2015","$18,000","$17.24","0.91","6/15/2015","1","3","MHP","$19,900",,"133",,"1,044","0.00","0.00","Williams Lake","$17.24","0.38","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261565725/0/120/90/103d5d6cf5341f41568d3d7333865d2e/16/f2a88d4cf6837b3ef041bcd2414d5cfe/261565725.JPG","V1110919","Residential Detached","S","93 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","1967","Manufactured","1",,,,,,"48",,"604-741-7119",,"Sunshine Coast",,,"0","2",,,,"Gibsons","Residential Detached",,"The Poplars Mobile Home Park","492",,"Detached",,"9/16/2015",,"Russ","Other","1","$257.00",,,,,"3/16/2015",,,"1",,"800-023-048",,"V0N 1V5",,"BC","Here is a great opportunity to get into the market without paying anything more than cheap rent. This solid mobile is a work in progress and with some TLC will make a great home! Large kitchen area, dining area & master bedroom on the inside and a large, private yard on the outside assures livability. Easy to view!","Meas approximate buyer to verify","Greater Vancouver","For Sale",,,,,,,,,"6/12/2015","$20,000","$20.00","0.80","6/22/2015","1","2","RM2","$24,900",,"88",,"1,000","0.00","0.00","Sechelt Rural","$20.00","0.40","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261797227/0/120/90/49834079260c7b28d6087cee3c65424b/13/2a886b48264b4c3695a1f70400f361c2/261797227.JPG","N245795","Residential Detached","S","34 8420 ALASKA ROAD","Fort St. John - City SE","1971","Manufactured","1",,,,,,"44",,"250-262-6441",,"Fort St. John (Zone 60)",,,"0","2",,,,"Fort St. John","Residential Detached",,,"301850",,"Detached",,"11/25/2015",,"BRENNA BURNS","Other","1","$490.00",,,,,"6/5/2015",,,"1",,"800-095-864",,"V1J 2J6",,"BC","Talk about affordable housing! This mobile is located on a large lot with a spacious fenced yard and 2 decks. New hot water heater in 2009 and new bathroom in 2008. Its definitely in need of some TLC but with a little work, you could easil y convert into a perfect family home or investment property!","Foundation is wooden blocks. Tenant-occupied...may or may not need 24 hours notice.","BC Northern","For Sale",,,,,,,,,"6/11/2015","$24,000","$31.50","0.69","7/8/2015","1","2","R3","$35,000",,"6",,"762",,"0.00","Fort St John","$31.50","0.69","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261800054/0/120/90/9de2cd58ff5e632a4b9111a9a2838d60/15/b31ecf9b9098391b7f78ccf24a7cea00/261800054.JPG","F1443441","Residential Detached","S","195 1840 160 STREET","King George Corridor","1973","Manufactured","1",,,,,,"42",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","109556",,"Detached",,"12/8/2015",,"TOUCHBASE RAY","Other","1","$86.00",,,,,"6/8/2015",,,"1",,"900-575-124",,"V4A 4X4",,"BC","BREAKAWAY BAYS: Single wide, 2 bedroom on quiet cul-de-sac. Fridge, stove, washer & dryer included. Huge covered deck with wired, spacious storage shed. Newer windows & furnace. Kids & small pet ok. Pad rent of $912.95 (Sept 1, 2015) in cludes electricity.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"6/8/2015","$25,000","$34.72","0.87","6/22/2015","1","2","MHP","$28,800",,"0","0","720","0.00","0.00","Surrey","$34.72","0.87","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261629477/0/120/90/b120aaec6f59795f18c527f9e86ca072/13/038b6925727e9b3d80347d2d3f0fc3bf/261629477.JPG","N243659","Residential Detached","S","13 2091 E 16","Vanderhoof - Town","1982","Manufactured","1",,,,,,"33",,"250-567-8756",,"Vanderhoof And Area (Zone 56)",,,"0","3",,,,"Vanderhoof","Residential Detached",,,"424749",,"Detached",,"7/31/2015",,"TED SNELL","Other","1","$72.00",,,,,"3/30/2015",,,"1",,"800-094-006",,"V0J 3A0",,"BC","Looking for a starter home or downsizing. This 3 bedroom home with recent upgrades, includes newer flooring, paint, sundeck, walking distance to shopping, restaurants. Includes fridge, range, washer, dryer and built in dishwasher","Foundation is wood cribbing.","BC Northern","For Sale",,,,,,,,,"6/12/2015","$34,000","$36.80","0.93","6/30/2015","1","3","R5","$36,500",,"74",,"924","0.00","0.00","Vanderhoof","$36.80","0.88","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261756203/0/120/90/fe6b809d17595b80ff6f38e2c2f603d3/15/c136f2a1aafaf7875903a3d040ba24e8/261756203.JPG","H2152070","Residential Attached","S","304 46374 MARGARET AVENUE","Chilliwack E Young-Yale","1978","Apartment/Condo","1",,,,,,"37",,,,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,,,,"Attached",,"8/21/2015",,"STEVE/BLONDIE","Concrete Perimeter","1","$620.00",,,,,"5/21/2015",,,"1",,"001-508-865",,"V2P 2H1",,"BC","Nice 1 bedroom in well kept block of town. Nice view of south mountains from deck. Underground parking.","Schedule 'A' needed for all offers available upon request. Needs renovating. Age restricted 40+, laundry in building. No pets or rentals allowed.","Chilliwack","For Sale",,"3",,"$198.12",,,"27",,"6/9/2015","$40,000","$59.26","0.80","7/28/2015","1","1","RM80","$49,900",,"19",,"675",,"0.00","Chilliwack","$59.26","0.80","Apartment/Condo"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261318733/0/120/90/01f44c14c7ae28149a12c52db74cba85/15/129015b07a8b6794d5870ee8b104a245/261318733.JPG","F1425087","Residential Detached","S","32 7850 KING GEORGE BOULEVARD","East Newton","2001","Manufactured","1",,,,,,"13",,"604-315-5759",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","433818",,"Detached",,"6/30/2015",,"KRYSTYNA","Other","1",,,,,,"10/13/2014",,,"1",,"900-572-803",,"V3W 5B2",,"BC","RARE OPPORTUNITY!! Bear Creek Glen Mobile Home Park - 13 yrs young! Single wide over 900 sqft, 2 large bedrooms, full bath has 'cheater door' leading to Mbdrm, bright open layout, huge kitchen with eating area, air conditioning, quiet CDS, street appeal. NEW ROOF installed November 2014. Park is age restricted to 55+, 2 pets, close to transit + amenities ie Costco, Superstore. You will be SOLD on this beauty. Easy to show.",,"Fraser Valley","For Sale",,,,,,,,,"6/12/2015","$43,000","$45.84","0.96","6/25/2015","1","2","MHP","$44,900",,"242",,"938","0.00","0.00","Surrey","$45.84","0.86","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261683192/0/120/90/475512755b5e8e54adb9a46f695bc93e/13/cf852c589d922ece397e5efe3c066a42/261683192.JPG","N244355","Residential Detached","S","59 997 20 HIGHWAY","Williams Lake - Rural West","1983","Manufactured","1",,,,,,"32",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"CHILCOTIN ESTATES MHP","4580692/426729",,"Detached",,"8/31/2015",,"GEORDIE/CINDY","Other","1","$281.00",,,,,"4/23/2015",,,"1",,"800-094-578",,"V2G 4X7",,"BC","Very nice home in great park! Located in popular Chilcotin Estates - minutes to Williams Lake. Den could be 3rd bedroom. Large flat yard backing onto Crown Land with easy access to fire pit and trails. Nice updates include: kitchen and floo ring throughout 2010, Energy Star vinyl windows 2011, new 8x12 shed/shop 2014, metal shed 7x11 2013, addition insulated, drywalled, new floor and re-roofed 2013, home re-roofed 2008, all appliances 2010 or newer, HWT 2010. Good value here - priced to sell! Don't wait or it may be too late!","Foundation is wooden blocks on cement pads. Approx utilities: electric$96/mo gas$49/mo","BC Northern","For Sale",,,,,,,,,"6/8/2015","$44,900","$40.09","0.91","6/29/2015","1","2","MHP","$49,500",,"46",,"1,120","0.00","0.00","Williams Lake","$40.09","0.91","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261439553/0/120/90/0cc658674101326bfa635a5c0061bd04/14/3fc246debe03b19de49d37ee4211ca4c/261439553.JPG","H2150076","Residential Detached","S","44 45111 WOLFE ROAD","Chilliwack W Young-Well","1977","Manufactured","1",,,,,,"38",,"604-858-7179",,"Chilliwack",,,"0","2",,,,"Chilliwack","Residential Detached",,"Fraser Village Mobile Home Park","2251",,"Detached",,"7/4/2015",,"Anita or Kelly","Concrete Block","2","$229.00",,,,,"1/5/2015",,,"1",,"745-111-496",,"V2P 1V6",,"BC","Super option for retirement living (55+) in this very well located mobile home park. Perfect for easy access to Townsend Park walking trails and all of the downtown amenities, including the Prospera Centre, Leisure Centre, Evergreen H all, & all of your medical & shopping and entertainment needs. This spacious home enjoys a southern exposure & lots of windows, making it cheerful & bright. One of the few double wide homes in this popular adult park. Open floor plan with lots of storage, 2 bedrooms and 2 baths including a full four piece ensuite. All new vinyl windows, newer roof, lrg enclosed porch, window awnings, dbl wide driveway & a newer storage shed add value, convenience & peace of mind. Pad rent $550 per month. No pets",,"Chilliwack","For Sale",,,,,,,,,"6/10/2015","$45,000","$46.88","1.00","6/22/2015","2","2","RMH","$45,000",,"156",,"960","0.00","0.00","Chilliwack","$46.88","0.90","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260892694/0/120/90/606020ed405a1bcab6793ea66d064cd9/13/65fe9bf5b8e197ee3eac51aea3e90ca9/260892694.JPG","N234680","Land Only","S","331 BLACKSTOCK ROAD","100 Mile House - Town",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"At Lot Line","10/31/2015",,"MEL OR ADAM",,,"$841.00",,,"Yes",,"4/7/2014","At Lot Line",,,,"029-001-111","House/Single Family","V0K 2E1","No","BC","Great building lot in the new Blackstock Estates subdivision! This lot is gently sloped from the road and allows lots of potential to build your dream home. All city services are in at the road, and ready for you. Nice views out the backyard and lots of space for a garage or shop. L6784",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","6/9/2015","$48,000",,"0.87","6/30/2015",,,"ER-2","$55,000",,"428","57.75",,"107.98","0.47","100 Mile House",,"0.87","House/Single Family"
