"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261481925/0/120/90/ca1ccd61fa9a602740fa4a35d61504e9/14/193994b17d78a78916bffad0ca3a38dd/261481925.JPG","H2150372","Residential Attached","S","206 46165 GORE AVENUE","Chilliwack E Young-Yale","1974","Apartment/Condo","1",,,,,,"41",,"604-858-7179",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"Gore Manor",,,"Attached",,"4/29/2015",,"Bill","Concrete Perimeter","1","$573.00",,,,,"1/29/2015",,,"1",,"001-400-690",,"V2P 1Z9",,"BC","Best priced apartment in Chilliwack. Why rent. Strata fees include heat and hot water. Value packed home for starting out or retiring. 1 bedroom, laminate flooring, air-conditioning, mountain views from deck and just minutes from town. No r entals or pets. Age limit 19 plus.","SUBJECT TO COURT APPROVAL. Court ordered sale, schedule A to be included in contract.","Chilliwack","For Sale",,,,"$167.00",,,,,"3/20/2015","$30,000","$42.25","0.86","4/24/2015","1","1","R5","$34,900",,"50",,"710","0.00","0.00","Chilliwack","$42.25","0.75","Apartment/Condo"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261362332/0/120/90/be81d73ac2bb010e9eca9003dc0c8b88/13/79f9e5094d89913c458ae02687d4b920/261362332.JPG","N240909","Residential Detached","S","96 8420 ALASKA ROAD","Fort St. John - City SE","1972","Manufactured","1",,,,,,"42",,"250-262-4167",,"Fort St. John (Zone 60)",,,"0","3",,,,"Fort St. John","Residential Detached",,"PEACE COUNTRY MOBILE HOME PARK","BC 226280",,"Detached",,"5/5/2015",,"SANDRA","Other","1","$490.00",,,,,"11/6/2014",,,"1",,"800-090-345",,"V1J 4J6",,"BC","3 bedroom home located in Peace Country with lots of work done for you. Newer windows, siding, kitchen, flooring and much more. Needs some love and this will be a great place to call home.","BC Silver sticker number 226280. Foundation is blocking.","BC Northern","For Sale",,,,,,,,,"3/16/2015","$32,000","$32.79","0.84","3/27/2015","1","3","R3","$37,900",,"130",,"976","0.00","0.00","Fort St John","$32.79","0.58","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261488588/0/120/90/61f9e440a6d7daea49f68c83146e6f66/13/c9026226833775e62110e9ffdc20f3aa/261488588.JPG","N242088","Land Only","S","34531 UPPER FRASER ROAD","Willow River",,,,,,,,"Road Access",,,"250-614-6766",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Willow River","Land",,,,"No",,"Available","4/28/2015",,"CARRIE",,,"$806.00",,,"Yes",,"1/28/2015","Not Available",,,,"015-057-089",,"V2L 3G7","No","BC","15 acres at old Upper Fraser Mill Site. Two homes on land of little to no value. Two buildings, 32x60 and 32x50 for storage, shop, or barn. Property would make a wonderful base camp for snowmobilers, helicopter or wilderness adventures. Bring your ideas.","ACCEPTED OFFER $33,100. COURT APRIL 27, 2015 @ 9:45AM","BC Northern","For Sale","Unknown",,"None",,"No",,,"None","3/18/2015","$33,100",,"0.95","4/29/2015",,,"RR5","$34,729",,"49",,,"0.00","15.00","Prince George Rural",,"0.90","Other"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261251230/0/120/90/2851d219223d459d7dc57488f127c34e/15/77869eaee54b2b5b138cb813ccbbbfe4/261251230.JPG","H1403766","Residential Detached","S","20 45640 WATSON ROAD","Vedder S Watson-Promontory","1974","Manufactured","1",,,,,,"40",,"047-301-1311","2013","Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"WESTWOOD","211610",,"Detached",,"8/31/2015",,"ROD BOSS","None","1","$113.00",,,,,"9/30/2014",,,"1",,"700-006-599",,"V2R 3P9",,"BC","Awesome value. Great open space in this recently renovated mobile home. New appliances, insulation, painting, floors, foundation, windows & more. Friendly park with awesome neighbours & park management. You won't be disappointed with thi s home & its surroundings.","All measurements are approximate & must be verified by the buyer's REALTOR(R) if important. Park management approval is required.","Chilliwack","For Sale",,,,,,,,,"3/15/2015","$37,000","$54.09","0.93","3/27/2015","1","2","RMH","$39,900",,"166",,"684","0.00","0.00","Chilliwack","$54.09","0.84","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261373558/0/120/90/0e35e9e0fa84d68570c91514ab968fc3/13/f72c6dbd4aeac707ec2bc13888636250/261373558.JPG","N241010","Residential Detached","S","188 9207 E 82ND STREET","Fort St. John - City SE","1974","Manufactured","1",,,,,,"41",,"250-793-5705",,"Fort St. John (Zone 60)",,,"0","2",,,,"Fort St. John","Residential Detached",,"SOUTH RIDGE MOBILE HOME PARK","BCE#226286",,"Detached",,"4/30/2015",,"SANDY","None","1","$512.00",,,,,"11/8/2014",,,"1",,"800-090-495",,"V1J 5G5",,"BC","Looking for a great place to call home? Then look no further than this cozy 2 bedroom, one bathroom home located in Southridge Mobile Home Park. It has new clothes washer and clothes dryer.",,"BC Northern","For Sale",,,,,,,,,"3/16/2015","$49,500","$63.14","0.94","4/16/2015","1","2","R3","$52,500",,"128",,"784",,"0.00","Fort St John","$63.14","0.76","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261526150/0/120/90/c80cd5a4818034df24adb38c565fed48/13/ceeb5431ed2caa36ce09902fbdb0b96e/261526150.JPG","N242452","Residential Attached","S","302 1288 SUMMIT AVENUE","Prince Rupert - City","1968","Apartment/Condo","1",,,,,,"47",,"250-624-9298","2013","Prince Rupert (Zone 52)",,,"0","3",,,,"Prince Rupert","Residential Attached",,"ROOSEVELT HEIGHTS APARTMENTS",,,"Attached",,"7/31/2015",,"GORDON KOBZA","Concrete Perimeter","1","$670.00",,,,,"2/7/2015",,,"1",,"026-971-810",,"V8J 2A5",,"BC","The Roosevelt Apartments are centrally located and situated on a very sunny southwestern facing prime hilltop site. Immediately adjacent to the Prince Rupert Regional Hospital, this complex has always been a sought after residence for hospi tal staff. Offered for sale in this 45 unit complex, this 3 bedroom second floor unit is presently tenant occupied and is rented out for $750.00 per month. The monthly strata fee is $325.00. The exterior of all four buildings in the complex were upgraded in 2013 with new siding, windows with an approximate investment of $2,680,000.00 for the project. This property is a real estate investment worth consideration in the growing Port of Prince Rupert.",,"BC Northern","For Sale",,"3",,"$325.00",,,"45",,"3/20/2015","$49,500","$50.51","0.94","3/27/2015","1","3","RM-1","$52,500",,"41",,"980",,"0.02","Prince Rupert","$50.51","0.94","Apartment/Condo"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261516895/0/120/90/5abe794e3a85c6a79286bc3b1e8cefcb/15/2b0d6ffef36acb371c54e242d1e9f876/261516895.JPG","F1432709","Residential Detached","S","2 8254 134TH STREET","Queen Mary Park Surrey","1987","Manufactured","1",,,,,,"28",,"604-538-8888","2015","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"WESTWOOD ESTATES","450145",,"Detached",,"8/31/2015",,"Touchbase or Marty","Other","2","$462.00",,,,,"2/13/2015",,,"1",,"900-573-776",,"V3W 6M2",,"BC","Sought After Westwood Estates! Fabulous 1987 single wide with, great kitchen, newer counter tops, vaulted ceilings, new hard wood laminate floors, security system, super deck with Solarium, Beautiful mountain views from front room, South fa cing Sun soaked back yard with plenty of room, Car Canopy, and shed. Pad rent only $632/mo or pay annually for 6% discount. Adult orientated park with club house. Non-vicious Pets Allowed with Park Approval. Best priced unit in park.","NOTE COMMISSION! All measurements to be verified by buyer or buyer's agent.","Fraser Valley","For Sale",,,,,,,,,"3/15/2015","$66,900","$72.40","0.96","3/24/2015","2","2","MHP","$69,900",,"30",,"924","0.00","0.00","Surrey","$72.40","0.96","Manufactured"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","V1105439","Land Only","S","LT 121 SEAVIEW ROAD","Sechelt District",,,,,,,,"Road Access",,,,,"Sunshine Coast",,,,,"No","Not Available",,"Sechelt","Land",,,,"No",,"At Lot Line","4/15/2015",,,,,"$1,135.00",,,"No",,"2/14/2015","Not Available",,,,"008-855-170","House/Single Family","V0N 3A4","No","BC","Lovely corner lot with a boutique view. Gentle slope that allows for rancher with walk-out basement in desirable Sandy Hook. This property is one of the easiest builds and is very accessible. Just 10 minutes from Sechelt and close to outdoo r recreation areas.",,"Greater Vancouver","For Sale","Septic",,"None",,"No",,,"City/Municipal","3/16/2015","$67,500","$7.50","0.90","4/7/2015",,,"R1","$75,000",,"30","IRREG",,"155.00","0.21","Sechelt (Village)","$7.50","0.90","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261167778/0/120/90/4a672c31cfcf11abfb744a4a94c6b281/13/d377dc718e0010c38b0a5ac6f36c1017/261167778.JPG","N238680","Residential Detached","S","1651 WALTERS LAKE ROAD","Horsefly","9999","House with Acreage","1",,,,,,"999",,"250-620-3440",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"HORSEFLY SOUTH",,,"Detached",,"7/31/2015",,"LINDA BARTSCH","None","0","$618.00",,,,,"7/31/2014",,,"2",,"016-410-939",,"V0L 1L0",,"BC","40 acre property with shell of a home. Off the grid. Very private setting with small creek through. Land is level and has good grazing areas and treed areas. Lots of recreational areas nearby.","Property is thrashed, known grow op, in the bush, no power.","BC Northern","For Sale",,,,,,,,,"3/17/2015","$70,000","$58.33","0.91","3/30/2015","0","2","RR1","$77,000",,"229","1320","1,200","1,320.00","40.00","Williams Lake Rural","$58.33","0.91","House with Acreage"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261198816/0/120/90/54498f38f41f9a7eb8aea19c285f7bcd/13/8c02c4e1b60583c50c369b735734c207/261198816.JPG","N239137","Residential Detached","S","32 602 ELM STREET","Red Bluff/Dragon Lake","1994","Manufactured","1",,,,,,"20",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"RED BLUFF","466939",,"Detached",,"3/31/2015",,"TERRI","None","1","$719.00",,,,,"8/15/2014",,,"1",,"800-088-298",,"V2J 3X1",,"BC","Great mobile in family park south. 2 bdrm, 1 bath, 14' wide has near new addition providing single carport, storage & covered sundeck. Spacious site is close to schools & shopping. Sunken livingroom has newer laminate flooring. Ample bath large soaker tub and separate shower is sure to please. Includes fridge, stove, washer & dryer. Quick possession available.",,"BC Northern","For Sale",,,,,,,,,"3/17/2015","$73,000","$66.97","0.95","3/30/2015","1","2","MHP1","$76,900",,"214",,"1,090","0.00","0.00","Quesnel","$66.97","0.90","Manufactured"
