"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261471228/0/120/90/62c9a78ce2d85ba8390b5db1f897ebd4/15/ff7c5747033d90b9f1d439e7c07711ae/261471228.JPG","F1430752","Residential Detached","S","130 1840 160TH STREET","King George Corridor","1973","Manufactured","1",,,,,,"42",,"604-531-1111",,"South Surrey White Rock",,,"0","1",,,,"Surrey","Residential Detached",,"Breakaway Bays","37522",,"Detached",,"8/30/2015",,"Bonnie Moy","Other","1","$111.00",,,,,"1/24/2015",,,"1",,"900-573-466",,"V4A 4S4",,"BC","BREAKAWAY BAYS, affordable cosy home, at the very centre of desirable White Rock, South Surrey lifestyle! Kitchen updated approx. 2011, maple shaker cabinets, island features gas cooktop, built in convection oven, stainless dishwasher, viny l windows, skylights, & covered deck. 'Choice' Workshop/Garden shed 12'X10' with power, great studio, or man cave. Master bedroom was enlarged by removing the wall to the second bedroom, second bedroom space is still available. Buy mobile & Rent pad that incl: water, garbage, electricity, clubhouse with pool, library. No age restrict., 2 small pets ok. Easy to view, great lifestyle, in your own home, in very popular community. Shops, golf, border, beach very close. Enjoy visual tour.","Offers subject to Park approval of the lease, allow 10 working days. Call listing agent re proof of purchaser's income to enter into lease, or have your buyers call Parkbridge Community Lifestyles 604 536 8255 to confirm buyer eligibility re:lease agreement,before viewing.","Fraser Valley","For Sale",,,,,,,,,"3/27/2015","$13,000","$15.05","0.52","4/23/2015","1","1","MAN","$24,900",,"62",,"864","0.00","0.00","Surrey","$15.05","0.52","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261193349/0/120/90/8f33f68701431c378049b2c8c45d157d/16/d20331f71fe6f5898664c1cff4a46e4c/261193349.JPG","V1081305","Residential Attached","S","328 2050 LAKE PLACID ROAD","Whistler Creek","1989","Apartment/Condo","0",,,,,,"25",,"604-902-4002",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"LAKE PLACID LODGE / CREEKSIDE",,,"Attached",,"4/29/2015",,"JIMMY SIMPSON","Concrete Perimeter","1",,,,,,"8/14/2014",,,"1",,"013-799-355",,"V0N 1B2",,"BC","If you're seeking a great property to spend two weeks in February this one bedroom and loft condo is perfect for you! Lake Placid Lodge is located in Creekside at the base of the Gondola. Weeks 7 and 8 always fall on Presidents week when the snow is ideal in Whistler. Suite 328 offers sleeping for 6 with full amenities such as pool, hot tub, sauna, and underground parking. Restaurants, shopping, groceries, and everything you need can be found in Creekside. Get in touch for additional info.","Email jimmy@wrec.com - thanks! Measurements are approximate, Buyer to confirm.","Greater Vancouver","For Sale",,,,"$130.00",,,,,"3/27/2015","$13,000","$16.88","0.87","3/30/2015","1","1","RTA13","$14,900",,"225",,"770",,"0.00","Whistler","$16.88","0.87","Apartment/Condo"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261489646/0/120/90/1060032c49041efaa0018f29f8436379/13/f669e6502a2812a8b744012dd2416ad9/261489646.JPG","N242093","Land Only","S","LOT 1 SHILLINAY PLACE","108 Ranch",,,,,,,,"Allowed Access",,,"250-395-6196",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,,,"No",,"Available","1/31/2016",,"DAVE HICKEY",,,"$391.00",,,"Yes",,"1/31/2015","Available",,,,"018-679-005",,"V0K 2Z0","Yes - Agricultural Land Reserve","BC","Level lot on prominent corner in the much sought-after 108 Mile Ranch. Very easy-build, cleared lot. Gas, power, phone, cable are all at the road. Best buy on the market. See it before it is gone. L#6 634",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","3/25/2015","$16,500",,"0.83","4/1/2015",,,"R1-1","$19,900",,"53",,,"0.00","0.57","Williams Lake Rural",,"0.83","Other"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877451/0/120/90/5681b0689603440c325e7318726cdaec/13/4545d9257d1a3de97e8ede74fc006f7a/259877451.JPG","N223294","Land Only","S","LOT 2 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","11/1/2015",,"LINDA",,,"$318.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"018-920-446","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/30/2015","$22,500",,"0.78","4/13/2015",,,"RR3","$29,000","No","885",,,,"1.90","Williams Lake Rural",,"0.58","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877593/0/120/90/2412d83d02b22af22a9d1b42363214e7/13/a76f80af36b3d05737646b7722549230/259877593.JPG","N223305","Land Only","S","LOT 27 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","11/1/2015",,"LINDA",,,"$318.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"023-898-666","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/30/2015","$22,500",,"0.78","4/13/2015",,,"RR3","$29,000","No","885","130",,"180.46","1.90","Williams Lake Rural",,"0.58","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261593642/0/120/90/1de5abb742e4e3260783e67bf55a3d61/15/9ec582c99c6a14bff780083fd04abc4b/261593642.JPG","F1435680","Residential Detached","S","75 8560 156TH STREET","Fleetwood Tynehead","1978","Manufactured","1",,,,,,"37",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"WEST VILLA","287098",,"Detached",,"6/30/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"3/18/2015",,,"1",,"900-574-188",,"V3S 5K4",,"BC","West Villa 14x70 foot mobile with huge addition. New roof + furnace. Ceiling needs repair from old damage. F/S, W/D, D/W and window coverings. 55+ small pets ok. Pad rent $572. Huge patio at back to enjoy morning coffee in sunshine. Close t o all shopping, recreation center, fast food, bus route. Only minutes to skytrain.",,"Fraser Valley","For Sale",,,,,,,,,"3/27/2015","$24,000","$20.34","0.96","4/10/2015","1","2","MHP","$24,900",,"9",,"1,180","0.00","0.00","Surrey","$20.34","0.96","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261559377/0/120/90/dc3b43b8730c20be9ea51e2c9e228251/15/404818127ea19f1a7447098bbfffa54a/261559377.JPG","F1434322","Residential Detached","S","112 43201 LOUGHEED HIGHWAY","Dewdney Deroche","1991","Manufactured","1",,,,,,"24",,"778-565-1397",,"Mission",,,"0","3",,,,"Mission","Residential Detached",,,"38316",,"Detached",,"6/4/2015",,"CHUCK MAGNUS","Other","1","$410.00",,,,,"3/4/2015",,,"1",,"900-574-016",,"V0M 1G0",,"BC","Three bedroom mobile home located in a quiet park of the park. This home is in need of some TLC and priced accordingly.","All offers must have a Schedule A. Sale of this property does not have to go thru the Court process.","Fraser Valley","For Sale",,,,,,,,,"3/27/2015","$28,500","$20.18","0.96","4/15/2015","1","3","MHP","$29,700",,"23",,"1,412",,"0.00","Mission","$20.18","0.96","Manufactured"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261593197/0/120/90/76cc6dca0af622c3c2e2ff8155b800ae/15/eb49ff5ab8926698bfbcd436ca0cdd85/261593197.JPG","F1435662","Residential Detached","S","49 31313 LIVINGSTONE AVENUE","Abbotsford West","1974","Manufactured","1",,,,,,"41",,"604-859-2341",,"Abbotsford",,,"0","3",,,,"Abbotsford","Residential Detached",,"PARADISE PARK","0979",,"Detached",,"8/16/2015",,"VICTOR OR DEBBIE","Concrete Slab","2","$242.00",,,,,"3/16/2015",,,"1",,"900-574-238",,"V2T 4T1",,"BC","Paradise Park, First class mobile home park. Well managed & nicely up kept, close to shopping, recreation & stores at the new High Street Mall. Large corner lot, 3 bdrms, cozy gas f/p, formal dinrm with built-in hutch & buffet & separate ea ting area with 4 bar stool island, 3pc ensuite, 4pc main bath needs TLC but the unit overall is in excellent shape. A/C. Comes with finishings, nice sized covered sundeck for those lazy afternoons....","Subject to probate... All measurements are approximate, buyer to verify if deemed important. NOTE: park is 55+ age restricted","Fraser Valley","For Sale",,,,,,,,,"3/26/2015","$39,000","$31.66","0.78","4/29/2015","2","3","MHA","$49,900",,"10",,"1,232","0.00","0.00","Abbotsford","$31.66","0.78","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261087447/0/120/90/23366c105fcaa9feee5c45162d6b0510/13/8539f50aa807c6658e7365df4f647896/261087447.JPG","N237521","Residential Detached","S","1 HARMON CRESCENT","Granisle","1972","House/Single Family","1",,,,,,"42",,"250-692-3530","2013","Burns Lake (Zone 55)",,,"0","3",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"2/11/2016",,"Dennis Bock","Concrete Perimeter","1","$1,476.00",,,,,"6/26/2014",,,"2",,"009-478-213",,"V0J 1W0",,"BC","Three Bedroom home in Granisle with may upgrades including a new electric Furnace, enlarging the Dining room, and upgrading the septic line from the house to the main village line. This home should be low maintenance with a metal roof. Th ere are roughed in walls the basement ready to finish or easy to move. Granisle is a small, friendly recreation / retirement community and the house is a few blocks from the Granisle Marine on Babine Lake. Babine Lake is noted for good salmon, trout and char fishing. Furnishings are negotiable.",,"BC Northern","For Sale",,,,,,,,,"3/25/2015","$39,500","$17.14","0.93","4/9/2015","1","3","R1","$42,500",,"272",,"2,304",,"0.00","Granisle","$17.14","0.72","House/Single Family"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261613568/0/120/90/6fc56b2942bca21acaa01dbbd9f0aca0/16/7a7a4c7c6a8fec5a6a34ce883d791717/261613568.JPG","H2151180","Residential Detached","S","79 6338 VEDDER ROAD","Sardis East Vedder Rd","1974","Manufactured","1",,,,,,"41",,"604-657-4064",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"MAPLE MEADOWS MOBILE HOME PARK","209339",,"Detached",,"7/31/2015",,"KEVIN/TOUCHBASE","Other","1","$311.00",,,,,"3/23/2015",,,"1",,"700-005-148",,"V2R 3R3",,"BC","One of the best locations in Maple Meadows at the back of the park. Large private park setting yard with storage sheds, great for gardening (includes lawnmower). Extremely well maintained 2 bdrm & den, good size kitchen & living room with n ew fireplace, stove, washer/dryer. Home has extensive interior drywall, upgraded plumbing, A/C, front covered deck. Close to bus routes, shopping, recreation center. Shows great call today.","Park approval required, 1 dog allowed with approval. Call toll free for appointments 1-888-417-2266, easy to show.","Chilliwack","For Sale",,,,,,,,,"3/28/2015","$45,000","$56.82","1.00","4/20/2015","1","2","MHP","$45,000",,"5",,"792",,"0.00","Chilliwack","$56.82","1.00","Manufactured"
