"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974584/0/120/90/d4760095e868bb38602982ce6f3de260/13/9bb88ede3f6f94a16bbafe95e4a5784d/260974584.JPG","N235814","Land Only","S","LOT 2 SALMON VALLEY ROAD","Salmon Valley",,,,,,,,"Road Access",,,"250-614-6766",,"PG Rural North (Zone 76)",,,,,"No","Not Available",,"Salmon Valley","Land",,,,"No",,"Nearby","5/9/2015",,"CARRIE NICHOLSON",,,"$82.00",,,"Yes",,"5/9/2014","Not Available",,,,"005-977-461","House/Single Family","V2N 6A1","Yes - Agricultural Land Reserve","BC","Come and build your new home in Salmon Valley. Nature in abundance...outdoor trails for ATVs and snowmobiles, and access to the river all add to the charm of this small community. 4.16 acre lot. Lot size taken from BC Tax Assessment.","Property is in the ALR.","BC Northern","For Sale","None",,"None",,"No",,,"None","4/3/2015","$13,000","$0.07","0.65","4/7/2015",,,"RR1","$20,000",,"329",,,"0.00","4.16","Prince George Rural","$0.07","0.46","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261622648/0/120/90/3bbd10e1429ef043df7ce8ffc3904959/13/74e2385057bd6e92a14d605212179ea4/261622648.JPG","N243540","Land Only","S","33707 E OOTSA LAKE ROAD","South Francois",,,,,,,,"Road Access",,,"250-692-7288",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"At Lot Line","6/26/2015",,"RE/MAX WRIGHTWAY",,,"$179.00",,,"Yes",,"3/26/2015","Not Available",,,,"011-501-316",,"V0J 1E3","No","BC","Approximately 9 acres of treed, undeveloped, flat ground located in the east Ootsa region of the Lakes District. Accessed by crossing the Francois Lake ferry and travelling approximately one-half hour from the south shore landing. Considered remote, but hydro is accessible. Some mature timber exists. Plenty of opportunity for the homesteader or perhaps an investment in trees. Good year-round access on the north boundary of the property.","Contact Listing Broker for Contract of Purchase and Sale Addendum.","BC Northern","For Sale","None",,"None",,"No",,,"None","4/2/2015","$17,500",,"0.70","4/10/2015",,,"RR-1","$24,900",,"7",,,"0.00","8.82","Houston Rural",,"0.70","Other"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877451/0/120/90/5681b0689603440c325e7318726cdaec/13/4545d9257d1a3de97e8ede74fc006f7a/259877451.JPG","N223294","Land Only","S","LOT 2 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","11/1/2015",,"LINDA",,,"$318.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"018-920-446","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/30/2015","$22,500",,"0.78","4/13/2015",,,"RR3","$29,000","No","885",,,,"1.90","Williams Lake Rural",,"0.58","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877593/0/120/90/2412d83d02b22af22a9d1b42363214e7/13/a76f80af36b3d05737646b7722549230/259877593.JPG","N223305","Land Only","S","LOT 27 GOLD DIGGER DRIVE","150 Mile House",,,,,,,,"Allowed Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"150 Mile House","Land",,"FRONTIER ESTATES",,"No",,"At Lot Line","11/1/2015",,"LINDA",,,"$318.00",,,"Yes",,"10/26/2012","At Lot Line",,,,"023-898-666","House/Single Family","V0K 2G0","No","BC","1.9 acre lot in Frontier Estates at 150 Mile House. Southern exposure, nice view of the valley, easy access, desirable area with acreage lots, quality homes, good school & close to town.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/30/2015","$22,500",,"0.78","4/13/2015",,,"RR3","$29,000","No","885","130",,"180.46","1.90","Williams Lake Rural",,"0.58","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261622114/0/120/90/9fe5243fc8c1f4f77c84db062d6055e7/13/3c88381b00eea9bacd014f874bb4fd7c/261622114.JPG","N243525","Residential Detached","S","3 8420 ALASKA ROAD","Fort St. John - City SE","1974","Manufactured","1",,,,,,"41",,"250-794-1515",,"Fort St. John (Zone 60)",,,"0","3",,,,"Fort St. John","Residential Detached",,"PEACE COUNTRY","EL#222817-2015",,"Detached",,"6/30/2015",,"SCOTT","Preserved Wood","1","$344.00",,,,,"3/30/2015",,,"1",,"800-093-934",,"V1J 4J6",,"BC","3 bedroom, 1 bath 1974 home with a small mud room. The yard is fully fenced and has a shed for storage. Two parking out front. A new silver label/BC Electric sticker has been granted and the home is in full compliance with BC Electrical saf ety standards.","accepted offer","BC Northern","For Sale",,,,,,,,,"3/31/2015","$24,000","$25.21","0.69","4/17/2015","1","3","MHP","$34,900",,"1",,"952","0.00","0.00","Fort St John","$25.21","0.69","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261467166/0/120/90/542eaf1eeb486e2f6dc5b55bd78055ec/15/26e7628b46137e66146641a55c6f3233/261467166.JPG","F1430546","Residential Detached","S","9 15820 FRASER HIGHWAY","Fleetwood Tynehead","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","1",,,,"Surrey","Residential Detached",,"GREENTREE ESTATES","291756",,"Detached",,"9/30/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"1/20/2015",,,"1",,"900-573-632",,"V4N 0Y2",,"BC","Greentree Estates 1 bedroom, 1 bath Adult Park. Pad rent $455 per month. Vacant. New floor and wall coverings. Newer appliances. Thermo windows, covered carport and patio. New electrical upgrades in Dec 2014 $2000 total. Bus stop out front of park in both directions. Walk to all shopping, pool, library. 55+ small pets ok.",,"Fraser Valley","For Sale",,,,,,,,,"3/31/2015","$27,500","$35.81","0.92","4/14/2015","1","1","MHP","$29,900",,"70",,"768","0.00","0.00","Surrey","$35.81","0.92","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261506314/0/120/90/32bc95bd46c03ab2e3d48bddc4688083/13/149de6c254983a7d0ab06a911800166d/261506314.JPG","N242248","Residential Detached","S","23 302 N BROADWAY AVENUE","Williams Lake - City","1979","Manufactured","1",,,,,,"36",,"250-392-2670",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"MAHEM MOBILE HOME PARK","CSA#415207",,"Detached",,"9/1/2015",,"HENRY","Other","1","$402.00",,,,,"2/9/2015",,,"1",,"800-092-455",,"V2G 2Y7",,"BC","Mahem MHP 1979 14x66 3-bedroom unit with updated roof, bathroom and most windows; plus large, covered deck; air conditioner and storage shed. Located on upper, quiet section of the park, close to transit and downtown. Quick possession possible. Parking for 2 and access to Fox Mtn Trails close by. All appliances included.","Vacant, just call LB and hit it. Foundation is clocking.","BC Northern","For Sale",,,,,,,,,"3/31/2015","$35,000","$36.76","0.88","4/15/2015","1","3","R1","$39,950",,"50",,"952","0.00","0.00","Williams Lake","$36.76","0.88","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261287111/0/120/90/9f0a2420cd11ae1c205efc1b96db797f/14/bb4974d439ddc9604001aaddc07f3224/261287111.JPG","H1403971","Residential Attached","S","332 1783 AGASSIZ ROSEDALE HIGHWAY","Agassiz","1976","Apartment/Condo","1",,,,,,"38",,"604-793-9900",,"Agassiz",,,"0","1",,,,"Agassiz","Residential Attached",,"Northgate",,,"Attached",,"3/31/2015",,"Jim Adam","Concrete Perimeter","1","$447.00",,,,,"9/30/2014",,,"1",,"023-570-181",,"V0M 1A0",,"BC","A nice 1 bedroom, 1 bath apartment very close to downtown Agassiz across street from A&W and only 1 block to the school, at a very affordable price, Rents for $500/ month. A very good buy for the investor or first time buyer who wants low m onthly payments.","All Meas Approx - verify if deemed imp. Easy to show - Vacant A $2500.00 CREDIT TO BUYERS FOR CARPETS & PAINTING IS NEGOTIABLE. Cats are okay, small birds & ornamental fish. (No Dogs)","Chilliwack","For Sale",,,,"$176.46",,,,,"4/3/2015","$41,500","$70.10","0.85","4/27/2015","1","1","RM2","$49,000",,"185",,"592","0.00","0.00","Chilliwack","$70.10","0.85","Apartment/Condo"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260443869/0/120/90/5f2a7f810c7f3c4ccf1adcfe761467c3/13/a49bb535c3993e87f857574222f257c3/260443869.JPG","N229866","Residential Detached","S","5 WILKINSON AVENUE","Granisle","9999","House/Single Family","1",,,,,,"999",,"250-847-0335",,"Burns Lake (Zone 55)",,,"0","3",,,,"Burns Lake","Residential Detached",,"GRANISLE",,,"Detached",,"7/31/2015",,"RON LAPADAT","Concrete Perimeter","1","$1,639.00",,,,,"7/31/2013",,,"2",,"009-130-675",,"V0J 1W0",,"BC","Granisle. Solid 3 bedroom and den basement home located on a large fenced lot with lake view. Features a high efficiency propane furnace plus free standing wood stove. Good sized sundeck, and for the gardener there's a greenhouse, flower ga rden, fruit trees, raspberries and more. Large carport with room for your boat and wood storage. Come enjoy the good life and awesome fishing on Babine Lake, BC's longest natural lake. Includes washer, dryer, fridge, and stove.",,"BC Northern","For Sale",,,,,,,,,"4/1/2015","$47,000","$23.31","0.83","4/15/2015","1","3","R1","$57,000",,"609",,"2,016","0.00","0.21","Granisle","$23.31","0.72","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261427120/0/120/90/dda87e5f6c49db3b852a37a760eb82a1/13/70a48bc1aa4e4784b307795c9d38a3d2/261427120.JPG","N241482","Residential Detached","S","2739 GUNN ROAD","Airport","9999","House/Single Family","1",,,,,,"999",,"250-613-3670",,"PG City South East (Zone 75)",,"2/10/2015","0","3",,,,"Prince George","Residential Detached",,,,,"Detached",,"6/18/2015",,"KEEN","Concrete Block","1","$687.00",,,,,"12/19/2014",,,"2",,"003-702-006",,"V2N 2H8",,"BC","Very good value for this cute little home located only 5 min to down town Prince George. There are 3 bdrm, a 4pc bath with laundry. the kitchen cabinets are being replaced with newer second hand cabinets. There is a large flat yard. This co uld provide a great income if rented out. Lots of character and charm. Call Keven for more Details**","Addtl PID 003-701-972","BC Northern","For Sale",,,,,,,,,"4/4/2015","$50,000","$69.44","0.91","4/17/2015","1","3","AF","$54,900",,"106","120","720","60.00","0.15","City of Prince George","$69.44","0.84","House/Single Family"
