"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261704717/0/120/90/2d8d8fd607878e841d839e71a25aa423/15/defdbaec1c3a7399b0220bfa1e1a8995/261704717.JPG","F1439939","Residential Detached","S","37 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","1",,,,"Surrey","Residential Detached",,"Crestway Bays","13408",,"Detached",,"12/31/2015",,"Les Wellman","Concrete Block","1","$83.00",,,,,"5/1/2015",,,"1",,"900-574-667",,"O0O 0O0",,"BC","Crestway Bays. Family park, 2 pets ok pad rent $825 includes water, sewer, garbage and taxes on the land. All appliances included. Great location on end of cul-de-sac. Complex has clubhouse, furnace, roof and H.W.T. have all been replaced. Home is drywalled and laminate flooring on bus route only minutes to skytrain.",,"Fraser Valley","For Sale",,,,,,,,,"5/20/2015","$7,800","$10.16","0.88","5/27/2015","1","1","MHP","$8,900",,"19",,"768","0.00","0.00","Surrey","$10.16","0.88","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261624746/0/120/90/6508e3666a959b5015a76a51444bbb30/15/8ec19490d6c1fc3779130bf66031e060/261624746.JPG","F1436810","Residential Detached","S","48 7850 KING GEORGE BOULEVARD","East Newton","1977","Manufactured","1",,,,,,"38",,"604-315-5759",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","400315",,"Detached",,"12/31/2015",,"KRYSTYNA WATTS","Other","1",,,,,,"3/27/2015",,,"1",,"900-574-348",,"V3W 5B2",,"BC","Bear Creek Glen, SW, 2 bedrooms plus huge enclosed sunroom addition with front and rear patio doors, nice kitchen with eating area. Adult park 55 yrs and over, one small pet ok. Close to all amenities and transit. Nice Clubhouse. Vacant, ea sy to show. Quick possession possible. Call for details. Roof replaced 2010, sealant to addition 2012, hotwater tank 2009, elecrical and furnace upgrades 2004, good value for the price here!","SUBJECT TO PROBATE. Subject to seller getting 'affadavit of Executor' from MH Registry.","Fraser Valley","For Sale",,,,,,,,,"5/19/2015","$11,000","$14.32","0.88","6/10/2015","1","2","MULTI","$12,500",,"53",,"768","0.00","0.00","Surrey","$14.32","0.88","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261671040/0/120/90/2a4ef9b33fd61437801513a476e78cfd/15/7e3d8fdc87f8625b78afa1b07e7d8dd6/261671040.JPG","F1438597","Residential Detached","S","86 7850 KING GEORGE BOULEVARD","East Newton","1976","Manufactured","1",,,,,,"39",,"604-889-4874",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","302997",,"Detached",,"10/14/2015",,"Lorraine Cauley","Other","1",,,,,,"4/14/2015",,,"1",,"900-574-535",,"V3W 5B2",,"BC","Excellent Location in Bear Creek Glen for this Spacious 2 Bdrm. Home. Private Deck out back overlooks Gardens & Shrubs. Newer Windows, New HWT, Updated Bathroom, Fresh Paint, Newer Stove & Dishwasher. Great Adult Park 55+, Clubhouse, small pet ok. Walking distance to All Shopping, Recreation nearby. Transit out front of park. Don't Miss this Lovely Home! Call to View!","All measurements are approximate. Buyer/buyers agent to verify if important.","Fraser Valley","For Sale",,,,,,,,,"5/22/2015","$15,000","$20.83","0.60","6/16/2015","1","2","MHP","$24,900",,"38",,"720","0.00","0.00","Surrey","$20.83","0.60","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260806066/0/120/90/36aeb22826a8d073f91e3efe7e8ff019/16/36dea5ceb4d42ab2b36a8fe50a63fc54/260806066.JPG","N233602","Land Only","S","LOT 1 INDIAN LAKE ROAD","Wells/Barkerville",,,,,,,,"Road Access",,,"604-942-1174",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Wells","Land",,,,"No",,"None Available","6/30/2015",,"LORNE LUM",,,"$191.00",,,"No",,"2/19/2014","Not Available",,,,"025-588-907",,"V0K 2R0","No","BC","5 acres of treed privacy, only minutes to Bowron Lake boat launch and store. Walk to the river, great fishing, gold panning wildlife viewing or just sit and enjoy nature, great snow mobile trails everywhere. Timber harvest available.","Get away adventure, Call Lorne 604-942-1174","BC Northern","For Sale","None",,"None",,"No",,,"None","5/17/2015","$22,000",,"0.96","5/26/2015",,,"RR-1","$22,900",,"452",,,"0.00","5.00","Quesnel Rural",,"0.66","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261522508/0/120/90/5951abb700ff2699c5564f844d43bddb/13/9b4874bbf8ea0e4b1d459a1375e6f27f/261522508.JPG","N242400","Land Only","S","LOT 145 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"250-609-0631",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"Available","12/31/2015",,"KLAUS",,,"$193.00",,,"Yes",,"2/17/2015","Not Available",,,,"007-341-164","Other","V0K 1X0","No","BC","Nicely treed recreational or residential lot close to Deka Lake and other recreational lakes. 0.43-acre property with driveway and power already in. Bring your RV and enjoy the beautiful South Cariboo. L#7195",,"BC Northern","For Sale","None",,"None",,"No",,,"None","5/21/2015","$26,000",,"0.80","5/21/2015",,,"R 1","$32,500",,"93",,,"0.00","0.43","Williams Lake Rural",,"0.80","Other"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261682271/0/120/90/f2dfce6eee682a5ee818ae9855c61b9c/13/419bbcb685554955d443c08590f56c71/261682271.JPG","N244319","Residential Attached","S","886 OCEANVIEW DRIVE","Port Edward","1975","1/2 Duplex","1",,,,,,"999",,"250-624-9298",,"Prince Rupert (Zone 52)",,,"0","3",,,,"Port Edward","Residential Attached",,"OCEANVIEW DRIVE",,,"Attached",,"7/17/2015",,"GORDON KOBZA","Concrete Perimeter","1","$906.00",,,,,"4/16/2015",,,"2",,"008-019-509",,"V0V 1G0",,"BC","This 3 bedroom half duplex is located on Ocean View Drive in Port Edward BC. An exceptional view is enjoyed from most rooms in this dwelling. The location of this half duplex is quite extraordinary and so there is great potential here. However, this property is in need of repiars and maintenance both inside and out. So, if you are a handy purchaser or investor, please get your rubber boots, clip board and pencil, tape measurer and camera ready.",,"BC Northern","For Sale",,,,,,,,,"5/21/2015","$30,000","$23.44","0.76","5/22/2015","1","3","R-2","$39,500",,"35",,"1,280","0.00","0.10","Port Edward","$23.44","0.76","1/2 Duplex"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261533520/0/120/90/1ffc87a8871f1138e70c9bc39ddfcefd/13/9fb2d06d565b3a8105a90b6805b5ec30/261533520.JPG","N242506","Residential Detached","S","4939 13TH AVENUE","Hazelton","9999","House/Single Family","1",,,,,,"999",,"250-842-8176","9999","Smithers And Area (Zone 54)",,,"0","4",,,,"New Hazelton","Residential Detached",,,,,"Detached",,"2/18/2016",,"KELLY MATTSON","Concrete Perimeter","2","$1,991.00",,,,,"2/19/2015",,,"2",,"008-510-270",,"V0J 2J0",,"BC","Character 2000 +/- sq ft fixer upper home with 4 bdrms on 3 lots in quiet neighbourhood of East New Hazelton. This is an estate sale and house is in need of TLC. Call LB for more info.","Estate sale. Property is as is - where is upon completion. Charges for utiliti es approx. $500 year for water and sewer. Additional PID# 008-510-296 & 008-510-245.Water evident in crawlspace.","BC Northern","For Sale",,,,,,,,,"5/21/2015","$33,500","$16.83","0.86","6/1/2015","2","4","R-1","$39,000",,"91","120","1,991","99.00","0.00","New Hazelton","$16.83","0.68","House/Single Family"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261713828/0/120/90/2bb16b237d3132f417c81cde9a8b6fe7/16/220c6b1f9e1950148b6f61281bbffe62/261713828.JPG","V1120964","Residential Detached","S","#3 4686 SINCLAIR BAY ROAD","Pender Harbour Egmont","2004","Recreational","1",,,,,,"11",,"604-885-4313",,"Sunshine Coast",,,"0","2",,,,"Pender Harbour","Residential Detached",,"PENDER HARBOUR RESORT & MARINA","1072095",,"Detached",,"11/1/2015",,"ANGIE SITA","Other","2",,,,,,"5/1/2015",,,"1",,"800-094-914",,"V0N 1S0",,"BC","Consider this fantastic turnkey recreational getaway just a stones throw from the waterfront. Enjoy great views into the marina from your deck and hot tub. Fully furnished 2 bdrm/2 bath semi-permanent Park Model trailer with significant add ition. Cozy fireplace in living room, sliding glass door onto deck from kitchen area. Computer corner. Enjoy amenities (salt water swimming pool, Bocce court) of the Pender Harbour Resort Marina. Annual pad lease includes wifi, power, water, sewer and amenities, plus gardening & lawn cutting. Moorage available.","Measurements to be verified if deemed important. Semi-permanent Northlander Retr eat Park Model with slideouts and addition. $5900 annual lease for pad.","Greater Vancouver","For Sale",,,,,,,,,"5/21/2015","$41,400","$75.27","1.04","5/27/2015","2","2","RECR","$39,800",,"20",,"550","0.00","0.00","Sechelt Rural","$75.27","1.04","Recreational"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261269312/0/120/90/46f668ac44c04cd4bab1a21f54033c51/16/579196b4c7fe7cb5485bbde2993ad835/261269312.JPG","V1086387","Residential Detached","S","5374 SUNSHINE COAST HIGHWAY","Sechelt District","9999","House/Single Family","1",,,,,,"999",,"604-885-4313",,"Sunshine Coast",,,"0","2",,,,"Sechelt","Residential Detached",,,,,"Detached",,"9/20/2015",,"TERRY, PAM OR RICK","Concrete Perimeter","1","$800.00",,,,,"9/20/2014",,,"1",,"800-089-051",,"V0N 3A2",,"BC","A sunny 2 bedroom home situated just a few minutes from the Tsain-Ko Village Shopping Centre and surrounding amenities. Home has some updates, new roof in 2006 with 40 year duroids, new counter tops, very well maintained. Front deck faces W est for sunny afternoons. Kitchen is open with a dining area and also open to the living room with large picture window. The laundry room is spacious with extra room for storage and access to the rear yard. The second bedroom/other has a slider to a rear patio and back yard. Older building at the rear is a greenhouse with a storage and workshop area.","Measurements are approx. Lease is to December 2030.","Greater Vancouver","For Sale",,,,,,,,,"5/22/2015","$43,000","$43.09","0.92","6/8/2015","1","2","SIR","$47,000",,"244","100","998","50.00","0.00","Sechelt Rural","$43.09","0.57","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261756235/0/120/90/b6412c9f664b72f51323243e82682bce/13/2914810b5af43ddb0537f6f33cebd366/261756235.JPG","N245250","Land Only","S","4474 CANIM-HENDRIX LAKE ROAD","100 Mile House - Rural",,,,,,,,"Allowed Access",,,"250-395-6196",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"Available","5/20/2016",,"DAVE",,,"$240.00",,,"Yes",,"5/20/2015","Not Available",,,,"005-969-336",,"V0K 1M0","No","BC","32 acres, level access from road, up a slight rise to RV pad with hydro service, then rising to various elevations with campsites and cabins (of little or no value) as you move toward the back of this huge property. The views of the valley , and large, forested hills beyond, are dramatic. Your RV site is ready to go...with 31 interesting acres to quad or hunt on. L#7508",,"BC Northern","For Sale","None",,"None",,"No",,,"None","5/21/2015","$44,000",,"1.10","5/22/2015",,,"RR1","$39,900",,"1",,,"0.00","32.00","Williams Lake Rural",,"1.10","Other"
