"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261671040/0/120/90/2a4ef9b33fd61437801513a476e78cfd/15/7e3d8fdc87f8625b78afa1b07e7d8dd6/261671040.JPG","F1438597","Residential Detached","S","86 7850 KING GEORGE BOULEVARD","East Newton","1976","Manufactured","1",,,,,,"39",,"604-889-4874",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","302997",,"Detached",,"10/14/2015",,"Lorraine Cauley","Other","1",,,,,,"4/14/2015",,,"1",,"900-574-535",,"V3W 5B2",,"BC","Excellent Location in Bear Creek Glen for this Spacious 2 Bdrm. Home. Private Deck out back overlooks Gardens & Shrubs. Newer Windows, New HWT, Updated Bathroom, Fresh Paint, Newer Stove & Dishwasher. Great Adult Park 55+, Clubhouse, small pet ok. Walking distance to All Shopping, Recreation nearby. Transit out front of park. Don't Miss this Lovely Home! Call to View!","All measurements are approximate. Buyer/buyers agent to verify if important.","Fraser Valley","For Sale",,,,,,,,,"5/22/2015","$15,000","$20.83","0.60","6/16/2015","1","2","MHP","$24,900",,"38",,"720","0.00","0.00","Surrey","$20.83","0.60","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261445192/0/120/90/35f82f216b609bc72797a5ea2669cfaa/13/35dce8082c336b98f9a6c36230787f12/261445192.JPG","N241682","Residential Attached","S","20 50 HAGEN STREET","Granisle","1972","Apartment/Condo","1",,,,,,"43",,"250-692-3530",,"Burns Lake (Zone 55)",,,"0","1",,,,"Burns Lake","Residential Attached",,"GRANISLE RESORT",,,"Attached",,"1/12/2016",,"Dennis Bock","Concrete Perimeter","1","$500.00",,,,,"1/12/2015",,,"1",,"018-204-309",,"V0J 1W0",,"BC","Live here year round or own a recreation place. This is a one bedroom renovated strata unit with a balcony overlooking a well kept common area lawn with a fire pit and an excellent view of Babine Lake. Babine Lake Marina is a block away a nd the Lake offers excellent boating / fishing opportunities including a salmon fishing season. Furniture will be included. The strata fees of 185.03 per month include the hydro and heat. There is no age restriction and pets and rentals are allowed. The Granisle Resort units can be placed in the rental pool to help with the strata costs. Taxes and utilities are not included in the strata fee. Granisle is a recreational retirement community 90 km from Houston and 100 km from Burns Lake.",,"BC Northern","For Sale",,"2",,"$185.03",,,,,"5/25/2015","$20,000","$51.02","0.80","6/9/2015","1","1","R-2","$25,000",,"133",,"392","0.00","0.00","Granisle","$51.02","0.80","Apartment/Condo"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261638812/0/120/90/e240b512e70806758a8b64881f5807f2/14/09cd76fc176fec5ff578ba237a9bc8d9/261638812.JPG","H2151320","Residential Detached","S","48 6035 VEDDER ROAD","Sardis West Vedder Rd","1969","Manufactured","1",,,,,,"46",,"604-819-1664",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"SELOMAS MOBILE HOME PARK","3803727",,"Detached",,"10/31/2015",,"DOUG","Other","1","$232.00",,,,,"4/4/2015",,,"1",,"700-005-972",,"V2R 1E5",,"BC","Spacious, well maintained 2 bedroom home with addition for stroage and hobby areas. Updated roof, siding, kitchen, flooring, and countertops. Recently constructed 7x35' covered deck, single carport and paved driveway. Located in quiet are a of the park. Walking distance to all amenities, malls, recreation facility and bus route. Small dog ok, no cats, pad rent #350/month.",,"Chilliwack","For Sale",,,,,,,,,"5/26/2015","$28,000","$27.08","0.86","6/3/2015","1","2","MHP","$32,500",,"52",,"1,034","0.00","0.00","Chilliwack","$27.08","0.86","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261605915/0/120/90/8468516cdd5c1b48eb975720d09cdc5a/15/dca23e9785a0b024b11d32229458bc68/261605915.JPG","F1436158","Residential Detached","S","4 26892 FRASER HIGHWAY","Aldergrove Langley","2002","Manufactured","1",,,,,,"13",,"604-837-2905",,"Langley",,,"0","1",,,,"Langley","Residential Detached",,"Aldergrove Mobile Home Park","7668210-03",,"Detached",,"8/31/2015",,"Anny","Other","1","$233.00",,,,,"3/23/2015",,,"1",,"900-574-205",,"V4W 3T5",,"BC","If freedom and independence are what you are seeking then this is for you. No landlord - your own space and for an exceptionally low cost. Great little yard if you want to bring your 4 legged friend along or make a lovely garden. Come make this one your home. Inside is pristine - nothing to do except move in. Centrally located close to public transportation, shopping, and services.","*S.Comm. 4.5% (minus 1/2 borad fees). Measurements approximate - buyer /agent to verify. Easy to show - shows very well.","Fraser Valley","For Sale",,,,,,,,,"5/23/2015","$31,500","$48.46","0.90","6/8/2015","1","1","MHP","$35,000",,"61",,"650","0.00","0.00","Langley","$48.46","0.90","Manufactured"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261449067/0/120/90/c2481ffbcf38b2931691405fb843e000/13/fa5c729685b534b4451df90e873e30c1/261449067.JPG","N241721","Residential Detached","S","15 95 MOUNTAINVIEW ROAD","McBride - Town","1977","Manufactured","1",,,,,,"38",,"250-569-2735","9999","Robson Valley (Zone 81)",,,"0","3",,,,"McBride","Residential Detached",,,"4404771",,"Detached",,"1/12/2016",,"RODGER","None","1","$600.00",,,,,"1/12/2015",,,"1",,"800-091-753",,"V0J 2E0",,"BC","Very clean 14x70 mobile and addition in quiet, well maintained mobile home park. Exceptionally large pad, (like two mobile home pads), beautiful views from large new thermal windows! New asphalt shingle roof, windows, fixtures in bathroom, flooring, hot water tank and furnace. Appliances included as well as pellet heater and drapes. Also included in sale is storage shed and greenhouse. Pad nicely landscaped. Excellent neighbours. Easy short walk into town. This unit is very nice!",,"BC Northern","For Sale",,,,,,,,,"5/25/2015","$32,000","$25.81","0.94","6/8/2015","1","3","MHP","$34,000",,"133",,"1,240",,"0.00","Mcbride","$25.81","0.94","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261678919/0/120/90/5814ddf31fb147817f98b7225b1d10ca/15/00c4852690594ab596585bfb822c02cc/261678919.JPG","F1438946","Residential Detached","S","148 3665 244TH STREET","Otter District","9999","Manufactured","1",,,,,,"999",,"604-866-6610",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Langley Grove Estates","15395",,"Detached",,"7/22/2016",,"Patty","Other","2","$105.00",,,,,"4/22/2015",,,"1",,"900-574-545",,"V2Z 1N1",,"BC","ONE OF KIND IN THIS PRICE RANGE. This won't stay on the market long, YOU BETTER MOVE FAST! This is a very well maintained single wide. Boasting 2 bathrooms, Newer kitchen counter tops with a great tile backsplash, Gas fireplace and much mor e. A shed for storage with a private and treed back yard. Covered carport parking with lots of additional parking, RV storage available on a first come first serve basis. This centrally located park offers a Clubhouse, whirlpool, walking distance to Otter Co-op, and Poppy Estates Golf course. Langley Grove Estates is a Parkbridge community and Family oriented park. Pets allowed with restrictions. Property taxes only $100/year if over 65 yrs old. Call us today for your private viewing!","Measurements approximate and must be verified if important. No age restriction, 1 pet allowed under 17 inches or 35 lbs. property taxes $100 if over 65. All offers must include subject to park approval.","Fraser Valley","For Sale",,,,,,,,,"5/26/2015","$38,500","$54.69","0.97","6/1/2015","2","2","MHP","$39,900",,"34",,"704","0.00","0.00","Langley","$54.69","0.97","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261523350/0/120/90/1f49fa42fcb1f7cced6b20826622a6b5/15/6d4f4189246c4da6240567c2fa5c45f8/261523350.JPG","F1432970","Residential Detached","S","6 24330 FRASER HIGHWAY","Otter District","1974","Manufactured","1","0,0",,,,,"41",,"604-590-2444","2008","Langley",,,"0","1",,,,"Langley","Residential Detached",,"Langley Grove Estates","85574",,"Detached",,"8/21/2015",,"Lenning","Other","1","$103.00",,,,,"2/18/2015",,,"1",,"900-573-781",,"V2Z 1N2",,"BC","Huge one bedroom can be converted to the original 2 - totally updated with laminate flooring-drywall throughout-nice kitchen-located in desirable Langley Grove Estates - with Pad Rental of only $522. Bring your one small pet and get ready to enjoy the lifestyle here - Close to everything and transport just steps away in a country feel setting. Come, view, and make your offer now.","Was originally 2 Bedrooms and can be converted back-nicely updated-one small pet -no age restrictions-","Fraser Valley","For Sale",,,,,,,,,"5/25/2015","$40,000","$57.14","0.87","6/18/2015","1","1","MHP","$45,900",,"96","00","700","0.00","0.00","Langley","$57.14","0.76","Manufactured"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261269312/0/120/90/46f668ac44c04cd4bab1a21f54033c51/16/579196b4c7fe7cb5485bbde2993ad835/261269312.JPG","V1086387","Residential Detached","S","5374 SUNSHINE COAST HIGHWAY","Sechelt District","9999","House/Single Family","1",,,,,,"999",,"604-885-4313",,"Sunshine Coast",,,"0","2",,,,"Sechelt","Residential Detached",,,,,"Detached",,"9/20/2015",,"TERRY, PAM OR RICK","Concrete Perimeter","1","$800.00",,,,,"9/20/2014",,,"1",,"800-089-051",,"V0N 3A2",,"BC","A sunny 2 bedroom home situated just a few minutes from the Tsain-Ko Village Shopping Centre and surrounding amenities. Home has some updates, new roof in 2006 with 40 year duroids, new counter tops, very well maintained. Front deck faces W est for sunny afternoons. Kitchen is open with a dining area and also open to the living room with large picture window. The laundry room is spacious with extra room for storage and access to the rear yard. The second bedroom/other has a slider to a rear patio and back yard. Older building at the rear is a greenhouse with a storage and workshop area.","Measurements are approx. Lease is to December 2030.","Greater Vancouver","For Sale",,,,,,,,,"5/22/2015","$43,000","$43.09","0.92","6/8/2015","1","2","SIR","$47,000",,"244","100","998","50.00","0.00","Sechelt Rural","$43.09","0.57","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261222179/0/120/90/88f3acad7fbc34e51ab6ac61f77c0233/13/209a7f533deaef413ca936e14b0a3a88/261222179.JPG","N239431","Land Only","S","DESOUS MOUNTAIN DRIVE","Williams Lake - Rural West",,,,,,,,"Road Access",,,"250-267-3657",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"At Lot Line","7/1/2015",,"BOBBY LLOYD",,,"$351.00",,,"Yes",,"9/1/2014","Nearby",,,,"003-018-296","House/Single Family","V2G 4W9","No","BC","5 treed acres bordering Crown land. 20 minutes west of Williams Lake, with a view of the Fraser River Valley. Warm, dry area with wildlife in your backyard.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","5/24/2015","$55,000",,"0.82","6/8/2015",,,"R1","$67,000","Not Known","265",,,"0.00","5.00","Williams Lake Rural",,"0.82","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261758937/0/120/90/872a84c4bd2d03c95ddcd49c68c8f746/13/01db7d74154f2bf7f1f2e00c0c99e0d8/261758937.JPG","N245285","Residential Detached","S","741 W 6TH AVENUE","Prince Rupert - City","1925","House/Single Family","1",,,,,,"90",,"250-600-6620",,"Prince Rupert (Zone 52)",,,"0","1",,,,"Prince Rupert","Residential Detached",,,,,"Detached",,"9/15/2015",,"MIKE MORSE","Concrete Perimeter","1","$1,055.00",,,,,"5/22/2015",,,"1",,"014-669-978",,"V8J 1Z8",,"BC","This centrally located bungalow has had upgrades to the electrical, roof and foundation. There is still work required to the interior and exterior but with a location and price like this you can't go wrong.",,"BC Northern","For Sale",,,,,,,,,"5/25/2015","$55,000","$67.32","0.73","5/27/2015","1","1","R2","$75,000",,"3","100","817","25.00","0.00","Prince Rupert","$67.32","0.73","House/Single Family"
