"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261639990/0/120/90/6933504feb571eb6bfc489bc556f04cf/13/ea3064e5702d33568b1fb49dd9315264/261639990.JPG","N243756","Land Only","S","3865 HILLCREST ROAD","Quesnel - Rural North",,,,,,,,"Road Access",,,"250-991-9147",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","6/30/2015",,"RANDY DERRICK",,,"$171.00",,,"Yes",,"4/1/2015","Available",,,,"006-470-688","House/Single Family","V2J 6T6","No","BC","5.3-acre parcel on Hillcrest Road, off the Barkerville Highway. Well treed area at the front of the lot is the only usable part, as the remainder is under a hydro transmission line (but could make good pasture). Natural gas is available.","Majority of property is under hydro transmission right-of-way. 4880","BC Northern","For Sale","None",,"None",,"No",,,"None","6/2/2015","$7,000",,"0.71","6/4/2015",,,"RR2","$9,900","Not Known","62",,,"0.00","5.30","Quesnel Rural",,"0.71","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260658357/0/120/90/1ffbfde0ab56cd295e08df00a1d646c8/13/370e8ef8bf62273d05cd453b680f6689/260658357.JPG","N232297","Land Only","S","1642 MILLS ROAD","Quesnel - Town",,,,,,,,"Road Access",,,"250-992-2207",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","11/30/2015",,"RICK HUGHES",,,"$449.00",,,"Yes",,"11/20/2013","At Lot Line",,,,"012-928-313","House/Single Family","V2J 3N8","No","BC","Peek-a-boo view of Fraser River! 3/4 acre on Mills Rd. Overlooks south portion of Dyke Rd. City water available. Contact City works regarding sewer connection, as may need septic system. Close to golf course, in city limits, yet feels like country. Nicely sloped for homesite. Enjoy a drive along North Fraser Dr, just past Titus Rd, right onto Mills Rd. Lovely building lot ready & waiting. (No mobile homes as per City by-laws).","City water available. Contact City works regarding sewer connection, as may need septic system. (No mobile homes as per City by-laws).","BC Northern","For Sale","Unknown",,"None",,"No",,,"City/Municipal","6/1/2015","$11,000",,"0.58","6/16/2015",,,"CR1","$19,000",,"558","311",,"110.00","0.76","Quesnel",,"0.58","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261748878/0/120/90/9917bca606a9e67d2c26bfc2b941bb3a/15/98672dc0ac0730c71aab78f7a038131e/261748878.JPG","F1441614","Residential Detached","S","32 1840 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","41596",,"Detached",,"2/28/2016",,"Les Wellman","Concrete Block","1","$115.00",,,,,"5/18/2015",,,"1",,"900-574-937",,"V4A 4X4",,"BC","Breakaway Bays 2 Bedroom single wide in a great location in the Park. Hop/skip and jump to Clubhouse and pool. All appliances and A/C unit included. 5 minutes to Beach and US Border. Complex has exercise centre, clubhouse, library, computer room, swimming pool. Pad Rent $898.78 includes electricity, water, sewer, taxes on the land and Garbage P/U. Family park 2 pets ok. 20 to shoulder and no vicious breeds. Requires 24 hour notice for showings.",,"Fraser Valley","For Sale",,,,,,,,,"6/3/2015","$20,000","$27.78","0.87","6/18/2015","1","2","MHP","$22,900",,"16",,"720","0.00","0.00","Surrey","$27.78","0.87","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261609154/0/120/90/beb2305f36b160e6122aaa66b5094773/16/2067d0a3b4b2c960eacf7e574d681af9/261609154.JPG","V1113164","Residential Detached","S","36 21163 LOUGHEED HIGHWAY","West Central","1976","Manufactured","1",,,,,,"39",,"604-467-0811",,"Maple Ridge",,,"0","2",,,,"Maple Ridge","Residential Detached",,"Val Maria","247376",,"Detached",,"10/31/2015",,"NAZIR","Other","1","$308.00",,,,,"3/25/2015",,,"1",,"800-093-836",,"V2X 2R4",,"BC","Val Maria park. Adult 55+ mobile park. Features 2 bedrooms, plus storage. Bright kitchen with eating area, large living room w/ electric fire place, full bathroom with laundry. Exterior has storage shed. Close to shopping, transportation & hospital. Quick possession possible.",,"Greater Vancouver","For Sale",,,,,,,,,"6/1/2015","$25,000","$34.15","0.72","6/8/2015","1","2","CS3","$34,900",,"68",,"732","0.00","0.00","Maple Ridge","$34.15","0.72","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261575429/0/120/90/6d7ecfdc1451ddbd7641c60aa855e375/15/1c7a134cd83c56ffd1b9e385fb1ac03f/261575429.JPG","F1434986","Residential Detached","S","255 1840 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","21914",,"Detached",,"10/31/2015",,"LR","Concrete Block","1","$98.00",,,,,"3/10/2015",,,"1",,"900-574-125",,"V4A 4X4",,"BC","Breakaways Bays, single wide with addition in family park, 2 small pet OK. Covered patio and carport. Separate entrance to family room. Pad rent $894.61 includes electricity, water, sewer, garbage. You still have door to door mail delivery. 5 minutes to White Rock Beach and U.S. Border. Roof and H.W.T. replaced 2014, newer F/S, W/D.",,"Fraser Valley","For Sale",,,,,,,,,"6/1/2015","$30,500","$38.80","0.93","6/20/2015","1","2","MHP","$32,900",,"83",,"786","0.00","0.00","Surrey","$38.80","0.93","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261716830/0/120/90/2fe607bb2ecac457b6294294eb3293a3/13/15fe2541452f6ae55fb86685d521d282/261716830.JPG","N244751","Land Only","S","11555 GRASSLAND ROAD","Shelley",,,,,,,,"Road Access",,,"250-614-4982",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"At Lot Line","10/31/2015",,"ROB DESMARAIS",,,"$335.00",,,"No",,"5/5/2015","At Lot Line",,,,"005-391-903","House/Single Family","V2K 5E8","No","BC","SAY WHAT, 5 acres, a well and sewage system for $44,900.00 Perfect flat property at a super price. Seller wants property sold, bring your offer.","Buyer to verify well and sewage operational systems.","BC Northern","For Sale","Lagoon",,"None",,"No",,,"Well - Drilled","6/1/2015","$32,500",,"0.72","6/2/2015",,,"RR1","$44,900",,"27",,,"0.00","5.05","Prince George Rural",,"0.72","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261773434/0/120/90/11d29a74c0b89010fcbd1de0f8149fa1/13/c0dcd67e2404cf58b577b34634fcaaa9/261773434.JPG","N245447","Land Only","S","440 ROLPH STREET","Quesnel - Town",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"WEST QUESNEL",,"No",,"Available","12/31/2015",,"LESLIE",,,"$501.00",,,"No",,"5/26/2015","Available",,,,"026-205-131","House/Single Family","V2J 1A3","No","BC","Build your dream home on this fabulous 0.39-acre riverfront lot on Rolph Street. Located in a nice quiet family area, with absolute panoramic view of the river. Dream away, build away. Seller is motivated!","4963","BC Northern","For Sale","Available",,"Available",,"No",,,"City/Municipal","6/4/2015","$33,500",,"0.89","6/5/2015",,,"RS1","$37,600","Not Known","9",,,"0.00","0.39","Quesnel",,"0.89","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261690084/0/120/90/59a43ce8c01bb7338f12fc63a387e03c/13/246d3abc721832629730b7139349a124/261690084.JPG","N244431","Residential Detached","S","50804 TAPPING ROAD","Cluculz Lake","2012","Recreational","1",,,,,,"3",,"250-570-7147",,"PG Rural West (Zone 77)",,,"0","1",,,,"Prince George","Residential Detached",,,,,"Detached",,"9/25/2015",,"BRITT","Other","0","$184.00",,,,,"4/21/2015",,,"1",,"011-232-935",,"V0J 3A3",,"BC","9.6 acre lot close to Cluculz Lake. This property has lots of potential as it already has a small 20x24 cottage that has been started about 2 1/2 years ago but needs finishing on the inside. The lot is mostly flat with a nice partially cleared spot in the center which would make a perfect building site for a new home. There is a creek that runs through property which brings lots of wildlife. Located not too far off the highway on a paved road that is on the school bus route and is maintained in the winter. Don't miss out on this great property as it is priced to sell!","Cottage does not have a permit from the Regional District. Foundation is sonotubes.","BC Northern","For Sale",,,,,,,,,"6/2/2015","$37,500","$78.13","0.94","6/8/2015","0","1","H1","$39,900",,"42",,"480","0.00","9.60","Vanderhoof Rural","$78.13","0.94","Recreational"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261747018/0/120/90/2b6eb3b4ed5fbd74a927b0d2ea69c287/13/7fe203416717b6cbf652f908f0514eac/261747018.JPG","N245134","Land Only","S","4781 KITWANGA DRIVE","108 Ranch",,,,,,,,"Road Access",,,"250-395-3434",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,,,"No",,"At Lot Line","11/30/2015",,"MEL OR ADAM",,,"$582.00",,,"Yes",,"5/15/2015","At Lot Line",,,,"007-816-502",,"V0K 2Z0","No","BC","Can't beat the location! Nothing but greenbelt between you and the lake and beautiful homes on either side, this is a prime spot to build your dream home - come take a look before it's gone! L# 7491",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","6/1/2015","$42,500",,"0.85","6/3/2015",,,"R1-1","$49,900",,"17",,,"0.00","0.62","Williams Lake Rural",,"0.85","Other"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261288687/0/120/90/e76439f3e499193e8840eb121637bfb5/16/c02b0a0ebad9eae11fe1ee875b9e05d5/261288687.JPG","V1087943","Residential Detached","S","18 4496 SUNSHINE COAST HIGHWAY","Sechelt District","1972","Manufactured","1",,,,,,"42",,"604-885-3295",,"Sunshine Coast",,,"0","2",,,,"Sechelt","Residential Detached",,"Big Maples Mobile Home Park","33224",,"Detached",,"12/31/2015",,"Ruth","Concrete Block","1","$212.00",,,,,"9/30/2014",,,"1",,"800-089-311",,"V0N 3A2",,"BC","Very well located in the Big Maples Mobile Home Park, this two bedroom/den unit is ready for a new owner. Some updating has been done, now ready for your personal touches. This unit comes complete with an elevator to the main deck and",,"Greater Vancouver","For Sale",,,,,,,,,"6/3/2015","$47,500","$62.25","0.88","6/24/2015","1","2","R5","$54,000",,"246",,"763","0.00","0.00","Sechelt (Village)","$62.25","0.88","Manufactured"
