"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261626331/0/120/90/33801186fae1b5bcf18124cd6880a9c2/13/d2dbfac8043a26f5a703b6f512c7c774/261626331.JPG","N243578","Residential Detached","S","94 8420 ALASKA ROAD","Fort St. John - City SE","1971","Manufactured","1",,,,,,"44",,"250-785-5520",,"Fort St. John (Zone 60)",,,"0","1",,,,"Fort St. John","Residential Detached",,"PEACE COUNTRY MOBILE HOME PARK","21054",,"Detached",,"9/30/2016",,"SANDRA LAWTON","Other","1","$492.00",,,,,"3/30/2015",,,"1",,"800-093-933",,"V1J 4J6",,"BC","1971 Homco Ambassador in very good condition. Clean, spacious, with lots of newer windows. Includes the fridge/stove, washer/dryer, and storage shed/wood stove. Flooring is mostly hardwood and is in good condition. Good porch. Bathroom is in good condition, and has dual-flush toilet.","Hot water tank access door is on the south side of the mopbile outside. 50 RCA HDTV included. BC 32131 No 21054 Wood blocking foundation.","BC Northern","For Sale",,,,,,,,,"12/3/2015","$10,000","$14.62","0.25","12/7/2015","1","1","R4","$39,900",,"248",,"684",,"0.00","Dawson Creek Rural/North Peace","$14.62","0.25","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038275/0/120/90/c687b99339f520f2c61bfb1ee1493822/13/0c1fc2420cb67aa4cb56001b280a6d30/262038275.JPG","R2016648","Residential Detached","S","42 634 ELM STREET","Red Bluff/Dragon Lake","1988","Manufactured","1",,,,,,"27",,"250-991-9147",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"BIG COUNTRY MOBILE HOME PARK","450157",,"Detached",,"2/29/2016",,"RANDY DERRICK","Other","1","$479.54",,,,,"11/20/2015",,,"1",,"800-100-833",,"V2J 3X1",,"BC","1988 Moduline Dartmouth mobile home with addition, in a quiet park south of the city. 2 bedrooms, 1 bath. Addition is entry and family room. Skylights and bay window in kitchen. Quick possession.","Schedules A and B must accompany all offers (available at LB). Deposit to be no less than 5% of the purchase price. The furnace does not work and needs to be replaced. Foundation is wood cribbing.","BC Northern","For Sale",,,,,,,,,"12/1/2015","$14,500","$12.46","0.91","12/4/2015","1","2","NHP-1","$15,950",,"11","0","1,164","0.00","0.00",,"$12.46","0.91","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261410683/0/120/90/233d6b0b414e448e8678039046ccbd1d/13/6ff4915ccac0a17e84350edf64908663/261410683.JPG","N241318","Land Only","S","3212-3214 1ST AVENUE","Queen Charlotte - Rural",,,,,,,,"No Access",,,"250-600-7876",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Queen Charlotte City","Land",,,,"No",,"Nearby","3/31/2016",,"DOROTHY WHARTON",,,"$72.00",,,"Yes",,"12/7/2014","Not Available",,,,"014-407-400","House/Single Family","V0T 1S0","No","BC","Two 50x120 harbour view lots available near the hospital. These lots would compliment those lots on 2nd Ave that are also for sale as these are adjacent to the ones on 2nd Ave. Road access off of 1st Ave would have to be constructed to acce ss these lots. Creek runs through these properties. These lots can be purchased separately or together. Check them out, make an offer and start your building!","Currently no sign on property. 2014 taxes on Lot 6 = $72.23 & Lot 7=$18.76; Addi tional PID# 014-407-388. Neighbour Flaxman is excluded from the sale of Lot 6&7. Seller will pay listing agent $500 commission on this sale for effort/work completed to that date.","BC Northern","For Sale","Nearby",,"Nearby",,"No",,,"City/Municipal","12/4/2015","$20,000","$1.67","1.00","12/7/2015",,,"R1","$20,000","Not Known","357","120",,"100.00","0.28","Village of Queen Charlotte","$1.67","0.33","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261410752/0/120/90/8735cdbcf87d9166c075366b7eca223c/13/84f85b85ddb2c831ac410efd65f316d3/261410752.JPG","N241319","Land Only","S","3209 - 3211-3213 2ND AVENUE","Queen Charlotte - Rural",,,,,,,,"Allowed Access",,,"250-600-7876",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Queen Charlotte City","Land",,,,"No",,"At Lot Line","3/31/2016",,"DOROTHY WHARTON",,,"$3,826.00",,,"Yes",,"12/7/2014","Not Available",,,,"014-407-418","House/Single Family","V0T 1S0","No","BC","Three 50x120 view lots located across from the hospital are available for you to build. These lots are accessible by the 2nd Ave. Hydro, water and sewer at lot line. Each lot is 6000 sq ft in size. Can buy all three or individually. Two adj acent lots above these are also for sale. Check them out and start building!","Currently no sign on property. 2014 taxes: Lot 22- $887.09; Lot 23 - $1352.65; L ot 24 - $1586.45. Three PID#s and titles. Additional PID#s 014-407-434 & 014-407-451","BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","12/4/2015","$20,000","$1.11","0.44","12/7/2015",,,"R1","$45,000","Not Known","357","120",,"150.00","0.41","Village of Queen Charlotte","$1.11","0.15","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261220777/0/120/90/0583d9daf7f09e3786cb814fe52472e7/13/87e7aabfd8f23ede03aafdd0baf411f2/261220777.JPG","N239416","Land Only","S","LOT 12 HORN ROAD","Fort Fraser",,,,,,,,"Road Access",,,"250-567-0153",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fort Fraser","Land",,,,"No",,"Nearby","8/31/2016",,"JODY PEDERSEN",,,"$87.00",,,"No",,"8/28/2014","Not Available",,,,"009-186-069",,"V0J 1N0","Yes - Agricultural Land Reserve","BC","Beautiful one-acre lot located on the Nechako River off Horn Road near Fort Fraser BC. Nice, level property to build a cabin on, or your dream home, you choose! Enjoy the stunning waterfront views and the natural splendor of this peaceful property. The two adjacent lots are also for sale by the same owner.","Adjacent two lots are also for sale by the same owner: PID#s Lot 10 009-186- 000 and Lot 111 009-186-034.","BC Northern","For Sale","None",,"None",,"No",,,"None","11/30/2015","$24,000",,"0.96","12/21/2015",,,"R6","$25,000",,"459",,,"0.00","1.03","Vanderhoof Rural",,"0.96","Other"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261923116/0/120/90/63cbf008237842161a2effbede832570/15/356d81bc344a2106c0b5e1eb7cf844fe/261923116.JPG","F1448090","Residential Detached","S","8 1840 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","39364",,"Detached",,"2/22/2016",,"LES WELLMAN","Concrete Block","1","$82.00",,,,,"7/24/2015",,,"1",,"900-575-645",,"V4A 4X4",,"BC","Home now available. Pad rent $890, includes electricity, water, sewer, garbage and taxes on the land. Clubhouse, exercise room, activity center, library, pool, pool table and more. Walking paths throughout the park. 5 minutes to White Rock Beach and U.S. Border.","Home is now vacant","Fraser Valley","For Sale",,,,,,,,,"12/6/2015","$25,500","$35.42","0.91","12/17/2015","1","2","MHP","$27,900",,"135",,"720",,"0.00","Surrey","$35.42","0.91","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031394/0/120/90/13deb6aae923312f5f28ec73b1a44e8d/13/05e261ce04a0bcbc0d8c24a1e93bbf78/262031394.JPG","R2009767","Residential Detached","S","6011 MATSUDA ROAD","Lone Butte/Green Lk/Watch Lk","9999","House/Single Family","0",,,,,,"999",,"250-706-1186",,"100 Mile House (Zone 10)",,,"0","0",,,,"100 Mile House","Residential Detached",,"LONE BUTTE",,,"Detached",,"1/18/2016",,"GISELA/MICHELLE","Concrete Perimeter","0","$996.58",,,,,"10/15/2015",,,"1",,"028-122-402",,"V0K 1X0",,"BC","As is -Where is! 1200 sqft home with little or no value on 0.29 ac property. Buy it as fixer upper or for land value - you decide! Within walking distance to Lone Butte store. Schedule “A” applies.  L#7780",,"BC Northern","For Sale",,,,,,,,,"11/30/2015","$28,000","$19.05","0.97","11/30/2015","0","0","R1","$28,900",,"46","130","1,470","100.00","0.00",,"$19.05","0.85","House/Single Family"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261739174/0/120/90/aaa0669b0014cc93f1c787586bc657c1/16/4e1ef040ca8f2a066dae7ee205ec8c82/261739174.JPG","V1122915","Land Only","S","382 COMPANION WAY","Mayne Island",,,,,,,,"Road Access",,,"250-539-5555",,"Islands-Van. & Gulf",,,,,"No","Not Available",,"Mayne Island","Land",,,,"No",,"Nearby","12/31/2015",,"GLEN",,,"$715.00",,,"Yes",,"5/13/2015","Not Available",,,,"003-088-464","House/Single Family","V0N 2J2","No","BC","This sunny, south facing building lot is at the end of a quiet cul-de-sac within walking distance to the ferry. Larger than average size, with level access to a level building site and services at the road, the lot is ready for your development plans. Priced appropiately, this will sell soon.",,"Greater Vancouver","For Sale","None",,"None",,"No",,,"Community","12/6/2015","$45,000",,"0.90","12/18/2015",,,"SR","$49,900",,"207","266",,"78.00","0.58","Gulf Islands",,"0.90","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261620468/0/120/90/4dc472657098fb1a0cc4f52414719efd/15/fa6ad9a17aa8059e2e22ed2bb1480fc7/261620468.JPG","F1436658","Land Only","S","78 14600 MORRIS VALLEY ROAD","Lake Errock",,,,,,,,"Allowed Access",,,"604-820-0555",,"Mission",,,,,"No","Not Available",,"Mission","Land",,"TAPADERA ESTATES",,"No",,"At Lot Line","3/27/2016",,"DAVID WANSINK",,,"$363.00",,,"No",,"3/27/2015","Not Available",,,,"023-085-771","Recreational","V0M 1A1","No","BC","TAPADERA ESTATES Here's a nice set up. Fully fenced for pets, squeaky clean 5th wheel trailer on full serviced lot. Covered deck, patio, great set-upt for year round on recreational use.",,"Fraser Valley","For Sale","Community",,"None",,"No",,,"Community","11/28/2015","$48,000","$29.09","0.87","12/15/2015",,,"REC","$54,900",,"246","50",,"33.00","0.04","Chilliwack - Rural","$29.09","0.87","Recreational"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032719/0/120/90/a13ba588e052aae5f7d04d0a59d71703/14/3d01424f09bd7cfc8c59d79b7d1f23d9/262032719.JPG","R2011092","Residential Detached","S","222 45835 SLEEPY HOLLOW ROAD","Cultus Lake","1989","Manufactured","1",,,,,,"26",,"604-819-0120",,"Cultus Lake",,,"0","2",,,,"Cultus Lake","Residential Detached",,,"455676",,"Detached",,"4/26/2016",,"Bruce OR Patsy","Other","1","$263.66",,,,,"10/26/2015",,,"1",,"745-836-146",,"V2R 5A9",,"BC","Immaculate Home just minutes to Cultus Beach! Bright open floor plan includes huge kitchen with plenty of cupboard space, new countertops & flooring. Features 2 bedrooms, large bright bathroom, cozy living room & a den. Outside has a new deck to relax & enjoy the private landscaped yard. Just a quick stroll to the beach, golf & fun! 55+ adult park.","Measurements are approximate. 55+ Adult park. Buyer to verify if deemed important. Park owner has a rebate plan.","Chilliwack","For Sale",,,,,,,,,"11/30/2015","$53,000","$47.15","0.92","12/11/2015","1","2","MHP","$57,900",,"35","0.00","1,124","0.00","0.00","Chilliwack","$47.15","0.92","Manufactured"
