"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261831785/0/120/90/d4f358f55a8d7fd0a75963750343b1a4/16/2a0a0c1bd0cc28c6ab119d2c4f4c783a/261831785.JPG","F1444605","Residential Detached","S","8 8190 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1987","Manufactured","1",,,,,,"28",,"604-655-2505",,"Surrey",,,"0","1",,,,"Surrey","Residential Detached",,"King George MP","447687",,"Detached",,"12/31/2015",,"Dianne","Concrete Slab","1",,,,,,"6/16/2015",,,"1",,"900-575-112",,"V3W 5B7",,"BC","Well maintened, spotless, 1 bed, 1 bath mobile home. Lots of updates done in last couple of years, new floors, new hot water tank, new bathroom fan, new smoke alarm, new fence & topsoil, lots more to see. Washer & Dryer in unit. 2 sheds, one with power and heat. Small pets allowed, family park setting with swimming pool. Call today for your private showing!","Measurements are approximate, buyer (s) to verify if important.","Fraser Valley","For Sale",,,,,,,,,"11/11/2015","$6,000","$10.71","0.40","11/23/2015","1","1","MHP","$15,000",,"148",,"560",,"0.00","Surrey","$10.71","0.29","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261729024/0/120/90/c0dc08d791a61d261a3f9c91e8a28456/13/ca4db8ff62206dfbfae767a60a48421f/261729024.JPG","N244929","Land Only","S","LOT 42 LAC LA HACHE STATION ROAD","Lac la Hache",,,,,,,,"No Access",,,"250-706-1186",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,"LAC LA HACHE",,"No",,"Nearby","5/4/2016",,"GISELA/MICHELLE",,,"$176.00",,,"Yes",,"5/5/2015","Not Available",,,,"009-682-333","House/Single Family","V0K 1T0","No","BC","A small lot of an affordable price! Treed 0.19 ac property with easy access off paved road. Located within minutes to Lac La Hache public lake access and within a 20 min drive to 100 Mile House. Limited development options for this property because of it's small size. Hydro at the road but no water or sewer readily available. Mobile homes and framed structures permitted for residential dwellings. Call for more details today. L#7465",,"BC Northern","For Sale","None",,"None",,"No",,,"None","11/13/2015","$10,000",,"0.83","11/25/2015",,,"R1","$12,000",,"192","83",,"100.00","0.00","Williams Lake Rural",,"0.83","House/Single Family"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261924127/0/120/90/4718ae577f9ace0532f246a6e74887de/13/490e739c86d9e14cf456c4e3f3002764/261924127.JPG","N247345","Land Only","S","2405 MOXON ROAD","Bella Coola/Hagensborg",,,,,,,,"Road Access",,,"250-569-2735",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Bella Coola","Land",,,,"No",,"At Lot Line","12/31/2015",,"RODGER PETERSON",,,"$0.00",,,"Yes",,"7/22/2015","Not Available",,,,"007-549-601","House/Single Family","V0L 1H0","Yes - Agricultural Land Reserve","BC","Excellent investment. 1.3 acres. Consider as a house site or multiple other uses such as duplex or multi-family dwelling site. Even a mobile home park! Maybe a bed and breakfast type of home. Quiet location with easy access and located in the quiet community of Anaheim Lake. Priced to sell and ready for someone to step in and make this acreage the perfect location for the perfect development!","Excellent investment. 1.3 acres. Consider as a house site or multiple other uses such as duplex or multi-family dwelling site. Even a mobile home park! Maybe a bed and breakfast type of home. Quiet location with easy access and located in the quiet community of Anaheim Lake.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"Other","11/13/2015","$12,250",,"0.82","11/19/2015",,,"RS 1","$15,000","Not Known","114",,,"0.00","1.30","Williams Lake Rural",,"0.82","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261899511/0/120/90/9d9ad7abc18569eebcdc1e2a61b28a60/15/fc870d7c2e1e9c7bda31d75d290ff011/261899511.JPG","F1447250","Residential Detached","S","30 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","244793",,"Detached",,"12/31/2015",,"LES","Concrete Block","1",,,,,,"7/16/2015",,,"1",,"900-575-520",,"V3W 5Y4",,"BC","Crispen Bays 2 bdrm 1 bath in family park, two 20 dogs allowed, no vicious breeds. New gas range, fridge, washer, dryer, all purchased in 2015. Pad rent $846 per month includes water, sewer, garbage, taxes on the land, clubhouse pool. Bus stop out front, 10 minutes to skytrain. A stones throw to both schools grade 1 thru 12, just walk thru back of mobile park to both schools. Vacant, move tomorrow.",,"Fraser Valley","For Sale",,,,,,,,,"11/9/2015","$12,500","$15.32","0.84","11/19/2015","1","2","MHP","$14,900",,"116",,"816","0.00","0.00","Surrey","$15.32","0.74","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261858627/0/120/90/8f89604b0a81e07ba7896bf2e2fa4fe6/13/261d5df27789cb852cfc2d8acca58d11/261858627.JPG","N246540","Land Only","S","4542 QUESNEL-HYDRAULIC ROAD","Quesnel Rural - South",,,,,,,,"Road Access",,,"250-991-2787",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","9/30/2016",,"RAY",,,"$150.00",,,"Yes",,"6/24/2015","At Lot Line",,,,"023-446-242",,"V2J 6N9","No","BC","Views to Dragon Mountain from this privately treed 5.06 acre property. Partially cleared to the road, sitting across from Hallis Lake on Brightway Road.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","11/10/2015","$15,000",,"0.77","11/12/2015",,,"RU2","$19,500","No","139","0",,"0.00","5.06","Quesnel Rural",,"0.71","Other"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029965/0/120/90/143b0bb8c0898bf8f706b1e7a57673cb/15/f42cdc4b7ccdc312783c9fa72dd68ed6/262029965.JPG","R2008338","Residential Detached","S","52 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"40",,"604-315-5759",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crispen Bays","256655",,"Detached",,"12/31/2015",,"Krystyna Watts","Other","2",,,,,,"10/12/2015",,,"1",,"900-576-647",,"V3W 5V4",,"BC","Crispen Bays, family park, 2 bdrm (opposite end of each other) 2 baths, over 800 sq.ft. Roof redone 5 years ago, newer vinyl siding, all appliances, nice sized deck (half covered, great for BBQ's). Children & small pet ok. Close to all amenities ie shopping, transit, etc. Seller currently installing new laminate flooring. Quick possession possible, easy to show.",,"Fraser Valley","For Sale",,,,,,,,,"11/7/2015","$15,000","$18.38","0.80","11/18/2015","2","2","MHP","$18,800",,"26",,"816",,"0.00","Surrey","$18.38","0.80","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262028488/0/120/90/330ade2c10d462dab96bd712d346e6f4/13/9bd6e56e89525c1004b80312c444272b/262028488.JPG","R2006861","Residential Detached","S","13 7817 S 97 HIGHWAY","Sintich","1970","Manufactured","1",,,,,,"45",,"250-981-3100",,"PG City South East (Zone 75)",,,"0","2",,,,"Prince George","Residential Detached",,"SINTICH TRAILER PARK","34672",,"Detached",,"2/7/2016",,"CALL/TEXT MIKE","Concrete Perimeter","1","$152.98",,,,,"10/7/2015",,,"1",,"800-099-369",,"V2N 6P6",,"BC","This 2 bedroom mobile is dated but has been very well looked after. It has a newer roof and furnace and has a good open concept kitchen, dining and living area. This excellent well-kept park is adult oriented with on-site management that makes for a clean, quiet and safe environment. Current pad rental is $338.50.","Easy to show.","BC Northern","For Sale",,,,,,,,,"11/10/2015","$18,900","$24.58","0.95","11/18/2015","1","2","MHP","$19,900",,"34","0","769","0.00","0.00",,"$24.58","0.95","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033310/0/120/90/222456187749c3bcaea2e6eb4757226b/15/45fef839c4b0cb341c434b4b742d66ef/262033310.JPG","R2011683","Residential Detached","S","98 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1974","Manufactured","1",,,,,,"41",,"604-581-3838",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"Crestway Bays","236309",,"Detached",,"3/28/2016",,"Les Wellman","Concrete Block","1","$94.00",,,,,"10/27/2015",,,"1",,"900-576-909",,"V3W 6E1",,"BC","Crestway Bays. 3 Bedroom in Family Park 2 - 20 Dogs allowed. Newer cupboards, floor covering and appliances. Sky train 10 minutes away. Bus stop out front of park. Home Located on quiet cul-de-sac. Vacant.",,"Fraser Valley","For Sale",,,,,,,,,"11/7/2015","$19,000","$19.39","0.76","11/18/2015","1","3","MHP","$24,900",,"11",,"980",,"0.00","Surrey","$19.39","0.76","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262028797/0/120/90/187ec6e8327f96c500a78c19a1e57f4c/15/971f4857d51cc66871e707eb8463f07e/262028797.JPG","R2007170","Residential Detached","S","17 41495 N NICOMEN ROAD","Dewdney Deroche","9999","Manufactured","1",,,,,,"999",,"604-864-1300",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"LEQ QE MEL TRAILER PARK","305926",,"Detached",,"9/29/2016",,"SANDI STUGIS","Other","1","$173.86",,,,,"9/29/2015",,,"1",,"900-576-704",,"V0M 1G0",,"BC","CLEAN, SHOWS VERY WELL...IMMEDIATE POSSESSION AVAILABLE! Lovely 2 Bedroom, Newer Flooring. Kitchen and Bathroom, Roof Snow Coated 2009...AFFORDABLE LOW PAD RENT...Convenient, Great Location for the Outdoorsman...JUST ONE LOOK!","CONVENIENT TO SHOW! Measurements approximate, if important please verify.","Fraser Valley","For Sale",,,,,,,,,"11/9/2015","$23,900","$31.04","0.96","11/20/2015","1","2","PAD","$24,900",,"41",,"770",,"0.00",,"$31.04","0.96","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261627704/0/120/90/ad0cad8e4134ea0335b12041f433e95f/13/bb7f23bfd691f5535fe7a503d88186fd/261627704.JPG","N243607","Residential Detached","S","3298 JOHNSON ROAD","Quesnel Rural - South","9999","Manufactured with Land","1",,,,,,"999",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,,"H166486",,"Detached",,"12/16/2015",,"LESLIE","Concrete Perimeter","1","$881.00",,,,,"3/31/2015",,,"1",,"010-493-786",,"V2J 6N5",,"BC","Bring your elbow grease to make this house a home. Some renovations done, with landscaping and sundeck overlooking the massive fields out the back.","Lockbox is on. Vacant.","BC Northern","For Sale",,,,,,,,,"11/9/2015","$24,000","$21.74","1.00","12/7/2015","1","2","RR3","$24,000",,"223",,"1,104","0.00","0.94","Quesnel Rural","$21.74","0.40","Manufactured with Land"
