"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032918/0/120/90/b3a792e3a9f9cec1709618d443f08d8b/13/57c0a2c0c50e72984e6fa816a196a124/262032918.JPG","R2011291","Land Only","S","LOT 33 BLAIR STREET","Quesnel - Town",,,,,,,,"Road Access",,,"250-991-9147",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","4/30/2016",,"RANDY DERRICK",,,"$201.45",,,"Yes",,"10/23/2015","Available",,,,"008-413-037",,"V2J 5G7","No","BC","City lot in West Quesnel. Zoned RS2 for single family, duplex or four-plex. Property is in area designated as sensitive hazardous so a geo-tech study may be required to get a building permit. City services and natural gas available.","5137","BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","10/31/2015","$5,200","$0.71","0.74","11/2/2015",,,"RS2","$7,000","Not Known","8","110.1",,"66.60","0.17",,"$0.71","0.74","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261973643/0/120/90/3ee944834b828f2792e68ef1e5bedb89/13/625cf05d2e810ebc08b9e38f25296c9f/261973643.JPG","N247962","Land Only","S","4223 MILDRED AVENUE","Wells/Barkerville",,,,,,,,"Road Access",,,"250-255-2855",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Wells","Land",,"WELLS",,"No",,"At Lot Line","11/30/2015",,"AMBER",,,"$0.00",,,"No",,"8/18/2015","Not Available",,,,"013-817-531","House/Single Family","V0K 2R0","No","BC","Wells is the place to be! Don't miss out on owning an awesome piece of BC history. This level lot is right in town and just down from the school. There is tons to do in and around this artsy little community that is close to Barkerville and Bowron Lake. There's Arts Wells, the Bowron Lake chain, fishing, hiking, snowmobiling, and digging for gold...to name a few. Whether this becomes home-sweet-home or your home away from home, Wells is it!","No offers to be presented until after August 3, 2015. Lot size is approx. All offers must use the prescribed Offer to Purchase form in the listing file AND the standard form.","BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","10/30/2015","$6,000",,"0.38","11/6/2015",,,"R1","$16,000","Not Known","73","95.9",,"52.60","0.11","Wells",,"0.38","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260342732/0/120/90/6f86d1ffe94124d21855d079881551b4/13/1c22f0606e2dc9e5d402456dde4bda31/260342732.JPG","N228507","Land Only","S","1022 9TH AVENUE","Valemount - Town",,,,,,,,"Road Access",,,"250-569-7397",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"At Lot Line","6/1/2016",,"IRENE BERNSDEN",,,"$427.00",,,"Yes",,"6/2/2013","Not Available",,,,"007-005-385",,"V0E 2Z0","No","BC","Nice building lot with great views. This lot is mostly cleared and village services are available. Schools, recreation and shopping are all nearby. Located in good location on a newer street with alley access. Adjoining lot also available.",,"BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","10/26/2015","$27,300","$3.63","0.93","11/3/2015",,,"R1","$29,500",,"876",,,,"0.17","Valemount","$3.63","0.81","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262028457/0/120/90/95dab538b524e20c21c9c3a77dc1d513/13/78c77853b53f60dec3e8b2257efe5c1c/262028457.JPG","R2006830","Land Only","S","1332 COTTONWOOD STREET","Telkwa",,,,,,,,"Allowed Access",,,"250-847-5999",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"Telkwa","Land",,,,"No",,"At Lot Line","2/8/2016",,"DONNA",,,"$716.77",,,"Yes",,"10/7/2015","Nearby",,,,"012-310-549","House/Single Family","V0J 2X0","No","BC","Residential building lot, ready to build on. Fronts on Cottonwood Street with access to your backyard from the end of Juniper Road. Fully serviced area with sewer and water connections available. Good sunny exposure. Build your home here.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","10/27/2015","$33,000",,"0.85","10/28/2015",,,"R4","$39,000","No","20","130",,"66.00","0.00",,,"0.85","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033064/0/120/90/80af563a1d6ded8054a93d0255b5670c/15/4775331d556893f3b4fb2006da72eb4c/262033064.JPG","R2011437","Residential Detached","S","36 9267 SHOOK ROAD","Hatzic","1981","Manufactured","1",,,,,,"34",,"604-302-8442",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,,"422775",,"Detached",,"1/26/2016",,"Alison","Other","2",,,,,,"10/26/2015",,,"1",,"900-576-901",,"V2V 7M4",,"BC","Well maintained 2 bedroom, 2 full bathroom Mobile home in Green Acres park, New laminate floors, beautiful updated kitchen with granite countertops & granite backsplash, granite tile flooring in the bathroom, new roof, electrical updates 100 amp service, full sized hot water tank, Co2 and fire and gas alarm system and 10' x 10' shed.","Pending offer","Fraser Valley","For Sale",,,,,,,,,"10/27/2015","$33,000","$33.67","1.00","11/9/2015","2","2","MHP","$33,000",,"1",,"980",,"0.00","Mission","$33.67","1.00","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033595/0/120/90/c14d40583f19ac1c34959be4840609bc/13/8dfa01f2b113c8fc0e3d0c1cd2248b00/262033595.JPG","R2011968","Land Only","S","1932 INGLEDEW STREET","Millar Addition",,,,,,,,"Allowed Access",,,"250-565-1200",,"PG City Central (Zone 72)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","2/29/2016",,"NOLA",,,"$780.94",,,"No",,"10/23/2015","Available",,,,"011-772-000","House/Single Family","V2L 1K8","No","BC","This lot is excellent for building small home. Buyer may be interested in purchasing the home and 3 lots at 1946 Ingledew as well, as an investment or as future building lots.","In Probate. Property at 1946 Ingledew is listed at $149,900 but does not include the 4th lot at 1932 Ingledew St (at $59,900). Home and 4 lots owned by the same person.","BC Northern","For Sale","Available",,"Available",,"No",,,"City/Municipal","10/31/2015","$35,000","$10.61","0.58","11/4/2015",,,"RS4","$59,900","Not Known","8","100",,"33.00","0.08",,"$10.61","0.58","Other"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262007925/0/120/90/3d6c04528849e835ca229f7557c9565a/15/4c1514b2e464631096eaacc645205aff/262007925.JPG","F1451255","Residential Detached","S","59 8560 156 STREET","Fleetwood Tynehead","1978","Manufactured","1","0,0",,,,,"37",,"604-590-2444",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"West Villa Estates","287339",,"Detached",,"3/1/2016",,"Lenning","None","1","$225.00",,,,,"9/9/2015",,,"1",,"900-576-196",,"V3S 5K4",,"BC","Spacious, bright, newly painted and move in ready. This 2 bedroom, 951 sf single wide manufactured home also comes with covered parking, a large 12 x 12 covered deck, private yard and 12 x 8 shed. In desirable West Villa Estates 55+, 2 pets. Close to bus and amenities. Motivated Owner, come home and experience your new lifestyle.","Vacant - Cleaned - and Painted - move in ready - good location - 2 small dogs allowed - 55+ Park  Blow Out Pricing!!","Fraser Valley","For Sale",,,,,,,,,"10/27/2015","$55,900","$58.78","0.97","11/10/2015","1","2","MHP","$57,900",,"48","00","951","0.00","0.00","Surrey","$58.78","0.75","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261958213/0/120/90/45d636d721b1d6383f0946d091a616ef/13/f6b9e339f01c5ebcb277b625f1095b9c/261958213.JPG","N247742","Residential Detached","S","832 2ND AVENUE","McBride - Town","9999","House/Single Family","1",,,,,,"999",,"250-569-2735",,"Robson Valley (Zone 81)",,,"1","2",,,,"McBride","Residential Detached",,,,,"Detached",,"8/6/2016",,"RODGER PETERSON","Concrete Perimeter","1","$950.00",,,,,"8/6/2015",,,"2",,"013-918-656",,"V0J 2B0",,"BC","Very well made 3 bedroom 1 bath home located on a 50 x 120 landscaped lot. Immediate possession. Pellet and oil forced air heat. Storage building at back.","Very well made 3 bedroom 1 bath home located on a 50x120 landscaped lot. Immediate possession.","BC Northern","For Sale",,,,,,,,,"10/29/2015","$56,000","$45.31","0.95","10/30/2015","1","3","R5","$59,000",,"84","125","1,236","50.00","0.00","Mcbride","$45.31","0.76","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261650993/0/120/90/31e0de9e54e3da463c1c904a090a6028/13/c3bcbdd2b14b923e0d7d0ce416293385/261650993.JPG","N243936","Residential Detached","S","27 1000 INVERNESS ROAD","Aberdeen PG","1992","Manufactured","1",,,,,,"23",,"250-960-8125",,"PG City North (Zone 73)",,,"0","3",,,,"Prince George","Residential Detached",,,"462223",,"Detached",,"10/31/2015",,"TAGGART","None","1","$616.00",,,,,"4/6/2015",,,"1",,"800-094-102",,"V2K 4V1",,"BC","Pride of ownership definitely shows throughout this 3 bedroom mobile home. Located in desirable Inver Mobile Home Park, in a excellent location with nobody living behind it. The covered sundeck provides escape from the elements. Inside you will find an extremely clean home that is sure to impress.","Home is on wood pallets.","BC Northern","For Sale",,,,,,,,,"10/26/2015","$57,000","$61.69","0.91","11/2/2015","1","3","MHP","$62,500",,"203",,"924","0.00","0.00","City of Prince George","$61.69","0.91","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261785330/0/120/90/dbd5c8ad9fd5ce850625943e509a9651/13/3f5d569432104c8c7bab3cd8dd519fb3/261785330.JPG","N245583","Land Only","S","SHANNON ISLAND","Queen Charlotte - Rural",,,,,,,,"Water Access",,,"604-557-3597",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Queen Charlotte City","Land",,,,"No",,"None Available","5/27/2016",,"BRIAN BUSSIERE",,,"$156.00",,,"No",,"5/28/2015","Not Available",,,,"015-658-694","Recreational","V0T 1S0","No","BC","Own your own private island! 3.4 acre island located 7 miles from Port Clements. Boat access only. Fully treed. Nice beach. Good fishing close by.","3.4 acre island located 7 miles from Port Clements. Boat access only. Fully treed private island.","BC Northern","For Sale","None",,"None",,"No",,,"None","10/29/2015","$66,000",,"0.83","11/10/2015",,,"RR1","$79,900","No","154",,,"0.00","3.40","Queen Charlotte City - Rural",,"0.83","Recreational"
