"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261954344/0/120/90/47dbff46cff5776aa97c707f52862d8d/15/a576507833d5b3423bf349661a940d99/261954344.JPG","F1449272","Residential Detached","S","228 1840 160 STREET","King George Corridor","1973","Manufactured","1",,,,,,"42",,"604-866-6610",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","418216",,"Detached",,"8/8/2016",,"Patty O'Grady","Other","1","$270.00",,,,,"8/8/2015",,,"1",,"900-575-772",,"V4A 4X4",,"BC","This 2 bedroom home in beautiful Breakaway bays is waiting for you. Updates include a new hotwater tank, new laminate flooring and paint in the living room. This unit has a great outdoor patio, wired 10x10 shed and sunny back yard. This f amily friendly park also allows pets with restrictions. Pad rent includes outdoor pool/clubhouse/hydro/water/sewer/garbage. Live minutes to shopping, restaurants, & W.R. beach. This is a great buy in a very great community. Don't miss out call today for your private showing!","Seller motivated.Vacant.TB for LB location. All offers are 'subject to Community management's approval of purchaser and tenant' allow at least 10 working days. No furnace in unit it is mainly heated by the gas fireplace.","Fraser Valley","For Sale",,,,,,,,,"10/10/2015","$15,000","$20.83","0.60","11/17/2015","1","2","MHR","$24,900",,"63","14","720","14.00","0.00","Surrey","$20.83","0.54","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261971887/0/120/90/ee37224ca46b39ae317b2f2c28d696c8/16/f9b736b7546da65cf7316825092d31fd/261971887.JPG","F1449945","Residential Detached","S","57 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1973","Manufactured","1",,,,,,"42",,"778-928-0055",,"Surrey",,,"0","1",,,,"Surrey","Residential Detached",,,"79792",,"Detached",,"12/14/2015",,,"Concrete Block","1","$100.00",,,,,"8/13/2015",,,"1",,"900-575-826",,"V3W 5C2",,"BC","1 bdrm + den single wide in good condition. Large Kitchen, great dining area & perfect living room space. Situated on a double sized pad w/lots of space & good prkg gives lots of room for toys. Also 2 storage shed and huge back yard perfect for family get togethers or grand kids to play. MUST BE SOLD!","S.Comm 7%, Large Yard, 12k under assessed, brand new roof, Buyer or Buyers agent to verify measurements if important. Bring Offers! LB on Patio Door","Fraser Valley","For Sale",,,,,,,,,"10/7/2015","$17,900","$24.86","1.00","10/20/2015","1","1","MHP","$17,900",,"55","PAD","720","0.00","0.00","Surrey","$24.86","1.00","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261939753/0/120/90/89b0139460e8cb232e36cafda9be7b29/15/6a8e0bdffbc09be37d87226b421fc6a7/261939753.JPG","F1448729","Residential Detached","S","64 7790 KING GEORGE BOULEVARD","East Newton","1985","Manufactured","1",,,,,,"30",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPIN BAYS","443843",,"Detached",,"3/30/2016",,"LES WELLMAN","Concrete Block","1","$122.00",,,,,"8/4/2015",,,"1",,"900-575-754",,"V3W 5X4",,"BC","CRISPEN BAYS. 14X66 2 BDRM with skylight in kit. 5 appliances plus A/C unit. Newer washer/dryer. Huge covered patio plus covered carport. Gas fireplace. Pad rent $857 per month includes water, sewer, garbage and taxes on the Land. Vacant mo ve tomorrow. Stone throw to schools and Costco, Superstore and banking. On Bus route only minutes to skytrain. Complex has pool and Clubhouse. HWT Replaced 2014.","SUBJECT TO PROBATE.","Fraser Valley","For Sale",,,,,,,,,"10/12/2015","$26,000","$28.14","0.87","10/28/2015","1","2","MHP","$29,900",,"69",,"924","0.00","0.00","Surrey","$28.14","0.87","Manufactured"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261661714/0/120/90/cd9669f730d855623379411f0564d0c2/14/0b7ee91ca0d7f6d60a0abef0c8798ac5/261661714.JPG","H2151449","Residential Detached","S","17 3942 COLUMBIA VALLEY ROAD","Cultus Lake","1974","Manufactured","1",,,,,,"41",,"604-791-1870","2013","Cultus Lake",,,"0","3",,,,"Cultus Lake","Residential Detached",,"CULTUS LAKE VILLAGE","R14273",,"Detached",,"4/13/2016",,"CLAYTON","Other","1","$100.00",,,,,"4/13/2015",,,"1",,"700-009-579",,"V2R 5B1",,"BC","Beautifully appointed manufactured home in Cultas Lake 45+ park. This 3 bedroom, 1 bathroom home offers a newer stainless appliance package, 2 year old furnace, vinyl windows and siding. The roof has been recently updated and electrical als o updated to 100amp. This home offers a huge master bedroom with walk in closet, updated bathroom and covered veranda for outside entertainment, Tasteful color scheme interior with new flooring, paint, crownmouldings and baseboards. Huge yard with separate access to the rear with covered parking on one of the biggest lots available within the park. This home checks all of the must have boxes.","All measurements approximate, buyer to verify. Park approval required, allow up to 10 business days for approval. Pets; only 1 dog up to 14 fully grown. Seller would like to leave furniture.","Chilliwack","For Sale",,,,,,,,,"10/11/2015","$31,000","$32.63","0.78","10/23/2015","1","3","RMH","$39,900",,"181","0","950","0.00","0.00","Chilliwack","$32.63","0.70","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261889464/0/120/90/9e652113deb25bfafec3bdcc92bc127f/15/794ebbf7a25f1f9e79981bf4be48bf61/261889464.JPG","F1446897","Residential Detached","S","30 2035 MARTENS STREET","Poplar","1980","Manufactured","1",,,,,,"35",,"604-855-0800",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"MAPLEWOOD ESTATES","248886",,"Detached",,"11/15/2015",,"TOUCHBASE CLARENCE","None","1","$314.00",,,,,"7/6/2015",,,"1",,"900-575-375",,"V4N 3C9",,"BC","A very AFFORDABLE unit in a rural setting. This home is well maintained with a new furnace and a newer hot water tank. A large backyard for viewing and privacy. Complex has a 55 plus age limit. No Pet Policy in the Park.. This is a rare opportunity for someone with lower income.","Measurements should be verified if important to the buyer.","Fraser Valley","For Sale",,,,,,,,,"10/8/2015","$34,000","$36.80","0.97","11/3/2015","1","2","RH1","$34,900",,"94",,"924",,"0.00","Langley","$36.80","0.97","Manufactured"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","V1139891","Residential Attached","S","71 1200 PACIFIC BOULEVARD","Yaletown","1994","Other","0",,,,,,"21",,"604-657-1623",,"Vancouver West",,,"0","0",,,,"Vancouver","Residential Attached",,,,,"Attached",,"12/30/2015",,"SALINA","Concrete Perimeter","0","$125.00",,,,,"8/18/2015",,,"1",,"800-097-947",,"V6B 5Z4",,"BC","Great opportunity to have a freehold parking spot on P1 level with separate title, maintenance fee and taxes. This is a very rare opportunity that you can park your beautiful car in Downtown.","Strata fee of $550 annually.","Greater Vancouver","For Sale",,,,"$550.00",,,,,"10/14/2015","$36,000","$216.87","0.90","11/5/2015","0","0","CD-1","$40,000",,"57",,"166",,"0.00","City of Vancouver","$216.87","0.90","Other"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261917354/0/120/90/559c3a7eff659cac9c274f415e3bbc5c/13/04118fb01ec62d59a01bddb74ad81710/261917354.JPG","N247267","Residential Detached","S","2178 SHADY LANE","Mount Alder","9999","House/Single Family","1",,,,,,"999",,"250-640-2486",,"PG City North (Zone 73)",,,"0","1",,,,"Prince George","Residential Detached",,,,,"Detached",,"10/18/2015",,"BREANNE","Concrete Slab","1","$1,251.00",,,,,"7/20/2015",,,"1",,"013-318-993",,"V2K 1M9",,"BC","Almost a quarter of an acre lot, home is very old, value is in lot. Court ordered sale, bring your offers and building materials. Could be a good holding property. Sold as is, where is.","Subject to court approval. Schedule A to be attached to all offers. Sold as is, where is. Value in land, no key to access house, no lockbox but please still phone listing REALTOR before showings.   Accepted offer of $41,250 Court date Tuesday October 13, 9:45am","BC Northern","For Sale",,,,,,,,,"10/12/2015","$48,800","$76.25","0.99","10/19/2015","1","1","RM1","$49,500",,"84",,"640","0.00","0.20","City of Prince George","$76.25","0.99","House/Single Family"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261875298/0/120/90/41abf808ab03c8999178b4dc9d905ffb/16/d4a365e608ca8c018630f5fb27ebe27a/261875298.JPG","V1133110","Residential Detached","S","5420 SINKU DRIVE","Sechelt District","1994","House/Single Family","1",,,,,,"21",,"604-741-7071",,"Sunshine Coast",,,"0","3",,,,"Sechelt","Residential Detached",,,,,"Detached",,"12/6/2015",,"CAROL OR ALI","Concrete Slab","1","$1,934.00",,,,,"7/6/2015",,,"1",,"800-096-815",,"V0N 3A0",,"BC","This custom manufactured home on the waterfront boasts loads of options including extra insulation upgrades in the attic, walls and floors, new quality roof in 2014, skylight, new hot water tank in 2015, low maintenance vinyl siding, solarium room, sundeck and more and is just steps to the beach and a short stroll to all the amenities that the village area of Sechelt has to offer. This is the newest home on the street and being lease land (with 10 year lease in place) makes this waterfront home affordable for all with an annual lease of $6727.50 this year with a 3.5% increase each following year! Call for your own private tour!","Original owner, manufactured home (not a mobile) with new septic installed in 2003 when home was moved on. This is the only property on the waterfront with a 10 year lease to Nov 8, 2024, starting at $6727.50 in 2014 and increasing 3.5% each year. Prepayment option too!","Greater Vancouver","For Sale",,,,,,,,,"10/7/2015","$50,000","$46.77","0.89","10/26/2015","2","3","RES","$56,000",,"93","313.0 AVG","1,069","68.39","0.43","Sechelt Rural","$46.77","0.45","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261827007/0/120/90/d8b715d9cd66618efd7e71a70df137dc/14/304df2902f31bb72523d17efe82145be/261827007.JPG","H2152423","Residential Detached","S","49 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1982","Manufactured","1",,,,,,"33",,"604-316-9188",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"CHILLIWACK RIVER ESTATES","420456",,"Detached",,"12/16/2015",,"LOUISE LAVOIE","Other","2","$194.00",,,,,"6/16/2015",,,"1",,"746-848-327",,"V2R 3R8",,"BC","Cozy 2 bed to bath mobile in Chilliwack River Estates. You have it all, world class fishing out the back door, beautiful scenery & minutes from all amenities. This home features a newer roof, furnace, hot water tank, stainless steel frid ge, washer, & new paint. A very desirable park to live in with low pad rent. Come take a look.","Measurements are approximate. Verify if deemed important. Propane fireplace is not hooked up at the moment, & can be reconnected. Silver Seal approved.","Chilliwack","For Sale",,,,,,,,,"10/8/2015","$52,500","$56.82","0.91","10/23/2015","2","2","RMH","$57,500",,"114",,"924","0.00","0.00","Chilliwack","$56.82","0.81","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262013315/0/120/90/d0e9c91e99464a13cb427fb2394c671a/13/6b8edeca6a928ff36b934f37383005fb/262013315.JPG","N248424","Land Only","S","1094 JOHNSON STREET","Central",,,,,,,,"Lane Access",,,"250-565-5024",,"PG City Central (Zone 72)",,,,,"No","Not Available",,"Prince George","Land",,"CENTRAL",,"No",,"Nearby","12/31/2015",,"Roger Kollner",,,"$641.00",,,"Yes",,"8/28/2015","Nearby",,,,"013-415-387","House/Single Family","V2M 3A4","No","BC","This portion was once a road allowance and was purchased by the current owner. The listing agent has estimates from the city covering the costs of new water service, new sanitary sewer service, curb and gutter, sidewalk repair and boulevard restoration .... based on current bylaw rates and are subject to change.","1076 and 1094 to be sold together. No sign by request. Please notify listing agent of showings, if possible. Elderly owner lives nearby.","BC Northern","For Sale","Nearby",,"Nearby",,"No",,,"None","10/13/2015","$54,000","$14.93","0.98","11/10/2015",,,"RS4","$54,900","Not Known","46",,,"0.00","0.08","City of Prince George","$14.93","0.98","House/Single Family"
