"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261921957/0/120/90/6dcbdb8eb745125d9f5045f3724e1e59/13/87bfa38c1c7bd080e43241add1f79cb3/261921957.JPG","N247315","Land Only","S","LOT 6 SPRING DRIVE","Shelley",,,,,,,,"Road Access",,,"250-613-9599",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Nearby","10/31/2015",,"SUSAN",,,"$139.00",,,"No",,"7/24/2015","Not Available",,,,"007-632-037",,"V2K 5C8","No","BC","Mobile homes allowed. Shared well (no info on well). Just off Shelley Road. Very private setting, located approx. 20 minutes from town.","Shared wells were drilled approx. 40 years ago. No info on well!","BC Northern","For Sale","None",,"None",,"No",,,"Well - Drilled","9/26/2015","$12,500",,"0.84","10/22/2015",,,"RR1","$14,900",,"64",,,"0.00","5.83","Prince George Rural",,"0.84","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261705584/0/120/90/b8412e9db8c4d01e149b50d97c04ae7f/13/5e8a8fc716a7cc2f16b1915a9da7c314/261705584.JPG","N244635","Residential Detached","S","130 BOUCHIE STREET","Quesnel - Town","9999","House/Single Family","1",,,,,,"999",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","1",,,,"Quesnel","Residential Detached",,,,,"Detached",,"9/30/2015",,"LESLIE JOHNSON","Concrete Perimeter","2","$1,101.00",,,,,"4/28/2015",,,"2",,"013-620-118",,"V2J 1L8",,"BC","Bring your toolbox and create an opportunity! Small bungalow located on a no-through road in town. All offers are subject to court approval.","Busted grow op. Schedule A needs to accompany all offers.","BC Northern","For Sale",,,,,,,,,"9/28/2015","$16,335","$11.84","1.18","9/29/2015","2","1","RM2","$13,900",,"153","120","1,380","50.00","0.00","Quesnel","$11.84","0.66","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261520638/0/120/90/49f02a2d4fe7d058e5f3ff0196fc2d19/13/f64742fd787abf28d4e77030608876bc/261520638.JPG","N242383","Land Only","S","1285 3RD AVENUE","Valemount - Town",,,,,,,,"Allowed Access",,,"250-566-1086",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"At Lot Line","2/16/2016",,"SHELLY BATTENSBY",,,"$459.00",,,"Yes",,"2/16/2015","Not Available",,,,"012-648-370","House/Single Family","V0E 2Z0","No","BC","Central corner lot! This large corner lot is near the park and within walking distance from shopping and schools. Services are available at the lot line. Partially cleared, the lot has some mature trees to compliment the fabulous mountain v iews. This could be the spot for your next home!",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","9/25/2015","$30,000",,"0.86","10/5/2015",,,"R1","$35,000","No","221","119",,"73.00","0.20","Valemount",,"0.86","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261956760/0/120/90/9e5a7f06356831638eea2a4c9377c212/15/ae7671403f640f6d3374d988effdc75b/261956760.JPG","F1449369","Residential Detached","S","199 1840 160 STREET","King George Corridor","1973","Manufactured","1",,,,,,"42",,"604-839-0538","2014","South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays MHP","149583",,"Detached",,"2/8/2016",,"Kelley","None","1","$85.00",,,,,"8/10/2015",,,"1",,"900-575-719",,"V4A 4X4",,"BC","Must see this updated home in Breakaway Bays. New torch on roof and furnace in 2013. New quick access to the USA border from 16 Avenue on Hwy 999. Many of the features of this home are the water resistant laminate flooring, updated appliances, lots of kitchen cabinets, close to shopping, transit and medical. No age restriction community, one small pet allowed and RV parking available. Pad rent includes electricity, water, sewer, curbside garbage pickup and use of common facilities (heated outdoor swimming pool, clubhouse, exercise room).",,"Fraser Valley","For Sale",,,,,,,,,"9/30/2015","$32,000","$47.62","0.94","10/21/2015","1","2","MHP","$33,900",,"51",,"672","0.00","0.00","Surrey","$47.62","0.87","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261978816/0/120/90/fec70222579ffeb9a1b1ba8d97f5b0ef/13/1091f538e0c8ce722615688046765244/261978816.JPG","N248035","Land Only","S","584 NW DOGWOOD STREET","Valemount - Town",,,,,,,,"Allowed Access",,,"250-569-2735",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"At Lot Line","8/21/2016",,"RODGER PETERSON",,,"$496.00",,,"Yes",,"8/21/2015","Not Available",,,,"025-460-749","House/Single Family","V0E 2Z0","No","BC","What a wonderful lot! Large size (80' frontage x 130' depth) for the area, allowing extra room for a large garage or workshop. It is undeveloped and you can build a single family dewlling or a duplex. Some accessory uses allowed also. Bed and Breakfast (see Section 4.13) and Secondary Suite. Very reasonably priced. Village water and sewer available. Trees, good access and fantastic views are all part of this fine parcel of land!","What a wonderful lot! Large size (80' frontage x 130' depth) for the area, allowing extra room for a large garage or workshop.","BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"Community","9/25/2015","$35,000","$3.32","0.90","10/2/2015",,,"R1","$38,800","Not Known","35","128",,"81.00","0.24","Valemount","$3.32","0.90","House/Single Family"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262000605/0/120/90/58f96a97f0662d1d9ca4c2f717f4269f/14/a8fd1aa2f09ddfe780f456c0e60a0da5/262000605.JPG","H2153386","Residential Detached","S","11 45111 WOLFE ROAD","Chilliwack W Young-Well","1974","Manufactured","1",,,,,,"41",,"604-858-7179",,"Chilliwack",,,"0","3",,,,"Chilliwack","Residential Detached",,"Fraser Village Park","45739",,"Detached",,"11/30/2015",,"Mark or Kelsey","Other","1","$110.00",,,,,"9/2/2015",,,"1",,"700-007-673",,"V2P 1V6",,"BC","Extra clean and move-in ready! This 900 sq.ft., 3 bedroom manufactured home located in Fraser Village Park on Wolfe Rd. 55+, not pets, no rentals. This complex is very clean and well managed. Close to all city amenities; shopping, hospita l, churches, recreation. Many Updates have been done in the past 5 to 10 years. These include vinyl windows, roof, gas furnace, cabinets, vinyl siding, large covered patio and carport. Includes 5 appliances and storage shed. Current pad rent is $555.00","55+ / NO PETS / NO RENTALS / PARK MANAGER APPROVAL REQUIRED (Dwayne Miller 1- 604-793-0373).","Chilliwack","For Sale",,,,,,,,,"9/29/2015","$37,000","$41.67","0.99","10/5/2015","1","3","MHP","$37,500",,"27","0","888","0.00","0.00","Chilliwack","$41.67","0.99","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260684885/0/120/90/6b9cb5912e80fafb66b76c66bc019b4e/13/4dd3fded5d2ec0dde211c1dd741c1650/260684885.JPG","N232493","Land Only","S","LOT 2 CHESTNUT STREET","Telkwa",,,,,,,,"Road Access",,,"250-876-8420",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"Telkwa","Land",,,,"No",,"At Lot Line","11/3/2015",,"KIESHA MATTHEWS",,,"$758.00",,,"Yes",,"12/7/2013","Available",,,,"023-662-085",,"V0J 2X0","No","BC","Large 0.314 acre building lot in the Woodland Park subdivision in Telkwa. Slightly sloped with a nice view of the Hudson Bay Mountain. Close to playground, ball park and established walking trails.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","9/28/2015","$41,000",,"0.91","9/29/2015",,,"R1","$45,000",,"660",,,"0.00","0.31","Telkwa",,"0.85","Other"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262022276/0/120/90/a1f1abb03033123ad8db7a11f9c2c23b/15/dd853ef3280ee48ad73b81ddc262d1d8/262022276.JPG","R2000649","Residential Detached","S","2 2035 MARTENS STREET","Central Abbotsford","1978","Manufactured","1",,,,,,"37",,"604-859-2341",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"MAPLEWOOD ESTATES","34949",,"Detached",,"1/5/2016",,"ERIKA","Concrete Slab","1","$240.95",,,,,"9/11/2015",,,"1",,"900-576-170",,"V2T 6M3",,"BC","Beautiful updated mobile in Maplewood Estates. Bright and clean home. Laminate and tile flooring in main area plus newer carpets in bedrooms. Newer appliances in kitchen. New air conditioner. New front and back decks, and new torch on roof. Lovely zero maintenance yard with storage/workshop. Park restricted 55+, has RV parking available and does not allow pets.","ALL MEASUREMENTS ARE APPROXIMATE. BUYER TO VERIFY IF IMPORTANT. NO SHOWINGS BEFORE 1PM EXCEPT WEEKENDS.","Fraser Valley","For Sale",,,,,,,,,"10/1/2015","$43,000","$40.57","0.97","10/13/2015","1","2","MHP","$44,500",,"20",,"1,060",,"0.00",,"$40.57","0.97","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261562335/0/120/90/d0971f8162d9f543ca703938ea8c6518/13/b07eaf05d19af8688001969dd65bc3b3/261562335.JPG","N242792","Residential Detached","S","47 770 N 11TH AVENUE","Williams Lake - City","1990","Manufactured","1",,,,,,"25",,"250-267-4248","2000","Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"FRAN-LEE TRAILER PARK","CSA#457649",,"Detached",,"3/31/2016",,"LINDA","Other","2","$5,467.00",,,,,"3/4/2015",,,"1",,"800-093-155",,"V2G 2M4",,"BC","Great modular in popular Fran-Lee Mobile Home Park. 2 bedroom home with vaulted ceiling, central air, skylight and all new flooring in the past few years. Very open and desirable floor plan. Newer Duradeck sundeck with aluminum railings. 2 pets under 15 inches are allowed in this park. If you're looking for a great, affordable home, you need to see this one!","Foundation is concrete pads.","BC Northern","For Sale",,,,,,,,,"9/28/2015","$45,000","$45.92","0.86","9/30/2015","2","2","MHP","$52,500",,"208",,"980","0.00","0.00","Williams Lake","$45.92","0.77","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261909810/0/120/90/f801735f937f4b668807517bbe8670af/14/9639f387d9b8153ef30df285cf242cf3/261909810.JPG","H2152861","Residential Detached","S","211 45835 SLEEPY HOLLOW ROAD","Cultus Lake","1981","Manufactured","1",,,,,,"34",,"604-798-7966",,"Cultus Lake",,,"0","2",,,,"Cultus Lake","Residential Detached",,,"421872",,"Detached",,"10/20/2015",,"ANGELA","None","1","$175.00",,,,,"7/20/2015",,,"1",,"700-002-966",,"V2R 5A9",,"BC","Stylish updated mobile home in Cultus Lakes Estates a meticulously well cared for mobile home park. Large south facing windows allow lots of natural light. The open plan kitchen has a sliding glass door leading onto a covered deck. High qua lity paint makes this mobile stand out. New top of the line washer & dryer. Bedrooms & Bathroom are a good size. Fully fenced nicely maintained side & backyard. Close to the lake and all types of recreation. Age restriction 55+. All dogs considered.","Park owner has a rebate program. Paid out 2X/yr if 12 post dated cheques are submitted & all clear & park rules are followed. Equals approx. 1/2 mths rent per payout.","Chilliwack","For Sale",,,,,,,,,"9/29/2015","$50,000","$68.68","0.85","10/9/2015","1","2","MHP","$59,000",,"71",,"728","0.00","0.00","Chilliwack","$68.68","0.72","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261964416/0/120/90/91cb572e09fb734986c2010715231858/13/2500ca717f61725271eb7dc0fa7cfe98/261964416.JPG","N247832","Land Only","S","3820 ALDERWOOD COURT","Mount Alder",,,,,,,,"Road Access",,,"250-981-7209",,"PG City North (Zone 73)",,,,,"No","Not Available",,"Prince George","Land",,"MOUNT ALDER",,"No",,"Available","11/17/2015",,"OR TEXT MARTYNE",,,"$1,393.00",,,"No",,"8/17/2015","Available",,,,"007-888-899","House/Single Family","V2K 1N3","No","BC","Location!! A unique and private lot to call your own. Surrounded by trees and nature, this quareter acre lot is sure to please. A huge 28'x24' shop and 26' x 20' shed are also on the property. The moblie home on the property is of no value.  Court Date October 19/15 09:45 AM","Property sold 'as is - where is'. Subject to court approval. Schedule A to be attached to all offers. Mobile on property of no value and services will be disconnected. No access to mobile as it is unsafe.  Accepted Offer $50K Court Date Oct 19/15 09:45 AM","BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","9/28/2015","$50,000",,"0.91","10/29/2015",,,"RS1","$54,900",,"42",,,"0.00","0.25","City of Prince George",,"0.81","House/Single Family"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261980401/0/120/90/6ec5f2dea65f29ea23f2733b9d38cfd0/15/d31f5a4eab7e83330a3d727e5d255931/261980401.JPG","F1450226","Land Only","S","38 14600 MORRIS VALLEY ROAD","Lake Errock",,,,,,,,"Road Access",,,"604-820-0555",,"Mission",,,,,"No","Not Available",,"Mission","Land",,,,"No",,"Available","8/12/2016",,"NANCY OLSON",,,"$463.00",,,"No",,"8/22/2015","Not Available",,,,"018-004-512","Recreational","V0M 1A1","No","BC","GREAT GET-A-WAY AT TAPADERA ESTATES -The ultimate Fraser Valley playground located on the shore of the Harrison River. Sandpiper Golf Course 2 minutes down the road, Hemlock Valley Ski resort 20 minutes away a short drive to beautiful Harri son Hot Springs and Lake. So much to dor here at this gated community with its own boat launch, clubhouse with an indoor pool and outside hot tub. Fish, boat, hike, ride and swim many activities to enjoy. Very quiet complex gated complex. Lot includes a Fabulous Fleetwood Wildnerness travel trailer with air conditioning and turn key. 194 deck with cover and a 8 x 8 Shed. Come and enjoy year round.","If measurements important please verify.","Fraser Valley","For Sale","Community",,"Nearby",,"No",,,"Cistern","9/26/2015","$51,000","$30.91","0.86","10/5/2015",,,"REC","$59,000","No","35","50",,"33.00","0.04","Chilliwack - Rural","$30.91","0.86","Recreational"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262022897/0/120/90/6188a2cbbba8707e2b95a2ce8f40d91e/15/c41ce5be95c267f004503c66772cc2b2/262022897.JPG","R2001270","Residential Detached","S","22 9080 198 STREET","Walnut Grove","1971","Manufactured","1",,,,,,"44",,"604-533-3491","2015","Langley",,,"0","2",,,,"Langley","Residential Detached",,"FOREST GREEN ESTATES","38161",,"Detached",,"12/15/2015",,"ROSEMARY","Other","1","$100.00",,,,,"9/15/2015",,,"1",,"900-576-180",,"V1M 3A8",,"BC","Happiness is affordability! Just the room you need, this 2 BR 2 bath home offers a great floor plan and is move in ready, just bring your stuff! Totally remodelled, updates include hardwood & tile flooring, new electrical, new bathrooms, new counters, s/s appliances, vinyl windows, new deck and railings....new, new, new! Other features include covered storage and fenced yard space. This delightful home is located in a park like 55+ gated community, amenities include walking trails, doggy park, clubhouse, RV and visitor parking. Close to shops, transit and all that Walnut Grove has to offer, call soon or this good buy will soon be good bye!","available immediately,  pix & tour www.homesinlangley.ca  TOUCHBASE ONLY do not call cel.","Fraser Valley","For Sale",,,,,,,,,"9/30/2015","$52,000","$77.38","0.88","10/19/2015","2","2","MH-1","$58,900",,"0",,"672",,"0.00",,"$77.38","0.88","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026693/0/120/90/35c585b97c27587edce7a19878ff01ae/15/397e66db5e61717f1766482cc6e11a7f/262026693.JPG","R2005066","Residential Attached","S","224 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","1981","Apartment/Condo","1",,,,,,"34",,"604-557-8229",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"MCINTOSH MANOR",,,"Attached",,"12/31/2015",,"MAUREEN","Concrete Perimeter","1","$450.01",,,,,"9/26/2015",,,"1",,"001-867-873",,"V2P 7J3",,"BC","Investor Alert! Prime 1 bed / 1 bath rental unit in centrally located McIntosh Manor. Rented at $550/mth to a good, long term tenant who wishes to stay. Low strata & low taxes make this a great investment! Building has no age or rental restrictions. New roofing underway - & paid for. Common areas recently refreshed. Building professionally managed. Rental management available. A great opportunity to start or build on your portfolio. Call today!","See attachments for bylaws. Tenants rights apply - 24 hrs notice required for showings. Rent $550/mth plus utilities. Long term tenant wishes to stay.","Chilliwack","For Sale",,,,"$170.10",,,,,"10/1/2015","$53,000","$78.52","0.90","10/16/2015","1","1","RS1","$58,800",,"5",,"675",,"0.00",,"$78.52","0.90","Apartment/Condo"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262005671/0/120/90/81a5b9f9faa176f98624e14c99fb8121/15/d9fcdd7f1724df0528a66c935e877079/262005671.JPG","F1451182","Residential Detached","S","61 31313 LIVINGSTONE AVENUE","Abbotsford West","1975","Manufactured","1",,,,,,"40",,"604-807-2200",,"Abbotsford",,,"0","2",,,,"Abbotsford","Residential Detached",,"PARADISE PARK","21697",,"Detached",,"12/31/2015",,"RICHARD","Concrete Slab","1","$133.00",,,,,"8/31/2015",,,"1",,"900-575-992",,"V2T 4T1",,"BC","This park is Paradise - on of the best. This mobile is very well kept with new siding, new roof, new laminate and rug. Extra storage and shop units, plus plenty of space for your RV. Located at the quiet back of the park. Restrictions: 55+, Small pets okay! Management approval is a must.","Please use Touchbase for showings.","Fraser Valley","For Sale",,,,,,,,,"9/25/2015","$55,000","$64.71","0.88","10/6/2015","1","2","MHP","$62,500",,"25",,"850",,"0.00","Abbotsford","$64.71","0.88","Manufactured"
