"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261742589/0/120/90/a401922c0280b9cb0eed22f813cfb337/14/6c959208746c53969a029e170b4eb67a/261742589.JPG","H2151979","Land Only","S","LS 8 TRANS CANADA HIGHWAY","Boston Bar - Lytton",,,,,,,,"No Access",,,"604-869-2945",,"Hope",,,,,"No","Not Available",,"Boston Bar","Land",,,,"No",,"None Available","9/14/2015",,"ROB",,,"$30.00",,,"No",,"5/14/2015","Not Available",,,,"002-141-639","Recreational","V0K 1C0","No","BC","11.3 acres below Ferrabee tunnel. 30 minutes North of Hope on Trans Canada Highway. Slopping property with no access. Priced accordingly. Hike in & have a look.",,"Chilliwack","For Sale","None",,"None",,"No",,,"None","9/12/2015","$15,000",,"0.55","9/24/2015",,,"R4","$27,500","No","121","11.30 ACRES",,,"11.30","Chilliwack",,"0.55","Recreational"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261833354/0/120/90/bc286b9cd5ea54d20828c26ec6ad1736/16/a1f7001c8ebe50a073ee97e04de4aaa3/261833354.JPG","V1130144","Residential Detached","S","LOT D SECHELT INLET","Pender Harbour Egmont","1990","House/Single Family","1",,,,,,"25",,"604-989-9865",,"Sunshine Coast",,,"0","0",,,,"Pender Harbour","Residential Detached",,,,,"Detached",,"1/19/2016",,"TERRY, PAM OR RICK","Other","0","$475.00",,,,,"6/19/2015",,,"1",,"800-096-342",,"V0N 3A0",,"BC","Recreational retreat opportunity. Rustic cabin in the woods just steps to beach. Open plan design with loft and outhouse. Across from Doriston and just 10 minutes from Egmont or 45 minutes to Sechelt. Miles of hiking and walking trails. Jus t minutes to world famous Skookumchuk Rapids. Boat access only. Government lease in place. Call now for more detail.",,"Greater Vancouver","For Sale",,,,,,,,,"9/10/2015","$30,000","$56.18","0.92","9/16/2015","0","0","LEASE","$32,500",,"83","272","534","64.00","0.54","Sechelt Rural","$56.18","0.92","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261987567/0/120/90/ca0622c47340082de3a0216f16c98aa9/15/8b9be0f43eb9b9a6dcb21d9cbc5b5768/261987567.JPG","F1450529","Residential Detached","S","74 20071 24TH AVENUE","Brookswood Langley","1975","Manufactured","1",,,,,,"40",,"604-315-7974",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"FERNRIDGE PARK","250094",,"Detached",,"8/25/2016",,"VICKIE OR TOUCHBASE","Other","1","$570.00",,,,,"8/25/2015",,,"1",,"900-576-009",,"V2Z 2A1",,"BC","Looking for a project? HANDYMAN SPECIAL in Beautiful Fernridge Park. Close to shopping, golf, transit! Brand new laminate floors in living room, dining room and hallway. New lino in the kitchen and bathroom. Lovely layout just awaiting your creative ideas. You could make this SHINE in no time. 55+ park, no pets, park manager's approval required.","All measurements approx, and to be verified by Buyer/Buyer's Agent. 'Other' is s unroom and NOT included in square footage. Handyman Special/needs some work.","Fraser Valley","For Sale",,,,,,,,,"9/12/2015","$30,540","$35.68","0.87","9/23/2015","2","2","MH1","$35,000",,"18",,"856","0.00","0.00","Langley","$35.68","0.87","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261933490/0/120/90/230920427c5cf6d64d65c0d7fdd3424b/15/ecd71f496125d7eaec0ad7fcc477d508/261933490.JPG","F1448494","Residential Detached","S","88 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"40",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","243932",,"Detached",,"11/15/2015",,"LES WELLMAN","Concrete Block","1",,,,,,"7/30/2015",,,"1",,"900-575-711",,"V3W 5Y4",,"BC","Crispen Bays. 2 or 3 bdrm, huge master bdrm, family park, 2 pets ok. New HWT 2014, new kit, appliances, bathroom, counter 2011. Vinyl siding, huge covered deck. Walk to Superstore, Costco, Banking, bus stop out front of park. 10 minutes to skytrain. Pool in complex, both schools a stones throw away.",,"Fraser Valley","For Sale",,,,,,,,,"9/9/2015","$32,000","$31.75","1.00","9/16/2015","1","2","MHP","$32,000",,"41",,"1,008","0.00","0.00","Surrey","$31.75","0.80","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260953978/0/120/90/7404b7044e5c823592fd932844da8225/16/c3220cb9761fa6ec2abcad477521af43/260953978.JPG","V1062184","Land Only","S","246 MARINERS WAY","Mayne Island",,,,,,,,"No Access",,,"250-539-2525",,"Islands-Van. & Gulf",,,,,"No","Not Available",,"Mayne Island","Land",,,,"No",,"At Lot Line","11/30/2015",,"DERECK",,,"$519.00",,,"No",,"4/30/2014","Not Available",,,,"003-071-731","House/Single Family","V0N 2J2","No","BC","Sloping cleared building lot (80'x200' approx.) in Village Bay area, close to parks, boat/kayak launch and a short walking distance to the Mayne Island BC Ferries terminal. Located within the Village Point Improvement District this lot is supplied by community water system. A septic system is required for this property. Priced right and well below the current BC assessed value of $85,500 (2014.)","The neighbor to the East has a car cover partly on this lot and will remove it prior to a new taking possession.","Greater Vancouver","For Sale","None",,"None",,"No",,,"Community","9/8/2015","$40,000",,"0.89","9/10/2015",,,"SR","$45,000","No","496","200",,"79.00","0.37","Gulf Islands",,"0.67","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261982384/0/120/90/5e45be5c15b937b59606c5b0b506e37c/13/1fc3651c04dc9406e1c2c9bc8dc8a490/261982384.JPG","N248073","Land Only","S","21051 TOMPKINS ROAD","Hudsons Hope",,,,,,,,"Road Access",,,,,"Fort St. John (Zone 60)",,,,,"No","Not Available",,"Hudsons Hope","Land",,"TOMPKINS SUB",,"No",,"Available","11/20/2015",,"250-785-5520",,,"$220.00",,,"Yes",,"8/20/2015","Available",,,,"010-333-304","House/Single Family","V0C 1V0","No","BC","6.83 acres available in a quiet subdivision near Hudson's Hope. Buildings of little value. Private acreage offering mature trees and some building sites. Property to be sold in as is, where is condition. Sellers Addendum to be incorporated into the Contract of Purchase and Sale.","Public Trustee Sale as is, where is.","BC Northern","For Sale","Unknown",,"None",,"No",,,"None","9/10/2015","$40,000",,"0.73","9/28/2015",,,"RU2","$54,900","Not Known","21",,,"0.00","6.83","Hudsons Hope",,"0.73","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261844215/0/120/90/a713744a5655c18592d3de4c778dfa50/13/e6a075df14cf4797ccaf444bd4b74d79/261844215.JPG","N246352","Land Only","S","315 SPRUCE AVENUE","Port Edward",,,,,,,,"Road Access",,,"250-600-4959",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Port Edward","Land",,,,"No",,"At Lot Line","12/31/2015",,"MICHAEL SLUKA",,,"$496.00",,,"Yes",,"6/23/2015","At Lot Line",,,,"008-979-464","House/Single Family","V0V 1G0","No","BC","Design and build your dream home where you will be able to enjoy the partial view of the Porpoise harbour. Located in sunny Port Edward, this corner residential building lot 50'x100', zoned R1 is located in quiet neighborhood with boat launch nearby and within 15 minutes' drive to downtown Prince Rupert.",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","9/8/2015","$42,000","$8.40","0.86","9/9/2015",,,"R1","$49,000",,"77","100",,"50.00","0.12","Port Edward","$8.40","0.86","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261888571/0/120/90/362df238d45ca3f21cae72ef108b737f/13/062651df5de47195f4abf1a8049dadf6/261888571.JPG","N246869","Residential Detached","S","1375 7TH AVENUE","Valemount - Town","9999","House/Single Family","1",,,,,,"999",,"250-566-4438",,"Robson Valley (Zone 81)",,,"0","1",,,,"Valemount","Residential Detached",,,,,"Detached",,"10/8/2015",,"JOHN PETERSON","Other","1","$791.00",,,,,"7/10/2015",,,"1",,"014-778-173",,"V0E 2Z0",,"BC","Project house! Looking for something to do? This little approximately 898 sq ft home may be it. One bedroom, one bathroom. Large corner lot is approximately 17,511 sq ft. Close to elementary school, recreation and shopping.","REALTOR is unsure of type of foundation at this time.","BC Northern","For Sale",,,,,,,,,"9/8/2015","$42,000","$46.77","1.05","10/5/2015","1","1","R1","$39,900",,"60",,"898","0.00","0.40","Valemount","$46.77","0.90","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261492712/0/120/90/493abc1da9c7adc69bde76e66e086adb/13/e0bbc6f1d29d30a208d8d4ee56c3d452/261492712.JPG","N242119","Land Only","S","16555 SCHEFER DRIVE","Nukko Lake",,,,,,,,"Road Access",,,"250-614-6955",,"PG Rural North (Zone 76)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","1/31/2016",,"CALL/TEXT Melanie",,,"$272.00",,,"No",,"2/1/2015","At Lot Line",,,,"010-011-714","House/Single Family","V2K 5L4","No","BC","Privacy Seekers! Secluded 5.11 acres up Chief Lake Road. No through road. Well treed, trickle stream. Shallow wells in area (130 ft deep, per seller). Across the road from Chief Lake. Store with liquor outlet is a 5-minute drive. Only 20 minutes to the Hart Mall. A shed with 200 amp service (working), 2 power poles, 2 concrete septic tanks on property, 3 sewer and water drainage hoses, single trailer platform with drainage tile in place, and 2 road culverts. Driveway in place, 2 dump-truck loads of gravel, gas and phone at property line.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/10/2015","$43,000",,"0.81","9/25/2015",,,"RR1","$53,000","Not Known","221",,,"0.00","5.11","Prince George Rural",,"0.81","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261238505/0/120/90/bbe42447f864a60d0167ade5f46538ab/13/193fb8e97b0eb2cd859df7e94feea563/261238505.JPG","N239595","Land Only","S","LOT 21 AGER ROAD","South Francois",,,,,,,,"Road Access",,,"250-692-7288",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Burns Lake","Land",,,,"No",,"Nearby","8/19/2015",,"RE/MAX WRIGHTWAY",,,"$279.00",,,"Yes",,"9/5/2014","Not Available",,,,"007-187-394",,"V0J 1E2","No","BC","1.2 acres of beautiful Francois Lake North Shore lakefront property. Approximately 120 feet of southern exposed lakeshore on BC's second longest natural lake. This undeveloped property is covered in trees, has good access and hydro is avail able. An abundance of wildlife and some of the finest fishing are found here.","Adjacent property (Lot 20) must sell first.","BC Northern","For Sale","None",,"None",,"No",,,"None","9/9/2015","$45,000",,"0.76","10/21/2015",,,"H-1","$59,000",,"369",,,"0.00","1.24","Houston Rural",,"0.76","Other"
