"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"R2209985","Land Only","S","12105 FISHER ROAD","Topley",,,,"Burns Lake (Zone 55)","Topley","2/28/2019","JANTINA",,"$180.23","9/26/2017","005-321-468",,,"11/13/2018","$14,100",,"0.47",,,"H-1","$30,000","413",,,"0.47","Other",,"Road Access","250-847-3144","3%",,"0",,"0.00","Yes",,,"V0J 2Y0",,,"BC","Lagoon",,"None","None"
"R2310136","Land Only","S","SODA CREEK ROAD","Williams Lake - Rural North",,,,"Williams Lake (Zone 27)","Williams Lake","3/17/2019","LAUREN",,"$185.74","9/17/2018","004-390-644",,,"11/12/2018","$20,000",,"0.80",,,"RR2","$25,000","56",,,"0.80","Other",,"No Access","250-305-8069","3% UP TO $100,000",,"0",,"0.00","Yes",,,"V2G 5A5",,"NOT SPECIFIED","BC","None",,"None","None"
"R2280698","Land Only","S","57190 AARON ROAD","Cluculz Lake",,,,"PG Rural West (Zone 77)","Cluculz Lake","7/6/2019","AGGIE",,"$107.36","6/10/2018","012-511-820",,,"11/3/2018","$22,000",,"0.71",,,"H-1","$31,000","146",,,"0.71","Other",,"Road Access","250-562-3600","3% OF THE SELLING PRICE","CLUCULZ LAKE","0",,"0.00","No",,,"V0J 3A3","Not Known",,"BC","None",,"None","None"
"R2317635","Land Only","S","670 S GREEN LAKE ROAD","70 Mile House",,,,"100 Mile House (Zone 10)","70 Mile House","11/30/2019","BRAD",,"$767.99","10/22/2018","007-703-082",,,"11/9/2018","$25,000",,"1.00",,,"R1","$25,000","18",,,"1.00","Other",,"Road Access","250-644-4242","$1,000 PROVIDING SELLING REALTOR IS PRESENT FOR INITIAL AND ALL SUBSEQUENT SHOWINGS OR SELLING COMMISSION IS $250",,"200",,"100.00","Yes",,,"V0K 2K0",,"LAND UNDER ONE ACRE","BC","None",,"None","None"
"R2285769","Land Only","S","2285 MURRAY ROAD","Quesnel - Rural North",,,,"Quesnel (Zone 28)","Quesnel","12/29/2018","Curtis",,"$99.21","6/29/2018","026-025-833",,,"11/14/2018","$30,000","$0.14","0.86",,,"RR2","$34,900","138",,"$0.14","0.86","Other",,"Road Access","250-991-2255","3%",,,,"0.00","No",,,"V2J 0A2","No",,"BC","None",,"None","None"
"R2285774","Land Only","S","2281 MURRAY ROAD","Quesnel - Rural North",,,,"Quesnel (Zone 28)","Quesnel","12/29/2018","Curtis",,"$99.21","6/29/2018","026-025-825",,,"11/14/2018","$30,000","$0.14","0.86",,,"RR2","$34,900","138",,"$0.14","0.86","Other",,"Road Access","250-991-2255","3%",,,,"0.00","No",,,"V2J 0A2","No",,"BC","None",,"None","None"
"R2318866","Land Only","S","LOT 44 KALLUM DRIVE","108 Ranch",,,,"100 Mile House (Zone 10)","108 Mile Ranch","10/15/2019","BARB MONICAL",,"$484.31","10/16/2018","007-958-331",,,"11/1/2018","$30,000","$1.00","0.91",,,"R1-1","$32,900","16",,"$1.00","0.91","Other",,"Road Access","250-395-9391","3.4%","108 MILE RANCH","250",,"153.00","Yes",,,"V0K 2Z0","No","LAND UNDER ONE ACRE","BC","None",,"None","City/Municipal"
"R2297131","Residential Detached","S","99 5130 NORTH NECHAKO ROAD","Nechako Bench","1974","Manufactured","44","PG City North (Zone 73)","Prince George","11/30/2018","Rebecca","1","$291.55","8/13/2018","006-636-560",,,"11/3/2018","$35,000","$39.06","0.82","1","3","RM9","$42,900","82","896","$39.06","0.64","Manufactured","1",,"250-961-4508","$2,000.00","Caledonia Mobile Home Park","0.00","1","0.00",,"$394.00","3","V2K 4E3",,,"BC",,,,
"R2280278","Residential Detached","S","4911 SUNSET DRIVE","Fort Nelson -Town","1956","House/Single Family","62","Fort Nelson (Zone 64)","Fort Nelson","12/7/2018","CATHLEEN","1","$1,828.59","6/6/2018","013-325-566",,,"11/2/2018","$35,500","$26.79","0.83","1","3","RS-1","$42,900","148","1,325","$26.79","0.53","House/Single Family","1",,"250-321-0777","1.75% ON THE FIRST $180,000/1.25% THEREAFTER",,"150","0","100.00",,,,"V0C 1R0",,,"BC",,,,
"R2224155","Land Only","S","75 8400 SHOOK ROAD","Hatzic",,,,"Mission","Mission","11/18/2018","Nancy Olson",,"$1,467.00","11/18/2017","900-585-999",,,"11/5/2018","$40,000","$48.48","0.80",,,"REC","$49,900","352",,"$48.48","0.80","Other",,"Road Access","604-820-0555","S-3.22% PAYABLE UPON 1ST PHYSICAL INTRODUCTION TO PROPERTY, OTHERWISE $250","The Everglades Resort","30",,"40.00","No",,,"N0N 0N0","No","Land Only","BC","Community",,"Nearby","Community"
