"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"R2300796","Land Only","S","LOT 47 SUMMIT DRIVE","Canim/Mahood Lake",,,,"100 Mile House (Zone 10)","Canim Lake","12/22/2018","GISELA JANZEN",,"$295.15","8/22/2018","007-144-296",,,"11/24/2018","$18,000",,"0.65",,,"R1","$27,500","94",,,"0.65","Other",,"Road Access","250-706-1186","3.4%",,"75",,"467.00","Yes",,,"V0K 1J0","No","UNDER 1 ACRE PROPERTY","BC","None",,"None","City/Municipal"
"R2300795","Land Only","S","LOT 46 RAINBOW DRIVE","Canim/Mahood Lake",,,,"100 Mile House (Zone 10)","Canim Lake","12/22/2018","GISELA JANZEN",,"$303.10","8/22/2018","007-144-270",,,"11/24/2018","$21,000",,"0.84",,,"R1","$25,000","94",,,"0.84","Other",,"Road Access","250-706-1186","3.4%","CANIM LAKE ESTATES","212",,"142.00","Yes",,,"V0K 1J0",,"LAND UNDER 1 ACRE","BC","None",,"None","City/Municipal"
"R2285769","Land Only","S","2285 MURRAY ROAD","Quesnel - Rural North",,,,"Quesnel (Zone 28)","Quesnel","12/29/2018","Curtis",,"$99.21","6/29/2018","026-025-833",,,"11/14/2018","$30,000","$0.14","0.86",,,"RR2","$34,900","138",,"$0.14","0.86","Other",,"Road Access","250-991-2255","3%",,,,"0.00","No",,,"V2J 0A2","No",,"BC","None",,"None","None"
"R2285774","Land Only","S","2281 MURRAY ROAD","Quesnel - Rural North",,,,"Quesnel (Zone 28)","Quesnel","12/29/2018","Curtis",,"$99.21","6/29/2018","026-025-825",,,"11/14/2018","$30,000","$0.14","0.86",,,"RR2","$34,900","138",,"$0.14","0.86","Other",,"Road Access","250-991-2255","3%",,,,"0.00","No",,,"V2J 0A2","No",,"BC","None",,"None","None"
"R2317578","Land Only","S","LOT 7 BRIGHTWAY ROAD","Quesnel Rural - South",,,,"Quesnel (Zone 28)","Quesnel","10/23/2019","JASPER",,"$148.74","10/23/2018","023-497-432",,,"11/26/2018","$31,500",,"0.82",,,"R2","$38,500","34",,,"0.82","Other",,"Allowed Access","250-983-3251","3% OF SALE PRICE","SOUTH QUESNEL","0",,"0.00","Yes",,,"V2J 6E7","Not Known",,"BC","None",,"None","None"
"R2291154","Land Only","S","H24 HUCKLEBERRY TRAIL","Hope Sunshine Valley",,,,"Hope","Hope","7/19/2019","WALTER RAWLINSON",,"$195.00","7/19/2018","700-010-810",,,"11/23/2018","$35,500","$21.26","0.89",,,"CHP-1","$39,900","127",,"$21.26","0.81","Other",,"Road Access","800-553-5566","3.5% ***COMMISSION PAYABLE UPON 1ST PHYSICAL INTRO TO PROPERTY, OTHERWISE $1000***","HUCKLEBERRY VILLIAGE","42",,"46.00","Yes",,,"V0X 1L5","No",,"BC","None",,"None","Other-Licensed"
"R2320171","Land Only","S","7 110 FOREST RIDGE ROAD","100 Mile House - Town",,,,"100 Mile House (Zone 10)","100 Mile House","9/30/2019","ADAM, MEL, SEAN",,"$521.61","11/1/2018","029-002-184",,,"11/24/2018","$37,000","$8.94","0.93",,,"R3","$39,900","23",,"$8.94","0.93","Other",,"Road Access","250-395-3424","3.4%",,"0",,"0.00","Yes",,,"V0K 2E1",,"VACANT LAND UNDER 1 ACRE","BC","Available",,"None","City/Municipal"
"R2320234","Land Only","S","8 110 FOREST RIDGE ROAD","100 Mile House - Town",,,,"100 Mile House (Zone 10)","100 Mile House","9/30/2019","ADAM, MEL, SEAN",,"$521.61","11/2/2018","029-002-192",,,"11/24/2018","$37,000","$9.65","0.93",,,"R3","$39,900","22",,"$9.65","0.93","Other",,"Road Access","250-395-3424","3.4%",,"0",,"0.00","Yes",,,"V0K 2E1",,"VACANT LAND UNDER 1 ACRE","BC","Available",,"None","City/Municipal"
"R2291253","Residential Detached","S","13 2189 GASSOFF ROAD","Quesnel - Town","1972","Manufactured","46","Quesnel (Zone 28)","Quesnel","10/30/2019","JOANNE","1","$408.74","7/20/2018","800-123-418",,,"11/16/2018","$39,000","$39.96","0.80","1","2","MHP","$49,000","119","976","$39.96","0.80","Manufactured","1",,"250-255-1588","2.9%",,"0","0","0.00",,"$200.00","2","V2J 4E4",,,"BC",,,,
"R2107549","Land Only","S","11570 NECOSLIE ROAD","Fort St. James - Rural",,,,"Fort St. James (Zone 57)","Fort St. James","3/31/2019","BRITT",,"$0.00","9/9/2016","004-983-904",,,"11/14/2018","$40,200",,"0.58",,,"RR1","$69,900","794",,,"0.42","Other",,"Road Access","250-570-7147","3% ON THE 1ST $100,000/1.5% ON REMAINING",,"0",,"0.00","Yes",,,"V0J 1P0","Not Known",,"BC","None",,"None","Other"
