"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"R2252475","Residential Detached","S","153 9207 82 STREET","Fort St. John - City SE","1976","Manufactured","43","Fort St. John (Zone 60)","Fort St. John","2/8/2019","BRANDON","1","$397.71","3/30/2018","800-120-801",,,"12/3/2018","$12,000","$12.24","0.60","1","3","R3","$19,900","248","980","$12.24","0.34","Manufactured","1",,"250-263-2091","3% OF THE FIRST $100,000 AND 1.5% OF THE BALANCE","SOUTHRIDGE MHP",,"0",,,"$500.00",,"V1J 5G5",,"CMHC REFUSES TO FILL OUT","BC",,,,
"R2315999","Residential Detached","S","17 6100 O'GRADY ROAD","Upper College","1978","Manufactured","40","PG City South (Zone 74)","Prince George","4/30/2019","KEVEN","0","$368.93","10/15/2018","800-125-386",,,"12/1/2018","$30,000","$28.30","0.86","0","3","RM9","$34,900","47","1,060","$28.30","0.86","Manufactured","1",,"250-613-6370","$900.00",,,"0",,,"$425.00","2","V2N 4R1",,,"BC",,,,
"R2317578","Land Only","S","LOT 7 BRIGHTWAY ROAD","Quesnel Rural - South",,,,"Quesnel (Zone 28)","Quesnel","10/23/2019","JASPER",,"$148.74","10/23/2018","023-497-432",,,"11/26/2018","$31,500",,"0.82",,,"R2","$38,500","34",,,"0.82","Other",,"Allowed Access","250-983-3251","3% OF SALE PRICE","SOUTH QUESNEL","0",,"0.00","Yes",,,"V2J 6E7","Not Known",,"BC","None",,"None","None"
"R2292927","Land Only","S","4591 MATTHEWS ROAD","Quesnel - Rural North",,,,"Quesnel (Zone 28)","Quesnel - Rural North","7/25/2019","CHELSEA AMBROSE",,"$197.13","7/25/2018","006-027-679",,,"12/5/2018","$35,000",,"0.89",,,"RR2","$39,500","133",,,"0.89","Other",,"Road Access","250-255-2503","$1000 FLAT FEE",,"0",,"0.00","No",,,"V2J 6V4",,,"BC","None",,"None","None"
"R2323073","Residential Detached","S","6 302 N BROADWAY AVENUE","Williams Lake - City","1975","Manufactured","43","Williams Lake (Zone 27)","Williams Lake","5/30/2019","JANETTE RENNIE","1","$237.66","11/13/2018","800-125-976",,,"12/6/2018","$41,000","$46.70","0.93","1","3","R1","$43,900","23","878","$46.70","0.93","Manufactured","1",,"250-267-4371","FLAT RATE $1000.00",,"0","0","0.00",,"$320.00","2","V2G 2Y7",,,"BC",,,,
"R2304162","Residential Detached","S","10 1700 S BROADWAY AVENUE","Williams Lake - City","1975","Manufactured","43","Williams Lake (Zone 27)","Williams Lake","12/28/2018","Geordie/Cindy","1","$427.86","9/7/2018","800-124-453",,,"12/2/2018","$47,500","$58.21","0.87","1","2","MHP","$54,500","86","816","$58.21","0.81","Manufactured","1",,"250-398-0600","$1,200.00","North Side Village","0","0","0.00",,"$370.00",,"V2G 2W5",,"Seller not lived in the home","BC",,,,
"R2293558","Residential Detached","S","43 PEBBLE DRIVE","Fort Nelson - Rural","1975","Manufactured with Land","43","Fort Nelson (Zone 64)","Fort Nelson","12/24/2018","SHERRY HART","1","$1,992.26","7/24/2018","019-005-491",,,"12/3/2018","$52,900","$78.72","0.79","1","2","RR1","$67,100","132","672","$78.72","0.75","Manufactured with Land","1",,"250-774-7653","2%",,"0","0","0.00",,,,"V0C 1R0",,"SELLERS HAVE NOT RESIDED IN HOME","BC",,,,
"R2293944","Residential Detached","S","159 10420 96 AVENUE","Fort St. John - Rural W 100th","1994","Manufactured","24","Fort St. John (Zone 60)","Fort St. John","7/27/2019","LOUISE","1","$352.73","7/27/2018","800-123-617",,,"12/3/2018","$53,000","$55.21","0.76","2","2","R4","$69,900","129","960","$55.21","0.76","Manufactured","1",,"403-376-4232","3.5% OF PURCHASE PRICE",,,"0",,,"$285.00",,"V1J 1L5",,,"BC",,,,
"R2324092","Residential Detached","S","86 1840 160 STREET","King George Corridor","1976","Manufactured","42","South Surrey White Rock","Surrey","2/28/2019","LES WELLMAN","1","$169.00","11/20/2018","905-003-950",,,"12/2/2018","$57,000","$72.52","0.95","1","2","MHP","$59,900","12","786","$72.52","0.95","Manufactured","1",,"604-581-3838","3.22%","BREA KAWAY BATS",,"0",,,"$1,020.00","2","V4A 4X4",,,"BC",,,,
"R2307162","Residential Attached","S","101 1501 QUEENSWAY STREET","Millar Addition","1966","Apartment/Condo","52","PG City Central (Zone 72)","Prince George","4/30/2019","ANNE","1","$629.06","9/14/2018","026-576-481",,"$289.00","12/5/2018","$58,000","$88.96","0.94","1","1","RM7","$62,000","82","652","$88.96","0.94","Apartment/Condo","1",,"250-981-3213","3% OF SALE PRICE",,,"0",,,,,"V2L 1L5",,"ABSENTEE LANDLORDS","BC",,,,
"R2315051","Residential Detached","S","250 DOHERTY DRIVE","Quesnel - Town","9999","House/Single Family","999","Quesnel (Zone 28)","Quesnel","1/11/2019","RANDY","1","$799.19","10/11/2018","009-050-345",,,"12/5/2018","$60,000","$66.67","0.98","1","2","RS2","$61,000","55","900","$66.67","0.90","House/Single Family","1",,"250-992-7202","3.5% OF SALE PRICE  (A 25% REFERRAL WILL BE PAID TO THE LISTING AGENT IF HE MAKES FIRST PHYSICAL INTRODUCTION)",,"0","0","0.00",,,"2","V2J 1B5",,,"BC",,,,
"R2320371","Residential Detached","S","5308 COTTONWOOD ROAD","Fort Nelson -Town","1976","House/Single Family","42","Fort Nelson (Zone 64)","Fort Nelson","1/27/2019","CATHLEEN","1","$1,198.97","10/29/2018","004-497-341",,,"12/3/2018","$61,111","$63.66","1.25","1","3","RS-1","$49,000","35","960","$63.66","1.25","House/Single Family","1",,"250-321-0777","3%","EAST SUBDIVISION","120","0","60.00",,,,"V0C 1R0",,"COURT ORDERED SALE","BC",,,,
"R2298356","Residential Detached","S","5 4514 SUNSHINE COAST HIGHWAY","Sechelt District","1982","Manufactured","36","Sunshine Coast","Sechelt","2/16/2019","Bruce lasuta","1","$413.65","8/16/2018","800-123-923",,,"12/4/2018","$64,000","$87.67","0.66","1","2","R4","$97,200","110","730","$87.67","0.49","Manufactured","1",,"604-740-2724","3.255% ON FIRST 100K & 1.1625% ON THE BALANCE.","Ponderosa Pines",,"0",,,"$403.00","1","V0N 3A0",,"Seller never lived in property.","BC",,,,
"R2311394","Residential Detached","S","1182 W FRASER ROAD","Quesnel Rural - South","9999","House/Single Family","999","Quesnel (Zone 28)","Quesnel","12/28/2018","LESLIE","1","$1,393.31","9/28/2018","025-399-144",,,"12/3/2018","$64,509","$25.15","0.99","1","3","R1","$64,900","66","2,565","$25.15","0.99","House/Single Family","1",,"250-992-7202","3.5% UP TO $100,000 / 1.75% OF BALANCE",,"0","0","0.00",,,"3","V2J 6H9",,"COURT-ORDERED SALE","BC",,,,
"R2315348","Residential Detached","S","20 6100 O'GRADY ROAD","Upper College","1991","Manufactured","27","PG City South (Zone 74)","Prince George","1/15/2019","Rebecca","1","$647.01","10/15/2018","800-125-342",,,"11/27/2018","$66,000","$65.61","0.88","1","2","MHP","$74,900","43","1,006","$65.61","0.83","Manufactured","1",,"250-981-4508","$2,250.00","College Heights Trailer Park","0","0","0.00",,"$426.40","2","V2N 4R1",,,"BC",,,,
"R2324898","Land Only","S","400 COMPANION WAY","Mayne Island",,,,"Islands-Van. & Gulf","Mayne Island","7/23/2019","CANDIDA KITKA",,"$644.01","11/23/2018","003-088-596",,,"11/29/2018","$66,000",,"0.96",,,"SR","$69,000","6",,,"0.96","Other",,"Allowed Access","250-222-1122","3.25% ON 1ST 100K",,,,,"No",,,"V0N 2J2",,"POA DOES NOT LIVE ON THE PROPERTY","BC","None",,"None","Community"
