"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"R2327736","Residential Detached","S","57 8220 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","43","Surrey","Surrey","3/12/2019","LES WELLMAN","1","$64.00","12/12/2018","905-004-191",,,"12/19/2018","$19,900","$17.30","1.00","1","2","MHP","$19,900","7","1,150","$17.30","0.87","Manufactured","1",,"604-581-3838","2%","Crestway Bays",,"0",,,"$900.00","2","V3W 6E1",,,"BC",,,,
"R2300167","Residential Detached","S","175 9207 82 STREET","Fort St. John - City SE","1972","Manufactured","47","Fort St. John (Zone 60)","Fort St. John","2/23/2019","LISA","1","$492.00","8/23/2018","800-124-139",,,"12/19/2018","$29,500","$38.41","0.84","1","3","MHP","$35,000","118","768","$38.41","0.84","Manufactured","1",,"250-787-8738","3%",,"0","0","0.00",,"$413.00",,"V1J 5G5",,,"BC",,,,
"R2280285","Land Only","S","BLK B NIMPO LAKE","Williams Lake - Rural West",,,,"Williams Lake (Zone 27)","Williams Lake","6/8/2019","FAWN GUNDERSON",,"$127.34","6/8/2018","017-014-786",,,"12/22/2018","$30,000",,"0.67",,,"RL","$45,000","197",,,"0.67","Other",,"Water Access","250-982-2314","2%",,"0",,"0.00","No",,,"V0L 1R0",,,"BC","None",,"None","None"
"R2328471","Land Only","S","190 AND-608 7TH AVENUE","Burns Lake - Town",,,,"Burns Lake (Zone 55)","Burns Lake","12/19/2019","DOUG",,"$758.46","12/19/2018","010-043-047",,,"12/24/2018","$38,000",,"0.95",,,"R5","$40,000","5",,,"0.95","Other",,"Road Access","250-692-7288","3% PAYABLE UPON A PHYSICAL INTRODUCTION TO PROPERTY, OTHERWISE SELLING COMMISSION OFFERED IS $100.00",,"0",,"0.00","Yes",,,"V0J 1E0","Not Known",,"BC","At Lot Line",,"None","City/Municipal"
"R2312335","Land Only","S","STUART LAKE ISLAND","Fort St. James - Rural",,,,"Fort St. James (Zone 57)","Fort St. James","3/31/2019","MORGAN",,"$285.43","10/2/2018","015-158-691",,,"1/2/2019","$53,000",,"0.95",,,"N/A","$56,000","92",,,"0.85","Other",,"Water Access","250-996-1272","3% OF SALE PRICE  (LESS 50% IF FIRST INTRODUCTION TO PROPERTY IS BY WAY OF LISTING AGENT)",,"0",,"0.00","No",,,"V0J 1P0",,,"BC","None",,"None","None"
"R2324597","Residential Detached","S","30 3624 OLD LAKELSE LAKE DRIVE","Thornhill","1973","Manufactured","46","Terrace (Zone 88)","Terrace","2/20/2019","DARRREN BEAULIEU","1","$306.99","11/20/2018","800-126-142",,,"12/18/2018","$65,000","$82.07","0.87","1","2","MHP","$74,900","28","792","$82.07","0.87","Manufactured","1",,"250-615-1350","2.5% OF THE SALES PRICE","WOODLAND HEIGHTS MOBILE HOME PARK",,"0",,,"$227.00",,"V8G 5A7",,,"BC",,,,
"R2323507","Residential Detached","S","3585 CANDLE DRIVE","Canim/Mahood Lake","2004","Recreational","15","100 Mile House (Zone 10)","Canim Lake","9/30/2019","BRENDA","0","$497.42","11/15/2018","007-840-250",,,"12/20/2018","$65,000","$67.71","0.66","1","1","R1","$99,000","35","960","$67.71","0.66","Recreational","1",,"250-395-3424","3.4%","HAWKINS LAKE","0","1","0.00",,,,"V0K 1J0",,,"BC",,,,
"R2296366","Residential Attached","S","502 1501 QUEENSWAY STREET","Millar Addition","1966","Apartment/Condo","52","PG City Central (Zone 72)","Prince George","12/31/2018","DENISE","1","$693.80","8/7/2018","026-576-791","10","$284.00","12/16/2018","$68,000","$109.68","0.91","1","1","RM7","$74,900","131","620","$109.68","0.91","Apartment/Condo","1",,"250-612-2061","3%","MILLAR ADITION","0","0","0.00",,,"1","V2L 1L5",,,"BC",,,,
"R2309394","Land Only","S","1285 3RD AVENUE","Valemount - Town",,,,"Robson Valley (Zone 81)","Valemount","2/28/2019","TAMMY",,"$633.10","9/7/2018","012-648-370",,,"12/12/2018","$75,000","$8.61","0.88",,,"R1","$85,000","96",,"$8.61","0.88","Other",,"Road Access","250-566-1025","2% OF PURCHASE PRICE",,,,,"Yes",,,"V0E 2Z0",,,"BC","Nearby",,"None","City/Municipal"
"R2261104","Residential Attached","S","1216 2607 PEAR STREET","Terrace - City","1981","Apartment/Condo","38","Terrace (Zone 88)","Terrace","10/1/2018","HELENA","1","$959.99","4/25/2018","014-950-529","3","$188.46","12/11/2018","$99,000","$125.32","1.05","1","2","R4","$94,500","228","790","$125.32","1.05","Apartment/Condo","1",,"250-975-1818","2.5% OF THE FINAL SALE PRICE PLUS GST","SOUTHSIDE",,"0",,,,"1","V8G 4V5",,,"BC",,,,
