"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"F1306090","Residential Detached","S","28 12662 112A STREET","Bridgeview","1972","Manufactured","41","North Surrey","Surrey","9/30/2013","LES","1",,"3/11/2013","900-566-124",,,"9/5/2013","$1,000","$1.39","0.07","1","2","MHP","$15,000","178","720","$1.39","0.05","Manufactured","1",,"604-581-3838","S-$500","PHILLIP",,"0","0.00",,"$455.00","2","V3V 8B6",,"UPON ACCEPTED OFFER","BC",,,,
"N229563","Land Only","S","43506 O'CONNOR ROAD","Hixon",,,,"PG Rural South (Zone 78)","Hixon","10/19/2013","TIM",,"$686.00","7/19/2013","008-291-896",,,"9/6/2013","$13,000",,"0.87",,,"RR-2","$14,900","49",,,"0.65","Other",,"Road Access","250-640-8899","3.22% 1ST $100,000/1.15% REM (MINIMUM $1000)",,,,"0.00","Yes",,,"V0K 1S0","Not Known",,"BC","Unknown",,"None","None"
"H1301065","Residential Detached","S","17 44565 MONTE VISTA STREET","Vedder S Watson-Promontory","1978","Manufactured","35","Sardis","Sardis","11/1/2013","GARRY OR HEIDI","1","$349.00","3/14/2013","700-008-670",,,"9/5/2013","$13,500","$12.96","0.73","1","1","MHP","$18,500","175","1,042","$12.96","0.48","Manufactured","1",,"604-858-7179","5% L 1/2 BF","MOUNTAINVIEW MOBILE HOME PARK",,"0","0.00",,"$509.16","2","V2R 5Y4",,,"BC",,,,
"N219009","Land Only","S","LOT 52 CANDLE DRIVE","Canim/Mahood Lake",,,,"100 Mile House (Zone 10)","Canim Lake","5/31/2014","FRANK",,"$109.00","5/26/2012","007-840-586",,,"8/27/2013","$17,500",,"0.88",,,"R1","$19,900","458",,,"0.70","House/Single Family",,"Road Access","250-395-0272","3.4%","HAWKINS LAKE","177",,"100.00","No",,,"V0K 1J0",,"LAND UNDER 1 ACRE","BC","None",,"None","None"
"N229770","Residential Detached","S","7642 FARQUHARSON ROAD","Deka/Sulphurous/Hathaway Lakes","2012","Recreational","5","100 Mile House (Zone 10)","Deka Lake / Sulphurous / Hathaway Lakes","9/30/2013","BRENDA","0","$197.00","7/25/2013","007-345-909",,,"9/5/2013","$19,000","$131.94","0.79","0","0","R1","$23,900","42","144","$131.94","0.69","Recreational","0",,"250-791-9200","3.4%","DEKA LAKE",,"0","0.00",,,,"V0K 1X3",,,"BC",,,,
"N220345","Land Only","S","PINCHI LAKE ROAD","Fort St. James - Rural",,,,"Fort St. James (Zone 57)","Fort St. James","5/31/2014","EVELYN",,"$120.00","6/30/2012","024-881-040",,,"8/30/2013","$19,000",,"0.68",,,"R-1","$28,000","426",,,"0.68","House/Single Family",,"Road Access","250-996-8618","3%",,"0",,"0.00","Yes",,,"V0J 1P0",,,"BC","None",,"None","None"
"N229853","Land Only","S","4288 MARGARET AVENUE","Wells/Barkerville",,,,"Quesnel (Zone 28)","Wells","7/31/2014","DONNA (9-3:30) OR MARK",,"$632.00","7/23/2013","013-778-340",,,"8/28/2013","$19,000",,"0.76",,,"R2","$25,000","36",,,"0.76","Other",,"Road Access","250-563-1000","5%",,"95.9",,"63.50","No",,,"V0K 2R0","Not Known",,"BC","At Lot Line",,"None","City/Municipal"
"F1307436","Residential Detached","S","122 1840 160TH STREET","King George Corridor","1975","Manufactured","38","South Surrey White Rock","Surrey","9/30/2013","LES WELLMAN","1","$167.00","4/1/2013","900-566-589",,,"8/27/2013","$25,500","$35.42","0.95","1","2","M.H.P.","$26,900","148","720","$35.42","0.95","Manufactured","1",,"604-581-3838","S-4%","Breakaway Bays",,"0","0.00",,"$824.00","2","V4A 4X4",,,"BC",,,,
"N230476","Land Only","S","LOT 70 BLOCK DRIVE","108 Ranch",,,,"100 Mile House (Zone 10)","108 Mile Ranch","8/22/2014","DAVE HICKEY",,"$406.00","8/24/2013","007-952-317",,,"8/28/2013","$27,000",,"0.98",,,"R1-1","$27,500","4",,,"0.98","Other",,"Allowed Access","250-395-6196","3.4%",,,,"0.00","Yes",,,"V0K 2Z0",,"N","BC","None",,"None","City/Municipal"
"F1319761","Residential Detached","S","24 1840 160TH STREET","Hazelmere","1975","Manufactured","38","South Surrey White Rock","Surrey","11/30/2013","Les Wellman","1","$128.00","8/19/2013","900-568-348",,,"8/29/2013","$28,900","$37.63","1.00","1","2","MHP","$28,900","10","768","$37.63","1.00","Manufactured","1",,"604-581-3838","S-4%","BREAKAWAY BAYS","0","0","0.00",,"$849.00","2","V4A 4X4",,"ABSENTEE OWNER","BC",,,,
"V1025243","Residential Attached","S","1008 5911 MINORU BOULEVARD","Brighouse","1999","Apartment/Condo","14","Richmond","Richmond","5/31/2014","SEAN HU","1","$930.00","9/4/2013","024-508-578","18","$92.76","9/5/2013","$36,000","$119.21","0.90","1","0","CDT1","$40,000","1","302","$119.21","0.90","Apartment/Condo","0",,"778-389-1611","3.255% ON 1ST $100,000","VANCOUVER AIRPORT HILTON HOTEL",,"0",,,,,"V6X 4C7",,"IN RENTAL POOL","BC",,,,
"N222012","Residential Detached","S","74 6828 ALCAN FRONTAGE ROAD","Fort St. John - Rural E 100th","1973","Manufactured","39","Fort St. John (Zone 60)","Fort St. John","11/30/2013","COLLEEN","1","$181.00","8/27/2012","800-070-243",,,"8/30/2013","$42,500","$39.06","0.76","1","2","MHP","$55,800","368","1,088","$39.06","0.62","Manufactured","1",,"250-264-2664","3%","EDGEWOOD","0","0","0.00",,"$350.00",,"V1J 4M6",,,"BC",,,,
"N229677","Residential Detached","S","20 4603 S 50TH AVENUE","Fort Nelson -Town","1970","Manufactured","43","Fort Nelson (Zone 64)","Fort Nelson","12/31/2013","MYRNA BLAKE","1","$344.00","7/25/2013","800-078-596",,,"8/29/2013","$45,000","$59.21","0.90","1","2","C2","$49,900","35","760","$59.21","0.90","Manufactured","1",,"250-775-1019","$2300",,,"0","0.00",,"$255.00",,"V0C 1R0",,,"BC",,,,
"H1301959","Residential Detached","S","29 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1980","Manufactured","33","Sardis","Sardis","10/31/2013","Russell or Penny","1","$271.00","5/13/2013","700-006-682",,,"8/28/2013","$45,000","$36.29","0.97","1","3","MHP","$46,500","107","1,240","$36.29","0.73","Manufactured","1",,"604-792-0077","4.5% L 1/2 BF",,"0","1","20.00",,"$417.00","2","V2R 3R7",,"P.O.A - has not lived here","BC",,,,
"N221128","Land Only","S","1003 ESTATES DRIVE","Houston - Town",,,,"Houston (Zone 53)","Houston","12/31/2013","LIA",,"$989.00","7/28/2012","009-930-116",,,"9/2/2013","$45,000",,"0.72",,,"A-1","$62,900","401",,,"0.72","House/Single Family",,"Road Access","250-845-7325","3%",,"0",,"0.00","Yes",,,"V0J 1Z1",,,"BC","Lagoon",,"None","Other"
"H1302972","Residential Attached","S","338 1735 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","1984","Apartment/Condo","29","Agassiz","Agassiz","11/30/2013","VICTOR OR DEBBIE","1","$518.00","7/23/2013","001-025-309",,"$142.10","9/6/2013","$45,100","$75.93","1.13","1","1","RM2","$39,900","45","594","$75.93","1.13","Apartment/Condo","1",,"604-859-2341","2.534% 1ST 100K L 1/2 BF","WOODSIDE TERRACE",,"0",,,,"1","V0M 1A0",,"COURT ORDERED SALE - UPON OFFER","BC",,,,
"V997011","Residential Attached","S","404G1 4653 BLACKCOMB WAY","Benchlands","2000","Apartment/Condo","13","Whistler","Whistler","9/30/2013","Denise Brown","1","$0.00","3/18/2013","024-756-202",,"$282.82","9/3/2013","$52,500","$82.68","0.97","1","1","RTA15","$53,900","169","635","$82.68","0.97","Apartment/Condo","1",,"604-935-2013","3%","Horstman House 1/4 share condo",,"1",,,,,"V0N 1B4",,,"BC",,,,
"N227359","Land Only","S","FRASER FLATS ROAD","Summit Lake",,,,"PG Rural North (Zone 76)","Prince George","10/10/2013","ELAINE",,"$1,318.00","5/10/2013","015-061-663",,,"8/28/2013","$53,000",,"0.91",,,"AF AR2","$58,000","110",,,"0.56","House/Single Family",,"Road Access","250-960-8769","3%","OLD SUMMIT LAKE",,,,"Yes",,,"V2K 5R9","Not Known",,"BC","None",,"None","None"
"V1024413","Residential Detached","S","6 4116 BROWNING ROAD","Sechelt District","1975","Manufactured","38","Sunshine Coast","Sechelt","11/28/2013","CAROL OR BRUCE","1","$370.00","8/28/2013","009-452-249",,,"8/28/2013","$53,000","$57.42","0.91","1","2","R5","$58,300","0","923","$57.42","0.91","Manufactured","1",,"604-885-3295","2.75%","ROCKALND WYND",,"0","0.00",,"$352.36","2","V0N 3A1",,"SELLER NEVER RESIDED IN HOME","BC",,,,
"H1300163","Residential Detached","S","9 45111 WOLFE ROAD","Chilliwack W Young-Well","1995","Manufactured","18","Chilliwack","Chilliwack","12/20/2013","ANITA OR KELLY","1","$374.00","1/10/2013","700-006-463",,,"8/27/2013","$54,000","$47.37","0.90","1","2","RMH","$59,900","229","1,140","$47.37","0.77","Manufactured","1",,"604-819-3480","5% L1/2BF","FRASER VILLAGE",,"0","0.00",,"$525.00","3","V2P 1V6",,,"BC",,,,
