"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N231954","Residential Detached","S","18 3387 RED BLUFF ROAD","Red Bluff/Dragon Lake","1975","Manufactured","38","Quesnel (Zone 28)","Quesnel","6/30/2014","LORNE","1","$198.00","11/1/2013","800-081-362",,,"12/6/2013","$8,000","$8.93","0.67","1","2","MHP","$12,000","35","896","$8.93","0.67","Manufactured","1",,"250-992-8818","4%",,,"0","0.00",,"$200.00",,"V2J 6G6",,,"BC",,,,
"N228702","Land Only","S","LT 21- 23 ALFRED AVENUE","Smithers - Town",,,,"Smithers And Area (Zone 54)","Smithers","6/15/2014","RON LAPADAT",,"$355.00","6/19/2013","013-620-550",,,"12/14/2013","$13,250","$1.07","0.88",,,"AG-1","$15,000","178",,"$1.07","0.88","Other",,"Allowed Access","250-847-0335","$750",,"125",,"99.00","Yes",,,"V0J 2N0",,,"BC","Nearby",,"None","City/Municipal"
"N232376","Residential Detached","S","33 457 VANDERVIEW DRIVE","Vanderhoof - Town","1970","Manufactured","43","Vanderhoof And Area (Zone 56)","Vanderhoof","4/25/2014","JEANNIE OR BRITT","1","$157.00","11/27/2013","800-081-031",,,"12/9/2013","$23,000","$23.96","0.84","1","2","R5","$27,500","12","960","$23.96","0.84","Manufactured","1",,"250-567-2271","3.5%",,,"0","0.00",,"$256.00","2","V0J 3A2",,,"BC",,,,
"F1312785","Residential Detached","S","80 8254 134 STREET","Queen Mary Park Surrey","1979","Manufactured","34","Surrey","Surrey","5/31/2014","TOUCHBASE RAY","2","$293.00","5/28/2013","900-567-344",,,"12/11/2013","$25,000","$27.06","0.72","2","2","MHP","$34,800","197","924","$27.06","0.39","Manufactured","1",,"604-581-3838","S-4%","WESTWOOD ESTATES","80","1","40.00",,"$600.00","2","V3W 6M2",,"Very elderly owners","BC",,,,
"N232243","Land Only","S","LOT 5 EDELMANN ROAD","Ness Lake",,,,"PG Rural North (Zone 76)","Prince George","5/14/2014","ELAINE KIENZLE",,"$492.00","11/14/2013","009-201-823",,,"12/3/2013","$26,000",,"0.87",,,"RR1","$30,000","19",,,"0.87","House/Single Family",,"Road Access","250-960-8769","3%","NESS LAKE",,,"0.00","Yes",,,"V2K 5M2","Not Known",,"BC","None",,"None","Well - Shallow"
"N231907","Residential Detached","S","7 3960 DRIVE IN ROAD","Houston - Town","1975","Manufactured","38","Houston (Zone 53)","Houston","4/30/2014","DAN HANSMA","1","$284.00","10/30/2013","800-081-299",,,"12/7/2013","$27,900","$24.13","0.93","1","3","R-3","$29,900","38","1,156","$24.13","0.93","Manufactured","1",,"250-845-8234","3% ON THE PURCHASE PRICE","SHADY REST PARK",,"0","0.00",,"$250.00",,"V0J 1Z2",,,"BC",,,,
"N226533","Residential Detached","S","7012 FLAHERTY ROAD","Lone Butte/Green Lk/Watch Lk","9999","House/Single Family","999","100 Mile House (Zone 10)","Lone Butte","1/30/2014","ROBERT","1","$860.00","4/19/2013","003-412-024",,,"12/9/2013","$30,500","$23.46","0.61","1","4","RR1","$49,900","234","1,300","$23.46","0.34","House/Single Family","1",,"866-593-0131","2% ON THE FIRST $150,000.00",,"0","1","0.00",,,"3","V0K 1X0",,,"BC",,,,
"N225079","Land Only","S","7472 ROE LAKE CRESCENT","Bridge Lake/Sheridan Lake",,,,"100 Mile House (Zone 10)","Bridge Lake","2/28/2014","FRANK",,"$445.00","2/26/2013","007-914-831",,,"12/11/2013","$32,000",,"0.64",,,"R2","$49,900","288",,,"0.53","House/Single Family",,"Road Access","250-395-0272","3.4%","ROE LAKE",,,"0.00","No",,,"V0K 1X0",,,"BC","Septic",,"None","Well - Drilled"
"N232442","Residential Detached","S","37 HAYS VALE DRIVE","Prince Rupert - City","1982","Manufactured","31","Prince Rupert (Zone 52)","Prince Rupert","3/3/2014",,"2",,"12/3/2013","014-933-420",,,"12/9/2013","$32,000","$23.81","0.91","2","3","RMH","$35,000","6","1,344","$23.81","0.91","Manufactured","1",,,"3.22% TO $100,000 (MINIMUM $1000)",,"100","0","40.00",,"$0.00","2","V5J 3Z1",,,"BC",,,,
"V999785","Residential Detached","S","54 3295 SUNNYSIDE ROAD","Anmore","1973","Manufactured","40","Port Moody","Anmore","6/30/2014","KRISTA OR TB","1","$289.00","4/4/2013","800-075-426",,,"12/11/2013","$35,000","$36.84","0.88","1","2","RCH-1","$40,000","251","950","$36.84","0.44","Manufactured","1",,"778-960-6311","3.255 ON 1ST $100,000/1.1625 ON BAL","COUNTRYSIDE VILLAGE",,"0",,,"$646.00","2","V3H 4Z4",,,"BC",,,,
"N230853","Residential Detached","S","31725 PINEWOOD ROAD","Isle Pierre","9999","House/Single Family","999","PG Rural West (Zone 77)","Prince George","2/28/2014","KEVEN","0","$301.00","9/10/2013","006-770-185",,,"12/4/2013","$41,000","$82.00","0.82","1","1","RR1","$49,900","85","500","$82.00","0.82","House/Single Family","0",,"250-563-1000","5%",,,"1","0.00",,,,"V2N 6P4",,,"BC",,,,
"F1325617","Residential Detached","S","275 1840 160 STREET","King George Corridor","1973","Manufactured","40","South Surrey White Rock","White Rock","5/30/2014","Sharon Lenning","1","$253.00","11/9/2013","900-569-247",,,"12/14/2013","$42,000","$28.00","0.60","2","3","MHP","$69,999","35","1,500","$28.00","0.60","Manufactured","1",,"604-590-2444","S-4%","BREAKAWAY BAYS",,"1","0.00",,"$880.00","2","V4A 4X4",,"EXECUTOR NEVER LIVED IN HOME","BC",,,,
"N222564","Residential Detached","S","486 COPPER BAY ROAD","Queen Charlotte - Rural","1970","House/Single Family","42","Prince Rupert (Zone 52)","Queen Charlotte City","9/10/2014","SUSAN","1","$1,289.00","9/10/2012","010-297-472",,,"12/10/2013","$48,000","$65.31","0.64","1","2","R-1","$75,000","456","735","$65.31","0.39","House/Single Family","1",,"250-756-9700","3.5% ON 1ST $100,000/2% ON REMAINDER",,"120","0","100.00",,,,"V0T 1T0",,,"BC",,,,
"N231218","Residential Detached","S","75 HIGHLAND DRIVE","Bella Coola/Hagensborg","1955","House/Single Family","58","Williams Lake (Zone 27)","Bella Coola","9/27/2014","FAWN GUNDERSON","1","$1,499.00","9/27/2013","004-639-952",,,"12/12/2013","$49,000","$43.56","0.82","1","3","N/A","$60,000","76","1,125","$43.56","0.82","House/Single Family","1",,"250-982-2314","3%",,,"1","66.00",,,,"V0T 1P0",,,"BC",,,,
"F1301769","Land Only","S","29967 SILVERDALE AVENUE","Mission-West",,,,"Mission","Mission","6/30/2014","DUANE",,"$1,376.00","1/20/2013","003-766-632",,,"12/10/2013","$50,000",,"0.73",,,"RS1","$69,000","324",,,"0.31","Other",,"Road Access","604-820-0555","S-2.3% 1ST 100K/1.15% BAL",,"IRREG",,"100.00","No",,,"V4S 1H2",,"ABSENTEE OWNER","BC","None",,"None","Well - Shallow"
"N227530","Land Only","S","LOT A HORSE LAKE ROAD","Horse Lake",,,,"100 Mile House (Zone 10)","100 Mile House","1/15/2014","INGRID",,"$426.00","5/16/2013","002-938-022",,,"12/8/2013","$51,000",,"0.76",,,"RR2","$66,900","206",,,"0.73","House/Single Family",,"Road Access","250-395-2133","3% OF PURCHASE PRICE",,,,,"Yes",,,"V0K 1X3",,,"BC","None",,"None","None"
