"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"V1037999","Residential Detached","S","62 201 CAYER STREET","Maillardville","1973","Manufactured","40","Coquitlam","Coquitlam","2/28/2014","Touchbase","1","$156.00","11/28/2013","800-027-438",,,"1/2/2014","$7,000","$8.05","0.47","1","1","RMHI","$14,900","35","870","$8.05","0.47","Manufactured","1",,,"4.5%","Wildwood Park",,"0","0.00",,"$665.00","1","V3K 5A8",,"Public Guardian and Trustee Sale","BC",,,,
"F1326516","Residential Detached","S","219 1840 160 STREET","King George Corridor","1974","Manufactured","39","South Surrey White Rock","Surrey","5/27/2014","Lorraine Cauley","1","$88.00","11/27/2013","900-569-465",,,"12/17/2013","$7,500","$10.42","0.75","1","1","MHP","$10,000","20","720","$10.42","0.75","Manufactured","1",,"604-889-4874","S-4%","BREAKAWAY BAYS",,"0",,,"$902.00","1","V4A 4X4",,"ESTATE SALE","BC",,,,
"N232411","Residential Detached","S","49 4619 QUEENSWAY DRIVE","Thornhill","1984","Manufactured","29","Terrace (Zone 88)","Terrace","2/28/2014","JAMES","1","$341.00","11/28/2013","800-082-076",,,"12/16/2013","$13,000","$14.07","0.69","1","2","MHP","$18,900","18","924","$14.07","0.69","Manufactured","1",,"250-632-9184","5%",,,"0","0.00",,"$280.00",,"V8G 3X5",,,"BC",,,,
"N228702","Land Only","S","LT 21- 23 ALFRED AVENUE","Smithers - Town",,,,"Smithers And Area (Zone 54)","Smithers","6/15/2014","RON LAPADAT",,"$355.00","6/19/2013","013-620-550",,,"12/14/2013","$13,250","$1.07","0.88",,,"AG-1","$15,000","178",,"$1.07","0.88","Other",,"Allowed Access","250-847-0335","$750",,"125",,"99.00","Yes",,,"V0J 2N0",,,"BC","Nearby",,"None","City/Municipal"
"N228444","Land Only","S","3015 PURDEN SKI HILL ROAD","Purden",,,,"PG Rural East (Zone 80)","Prince George","6/15/2014","ANGELA",,"$338.00","6/12/2013","800-077-455",,,"12/30/2013","$15,000",,"1.00",,,"SR1","$15,000","201",,,"0.38","Recreational",,"Road Access","250-565-7505","3%","PURDEN SKI HILL ROAD","0",,"0.00","No",,,"V2L 4P1","No","Y","BC","None",,"None","None"
"F1326235","Residential Detached","S","25 6280 KING GEORGE BOULEVARD","Sullivan Station","1969","Manufactured","44","Surrey","Surrey","2/21/2014","LIZ","1","$330.00","11/21/2013","900-569-410",,,"12/16/2013","$17,000","$17.28","0.78","1","2","MHP","$21,900","25","984","$17.28","0.78","Manufactured","1",,"604-533-3491","S-4%","White Oaks",,"1","0.00",,"$531.00","3","V3X 3E9",,"ESTATE SALE","BC",,,,
"N227958","Land Only","S","675-705 RICHMOND LOOP","Burns Lake - Town",,,,"Burns Lake (Zone 55)","Burns Lake","5/29/2014","GORDIE SHANKS",,"$421.00","5/29/2013","012-007-943",,,"12/23/2013","$18,000",,"0.90",,,"M1","$20,000","208",,,"0.90","Other",,"Road Access","250-692-3115","3%",,"328",,"480.00","Yes",,,"V0J 1E0",,,"BC","None",,"None","None"
"N229225","Land Only","S","9306 KEITHLEY CREEK ROAD","Horsefly",,,,"Williams Lake (Zone 27)","Williams Lake","1/9/2014","WILLY BERGER",,"$127.00","7/9/2013","014-384-892",,,"12/30/2013","$18,000",,"0.75",,,"RR-3","$24,000","174",,,"0.75","House/Single Family",,"Allowed Access","250-398-0066","4%(FOUR)",,"50",,"170.00","Yes",,,"V0L 1K0","No",,"BC","None",,"None","None"
"N232090","Residential Detached","S","323 SIMON FRASER AVENUE","Fort St. James - Town","9999","House/Single Family","999","Fort St. James (Zone 57)","Fort St. James","2/7/2014","EVELYN","1","$870.00","11/7/2013","004-673-981",,,"12/19/2013","$20,000","$20.88","1.01","1","3","R-1","$19,900","42","958","$20.88","0.80","House/Single Family","1",,"250-996-8618","3%",,"152","0","50.00",,,"2","V0J 1P0",,,"BC",,,,
"V1033338","Residential Detached","S","4 23210 CALVIN CRESCENT","East Central","1969","Manufactured","44","Maple Ridge","Maple Ridge","2/2/2014","KEN","1","$435.00","10/21/2013","800-081-019",,,"12/22/2013","$20,000","$30.30","0.80","1","1","CS3","$24,900","62","660","$30.30","0.80","Manufactured","1",,,"3.255% ON FULL AMOUNT","GARIBALDI MOBILE HOME PARK",,"0","0.00",,"$468.00","2","V2X 4S3",,"POWER OF ATTORNEY","BC",,,,
