"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N232118","Land Only","S","1000 ALFRED STREET","Prince Rupert - City",,,,"Prince Rupert (Zone 52)","Prince Rupert","2/14/2014","HEATHER/GARRY",,"$471.00","11/13/2013","004-556-143",,,"11/15/2013","$8,500",,"1.00",,,"R-2","$8,500","2",,,"1.00","Duplex",,"Road Access","250-627-7551","3.22% TO $100,000 (MINIMUM $1000)",,"100",,"37.50","No",,,"V8J 3C5","No","Y","BC","At Lot Line",,"At Lot Line","City/Municipal"
"H1302536","Residential Detached","S","20 44431 YALE ROAD","Chilliwack Yale Rd West","1968","Manufactured","45","Chilliwack","Chilliwack","12/21/2013","DAVE BISHOP","1","$185.00","6/21/2013","700-002-361",,,"11/20/2013","$12,000","$17.09","0.86","1","2","M2","$13,900","152","702","$17.09","0.71","Manufactured","1",,"604-859-3141","$1000 L1/2BF","STORMWYNN","80","0","30.00",,"$400.00","2","V2R 3J2",,,"BC",,,,
"N230524","Land Only","S","84 2500 GRANT ROAD","Hart Highway",,,,"PG City North (Zone 73)","Prince George","8/29/2014","NORM OR KORY",,"$204.00","8/29/2013","024-167-371",,,"11/12/2013","$18,900","$4.21","0.95",,,"RS5","$19,900","75",,"$4.21","0.95","Other",,"Road Access","250-565-7998","3.5%","NORTHRIDGE PROPERTIES",,,"0.00","Yes",,,"V2K 4X9","No",,"BC","At Lot Line",,"Available","City/Municipal"
"N232128","Residential Detached","S","6 1450 TELKWA HIGH ROAD","Telkwa","9999","Manufactured","999","Smithers And Area (Zone 54)","Telkwa","4/10/2014","DONNA","1","$158.00","11/13/2013","800-081-599",,,"11/22/2013","$19,500","$32.50","0.98","1","2","MHP","$19,900","9","600","$32.50","0.98","Manufactured","1",,"250-847-5999","3%",,,"0","0.00",,"$285.00","2","V0J 1Z0",,,"BC",,,,
"N228515","Land Only","S","184 E 4TH STREET","Vanderhoof - Town",,,,"Vanderhoof And Area (Zone 56)","Vanderhoof","6/11/2014","CORY",,"$681.00","6/11/2013","012-634-026",,,"11/20/2013","$27,500","$3.47","0.87",,,"R-1","$31,500","162",,"$3.47","0.87","Other",,"Road Access","780-667-2382","3.5%",,"0",,"0.00","Yes",,,"V0J 3A0",,,"BC","At Lot Line",,"Available","City/Municipal"
"F1320392","Residential Detached","S","17 6571 KING GEORGE BOULEVARD","West Newton","1969","Manufactured","44","Surrey","Surrey","4/13/2014","Les Wellman","1","$110.00","8/28/2013","900-568-387",,,"11/15/2013","$29,900","$37.38","1.00","2","1","MHP","$29,900","79","800","$37.38","1.00","Manufactured","1",,"604-581-3838","S-4%","Newton Park",,"0","0.00",,"$515.00","2","V3W 4Z4",,,"BC",,,,
"N214961","Land Only","S","LOOS ROAD","Dome Creek",,,,"Robson Valley (Zone 81)","McBride","11/22/2014","RODGER",,"$345.00","12/5/2011","015-196-399",,,"11/12/2013","$37,000",,"0.76",,,"RU5","$49,000","708",,,"0.47","Other",,"Allowed Access","250-569-2793","2%",,,,,"Yes",,,"V0J 3E0","Not Known",,"BC","None",,"None","None"
"N226032","Land Only","S","LOT 3 TIMOTHY LAKE ROAD","Lac la Hache",,,,"100 Mile House (Zone 10)","Lac La Hache","3/27/2014","DAVE HICKEY",,"$365.00","3/27/2013","025-805-193",,,"11/21/2013","$41,000",,"0.98",,,"RR2","$41,900","239",,,"0.71","Other",,"Allowed Access","250-395-6196","3.4%",,,,,"Yes",,,"V0K 1T0",,,"BC","None",,"None","None"
"N231897","Residential Detached","S","2791 MINOTTI DRIVE","Hart Highway","1981","Manufactured with Land","32","PG City North (Zone 73)","Prince George","1/26/2014","RICK MAYHEW","1","$1,332.00","10/28/2013","023-554-614",,,"11/20/2013","$42,000","$45.45","0.70","1","3","URS2B","$59,900","23","924","$45.45","0.70","Manufactured with Land","1",,"250-565-8587","3%",,,"0","0.00",,,"4","V0J 3A0",,,"BC",,,,
"N230807","Residential Detached","S","3147 HART HIGHWAY","Hart Highway","9999","House with Acreage","999","PG City North (Zone 73)","Prince George","10/31/2014","HARVEY CLARK","1","$1,371.00","9/9/2013","012-787-612",,,"11/12/2013","$43,000","$27.04","0.66","1","3","RS2","$65,000","64","1,590","$27.04","0.66","House with Acreage","1",,"250-613-6607","3%",,,"0","0.00",,,"4","V2K 1M8",,,"BC",,,,
"H1304110","Residential Attached","S","342 1735 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","1984","Apartment/Condo","29","Agassiz","Agassiz","1/30/2014","AMARIT DASS","0","$521.00","10/30/2013","001-025-333",,"$136.99","11/21/2013","$43,500","$74.36","0.99","0","1","RM2","$43,900","22","585","$74.36","0.99","Apartment/Condo","1",,"604-859-3141","2% 1ST 150K L 1/2 BF","WOODSIDE TERRACE",,"0",,,,"2","V0M 1A0",,"FORECLOSURE","BC",,,,
"N231810","Residential Detached","S","61 1700 S BROADWAY AVENUE","Williams Lake - City","1979","Manufactured","34","Williams Lake (Zone 27)","Williams Lake","1/25/2014","GARTH MCINTYRE","1","$546.00","10/25/2013","800-081-116",,,"11/14/2013","$46,500","$50.32","0.95","1","2","R1","$48,900","20","924","$50.32","0.95","Manufactured","1",,"250-398-0215","3.3%",,,"0","0.00",,"$343.00","2","V2G 2W5",,,"BC",,,,
"N232077","Land Only","S","PORT EDWARD","Port Edward",,,,"Prince Rupert (Zone 52)","Port Edward","3/30/2014","JEFF CLARKE",,"$339.00","9/30/2013","014-958-996",,,"11/21/2013","$47,619",,"0.48",,,"A1","$100,000","52",,,"0.48","Other",,"No Access","250-624-9444","3%",,,,"0.00","No",,,"V0V 1G0",,,"BC","Unknown",,"None","None"
"N231401","Residential Detached","S","253 W 7TH AVENUE","Prince Rupert - City","1960","House/Single Family","53","Prince Rupert (Zone 52)","Prince Rupert","1/31/2014","THAI PHAM","2","$632.00","10/2/2013","014-630-320",,,"11/18/2013","$49,000","$23.56","0.65","2","2","R2","$75,000","47","2,080","$23.56","0.65","House/Single Family","2",,"250-600-7579","3%",,,"0","0.00",,,,"V8J 2L3",,,"BC",,,,
"V1030303","Residential Attached","S","407B 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","5","Whistler","Whistler","9/30/2014","FRONTDESK LODGING OVATIONS","1",,"10/1/2013","027-506-291",,"$384.00","11/20/2013","$50,000","$83.61","0.91","1","1","CC2","$54,900","50","598","$83.61","0.91","Apartment/Condo","1",,"604-938-9999","3% ON THE SALE",,,"1",,,,,"V0N 1B2",,,"BC",,,,
"N231624","Residential Attached","S","1480 PEARSON AVENUE","VLA","9999","1/2 Duplex","999","PG City Central (Zone 72)","Prince George","1/10/2014","TIM","1","$788.00","10/10/2013","009-273-824",,,"11/14/2013","$50,000","$32.72","0.86","1","2","RT-2","$57,900","35","1,528","$32.72","0.86","1/2 Duplex","0",,"250-640-8899","3% ON THE 1ST $100,000 AND 1.25% REMAINDER",,,"0","0.00",,,"2","V2L 4Z1",,,"BC",,,,
"V1035315","Residential Attached","S","308 A 4653 BLACKCOMB WAY","Benchlands","2000","Apartment/Condo","13","Whistler","Whistler","4/30/2014","BOB CAMERON","1","$0.00","11/6/2013","800-081-475",,"$319.56","11/12/2013","$53,000","$74.13","0.98","1","1","TA13","$53,888","6","715","$74.13","0.98","Apartment/Condo","1",,"604-935-2214","3%","HORSTMAN HOUSE",,"1",,,,,"V0N 1B4",,,"BC",,,,
"N232070","Residential Detached","S","1110 E 6TH AVENUE","Prince Rupert - City","1955","House/Single Family","58","Prince Rupert (Zone 52)","Prince Rupert","2/8/2014","HEATHER OR GARY","1","$1,273.00","11/8/2013","008-918-368",,,"11/12/2013","$59,000","$35.46","1.01","1","3","R-2","$58,500","4","1,664","$35.46","1.01","House/Single Family","1",,"250-621-7551","3.22% (MINIMUM $1000.00)",,"100","1","37.50",,,"3","V8J 1X8",,,"BC",,,,
