"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N228706","Residential Detached","S","21 457 VANDERVIEW DRIVE","Vanderhoof - Town","1973","Manufactured","40","Vanderhoof And Area (Zone 56)","Vanderhoof","12/31/2013","CARL,JEANNIE","1","$198.00","6/10/2013","800-077-666",,,"11/27/2013","$5,000","$5.25","0.53","1","2","R5","$9,500","170","952","$5.25","0.53","Manufactured","1",,"250-567-2271","$500",,,"0","0.00",,"$250.00","2","V0J 3A2",,,"BC",,,,
"F1324866","Residential Detached","S","39 20071 24 AVENUE","Brookswood Langley","1972","Manufactured","41","Langley","Langley","4/30/2014","Scott Franklin","1","$547.00","10/30/2013","900-569-134",,,"11/25/2013","$8,600","$10.75","0.57","1","2","MH-1","$15,000","26","800","$10.75","0.57","Manufactured","1",,"604-454-7126","S-$750","Fernridge Park",,"0",,,"$460.00","1","V2Z 2A1",,"WITH OFFER","BC",,,,
"N227550","Land Only","S","LOT 198 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes",,,,"100 Mile House (Zone 10)","Deka Lake / Sulphurous / Hathaway Lakes","5/17/2014","Gisela/Michelle",,"$194.00","5/17/2013","007-541-651",,,"11/29/2013","$16,500","$0.92","0.72",,,"R-1","$22,900","196",,"$0.92","0.72","House/Single Family",,"Road Access","250-706-1186","3.4%","Deka Lake",,,,"Yes",,,"V0K 1X3","No","under 1 ac","BC","None",,"None","None"
"N232128","Residential Detached","S","6 1450 TELKWA HIGH ROAD","Telkwa","9999","Manufactured","999","Smithers And Area (Zone 54)","Telkwa","4/10/2014","DONNA","1","$158.00","11/13/2013","800-081-599",,,"11/22/2013","$19,500","$32.50","0.98","1","2","MHP","$19,900","9","600","$32.50","0.98","Manufactured","1",,"250-847-5999","3%",,,"0","0.00",,"$285.00","2","V0J 1Z0",,,"BC",,,,
"N231633","Land Only","S","3411 CHRISTENSON ROAD","Peden Hill",,,,"PG City West (Zone 71)","Prince George","3/31/2014",,,"$759.00","10/13/2013","008-964-769",,,"11/29/2013","$22,500",,"0.63",,,"AG","$35,900","47",,,"0.63","House/Single Family",,"Road Access",,"4%","PEDEN HILL",,,"0.00","No",,,"V2N 5E9",,,"BC","Nearby",,"Nearby","None"
"N230619","Land Only","S","LOT 25 ANZEEON ROAD","108 Ranch",,,,"100 Mile House (Zone 10)","108 Mile Ranch","8/28/2014","DARREL WARMAN",,"$405.00","8/28/2013","008-092-931",,,"11/26/2013","$25,000",,"0.69",,,"R1-1","$36,500","90",,,"0.69","House/Single Family",,"Road Access","250-395-3422","3.4% ON THE 1ST $100,000","108 MILE RANCH","255.0",,"144.00","Yes",,,"V0K 2Z0","No","LESS THAN AN ACRE","BC","None",,"None","City/Municipal"
"N227548","Residential Detached","S","13 95 LAIDLAW ROAD","Smithers - Rural","1982","Manufactured","31","Smithers And Area (Zone 54)","Smithers","5/17/2014","JANTINA","1","$197.00","5/17/2013","800-076-677",,,"11/28/2013","$27,000","$37.09","0.79","1","2","MHP","$34,000","195","728","$37.09","0.68","Manufactured","1",,"250-847-5999","3% OF PERCHASE PRICE",,,"0","0.00",,"$275.00","2","V0J 2N6",,,"BC",,,,
"N232372","Land Only","S","LOT 74 GAUTHIER ROAD","Deka/Sulphurous/Hathaway Lakes",,,,"100 Mile House (Zone 10)","Deka Lake / Sulphurous / Hathaway Lakes","1/25/2014","ROBERT YOUNG",,"$200.00","11/25/2013","007-803-532",,,"11/26/2013","$32,500",,"0.93",,,"R-1","$35,000","1",,,"0.93","Other",,"Road Access","250-593-0131","$1500.00",,,,"0.00","Yes",,,"V0K 1X3",,,"BC","None",,"None","None"
"N230225","Land Only","S","2080 POPLAR AVENUE","Vanderhoof - Town",,,,"Vanderhoof And Area (Zone 56)","Vanderhoof","8/15/2014","CARL, JEANNIE",,"$563.00","8/15/2013","026-573-954",,,"11/27/2013","$36,000",,"0.91",,,"R1","$39,500","104",,,"0.91","House/Single Family",,"Road Access","250-567-2271","3.5%",,"44",,"72.81","Yes",,,"V0J 3A0","No",,"BC","At Lot Line",,"None","City/Municipal"
"N230235","Land Only","S","2106 POPLAR AVENUE","Vanderhoof - Town",,,,"Vanderhoof And Area (Zone 56)","Vanderhoof","8/15/2014","CARL OR JEANNIE",,"$563.00","8/15/2013","026-573-946",,,"11/27/2013","$36,000",,"0.91",,,"R1","$39,500","104",,,"0.91","House/Single Family",,"Road Access","250-567-2271","3.5%",,"44.00",,"72.81","Yes",,,"V0J 3A0","No",,"BC","At Lot Line",,"Nearby","City/Municipal"
