"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N200646","Land Only","S","46 BYRON CRESCENT","Granisle",,,,"Burns Lake (Zone 55)","Burns Lake","5/15/2014","DENNIS BOCK",,"$319.00","4/27/2010","008-099-529",,,"10/21/2013","$10,000","$1.35","0.87",,,"R3A","$11,500","1273",,"$1.35","0.87","Other",,"Road Access","250-692-3866","3.4% ON 1ST $100,000 WITH A MINIMUM OF $730",,,,"0.00","No",,,"V0J 1W0","Not Known",,"BC","At Lot Line",,"None","City/Municipal"
"N231138","Land Only","S","LOT 3 HESKETH ROAD","Bouchie Lake",,,,"Quesnel (Zone 28)","Quesnel","2/28/2014","LESLIE OR CLAUDIA",,"$89.00","9/23/2013","009-218-955",,,"10/19/2013","$15,000",,"0.75",,,"R2","$20,000","26",,,"0.75","House/Single Family",,"Allowed Access","250-992-7202","2.9%",,,,"0.00","Yes",,,"V2J 7H8","Not Known",,"BC","None",,"None","None"
"N228635","Residential Detached","S","12 7817 S 97 HIGHWAY","Sintich","1973","Manufactured with Land","40","PG City South East (Zone 75)","Prince George","12/30/2013","HUGH","0","$150.00","6/16/2013","800-077-610",,,"10/20/2013","$23,960","$31.20","0.92","1","2","MHP","$25,960","126","768","$31.20","0.73","Manufactured with Land","1",,"250-960-8870","5%","SNITICH",,"1","0.00",,,,"V2N 6P9",,,"BC",,,,
"H1303598","Residential Detached","S","83 6035 VEDDER ROAD","Sardis East Vedder Rd","1990","Manufactured","23","Sardis","Sardis","2/9/2014","DOUG","2",,"9/9/2013","796-035-426",,,"10/19/2013","$27,900","$26.42","0.93","2","2","RMH","$29,900","40","1,056","$26.42","0.93","Manufactured","1",,"604-316-0009","$2000 BAL L 1/2 BF",,,"0","0.00",,"$380.00","2","V2R 1E5",,"ESTATE SALE","BC",,,,
"F1323979","Residential Detached","S","59 20071 24TH AVENUE","Brookswood Langley","1971","Manufactured","42","Langley","Langley","1/31/2014","Lynn Duncan","1","$750.00","10/14/2013","900-568-899",,,"10/20/2013","$30,000","$31.09","0.79","1","2","MHP","$37,900","6","965","$31.09","0.79","Manufactured","1",,"604-530-4141","S-4.5%","Fernridge Park",,"1","0.00",,"$449.00","3","V2Z 2A1",,,"BC",,,,
"N228456","Land Only","S","5728 TIMOTHY LAKE ROAD","Lac la Hache",,,,"100 Mile House (Zone 10)","Lac La Hache","10/30/2013","KAREN FRIESS",,"$217.00","6/14/2013","007-913-711",,,"10/26/2013","$38,000",,"0.84",,,"R1","$45,000","134",,,"0.78","House/Single Family",,"Road Access","250-395-3422","3.5%",,"225",,"100.00","Yes",,,"V0K 1T0",,,"BC","None",,"None","Well - Drilled"
"N228126","Land Only","S","LOT 1 CHESTNUT STREET","Telkwa",,,,"Smithers And Area (Zone 54)","Telkwa","11/8/2013","KIESHA MATTHEWS",,"$655.00","6/4/2013","023-662-077",,,"10/19/2013","$39,000",,"0.81",,,"R1","$48,000","137",,,"0.81","Other",,"Road Access","250-876-8420","3%",,,,"0.00","Yes",,,"V0J 2X0",,,"BC","At Lot Line",,"None","City/Municipal"
"V1032445","Residential Attached","S","1015 5911 MINORU BOULEVARD","Brighouse","1999","Other","14","Richmond","Richmond","4/16/2014","SHAFIK","1","$1,004.00","10/16/2013","024-508-489",,"$0.00","10/20/2013","$41,500","$119.25","0.92","1","0","CDT1","$45,000","4","348","$119.25","0.92","Other","0",,"604-279-8075","3.255% ON 1ST $100,000 & 1.1625% ON BAL","THE HILTON HOTEL",,"0",,,,,"V6X 4C7",,"WHEN OFFER IS PRESENTED","BC",,,,
"F1312885","Land Only","S","80 14600 MORRIS VALLEY ROAD","Hatzic",,,,"Mission","Mission","5/26/2014","KATIE",,"$466.00","5/26/2013","023-085-797",,,"10/24/2013","$45,000","$27.27","0.82",,,"REC","$55,000","151",,"$27.27","0.82","Recreational",,"Road Access","604-855-8228","S-3%","Tapadera Estates","50.00",,"33.00","Yes",,,"V0M 1A1","No","UPON OFFER","BC","At Lot Line",,"At Lot Line","City/Municipal"
"V1032695","Residential Attached","S","308 5911 MINORU BOULEVARD","Brighouse","1999","Other","14","Richmond","Richmond","4/18/2014","SHAFIK","1","$1,019.00","10/18/2013","024-509-639",,"$0.00","10/19/2013","$45,500","$108.85","0.91","1","0","CDT1","$49,950","1","418","$108.85","0.91","Other","0",,"604-279-8075","3.255% ON 1ST $100,000 & 1.1625% ON BAL","HILTON HOTEL",,"0",,,,,"V6X 4C7",,"WHEN OFFER IS PRESENTED","BC",,,,
"N230173","Residential Detached","S","34 JASPER STREET","Port Clements","9999","House/Single Family","999","Prince Rupert (Zone 52)","Port Clements","8/8/2014","BRIAN BUSSIERE","1","$1,185.00","8/9/2013","018-784-798",,,"10/22/2013","$46,000","$38.33","0.92","1","3","R1","$50,000","74","1,200","$38.33","0.92","House/Single Family","1",,"604-557-3597","3%",,"120","0","60.00",,,,"V0T 1R0",,,"BC",,,,
"N231629","Land Only","S","1706 RICHBAR ROAD","Quesnel Rural - South",,,,"Quesnel (Zone 28)","Quesnel","3/31/2014","WILLIAM LACY",,"$405.00","10/16/2013","006-598-099",,,"10/22/2013","$46,000",,"0.92",,,"R2","$49,900","6",,,"0.92","House/Single Family",,"Road Access","250-992-7202","3%","RICHBAR",,,"0.00","No",,,"V2J 6C1","No",,"BC","Septic",,"None","Community"
"V1030785","Residential Attached","S","811 5911 MINORU BOULEVARD","Brighouse","1999","Apartment/Condo","14","Richmond","Richmond","6/30/2014","George Po","1","$1,052.00","10/3/2013","024-508-969",,"$134.81","10/18/2013","$46,000","$110.05","0.98","1","1","CDT1","$46,900","15","418","$110.05","0.98","Apartment/Condo","0",,"604-671-8901","3.255% ON 1ST $100,000/1.1625% ON BAL","HILTON HOTEL",,"0",,,,"0","V6X 4C7",,,"BC",,,,
"F1322710","Residential Detached","S","10 15820 FRASER HIGHWAY","Fleetwood Tynehead","1992","Manufactured","21","Surrey","Surrey","1/3/2014","Les Wellman","1","$177.00","9/26/2013","900-568-677",,,"10/17/2013","$50,000","$54.11","0.86","1","2","MHP","$57,900","21","924","$54.11","0.86","Manufactured","1",,"604-581-3838","S-3.2% 1ST 100K/1.15% BAL","Greentree Estates",,"0","0.00",,"$445.00","3","V4N 0Y2",,"absentee owner","BC",,,,
"V1012432","Residential Detached","S","85 19647 PINYON LANE","Central Meadows","1975","Manufactured","38","Pitt Meadows","Pitt Meadows","6/9/2014","Julie Wagner","1","$492.00","6/9/2013","800-005-861",,,"10/26/2013","$57,000","$61.82","0.71","1","2","MOBILE","$79,900","139","922","$61.82","0.48","Manufactured","1",,"604-467-9300","3.255% ON 1ST $100,000/1.1625% ON BAL","MEADOW HIGHLAND MOBILE HOME COOP",,"0","0.00",,"$259.00","1","V3Y 0C1",,,"BC",,,,
"N227536","Land Only","S","LOT 6 CANYON ROAD","Smithers - Rural",,,,"Smithers And Area (Zone 54)","Smithers","5/14/2014","SONIA",,"$256.00","5/14/2013","023-640-090",,,"10/17/2013","$60,000","$7,317.07","0.87",,,"H-1","$69,000","156",,"$7,317.07","0.80","House/Single Family",,"Road Access","250-847-5999","3.5%",,,,"0.00","Yes",,,"V0J 2N1",,,"BC","None",,"None","None"
"H1304026","Residential Detached","S","2 6900 INKMAN AVENUE","Agassiz","1999","Manufactured","14","Agassiz","Agassiz","1/31/2014","IAN HORNBY","1","$514.00","10/19/2013","700-007-925",,,"10/19/2013","$60,500","$65.48","0.93","1","2","RMH","$64,900","0","924","$65.48","0.93","Manufactured","1",,"604-795-2955","3% L 1/2 BF",,"IRREG","0","30.00",,"$385.00","2","V0M 1A0",,,"BC",,,,
"F1303703","Land Only","S","95 14600 MORRIS VALLEY ROAD","Lake Errock",,,,"Mission","Mission","12/31/2013","DAVID WANSINK",,"$471.00","2/8/2013","023-085-959",,,"10/22/2013","$60,500","$36.67","0.93",,,"REC","$65,000","256",,"$36.67","0.77","Recreational",,"Allowed Access","604-820-0555","S-3.22%","TAPADERA ESTATES","50",,"33.00","No",,,"V0M 1A1","No","LAND ONLY","BC","Community",,"None","Community"
