"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"V1024313","Residential Detached","S","12 201 CAYER STREET","Maillardville","1972","Manufactured","41","Coquitlam","Coquitlam","3/31/2014","JIM YOUNG","1","$136.00","8/26/2013","800-027-391",,,"10/27/2013","$8,000","$11.49","0.70","1","3","MHP","$11,500","62","696","$11.49","0.36","Manufactured","1",,"604-298-1600","4% ON 1ST $100K & 1.15% ON BAL**","WILDWOOD PARK",,"0","0.00",,"$608.00","2","V3K 2X8",,,"BC",,,,
"N231241","Residential Detached","S","19 803 HODGSON ROAD","Esler/Dog Creek","1972","Manufactured","41","Williams Lake (Zone 27)","Williams Lake","1/3/2014","LINDA","1","$82.00","9/26/2013","800-080-244",,,"10/28/2013","$12,000","$13.89","0.67","1","3","MHP","$18,000","32","864","$13.89","0.67","Manufactured","1",,"250-267-4248","3.1%","PANORAMA MOBILE HOME PARK",,"0","0.00",,"$286.00","2","V2G 3R2",,,"BC",,,,
"N228202","Land Only","S","LOT 10 SPRING DRIVE","Shelley",,,,"PG Rural East (Zone 80)","Prince George","10/31/2013","SUSAN",,"$98.00","6/6/2013","007-632-134",,,"10/31/2013","$14,000",,"0.70",,,"RR1","$20,000","147",,,"0.70","House/Single Family",,"Road Access","250-613-9599","4%","GLADTIDINGS",,,,"No",,,"V2K 5C8","Not Known",,"BC","None",,"None","Well - Drilled"
"N207476","Residential Attached","S","35 50 HAGEN STREET","Granisle","1972","Apartment/Condo","39","Burns Lake (Zone 55)","Burns Lake","2/28/2014","DENNIS BOCK","1","$512.00","2/25/2011","018-204-457","2","$181.72","10/28/2013","$16,000","$41.45","0.95","1","1","R2","$16,800","976","386","$41.45","0.73","Apartment/Condo","1",,"250-692-3530","3%","GRANISLE RESORT",,"0",,,,"1","V0J 1W0",,,"BC",,,,
"N231507","Land Only","S","LOT B GRASSLAND ROAD","Shelley",,,,"PG Rural East (Zone 80)","Prince George","10/3/2014","CHRIS OR BARBARA",,"$227.00","10/3/2013","006-722-822",,,"10/28/2013","$16,000",,"0.89",,,"SH","$18,000","25",,,"0.89","Other",,"Road Access","250-614-3727","4% OF THE SALE PRICE",,,,"0.00","Yes",,,"V2K 5E8","Not Known",,"BC","None",,"None","None"
"N231179","Land Only","S","7651 KING ROAD","Deka/Sulphurous/Hathaway Lakes",,,,"100 Mile House (Zone 10)","Deka Lake / Sulphurous / Hathaway Lakes","1/14/2014","BARB MONICAL",,"$184.00","9/24/2013","003-363-406",,,"10/28/2013","$18,000",,"0.82",,,"R1","$21,900","34",,,"0.82","Recreational",,"Road Access","250-395-3422","3.4%",,"202",,"100.00","No",,,"V0K 1X0",,"LAND UNDER 1 ACRE","BC","None",,"None","None"
"N226743","Land Only","S","LOT 9 S CANIM LAKE ROAD","Canim/Mahood Lake",,,,"100 Mile House (Zone 10)","Canim Lake","4/28/2014","INGRID",,"$163.00","4/29/2013","006-288-898",,,"11/2/2013","$20,000","$1.00","0.77",,,"R1","$26,000","187",,"$1.00","0.77","Other",,"Road Access","250-706-7215","4% OF PURCHASE PRICE",,"257",,"75.00","Yes",,,"V0K 1J0","Not Known","LAND UNDER 1 ACRE","BC","None",,"None","None"
"N231790","Land Only","S","BEDORE ROAD","Burns Lake - Rural West",,,,"Burns Lake (Zone 55)","Burns Lake","10/22/2014","RE/MAX WRIGHTWAY",,"$217.00","10/22/2013","015-316-335",,,"10/29/2013","$27,000",,"0.93",,,"H1","$29,000","7",,,"0.93","Other",,"Road Access","250-692-7288","3%",,,,"0.00","Yes",,,"V0J 1E1",,,"BC","None",,"None","None"
"F1317316","Residential Detached","S","33 3031 200TH STREET","Brookswood Langley","1969","Manufactured","44","Langley","Langley","12/31/2013","Geoff Norris","2","$126.00","7/15/2013","900-568-064",,,"10/31/2013","$28,000","$27.18","0.94","2","2","MHP","$29,900","108","1,030","$27.18","0.83","Manufactured","1",,"604-530-0231","S-4.6%","Cedar Creek Estates",,"0","0.00",,"$523.00","2","V2Z 1N5",,"ESTATE SALE","BC",,,,
"N210407","Land Only","S","LOT 27 RODMAN ROAD","Horsefly",,,,"Williams Lake (Zone 27)","Williams Lake","5/1/2014","LINDA BARTCH",,"$256.00","5/27/2011","008-554-285",,,"10/28/2013","$36,500",,"0.75",,,"RR3","$49,000","885",,,"0.75","Other",,"Allowed Access","250-620-3440","3.5%",,"200",,"400.00","Yes",,,"V0L 1L0","Not Known",,"BC","None",,"None","None"
