"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N230725","Land Only","S","BOOTH ROAD","Salmon Valley",,,,"PG Rural North (Zone 76)","Salmon Valley","12/17/2013","HANS OR KIRK",,"$55.00","9/5/2013","016-069-005",,,"9/14/2013","$8,500",,"0.86",,,"R3","$9,900","9",,,"0.86","Other",,"No Access","250-562-2121","4%",,"1320",,"1,320.00","No",,,"V2K 5X2","Not Known",,"BC","None",,"None","None"
"H1302042","Residential Detached","S","35 1884 HEATH STREET","Agassiz","1981","Manufactured","32","Agassiz","Agassiz","11/30/2013","HENDRICK/JENNIFER","1","$80.00","5/16/2013","700-008-505",,,"9/21/2013","$18,000","$22.06","0.72","1","2","RMH","$25,000","128","816","$22.06","0.72","Manufactured","1",,"604-858-7179","$2500 L1/2BF***","HEATH COURT",,"0","0.00",,"$372.00","2","V0M 1A2",,,"BC",,,,
"V1018134","Residential Detached","S","8 12868 229TH STREET","East Central","1968","Manufactured","45","Maple Ridge","Maple Ridge","1/31/2014","THE RALPH TELEP TEAM","1","$217.00","7/15/2013","800-078-272",,,"9/18/2013","$20,000","$27.78","1.00","1","3","MHP","$20,000","65","720","$27.78","1.00","Manufactured","1",,"604-467-9300","5%","ALOUETTE SENIOR MOBILE HOME PARK",,"0","0.00",,"$502.00","2","V2X 6T1",,,"BC",,,,
"N230920","Land Only","S","LOT 3 STURGEON POINT ROAD","Vanderhoof - Rural",,,,"Vanderhoof And Area (Zone 56)","Vanderhoof","3/31/2014","MARILYN",,"$92.00","9/10/2013","007-535-376",,,"9/17/2013","$21,500",,"0.92",,,"RR-1","$23,500","7",,,"0.92","House/Single Family",,"Road Access","250-567-0438","3.5%",,,,"0.00","Yes",,,"V0J 3A2",,,"BC","None",,"None","None"
"N230662","Residential Detached","S","151 3666 11 STREET","Houston - Town","1981","Manufactured","32","Houston (Zone 53)","Houston","2/13/2014","DAN HANSMA","1","$265.00","9/4/2013","800-079-538",,,"9/18/2013","$23,000","$19.69","0.92","1","3","R3","$24,900","14","1,168","$19.69","0.92","Manufactured","1",,"250-845-8234","3% OF THE SALE PRICE.","AMBASSADOR MOBILE HOME PARK.","00","1","0.00",,"$250.00",,"V0J 1Z0",,,"BC",,,,
"N226018","Land Only","S","2278 TIMOTHY ROAD","Quesnel Rural - South",,,,"Quesnel (Zone 28)","Quesnel","11/15/2013","BOBBI",,"$150.00","4/5/2013","009-940-871",,,"9/21/2013","$28,000",,"0.80",,,"RR1","$34,900","169",,,"0.80","House/Single Family",,"Allowed Access","250-991-9063","3%","YENDRES SUBDIVISION","412",,"125.00","Yes",,,"V2J 6K8","Not Known",,"BC","None",,"None","Well - Drilled"
"H1303171","Residential Detached","S","37 22885 TRANS CANADA HIGHWAY","Hope Center","1975","Manufactured","38","Hope","Hope","11/9/2013","WAYNE DYBLE","2","$403.00","8/9/2013","700-000-159",,,"9/13/2013","$28,000","$22.40","0.95","2","3","MHP-1","$29,500","35","1,250","$22.40","0.84","Manufactured","1",,"604-869-2945","$1750. L 1/2 BF",,,"1","0.00",,"$365.00","4","V0X 1L3",,,"BC",,,,
"N227900","Residential Detached","S","2 176 NORTHSIDE ROAD","Vanderhoof - Town","1967","Manufactured","46","Vanderhoof And Area (Zone 56)","Vanderhoof","11/21/2013","MARILYN","1","$280.00","5/21/2013","800-077-011",,,"9/18/2013","$30,000","$29.30","0.86","1","2","R-5","$34,900","120","1,024","$29.30","0.71","Manufactured","1",,"250-567-2271","3.5%",,,"0","0.00",,"$210.00","2","V0J 3A2",,,"BC",,,,
"N229694","Residential Detached","S","19 2155 COMMODORE CRESCENT","Williams Lake - Rural North","1987","Manufactured","26","Williams Lake (Zone 27)","Williams Lake","11/30/2013","GEORGE BEST","1","$359.00","7/22/2013","880-078-627",,,"9/13/2013","$31,000","$30.39","0.89","1","2","MHP","$34,900","53","1,020","$30.39","0.89","Manufactured","1",,"250-305-7034","3% ON 1ST $100,000 AND 1.5% ON REMAINDER","EVERGREEN MOBILE HOME PARK.","0","0","0.00",,"$255.00","2","V2G 5E1",,,"BC",,,,
"N228128","Residential Detached","S","37945 UPPER FRASER ROAD","Upper Fraser","9999","House/Single Family","999","PG Rural East (Zone 80)","Prince George","6/4/2014","OR TEXT JOY","0","$193.00","6/4/2013","012-572-381",,,"9/17/2013","$35,000","$41.77","0.95","1","1","RR2","$37,000","105","838","$41.77","0.95","House/Single Family","1",,"250-613-6599","1200.00","SINCLAIR MILLS",,"1","0.00",,,,"V0J 3M0",,,"BC",,,,
