"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"F1315872","Residential Detached","S","67 8190 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1975","Manufactured","38","Surrey","Surrey","12/31/2013","TOUCHBASE RAY","1","$62.00","6/28/2013","900-567-607",,,"10/1/2013","$11,000","$14.63","0.73","1","3","MHP","$14,999","95","752","$14.63","0.62","Manufactured","1",,"604-581-3838","S-4%","KING GEORGE M.H.P.","100","0","30.00",,"$600.00","4","V3W 5B7",,"SELLER HAS NOT LIVED IN","BC",,,,
"F1322292","Residential Detached","S","67 9950 WILSON STREET","Stave Falls","1976","Manufactured","37","Mission","Mission","5/31/2014","DEBORAH VALE","1","$558.00","9/19/2013","900-568-647",,,"10/5/2013","$15,000","$22.06","0.75","1","2","MHP","$19,900","16","680","$22.06","0.75","Manufactured","1",,"604-302-5348","S-4.6%",,,"0",,,"$480.00",,"V4S 1B3",,"POWER OF ATTORNEY","BC",,,,
"N226480","Land Only","S","LOT 11 MERKLEY ROAD","Terrace - Northwest/Rosswood",,,,"Terrace (Zone 88)","Terrace","10/16/2013","DARREN BEAULIEU",,"$1,276.00","4/16/2013","004-582-802",,,"10/3/2013","$16,500",,"0.67",,,"R1","$24,500","170",,,"0.55","Other",,"Road Access","250-615-1350","3% ON FINAL SALE PRICE PLUS GST",,,,"0.00","No",,,"V8G 0B5",,,"BC","None",,"None","City/Municipal"
"N231167","Residential Detached","S","2449 PINE ROAD","70 Mile House","9999","Recreational","999","100 Mile House (Zone 10)","70 Mile House","12/20/2013","BRENDA","0","$390.00","9/20/2013","008-912-106",,,"10/3/2013","$18,500","$17.62","0.62","0","0","RL1","$29,900","13","1,050","$17.62","0.62","Recreational","1",,"250-706-2518","3.4%",,,"0","0.00",,,,"V0K 2K0",,,"BC",,,,
"F1314938","Residential Detached","S","62 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1976","Manufactured","37","Surrey","Surrey","12/31/2013","Tore Jacobsen","1","$112.00","6/19/2013","900-567-720",,,"9/30/2013","$18,750","$21.65","0.75","1","2","MHP","$25,000","103","866","$21.65","0.75","Manufactured","1",,"778-886-7351","S-4%","Plaza",,"0","0.00",,"$650.00","5","V3W 5C2",,"SELLER NEVER LIVED THERE","BC",,,,
"H1303350","Residential Detached","S","106 45640 WATSON ROAD","Vedder S Watson-Promontory","1975","Manufactured","38","Sardis","Sardis","1/31/2014","KENNY","1","$159.00","8/21/2013","746-640-507",,,"10/1/2013","$19,000","$24.68","0.96","1","2","MHP","$19,900","41","770","$24.68","0.96","Manufactured","1",,"604-795-2955","5% L 1/2 BF","WESTWOOD ESTATES",,"0","0.00",,"$503.63","3","V2R 2R1",,,"BC",,,,
"N222132","Residential Detached","S","1925 HUBERT ROAD","Quesnel Rural - South","9999","House/Single Family","999","Quesnel (Zone 28)","Quesnel","12/31/2013","RANDY","1","$761.00","8/30/2012","011-690-887",,,"10/2/2013","$30,000","$22.29","0.54","1","2","R2","$55,400","398","1,346","$22.29","0.50","House/Single Family","1",,"250-992-7202","3% OF THE PURCHASE PRICE",,,"0","0.00",,,,"V2J 6C7",,,"BC",,,,
"F1315248","Land Only","S","13 9201 SHOOK ROAD","Hatzic",,,,"Mission","Mission","12/6/2013","John Dale",,"$16.00","6/20/2013","900-567-791",,,"10/1/2013","$30,000","$3.74","0.50",,,"RES","$59,900","103",,"$3.74","0.30","Other",,"Road Access","604-816-9604","S-3.22% 1ST 100K/1.15% BAL","Aqua Vista Estates","110",,"73.00","No",,,"V2V 7M5","No",,"BC","Septic",,"None","Community"
"V1025481","Residential Detached","S","170 1830 MAMQUAM ROAD","Garibaldi Estates","1976","Manufactured","37","Squamish","Squamish","11/28/2013","GARY OR LANA SHEPHERD","1","$478.00","8/28/2013","800-079-480",,,"10/2/2013","$35,000","$30.07","0.72","1","3","MHP","$48,500","35","1,164","$30.07","0.72","Manufactured","1",,"604-583-2000","3.22% TO $100,000 MIN $1,000 UPON PHYSICAL INTRO**","TIMBERTOWN ESTATES",,"0","0.00",,"$550.00","2","V8B 0K8",,"SELLER NEVER LIVED THERE","BC",,,,
"V1029622","Residential Detached","S","104 201 CAYER STREET","Maillardville","1969","Manufactured","44","Coquitlam","Coquitlam","9/27/2014","ATHOL HUNG","1","$165.00","9/27/2013","800-080-240",,,"10/6/2013","$35,000","$52.08","0.78","1","2","RMH-1","$45,000","9","672","$52.08","0.78","Manufactured","1",,"604-312-2126","4%","WILDWOOD PARK",,"0","0.00",,"$652.00",,"V3K 2X8",,,"BC",,,,
